,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,5.74,7.83,7.55,6.88,5.90,4.74,3.45,2.44,,,4.24,3.74,3.76,3.40,3.22,2.90,2.59,2.62,2.44,2.45
Earnings per Share,0.10,0.25,0.26,-0.34,-0.51,-0.43,-0.72,-0.34,,,-0.13,-0.10,-0.38,-0.12,-0.056,-0.12,-0.043,-0.19,-0.18,-0.31
Revenue per Share,3.93,4.75,4.89,4.37,4.35,3.61,2.66,2.46,,,0.64,0.72,0.66,0.56,0.62,0.59,0.68,0.42,0.35,0.42
Dividend per Share,0.10,0.16,0.24,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.068,0.088,0.29,0.34,0.10,0.015,0.059,0.008,,,0.009,0.001,0.023,0.004,0.001,0.002,0.001,0.002,0.000,0.002
Book Value per Share,1.58,1.68,1.72,1.21,1.86,1.44,0.71,0.70,,,1.20,1.10,0.71,0.59,0.54,0.74,0.70,0.53,0.36,0.046
Price to Earnings Ratio,28.9,23.1,27.3,,,,,,,,,,,,,,,,,
Price to Book Value Ratio,1.86,3.49,4.19,6.09,3.44,3.40,4.92,2.85,,,2.81,3.07,4.92,4.48,4.83,3.88,2.85,4.14,5.68,47.4
EV to EBITDA,8.05,9.23,15.3,-51.3,-35.4,-61.2,-23.2,-100.8,,,-83.1,-46.6,-23.2,-20.4,-25.3,-24.4,-100.8,-42.6,-19.4,-16.3
Dividend Payout Ratio,98.8%,63.3%,93.1%,,,,,,,,,,,,,,,,,
Common Shares Outstanding,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,,,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
Total Revenue,"1,963","2,376","2,447","2,184","2,173","1,804","1,329","1,230",,,321.7,358.4,328.2,278.8,310.4,293.3,340.3,208.3,175.9,209.1
"Cost of Revenue, Total","1,332","1,657","1,690","1,712","1,730","1,496","1,156",991.3,,,275.3,290.5,307.8,250.3,251.9,233.7,255.4,221.8,166.8,195.9
Gross Profit,630.9,719.3,756.7,472.4,442.3,307.3,172.2,238.8,,,46.4,67.9,20.5,28.5,58.6,59.7,85.0,-13.5,9.14,13.2
"Selling/General/Administrative Expenses, Total",529.9,560.6,601.8,666.7,691.4,510.0,426.4,367.3,,,105.5,106.1,111.9,90.6,85.5,89.3,94.9,80.3,91.6,63.3
Operating Income,101.0,158.7,154.8,-194.3,-249.1,-202.6,-254.2,-128.6,,,-59.0,-38.2,-91.4,-62.1,-27.0,-29.6,-9.89,-93.8,-82.5,-50.1
Net Income,50.6,126.4,128.9,-168.2,-253.3,-215.4,-358.8,-167.7,,,-64.0,-50.3,-188.9,-58.9,-28.2,-59.2,-21.3,-96.5,-88.7,-156.3
