,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,20.6,14.9,10.8,12.3,8.75,14.8,15.1,16.2,15.4,,13.6,14.2,16.1,17.3,17.3,16.1,15.5,15.8,15.4,14.8
Earnings per Share,4.85,1.70,0.50,-0.60,0.49,-0.15,1.55,1.30,2.58,,0.14,0.31,0.41,0.44,0.60,0.61,0.62,0.75,0.71,0.82
Revenue per Share,14.1,12.8,11.6,13.5,15.0,15.4,12.9,14.1,16.5,,3.33,3.53,3.58,3.70,3.95,4.27,4.15,4.09,4.02,3.73
Dividend per Share,1.94,0.52,0.14,,0.10,,0.36,0.55,0.64,,,0.18,0.00,0.37,,0.31,0.00,0.33,,0.36
Capital Expenditures per Share,1.47,1.14,7.37,2.58,1.10,0.15,0.24,0.61,1.60,,0.058,0.081,0.16,0.32,0.40,0.42,0.24,0.55,0.80,0.61
Book Value per Share,10.4,10.4,10.2,10.7,9.53,10.2,10.7,11.7,12.9,,11.3,11.3,11.4,11.7,12.4,12.3,12.5,12.9,13.3,13.3
Price to Earnings Ratio,4.80,8.78,22.1,,21.5,,9.03,12.3,5.54,,9.57,11.4,12.9,12.3,9.35,7.30,6.96,5.54,5.42,4.93
Price to Book Value Ratio,1.99,1.45,0.81,1.04,1.05,0.94,1.23,1.19,1.18,,1.16,1.16,1.35,1.19,1.35,1.05,1.25,1.18,1.06,1.09
EV to EBITDA,4.37,6.40,21.2,174.4,20.3,5.84,7.73,6.99,5.10,,6.33,7.24,6.70,6.99,6.75,5.77,5.28,5.10,5.21,4.77
Dividend Payout Ratio,40.0%,30.6%,27.8%,,20.5%,,23.2%,42.3%,24.8%,,,16.5%,0.0%,28.5%,,15.1%,0.0%,12.8%,,12.4%
Common Shares Outstanding,800.0,800.0,800.0,800.0,800.0,800.0,900.0,900.0,900.0,,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0
Total Revenue,"11,290","10,264","9,318","10,793","12,003","12,314","11,603","12,727","14,814",,"2,995","3,180","3,224","3,328","3,558","3,844","3,731","3,681","3,617","3,360"
"Cost of Revenue, Total","6,551","7,832","7,874","9,774","10,394","9,952","9,331","10,020","11,543",,"2,329","2,500","2,544","2,646","2,764","3,027","2,933","2,820","2,714","2,529"
Gross Profit,"4,739","2,432","1,444","1,019","1,610","2,362","2,272","2,708","3,271",,666.0,680.0,679.4,682.2,794.0,817.6,798.0,861.1,902.4,831.0
"Selling/General/Administrative Expenses, Total",755.5,858.0,"1,159","1,228","1,288","1,328","1,053","1,113","1,235",,267.9,297.3,278.9,269.0,296.9,312.1,303.6,322.5,288.1,316.6
Operating Income,"3,983","1,574",284.5,-209.1,321.3,"1,034","1,219","1,594","2,036",,398.1,382.7,400.5,413.2,497.1,505.5,494.5,538.5,614.3,514.4
Net Income,"3,883","1,358",402.5,-479.7,390.0,-123.2,"1,366","1,170","2,324",,128.6,282.1,367.4,391.9,537.0,553.2,559.5,674.6,636.0,739.4
EBITDA,"4,341","1,943",695.8,404.3,"1,053","1,799","1,972","2,347","2,790",,582.9,574.6,591.3,597.9,681.7,697.9,686.4,724.0,802.9,702.3
Gross Profit Margin,42.0%,23.7%,15.5%,9.4%,13.4%,19.2%,19.6%,21.3%,22.1%,,22.2%,21.4%,21.1%,20.5%,22.3%,21.3%,21.4%,23.4%,24.9%,24.7%
Operating Margin,35.3%,15.3%,3.1%,-1.9%,2.7%,8.4%,10.5%,12.5%,13.7%,,13.3%,12.0%,12.4%,12.4%,14.0%,13.1%,13.3%,14.6%,17.0%,15.3%
Net Profit Margin,34.4%,13.2%,4.3%,-4.4%,3.2%,-1.0%,11.8%,9.2%,15.7%,,4.3%,8.9%,11.4%,11.8%,15.1%,14.4%,15.0%,18.3%,17.6%,22.0%
Return on Assets,37.3%,11.4%,2.8%,-2.7%,2.2%,-0.8%,9.1%,7.9%,15.0%,,7.7%,6.6%,7.2%,7.8%,10.3%,12.1%,13.3%,14.8%,15.2%,16.3%
Return on Equity,46.6%,16.3%,4.9%,-5.6%,5.1%,-1.5%,14.2%,11.1%,20.1%,,1.3%,2.8%,3.6%,3.7%,4.8%,5.0%,5.0%,5.8%,5.3%,6.2%
Return on Total Capital,39.5%,14.2%,3.0%,-3.2%,3.3%,-1.1%,11.7%,10.2%,19.1%,,9.5%,8.4%,9.5%,10.2%,13.2%,15.9%,17.3%,19.1%,18.6%,19.6%
