,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,24.5,18.2,18.4,19.4,19.3,24.6,26.4,26.0,,,24.9,23.0,24.1,26.8,27.4,25.0,25.2,26.6,26.0,26.3
Earnings per Share,2.17,1.61,1.50,1.45,1.69,2.04,1.83,2.32,,,0.34,0.42,0.80,0.22,0.39,0.74,0.97,0.11,0.37,0.62
Revenue per Share,35.0,33.5,34.3,36.2,34.0,35.0,33.0,32.1,,,7.48,9.15,8.48,6.88,7.23,8.98,9.01,6.48,7.34,8.92
Dividend per Share,1.00,0.80,0.80,0.85,1.00,1.20,1.20,1.26,,,,,1.20,,,,1.26,,,
Capital Expenditures per Share,5.55,3.25,1.52,1.13,1.27,1.84,1.05,1.40,,,0.27,0.20,0.44,0.37,0.47,0.30,0.26,0.21,0.76,0.24
Book Value per Share,17.5,20.9,19.1,21.3,21.4,22.7,23.5,23.7,,,22.0,22.7,23.5,23.6,22.6,23.4,23.7,23.8,23.0,23.3
Price to Earnings Ratio,12.3,12.1,11.4,12.2,10.7,10.6,12.6,10.4,,,12.1,15.3,12.6,13.5,13.7,11.3,10.4,10.4,11.0,12.2
Price to Book Value Ratio,1.54,0.92,0.92,0.85,0.88,1.10,1.04,0.99,,,1.08,0.97,1.04,0.94,1.13,1.02,0.99,1.03,1.13,1.07
EV to EBITDA,10.7,11.0,9.43,9.58,8.84,8.35,10.6,10.0,,,11.1,13.1,10.6,12.1,12.4,10.6,10.0,11.7,12.0,13.6
Dividend Payout Ratio,46.0%,49.6%,53.3%,58.7%,59.2%,58.9%,65.6%,54.4%,,,,,65.6%,,,,54.4%,,,
Common Shares Outstanding,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,,,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9
Total Revenue,"5,245","5,021","5,146","5,428","5,101","5,253","4,950","4,813",,,"1,122","1,372","1,271","1,032","1,084","1,346","1,350",971.1,"1,100","1,337"
"Cost of Revenue, Total","4,074","3,972","4,095","4,300","3,971","3,988","3,799","3,612",,,861.7,"1,048",968.5,803.4,816.9,973.3,"1,019",745.1,797.1,970.6
Gross Profit,"1,171","1,049","1,051","1,128","1,131","1,265","1,151","1,201",,,259.9,324.6,302.3,228.6,267.3,373.2,331.7,226.0,302.8,366.5
"Selling/General/Administrative Expenses, Total",870.5,855.1,906.0,"1,001",997.1,"1,045","1,033","1,038",,,270.4,274.6,230.0,233.5,258.3,268.8,273.6,252.2,302.3,292.5
Operating Income,300.6,193.8,145.4,127.7,133.5,219.6,117.9,162.8,,,-10.5,50.1,72.3,-4.86,8.99,104.3,58.1,-26.3,0.42,74.0
Net Income,282.4,241.6,225.0,217.2,253.1,305.2,274.4,347.4,,,50.6,63.0,119.7,33.1,57.7,111.5,145.1,16.5,56.0,93.3
EBITDA,497.4,444.7,452.2,434.4,427.9,503.9,370.1,382.5,,,55.1,112.3,130.6,51.8,65.7,160.1,113.3,27.7,55.8,132.6
Gross Profit Margin,22.3%,20.9%,20.4%,20.8%,22.2%,24.1%,23.3%,24.9%,,,23.2%,23.7%,23.8%,22.2%,24.7%,27.7%,24.6%,23.3%,27.5%,27.4%
Operating Margin,5.7%,3.9%,2.8%,2.4%,2.6%,4.2%,2.4%,3.4%,,,-0.9%,3.6%,5.7%,-0.5%,0.8%,7.7%,4.3%,-2.7%,0.0%,5.5%
Net Profit Margin,5.4%,4.8%,4.4%,4.0%,5.0%,5.8%,5.5%,7.2%,,,4.5%,4.6%,9.4%,3.2%,5.3%,8.3%,10.7%,1.7%,5.1%,7.0%
Return on Assets,6.4%,4.4%,3.9%,3.9%,4.6%,5.7%,5.2%,7.0%,,,5.6%,3.9%,5.2%,5.3%,5.5%,6.2%,6.8%,6.8%,6.6%,6.0%
Return on Equity,10.7%,7.7%,7.8%,6.8%,7.9%,9.0%,7.8%,9.8%,,,1.5%,1.8%,3.4%,0.9%,1.7%,3.2%,4.1%,0.5%,1.6%,2.7%
