,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,9.68,8.33,6.05,4.31,,,7.48,6.93,5.98,5.55,5.48,6.05,5.65,3.95,3.66,3.14
Earnings per Share,,,,,-0.37,0.43,0.073,0.89,,,0.096,0.057,-0.18,0.093,0.11,0.12,0.57,0.091,0.099,0.095
Revenue per Share,,,,,0.76,0.93,0.83,0.93,,,0.20,0.21,0.21,0.22,0.23,0.25,0.24,0.22,0.22,0.21
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Book Value per Share,,,,,9.60,8.28,8.00,8.04,,,8.34,8.49,8.00,8.07,7.93,7.88,8.04,8.25,7.68,7.52
Price to Earnings Ratio,,,,,,20.2,73.6,4.97,,,16.7,16.9,73.6,72.9,64.5,35.3,4.97,4.19,3.65,3.71
Price to Book Value Ratio,,,,,0.87,1.21,0.66,0.52,,,0.80,0.00,0.66,0.74,0.65,0.56,0.52,0.45,0.42,0.39
EV to EBITDA,,,,,,10.3,17.6,10.1,,,8.67,17.5,17.6,14.9,0.00,12.2,10.1,8.94,8.35,7.86
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,,,,,97.5,97.5,97.5,97.5,,,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5,97.5
Total Revenue,,,,,74.1,90.2,80.7,91.1,,,19.9,20.0,20.1,21.4,22.8,24.0,23.0,21.3,21.2,20.0
"Cost of Revenue, Total",,,,,4.86,7.16,6.41,7.00,,,1.76,1.63,1.56,1.68,1.77,1.76,1.79,1.66,1.67,1.59
Gross Profit,,,,,69.2,83.1,74.3,84.1,,,18.1,18.4,18.5,19.7,21.0,22.2,21.2,19.7,19.6,18.4
"Selling/General/Administrative Expenses, Total",,,,,14.5,7.82,19.3,6.89,,,1.49,8.20,6.69,1.80,1.33,1.65,2.11,2.00,1.30,1.22
Operating Income,,,,,54.7,75.3,55.0,77.2,,,16.6,10.2,11.8,17.9,19.7,20.6,19.1,17.7,18.3,17.2
Net Income,,,,,-36.3,42.1,7.09,86.4,,,9.36,5.52,-17.3,9.11,10.4,11.6,55.3,8.88,9.70,9.29
EBITDA,,,,,54.7,75.3,55.0,77.2,,,16.6,10.2,11.8,17.9,19.7,20.6,19.1,17.7,18.3,17.2
Gross Profit Margin,,,,,93.4%,92.1%,92.1%,92.3%,,,91.2%,91.9%,92.2%,92.1%,92.2%,92.7%,92.2%,92.2%,92.1%,92.1%
Operating Margin,,,,,73.9%,83.4%,68.1%,84.7%,,,83.7%,50.9%,58.9%,83.7%,86.4%,85.8%,83.1%,82.8%,86.0%,86.0%
Net Profit Margin,,,,,-49.0%,46.6%,8.8%,94.8%,,,47.1%,27.6%,-86.2%,42.6%,45.6%,48.5%,239.9%,41.6%,45.6%,46.4%
Return on Assets,,,,,-2.2%,2.9%,0.6%,6.9%,,,3.2%,2.9%,0.6%,0.5%,0.6%,1.1%,7.0%,6.9%,7.0%,7.1%
Return on Equity,,,,,-3.9%,5.2%,0.9%,11.0%,,,1.2%,0.7%,-2.2%,1.2%,1.3%,1.5%,7.0%,1.1%,1.3%,1.3%
Return on Total Capital,,,,,-2.5%,5.2%,0.6%,7.5%,,,5.1%,3.1%,0.6%,0.6%,0.7%,1.2%,7.5%,7.3%,7.7%,7.7%
SG&A to Sale,,,,,19.5%,8.7%,23.9%,7.6%,,,7.5%,41.0%,33.3%,8.4%,5.8%,6.9%,9.2%,9.4%,6.1%,6.1%
Depreciation & Amortisation,,,,,,,,,,,,,,,,,,,,
Tax Rate,,,,,-43.9%,24.6%,44.2%,12.6%,,,23.3%,11.2%,7.0%,23.8%,23.9%,21.8%,5.3%,24.8%,23.8%,23.8%
Current Ratio,,,,,4.62,0.24,2.87,2.95,,,0.22,2.59,2.87,4.07,2.47,3.97,2.95,3.93,3.57,3.95
Quick Ratio,,,,,0.048,0.014,0.021,0.016,,,0.012,0.025,0.021,0.40,0.24,0.47,0.016,0.025,0.019,0.015
Days Inventory Outstanding,,,,,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,,,,,12.6,25.5,3.81,2.38,,,22.1,4.55,3.80,40.3,40.5,31.4,2.38,3.88,3.00,2.36
Days Payable Outstanding,,,,,102.9,66.5,89.4,83.5,,,60.2,87.9,105.7,113.9,132.5,106.2,69.2,66.8,70.9,70.8
Cash Conversion Cycle,,,,,-85.9,-44.6,-91.8,-64.9,,,-57.5,-87.9,-103.9,-100.8,-102.2,-37.1,-51.0,-62.4,-71.8,-61.5
Debt to Asset Ratio,,,,,0.42,0.38,0.38,0.37,,,0.37,0.37,0.38,0.37,0.38,0.36,0.37,0.36,0.36,0.36
Debt to Equity Ratio,,,,,0.74,0.60,0.61,0.59,,,0.58,0.58,0.61,0.58,0.61,0.57,0.59,0.56,0.57,0.57
Interest Coverage Ratio,,,,,1.50,4.15,3.53,3.64,,,4.42,3.18,2.16,3.36,3.70,3.86,3.65,3.54,3.67,3.66
Cash and Short Term Investments,,,,,182.9,68.7,57.6,48.3,,,57.3,46.0,57.6,47.1,51.9,19.6,48.3,88.5,79.4,86.5
"Total Receivables, Net",,,,,2.55,6.29,0.84,0.59,,,5.09,1.03,0.84,8.98,9.36,7.59,0.59,0.97,0.74,0.55
Total Inventory,,,,,,,,,,,,,,,,,,,,
Total Current Assets,,,,,246.6,105.8,117.9,111.9,,,95.6,106.0,117.9,91.0,97.4,63.9,111.9,152.8,140.2,145.8
"Property/Plant/Equipment, Total - Net",,,,,"1,333","1,097","1,072","1,044",,,"1,103","1,116","1,072","1,068","1,059","1,033","1,044","1,059",990.9,955.1
Total Assets,,,,,"1,626","1,296","1,254","1,248",,,"1,288","1,309","1,254","1,241","1,244","1,206","1,248","1,259","1,179","1,148"
Accounts Payable,,,,,1.37,1.24,1.90,1.30,,,1.31,1.81,1.90,2.23,2.59,1.36,1.30,1.25,1.42,1.18
Accrued Expenses,,,,,16.9,14.4,33.0,30.1,,,14.8,31.4,33.0,16.9,30.4,11.1,30.1,29.7,27.6,26.9
Debt Due,,,,,,404.5,0.00,0.00,,,406.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Current Liabilities,,,,,53.4,434.7,41.0,37.9,,,441.8,40.9,41.0,22.4,39.4,16.1,37.9,38.8,39.3,36.9
Long Term Debt,,,,,488.4,,397.6,373.1,,,,405.7,397.6,396.4,394.1,384.7,373.1,377.7,354.3,342.2
Total Liabilities,,,,,690.2,488.4,473.9,464.1,,,474.4,481.6,473.9,454.0,470.4,437.8,464.1,454.5,430.0,414.9
Common Stock,,,,,975.0,955.5,921.4,885.3,,,938.4,938.4,921.4,921.4,901.9,901.9,885.3,885.3,865.3,865.3
Additional Paid-In Capital,,,,,,,,,,,,,,,,,,,,
Retained Earnings (Accumulated Deficit),,,,,-3.02,39.1,46.2,132.5,,,57.9,63.5,46.2,55.3,65.6,77.3,132.5,141.4,151.1,160.4
Shareholders' Equity,,,,,936.1,807.3,780.2,784.1,,,813.2,827.5,780.2,787.2,773.4,768.3,784.1,804.6,748.7,733.6
Cash from Operating Activities,,,,,"-9,462",-22.3,45.1,25.3,,,11.8,-14.3,32.5,-11.1,26.2,-36.5,46.6,54.8,13.0,8.31
Cash from Investing Activities,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,,,,"11,700",-78.4,-56.4,-36.1,,,-39.3,0.00,-17.1,,-19.5,0.00,-16.6,-16.6,-20.0,0.00
Net Change in Cash,,,,,"2,194",-114.1,-11.1,-9.28,,,-25.1,-11.2,11.6,-10.5,4.81,-32.3,28.8,40.2,-9.13,7.06
Free Cashflows,,,,,"-9,462",-22.3,45.1,25.3,,,11.8,-14.3,32.5,-11.1,26.2,-36.5,46.6,54.8,13.0,8.31
Free Cashflow per Share,,,,,-97.0,-0.23,0.46,0.26,,,0.12,-0.15,0.33,-0.11,0.27,-0.37,0.48,0.56,0.13,0.085
