,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,16.5,13.0,6.28,5.64,3.07,2.44,1.39,1.25,,,2.29,1.94,1.82,1.77,1.44,1.11,0.89,0.89,0.90,1.35
Earnings per Share,0.97,0.96,0.17,-1.25,-1.55,-0.70,0.030,0.030,,,-0.050,0.010,0.040,-0.010,-0.011,-0.030,0.080,-0.16,0.050,0.089
Revenue per Share,5.43,6.51,5.54,4.04,2.80,2.36,2.04,1.47,,,0.43,0.49,0.50,0.38,0.44,0.39,0.26,0.31,0.50,0.54
Dividend per Share,0.76,1.00,0.45,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.20,0.20,0.22,0.098,0.095,0.011,0.015,0.037,,,0.006,0.004,0.003,0.003,0.004,0.005,0.026,0.009,0.001,0.001
Book Value per Share,4.28,4.20,3.62,2.27,0.73,0.27,0.32,0.31,,,0.25,0.26,0.32,0.32,0.27,0.24,0.31,0.14,0.19,0.28
Price to Earnings Ratio,14.9,16.0,50.0,,,,55.7,30.0,,,,,83.2,,38.6,,30.9,,,24.2
Price to Book Value Ratio,3.86,3.81,2.06,1.96,4.61,7.52,4.83,2.62,,,7.83,6.84,4.83,4.92,4.31,3.22,2.62,5.76,4.06,4.54
EV to EBITDA,6.13,8.09,6.53,-32.2,-14.2,-13.1,10.0,-143.2,,,159.5,14.9,10.0,36.9,17.0,-25.1,-143.2,"-1,902",21.6,4.05
Dividend Payout Ratio,78.3%,104.6%,266.3%,,,,,,,,,,,,,,,,,
Common Shares Outstanding,307.4,307.4,307.4,307.4,307.4,409.9,409.9,409.9,,,409.9,409.9,409.9,409.9,409.9,409.9,409.9,409.9,409.9,409.9
Total Revenue,"1,669","2,001","1,703","1,241",860.5,967.2,835.6,601.1,,,174.4,201.4,205.9,155.8,179.3,158.7,107.3,127.4,205.6,221.5
"Cost of Revenue, Total",900.6,"1,124","1,051","1,010",667.6,680.0,485.7,381.0,,,113.0,104.7,110.9,107.5,114.0,103.8,55.6,81.4,98.4,101.0
Gross Profit,768.3,876.7,651.8,230.5,192.9,287.2,349.9,220.1,,,61.4,96.8,94.9,48.3,65.3,54.8,51.7,46.1,107.3,120.5
"Selling/General/Administrative Expenses, Total",419.0,513.4,480.1,415.8,421.1,399.4,316.2,268.6,,,78.2,75.2,80.5,70.2,63.5,77.4,57.6,60.3,87.5,84.3
Operating Income,349.4,363.3,171.8,-185.3,-228.1,-112.3,33.7,-48.5,,,-16.8,21.5,14.4,-21.9,1.80,-22.5,-5.88,-14.3,19.8,36.2
Net Income,296.4,294.0,51.9,-383.6,-475.1,-216.7,12.6,14.0,,,-20.6,4.78,18.4,-3.80,-4.46,-11.8,34.1,-67.2,20.4,36.5
EBITDA,481.7,512.6,337.2,-14.8,-64.4,-69.8,60.7,-29.5,,,0.80,38.3,-15.7,-6.40,15.6,-10.7,-0.33,-4.72,29.8,46.0
Gross Profit Margin,46.0%,43.8%,38.3%,18.6%,22.4%,29.7%,41.9%,36.6%,,,35.2%,48.0%,46.1%,31.0%,36.4%,34.6%,48.2%,36.1%,52.2%,54.4%
Operating Margin,20.9%,18.2%,10.1%,-14.9%,-26.5%,-11.6%,4.0%,-8.1%,,,-9.7%,10.7%,7.0%,-14.0%,1.0%,-14.2%,-5.5%,-11.2%,9.6%,16.3%
Net Profit Margin,17.8%,14.7%,3.1%,-30.9%,-55.2%,-22.4%,1.5%,2.3%,,,-11.8%,2.4%,9.0%,-2.4%,-2.5%,-7.5%,31.8%,-52.8%,9.9%,16.5%
Return on Assets,16.3%,15.0%,2.7%,-25.3%,-45.5%,-31.5%,2.6%,3.8%,,,-25.5%,-15.6%,3.0%,-0.3%,4.0%,-0.5%,4.2%,-15.4%,-7.0%,6.1%
Return on Equity,22.5%,22.8%,4.7%,-54.9%,-212.1%,-192.9%,9.7%,11.2%,,,-20.2%,4.5%,14.2%,-2.9%,-4.0%,-11.9%,27.2%,-118.1%,26.2%,32.0%
Return on Total Capital,22.5%,22.8%,4.7%,-54.9%,-212.1%,-185.7%,9.7%,11.1%,,,-129.3%,-67.5%,9.7%,-0.9%,13.5%,-1.6%,11.1%,-77.3%,-28.2%,19.3%
SG&A to Sale,25.1%,25.7%,28.2%,33.5%,48.9%,41.3%,37.8%,44.7%,,,44.8%,37.3%,39.1%,45.0%,35.4%,48.8%,53.6%,47.3%,42.5%,38.1%
Depreciation & Amortisation,132.4,149.3,165.4,170.5,163.8,42.5,27.0,18.9,,,17.7,16.7,-30.1,15.5,13.8,11.8,5.54,9.56,10.1,9.78
Tax Rate,19.5%,21.4%,39.3%,4.0%,2.6%,-36.9%,10.2%,9.7%,,,-0.8%,15.6%,3.8%,-2.9%,34.4%,7.4%,-1.1%,5.1%,1.6%,0.4%
Current Ratio,2.45,1.83,1.70,0.93,0.80,0.94,1.01,1.03,,,0.92,0.93,1.01,0.98,0.98,0.92,1.03,0.86,0.94,1.10
Quick Ratio,0.56,0.48,0.47,0.33,0.40,0.23,0.35,0.42,,,0.28,0.37,0.35,0.40,0.31,0.28,0.42,0.36,0.49,0.36
Days Inventory Outstanding,3.40,5.36,5.22,3.27,3.12,0.65,0.047,0.00,,,0.050,0.056,0.033,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,47.0,48.1,38.6,50.5,60.9,38.4,43.0,42.1,,,40.5,48.0,43.0,50.8,33.7,30.2,42.1,43.7,72.2,43.6
Days Payable Outstanding,16.6,15.2,14.9,14.0,26.6,30.7,35.0,27.3,,,21.0,19.0,21.8,32.4,29.5,18.0,18.1,18.1,12.9,17.1
Cash Conversion Cycle,41.0,33.4,40.8,39.9,39.6,15.4,17.8,29.4,,,25.0,30.5,21.1,13.9,18.9,20.2,17.1,30.8,44.8,32.5
Debt to Asset Ratio,0.29,0.31,0.30,0.43,0.72,0.80,0.70,0.55,,,0.80,0.76,0.70,0.69,0.66,0.65,0.55,0.72,0.72,0.64
