,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,6.71,9.65,12.6,20.8,34.0,41.2,34.0,20.1,,,38.0,35.3,39.3,37.6,35.4,28.7,23.0,20.6,18.8,18.7
Earnings per Share,0.76,1.13,1.39,1.50,3.02,4.05,3.46,3.23,,,0.57,1.03,1.13,0.92,0.92,0.80,0.59,0.54,0.49,0.98
Revenue per Share,17.7,19.3,20.0,25.9,29.6,33.8,36.8,38.6,,,8.71,9.67,10.3,9.70,10.3,9.65,8.89,9.03,8.97,9.76
Dividend per Share,0.25,0.35,0.45,0.53,1.05,1.42,1.25,1.25,,,,,1.25,,,,1.25,,,
Capital Expenditures per Share,0.16,0.44,0.32,1.04,1.30,0.95,2.21,3.47,,,0.58,0.74,0.46,0.42,0.92,1.45,0.68,1.04,0.30,0.32
Book Value per Share,8.50,9.42,10.5,11.4,13.9,16.8,18.8,20.8,,,16.7,17.7,18.8,19.8,19.4,20.2,20.8,21.4,20.6,21.6
Price to Earnings Ratio,6.41,8.37,7.18,9.10,7.89,11.7,10.7,6.84,,,9.44,10.4,10.7,9.80,8.63,6.84,6.84,6.46,7.14,7.18
Price to Book Value Ratio,0.58,1.08,0.95,1.18,1.73,2.68,1.95,1.05,,,2.07,1.90,1.95,1.75,1.74,1.17,1.05,0.85,0.81,0.87
EV to EBITDA,1.81,3.35,2.70,5.10,4.55,6.19,5.34,3.79,,,6.35,5.61,5.34,5.79,5.50,5.14,3.79,3.95,3.32,2.68
Dividend Payout Ratio,32.9%,30.9%,32.5%,35.0%,34.8%,35.0%,36.1%,38.7%,,,,,36.3%,,,,38.7%,,,
Common Shares Outstanding,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Total Revenue,"1,419","1,546","1,604","2,069","2,370","2,704","2,945","3,086",,,697.1,773.7,821.8,776.3,827.2,771.6,711.4,722.2,717.5,781.1
"Cost of Revenue, Total","1,161","1,237","1,272","1,727","1,835","2,034","2,322","2,461",,,571.6,600.3,636.9,612.3,665.6,613.1,575.9,581.3,580.9,608.0
Gross Profit,258.2,309.7,331.8,343.0,534.7,669.6,623.5,625.3,,,125.5,173.4,184.9,164.0,161.6,158.5,135.4,140.9,136.5,173.1
"Selling/General/Administrative Expenses, Total",180.1,201.6,200.1,218.8,238.3,266.9,295.0,331.6,,,69.2,77.1,80.6,79.4,76.8,83.3,86.3,90.5,92.8,84.0
Operating Income,81.6,112.3,135.4,145.5,296.5,402.7,328.6,293.7,,,56.3,96.3,104.2,84.6,84.8,75.2,49.1,50.4,43.8,89.1
Net Income,60.9,90.8,110.9,120.0,241.4,324.0,277.0,258.4,,,46.0,82.5,90.8,73.5,73.8,63.9,47.2,43.3,39.4,78.6
EBITDA,121.8,147.7,170.2,181.3,337.7,454.3,389.7,369.6,,,70.8,112.5,121.2,101.8,103.4,95.4,69.2,71.3,69.2,115.0
Gross Profit Margin,18.2%,20.0%,20.7%,16.6%,22.6%,24.8%,21.2%,20.3%,,,18.0%,22.4%,22.5%,21.1%,19.5%,20.5%,19.0%,19.5%,19.0%,22.2%
Operating Margin,5.8%,7.3%,8.4%,7.0%,12.5%,14.9%,11.2%,9.5%,,,8.1%,12.4%,12.7%,10.9%,10.3%,9.7%,6.9%,7.0%,6.1%,11.4%
Net Profit Margin,4.3%,5.9%,6.9%,5.8%,10.2%,12.0%,9.4%,8.4%,,,6.6%,10.7%,11.1%,9.5%,8.9%,8.3%,6.6%,6.0%,5.5%,10.1%
Return on Assets,7.4%,10.2%,11.2%,10.7%,18.6%,20.3%,14.8%,12.8%,,,16.0%,15.0%,14.3%,14.6%,16.0%,15.2%,12.7%,11.1%,9.3%,9.7%
Return on Equity,9.0%,12.0%,13.3%,13.2%,21.8%,24.1%,18.4%,15.5%,,,3.4%,5.8%,6.0%,4.6%,4.7%,4.0%,2.8%,2.5%,2.4%,4.6%
Return on Total Capital,9.0%,12.0%,13.3%,13.2%,21.7%,24.1%,18.3%,15.5%,,,21.2%,19.1%,18.3%,18.5%,20.6%,18.6%,15.5%,13.3%,11.7%,12.1%
SG&A to Sale,12.7%,13.0%,12.5%,10.6%,10.1%,9.9%,10.0%,10.7%,,,9.9%,10.0%,9.8%,10.2%,9.3%,10.8%,12.1%,12.5%,12.9%,10.7%
Depreciation & Amortisation,40.2,35.5,34.9,35.8,41.2,51.6,61.2,75.9,,,14.5,16.2,16.9,17.2,18.5,20.1,20.0,20.9,25.4,25.8
Tax Rate,30.8%,23.3%,20.5%,20.1%,20.2%,19.5%,15.7%,12.0%,,,17.8%,14.0%,13.6%,12.7%,12.7%,14.6%,5.6%,13.5%,8.9%,11.3%
Current Ratio,3.20,3.64,3.40,3.19,3.38,3.18,3.21,3.36,,,3.39,2.90,3.21,3.21,3.52,3.37,3.36,3.68,2.89,3.07
Quick Ratio,1.11,1.57,1.04,1.06,1.14,1.66,1.30,1.58,,,1.14,1.02,1.30,0.98,1.69,1.19,1.58,1.68,1.35,1.42
Days Inventory Outstanding,52.5,60.3,66.1,58.2,59.8,66.3,67.9,64.0,,,77.5,68.1,66.0,69.4,65.4,59.6,63.8,59.3,58.4,72.6
Days Sale Outstanding,39.1,43.1,49.5,39.7,34.7,30.2,35.4,34.2,,,32.4,30.4,35.4,33.1,39.0,36.9,34.2,41.7,39.8,41.2
Days Payable Outstanding,34.5,30.7,34.0,33.5,35.5,40.7,45.0,38.9,,,42.9,48.1,51.7,47.8,42.6,36.1,34.8,30.8,38.5,49.2
Cash Conversion Cycle,53.3,72.1,71.3,60.3,58.6,48.2,52.7,65.3,,,73.4,40.9,51.4,53.2,64.5,62.3,67.4,69.8,52.4,63.2
Debt to Asset Ratio,0.20,0.18,0.21,0.22,0.22,0.24,0.23,0.19,,,0.22,0.25,0.23,0.23,0.20,0.20,0.19,0.17,0.22,0.22
Debt to Equity Ratio,0.25,0.23,0.27,0.29,0.28,0.32,0.30,0.24,,,0.28,0.34,0.30,0.30,0.25,0.25,0.24,0.21,0.28,0.27
Interest Coverage Ratio,155.5,,,"406,514","4,580","4,564","3,120","1,254",,,175.9,299.9,,221.9,224.4,203.3,,126.3,86.0,186.5
Cash and Short Term Investments,144.6,157.5,238.9,235.6,403.3,584.1,604.1,449.0,,,453.0,614.1,604.1,610.8,470.1,435.2,449.0,422.5,447.7,399.6
"Total Receivables, Net",151.9,182.7,217.6,225.3,225.2,223.7,285.4,289.0,,,248.5,234.8,285.4,278.3,342.1,322.9,289.0,346.1,319.1,331.2
Total Inventory,194.3,214.4,246.4,304.0,297.2,441.9,422.5,441.2,,,404.8,417.5,422.5,498.3,403.5,421.4,441.2,350.5,401.3,531.9
Total Current Assets,493.8,564.1,713.1,772.8,934.6,"1,263","1,323","1,192",,,"1,128","1,290","1,323","1,402","1,234","1,194","1,192","1,134","1,187","1,279"
"Property/Plant/Equipment, Total - Net",301.5,305.9,297.7,347.1,421.4,445.9,564.1,784.0,,,509.8,544.7,564.1,582.7,636.1,733.4,784.0,835.6,838.2,829.1
Total Assets,847.3,923.6,"1,062","1,177","1,416","1,777","1,961","2,064",,,"1,705","1,901","1,961","2,060","1,949","2,017","2,064","2,059","2,114","2,200"
Accounts Payable,113.0,94.9,141.9,175.1,182.1,271.5,301.1,223.1,,,224.2,356.4,301.1,333.4,253.6,247.1,223.1,187.5,308.8,323.3
Accrued Expenses,25.8,33.5,37.1,41.2,57.5,67.5,63.7,56.3,,,46.9,54.5,63.7,40.8,49.8,47.9,56.3,32.4,39.6,50.8
Debt Due,0.00,0.00,0.00,0.00,1.19,1.53,2.95,2.16,,,1.90,1.91,2.95,2.91,2.76,2.46,2.16,1.89,2.63,2.56
Total Current Liabilities,154.2,155.0,210.0,242.4,276.8,396.7,411.5,354.6,,,332.4,445.2,411.5,436.3,350.5,354.3,354.6,307.9,410.4,416.6
Long Term Debt,,,,,2.86,2.43,4.87,2.71,,,2.61,2.13,4.87,4.17,3.60,3.18,2.71,2.29,4.90,4.29
Total Liabilities,167.3,170.0,225.1,264.8,306.3,433.2,454.4,399.4,,,369.5,482.9,454.4,479.8,394.6,399.0,399.4,350.6,466.8,474.1
Common Stock,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,,,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Additional Paid-In Capital,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,,,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8,136.8
Retained Earnings (Accumulated Deficit),463.2,536.8,619.7,695.5,892.6,"1,127","1,290","1,448",,,"1,119","1,201","1,290","1,364","1,337","1,401","1,448","1,491","1,431","1,509"
Shareholders' Equity,680.0,753.6,836.5,912.3,"1,109","1,344","1,507","1,665",,,"1,335","1,418","1,507","1,581","1,554","1,618","1,665","1,708","1,648","1,726"
Cash from Operating Activities,34.5,66.3,132.9,118.1,312.8,336.1,309.8,233.7,,,114.4,218.2,38.4,39.1,34.6,88.5,71.6,57.6,147.2,-21.1
Cash from Investing Activities,7.08,-73.5,36.5,-116.3,-162.1,-413.0,10.0,-305.6,,,122.0,-146.6,-71.3,68.5,-175.3,28.1,-226.8,16.1,-86.7,-52.0
Cash from Financing Activities,-16.0,-20.0,-28.0,-36.0,-42.9,-85.6,-115.4,-103.1,,,-107.4,-0.49,-7.04,-0.79,-100.1,-1.40,-0.84,-0.74,-100.7,-0.75
Net Change in Cash,25.5,-27.2,141.4,-34.2,107.8,-162.6,204.3,-175.1,,,129.0,71.0,-40.0,106.7,-240.7,115.1,-156.2,73.1,-40.3,-74.1
Free Cashflows,21.6,30.8,107.3,34.5,208.6,259.8,132.8,-43.7,,,68.4,159.4,1.35,5.85,-38.9,-27.5,16.9,-25.6,122.9,-46.9
Free Cashflow per Share,0.27,0.38,1.34,0.43,2.61,3.25,1.66,-0.55,,,0.85,1.99,0.017,0.073,-0.49,-0.34,0.21,-0.32,1.54,-0.59
