,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,9.75,10.6,7.89,8.36,5.48,6.48,6.53,6.18,,,5.95,7.15,7.45,6.28,5.80,5.68,5.28,6.25,6.95,5.95
Earnings per Share,-0.48,0.87,0.38,1.33,0.41,0.27,0.65,0.33,,,-0.036,0.006,0.22,0.075,-0.032,0.17,0.12,0.20,0.28,0.34
Revenue per Share,5.35,4.42,6.29,6.49,6.04,4.86,5.58,5.97,,,1.08,1.30,2.20,1.36,1.37,1.49,1.75,1.61,1.52,1.50
Dividend per Share,0.20,0.29,0.29,0.020,0.45,,0.30,0.60,,,0.10,0.00,0.20,0.00,0.20,0.20,0.20,,,0.20
Capital Expenditures per Share,2.55,3.68,2.76,0.89,0.56,1.68,0.59,0.28,,,0.17,0.062,0.16,0.055,0.075,0.091,0.061,0.076,0.036,0.066
Book Value per Share,3.85,4.76,4.64,5.97,6.05,5.91,6.46,6.19,,,6.33,6.24,6.46,6.53,6.15,6.11,6.19,6.51,6.60,6.94
Price to Earnings Ratio,,14.6,18.2,7.02,12.8,17.8,9.92,15.2,,,11.5,16.6,9.92,23.9,19.8,12.5,15.2,10.8,8.97,6.24
Price to Book Value Ratio,1.59,2.45,1.46,1.39,0.90,0.88,1.02,0.82,,,0.96,1.14,1.02,0.78,0.89,0.77,0.82,1.01,1.01,0.73
EV to EBITDA,17.2,39.9,62.4,25.6,16.6,14.9,11.7,10.2,,,19.8,21.8,11.7,10.5,8.17,8.25,10.2,10.3,10.1,10.3
Dividend Payout Ratio,-40.4%,33.7%,76.9%,1.5%,109.8%,,46.2%,180.6%,,,21.9%,0.0%,30.8%,0.0%,75.2%,47.0%,60.2%,,,21.0%
Common Shares Outstanding,"1,183","1,397","1,460","1,790","1,967","2,020","2,020","2,020",,,"2,020","2,020","2,020","2,020","2,020","2,020","2,020","2,020","2,020","2,020"
Total Revenue,"6,328","6,171","9,183","11,612","11,890","9,829","11,277","12,067",,,"2,183","2,632","4,443","2,747","2,772","3,004","3,536","3,252","3,070","3,031"
"Cost of Revenue, Total","4,910","4,726","8,352","9,445","9,046","7,642","8,180","9,189",,,"1,769","2,093","2,713","2,074","2,226","2,389","2,500","2,528","2,541","2,456"
Gross Profit,"1,417","1,445",831.1,"2,167","2,844","2,187","3,097","2,878",,,414.0,538.9,"1,730",673.1,545.7,615.2,"1,036",724.2,529.2,575.2
"Selling/General/Administrative Expenses, Total",887.2,"1,046",971.4,623.0,689.0,593.1,818.2,739.2,,,163.1,122.2,394.5,159.9,153.0,138.0,288.3,179.3,165.0,152.2
Operating Income,530.2,399.1,-140.3,"1,544","2,155","1,594","2,278","2,139",,,250.9,416.6,"1,336",513.3,392.7,477.1,747.8,544.8,364.3,423.0
Net Income,-553.9,"1,194",580.7,"2,048",697.5,282.0,"1,313",671.2,,,-73.3,12.0,438.0,152.4,-65.4,334.7,249.4,411.6,569.6,695.3
EBITDA,"1,168",959.4,459.7,"2,483","4,504","3,176","3,480","3,465",,,523.8,735.8,"1,678",837.3,720.7,813.2,"1,097",870.1,694.6,756.2
Gross Profit Margin,22.4%,23.4%,9.1%,18.7%,23.9%,22.3%,27.5%,23.8%,,,19.0%,20.5%,38.9%,24.5%,19.7%,20.5%,29.3%,22.3%,17.2%,19.0%
Operating Margin,8.4%,6.5%,-1.5%,13.3%,18.1%,16.2%,20.2%,17.7%,,,11.5%,15.8%,30.1%,18.7%,14.2%,15.9%,21.1%,16.8%,11.9%,14.0%
Net Profit Margin,-8.8%,19.3%,6.3%,17.6%,5.9%,2.9%,11.6%,5.6%,,,-3.4%,0.5%,9.9%,5.5%,-2.4%,11.1%,7.1%,12.7%,18.6%,22.9%
Return on Assets,-2.3%,4.0%,1.8%,4.0%,1.0%,0.4%,2.1%,1.5%,,,2.1%,2.0%,2.9%,1.2%,1.2%,1.9%,1.5%,2.0%,3.3%,4.0%
Return on Equity,-12.2%,18.0%,8.6%,19.2%,5.9%,2.4%,10.1%,5.4%,,,-0.6%,0.1%,3.4%,1.2%,-0.5%,2.7%,2.0%,3.1%,4.3%,5.0%
Return on Total Capital,-4.4%,6.1%,2.8%,5.1%,1.6%,1.0%,4.0%,2.2%,,,3.0%,2.8%,4.0%,1.6%,1.7%,2.8%,2.2%,2.8%,4.7%,5.8%
