,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,22.3,21.4,22.0,15.7,10.3,,,20.1,19.7,18.6,17.1,15.5,13.0,11.4,9.45,8.65,8.43
Earnings per Share,,2.00,2.54,2.80,2.36,2.74,1.89,0.37,,,0.73,0.56,0.58,0.059,0.26,0.005,0.052,-0.24,0.050,0.085
Revenue per Share,,33.4,32.1,30.8,32.7,31.9,28.4,27.5,,,7.95,7.42,7.58,7.01,7.12,7.03,6.31,5.54,8.67,6.34
Dividend per Share,,0.00,0.00,0.00,1.12,1.17,1.00,0.50,,,,,1.00,,,,0.50,,,
Capital Expenditures per Share,,1.38,1.33,1.32,1.67,0.54,1.53,0.29,,,0.42,0.92,0.12,0.064,0.032,0.059,0.14,0.062,0.018,0.021
Book Value per Share,,8.62,10.2,11.5,15.2,16.7,15.5,14.9,,,15.4,15.9,15.5,15.4,15.3,14.8,14.9,14.5,13.6,13.6
Price to Earnings Ratio,,,,,7.75,8.40,9.92,28.2,,,7.55,7.88,9.92,8.70,9.68,13.2,28.2,112.8,,
Price to Book Value Ratio,,,,,1.36,1.36,1.12,0.66,,,1.26,1.19,1.12,1.06,0.91,0.74,0.66,0.59,0.61,0.58
EV to EBITDA,,,0.00,0.00,4.94,4.68,5.73,11.0,,,4.17,4.92,5.73,5.12,6.30,7.39,11.0,13.3,12.6,10.5
Dividend Payout Ratio,,0.0%,0.0%,0.0%,47.4%,42.7%,52.8%,134.3%,,,,,52.8%,,,,134.3%,,,
Common Shares Outstanding,,101.2,101.2,101.2,101.2,101.2,101.2,101.2,,,101.2,101.2,101.2,101.2,101.2,101.2,101.2,101.2,101.2,101.2
Total Revenue,,"3,383","3,247","3,120","3,308","3,233","2,873","2,779",,,804.0,750.4,767.5,709.3,720.2,711.1,638.6,560.7,877.1,641.9
"Cost of Revenue, Total",,"3,039","2,790","2,523","2,774","2,608","2,342","2,434",,,654.1,610.8,613.1,615.3,627.3,637.7,554.1,528.1,793.0,570.0
Gross Profit,,344.4,457.0,596.8,534.0,625.2,531.3,344.9,,,149.9,139.7,154.4,94.0,92.9,73.4,84.6,32.6,84.0,71.8
"Selling/General/Administrative Expenses, Total",,105.6,150.9,267.1,248.4,296.4,294.6,290.3,,,62.3,72.5,79.3,81.8,71.2,70.3,74.9,53.6,73.1,57.1
Operating Income,,245.8,310.3,335.7,287.3,328.8,236.7,54.6,,,87.6,67.1,75.1,12.2,21.8,3.11,9.66,-21.0,11.0,14.7
Net Income,,202.1,257.4,283.0,233.0,277.0,191.8,37.7,,,74.0,56.9,58.6,5.97,25.9,0.54,5.29,-23.9,5.06,8.55
EBITDA,,271.3,341.7,376.3,344.5,394.6,300.3,121.9,,,103.3,83.0,91.1,28.8,38.6,20.1,26.6,-4.54,27.3,30.5
Gross Profit Margin,,10.2%,14.1%,19.1%,16.1%,19.3%,18.5%,12.4%,,,18.6%,18.6%,20.1%,13.3%,12.9%,10.3%,13.2%,5.8%,9.6%,11.2%
Operating Margin,,7.3%,9.6%,10.8%,8.7%,10.2%,8.2%,2.0%,,,10.9%,8.9%,9.8%,1.7%,3.0%,0.4%,1.5%,-3.8%,1.2%,2.3%
Net Profit Margin,,6.0%,7.9%,9.1%,7.0%,8.6%,6.7%,1.4%,,,9.2%,7.6%,7.6%,0.8%,3.6%,0.1%,0.8%,-4.3%,0.6%,1.3%
Return on Assets,,15.4%,19.6%,19.3%,13.0%,13.9%,9.5%,1.8%,,,14.0%,12.5%,9.6%,10.1%,7.8%,4.7%,1.8%,0.4%,-0.6%,-0.3%
Return on Equity,,23.2%,24.8%,24.3%,15.1%,16.4%,12.2%,2.5%,,,4.8%,3.5%,3.7%,0.4%,1.7%,0.0%,0.4%,-1.6%,0.4%,0.6%
Return on Total Capital,,23.2%,24.8%,24.3%,15.1%,16.4%,12.2%,2.5%,,,17.0%,15.1%,12.2%,12.6%,9.5%,6.1%,2.5%,0.5%,-0.9%,-0.4%
