,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,3.16,2.07,2.06,2.78,3.35,10.3,8.15,6.67,,,13.3,13.8,9.80,7.35,9.45,9.25,8.55,7.85,6.90,5.22
Earnings per Share,0.43,0.020,-0.37,-0.24,0.33,0.28,0.77,0.67,,,0.17,0.21,0.20,0.050,0.17,0.27,0.18,0.11,0.040,0.063
Revenue per Share,19.4,19.0,17.2,14.3,14.9,17.2,18.2,18.1,,,4.26,4.43,4.89,4.37,4.29,4.61,4.78,4.43,3.69,3.53
Dividend per Share,0.10,,,,0.17,0.14,0.31,0.25,,,0.037,0.00,0.27,,,,0.25,,,
Capital Expenditures per Share,0.61,0.75,0.23,0.27,0.22,0.16,0.36,0.43,,,0.070,0.082,0.16,0.10,0.098,0.078,0.15,0.085,0.13,0.12
Book Value per Share,3.59,3.90,3.54,3.38,3.72,4.09,4.68,5.09,,,4.31,4.48,4.68,4.73,4.65,4.92,5.09,5.20,5.09,5.15
Price to Earnings Ratio,6.47,124.0,,,8.76,11.9,11.8,11.8,,,15.2,13.8,11.8,8.88,14.0,11.8,11.8,9.61,10.6,10.8
Price to Book Value Ratio,0.80,0.61,0.52,0.65,0.88,0.86,1.54,1.54,,,3.69,2.14,1.54,1.06,2.06,1.39,1.54,1.40,1.10,0.83
EV to EBITDA,9.08,31.1,35.6,43.2,8.19,9.86,11.6,10.0,,,10.7,13.5,11.6,10.2,11.3,9.76,10.0,8.92,8.85,8.10
Dividend Payout Ratio,23.4%,,,,50.0%,49.1%,39.7%,37.5%,,,6.0%,0.0%,34.9%,,,,37.4%,,,
Common Shares Outstanding,542.7,542.7,542.7,542.7,542.7,542.7,542.7,542.7,,,542.7,542.7,542.7,542.7,542.7,542.7,542.7,542.7,542.7,542.7
Total Revenue,"10,512","10,302","9,317","7,760","8,094","9,348","9,888","9,798",,,"2,311","2,404","2,654","2,369","2,330","2,504","2,595","2,402","2,002","1,914"
"Cost of Revenue, Total","9,614","9,800","8,901","7,327","7,175","8,434","8,721","8,642",,,"2,049","2,101","2,391","2,161","2,043","2,158","2,279","2,171","1,809","1,734"
