,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,4.63,5.05,4.23,3.85,5.04,6.68,4.90,3.52,,,7.43,6.35,5.50,4.77,4.81,4.27,4.20,3.98,3.54,3.23
Earnings per Share,0.15,0.46,0.36,0.16,0.31,0.52,0.42,0.26,,,0.15,0.13,0.021,0.057,0.099,0.073,0.027,-0.025,0.023,0.072
Revenue per Share,3.39,3.91,3.74,3.71,3.73,3.84,3.56,3.32,,,0.98,0.95,0.76,0.71,0.87,0.89,0.85,0.72,0.82,0.83
Dividend per Share,0.14,0.28,0.31,0.10,0.20,0.35,0.34,0.21,,,0.14,0.00,0.20,,0.10,0.00,0.11,,,
Capital Expenditures per Share,0.069,0.10,0.13,0.10,0.067,0.19,0.16,0.18,,,0.045,0.018,0.024,0.041,0.030,0.052,0.056,0.062,0.067,0.038
Book Value per Share,3.07,3.41,3.48,3.33,3.54,3.85,3.79,3.74,,,3.78,3.76,3.79,3.84,3.74,3.82,3.74,3.71,3.62,3.69
Price to Earnings Ratio,23.8,10.9,12.1,24.6,12.6,10.6,12.6,16.1,,,12.4,11.9,12.6,11.7,14.1,16.2,16.1,21.2,32.5,27.6
Price to Book Value Ratio,1.06,1.39,1.16,1.06,1.05,1.32,1.33,1.09,,,1.79,1.49,1.33,1.05,1.16,1.03,1.09,1.00,0.86,0.74
EV to EBITDA,8.73,6.38,6.02,7.24,4.38,5.50,8.34,9.86,,,7.41,8.77,8.34,10.4,12.3,11.9,9.86,11.5,13.4,14.7
Dividend Payout Ratio,95.6%,61.3%,87.0%,63.1%,63.8%,67.9%,80.8%,82.1%,,,27.0%,0.0%,47.5%,,32.8%,0.0%,43.0%,,,
Common Shares Outstanding,381.1,381.1,381.1,381.1,381.1,381.1,381.1,381.1,,,381.1,381.1,381.1,381.1,381.1,381.1,381.1,381.1,381.1,381.1
Total Revenue,"1,293","1,492","1,427","1,414","1,420","1,466","1,358","1,266",,,372.2,361.3,291.2,271.1,333.5,338.5,322.5,273.1,312.6,314.9
"Cost of Revenue, Total","1,049","1,111","1,113","1,141","1,076","1,062","1,035","1,019",,,271.5,276.3,251.7,228.7,268.7,259.8,261.8,250.5,276.7,260.9
Gross Profit,244.3,380.7,313.6,272.7,344.2,403.3,323.3,246.6,,,100.7,85.1,39.5,42.4,64.8,78.7,60.6,22.5,35.9,54.0
"Selling/General/Administrative Expenses, Total",207.9,201.6,193.7,192.3,178.0,181.3,175.1,162.5,,,43.2,43.5,46.3,38.0,40.6,40.7,43.2,37.3,40.5,39.2
Operating Income,36.3,179.1,119.9,80.3,166.1,222.1,148.3,84.0,,,57.6,41.5,-6.76,4.44,24.2,38.0,17.4,-14.8,-4.65,14.8
Net Income,55.8,174.1,135.8,60.4,119.6,196.4,160.4,97.5,,,56.8,48.7,7.89,21.6,37.9,27.7,10.3,-9.34,8.89,27.5
EBITDA,103.3,240.8,179.4,140.6,216.8,261.0,191.7,127.0,,,69.1,53.4,2.99,15.2,37.7,50.1,24.7,-1.22,7.54,24.1
Gross Profit Margin,18.9%,25.5%,22.0%,19.3%,24.2%,27.5%,23.8%,19.5%,,,27.1%,23.5%,13.6%,15.6%,19.4%,23.2%,18.8%,8.2%,11.5%,17.2%
Operating Margin,2.8%,12.0%,8.4%,5.7%,11.7%,15.2%,10.9%,6.6%,,,15.5%,11.5%,-2.3%,1.6%,7.3%,11.2%,5.4%,-5.4%,-1.5%,4.7%
Net Profit Margin,4.3%,11.7%,9.5%,4.3%,8.4%,13.4%,11.8%,7.7%,,,15.3%,13.5%,2.7%,8.0%,11.4%,8.2%,3.2%,-3.4%,2.8%,8.7%
Return on Assets,4.2%,12.8%,9.4%,4.3%,8.3%,12.6%,10.0%,6.2%,,,12.0%,11.5%,10.2%,8.5%,7.3%,5.9%,6.2%,4.3%,2.5%,2.4%
Return on Equity,4.8%,13.4%,10.2%,4.8%,8.9%,13.4%,11.1%,6.8%,,,3.9%,3.4%,0.5%,1.5%,2.7%,1.9%,0.7%,-0.7%,0.6%,2.0%
Return on Total Capital,4.8%,13.4%,10.2%,4.8%,8.9%,13.4%,11.1%,6.8%,,,13.7%,12.7%,11.1%,9.2%,8.1%,6.5%,6.8%,4.7%,2.7%,2.6%
SG&A to Sale,16.1%,13.5%,13.6%,13.6%,12.5%,12.4%,12.9%,12.8%,,,11.6%,12.0%,15.9%,14.0%,12.2%,12.0%,13.4%,13.7%,13.0%,12.5%
Depreciation & Amortisation,67.0,61.7,59.5,60.2,50.7,38.9,43.4,42.9,,,11.5,11.9,9.75,10.8,13.5,12.2,7.28,13.5,12.2,9.33
Tax Rate,8.1%,16.5%,13.3%,14.3%,21.2%,19.5%,18.9%,18.2%,,,19.9%,19.9%,-7.0%,18.1%,18.9%,18.1%,16.2%,-1.1%,-20.7%,18.4%
Current Ratio,11.0,9.07,11.5,12.9,11.6,11.8,13.4,12.9,,,9.85,13.5,13.4,13.8,9.70,11.0,12.9,15.6,13.3,15.8
Quick Ratio,3.12,2.81,5.89,5.21,4.40,3.07,4.50,3.21,,,3.47,4.28,4.50,4.52,3.72,3.69,3.21,4.12,2.77,3.63
Days Inventory Outstanding,112.4,113.9,114.2,124.2,150.7,136.9,137.4,187.5,,,160.9,163.3,162.1,176.5,197.2,217.2,226.9,214.7,201.7,187.8
Days Sale Outstanding,23.8,27.7,34.7,30.1,34.5,29.4,33.1,33.5,,,39.0,40.1,33.1,34.0,52.8,53.2,33.5,35.7,46.6,43.1
Days Payable Outstanding,12.8,12.3,12.5,11.6,11.8,10.9,9.85,11.0,,,15.8,14.8,9.53,9.85,16.2,18.7,13.7,10.3,11.0,11.6
Cash Conversion Cycle,124.8,125.2,133.9,145.4,171.4,158.3,160.5,209.5,,,177.2,193.5,189.7,200.6,219.0,255.7,257.0,241.1,229.3,223.7
Debt to Asset Ratio,0.081,0.099,0.088,0.086,0.094,0.092,0.084,0.086,,,0.10,0.084,0.084,0.082,0.10,0.094,0.086,0.078,0.093,0.086
Debt to Equity Ratio,0.088,0.11,0.096,0.094,0.10,0.10,0.091,0.094,,,0.11,0.092,0.091,0.090,0.12,0.10,0.094,0.085,0.10,0.094
Interest Coverage Ratio,,,,,,,652.0,406.6,,,787.1,672.7,,78.3,451.8,758.8,375.7,,,265.7
Cash and Short Term Investments,417.4,559.9,581.9,468.9,559.8,755.8,556.9,312.5,,,556.9,466.9,556.9,448.5,393.7,298.4,312.5,285.4,286.8,330.2
"Total Receivables, Net",84.4,113.1,135.6,116.4,134.3,118.2,123.2,116.1,,,151.7,152.0,123.2,120.6,181.9,179.9,116.1,123.9,159.3,144.5
Total Inventory,336.3,356.8,339.5,436.7,451.9,345.1,433.6,613.2,,,427.6,485.3,433.6,560.8,547.1,653.6,613.2,611.5,547.5,532.9
Total Current Assets,843.6,"1,030","1,057","1,022","1,146","1,219","1,115","1,073",,,"1,140","1,107","1,115","1,132","1,127","1,135","1,073","1,037","1,005","1,019"
"Property/Plant/Equipment, Total - Net",407.2,381.3,368.0,347.2,305.9,330.3,352.7,379.0,,,357.7,352.7,352.7,357.1,357.5,365.1,379.0,391.8,407.1,410.3
Total Assets,"1,273","1,442","1,454","1,387","1,489","1,618","1,576","1,559",,,"1,604","1,567","1,576","1,597","1,592","1,606","1,559","1,535","1,522","1,539"
Accounts Payable,35.6,39.1,36.8,35.4,34.0,29.3,26.5,35.0,,,55.1,27.5,26.5,29.0,62.0,41.5,35.0,23.5,39.6,27.2
Accrued Expenses,33.5,50.3,44.4,38.5,41.7,43.2,38.2,34.3,,,29.4,34.8,38.2,30.4,34.0,36.4,34.3,29.7,27.5,25.2
Debt Due,0.00,0.00,0.00,0.00,0.00,0.00,0.84,0.96,,,0.80,0.82,0.84,0.91,0.93,0.94,0.96,1.51,1.53,1.55
Total Current Liabilities,76.9,113.5,92.0,79.2,98.7,103.5,83.0,83.0,,,115.7,82.2,83.0,82.1,116.2,103.0,83.0,66.5,75.4,64.6
Long Term Debt,,,,,,,2.71,1.69,,,3.17,2.94,2.71,2.41,2.18,1.94,1.69,3.04,2.73,2.33
Total Liabilities,103.2,143.1,127.3,119.5,139.7,148.4,131.9,134.3,,,164.9,132.1,131.9,131.3,164.8,151.7,134.3,119.7,142.3,131.7
Common Stock,381.1,381.1,381.1,381.1,381.1,381.1,381.1,381.1,,,381.1,381.1,381.1,381.1,381.1,381.1,381.1,381.1,381.1,381.1
Additional Paid-In Capital,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,,,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0
Retained Earnings (Accumulated Deficit),721.1,849.5,877.7,818.4,899.8,"1,020",994.6,975.6,,,990.3,985.7,994.6,"1,016",977.9,"1,006",975.6,966.2,930.7,958.2
Shareholders' Equity,"1,170","1,299","1,327","1,267","1,349","1,469","1,444","1,425",,,"1,439","1,435","1,444","1,465","1,427","1,455","1,425","1,415","1,380","1,407"
