,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,0.84,1.00,2.22,2.44,1.83,1.71,1.22,1.03,,,1.80,1.69,1.38,1.15,1.09,1.05,1.09,1.02,1.00,0.94
Earnings per Share,0.11,0.13,0.11,0.082,0.097,0.11,0.11,0.091,,,0.030,0.027,0.017,0.029,0.028,0.020,0.015,0.025,0.013,0.022
Revenue per Share,0.29,0.30,0.32,0.35,0.38,0.41,0.44,0.44,,,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.10,0.10
Dividend per Share,,,0.004,0.005,0.029,0.009,0.050,,,,,,0.050,,,,,,,
Capital Expenditures per Share,0.019,0.005,0.004,0.046,0.006,0.006,0.010,0.000,,,0.000,0.000,0.009,0.000,0.000,0.000,0.000,0.001,0.000,0.000
Book Value per Share,1.05,1.19,1.30,1.38,1.47,1.55,1.64,1.68,,,1.60,1.63,1.64,1.67,1.65,1.67,1.68,1.71,1.73,1.75
Price to Earnings Ratio,6.03,8.37,7.12,36.7,14.5,15.3,13.0,11.8,,,13.6,13.0,13.0,10.9,10.6,10.6,11.8,10.7,13.7,11.9
Price to Book Value Ratio,0.56,0.92,0.65,1.58,1.11,1.21,0.75,0.61,,,1.13,0.87,0.75,0.60,0.65,0.57,0.61,0.59,0.56,0.50
EV to EBITDA,15.4,16.3,19.6,47.3,21.4,26.5,27.1,15.4,,,26.6,28.9,27.1,25.9,18.6,22.8,15.4,15.5,30.5,25.2
Dividend Payout Ratio,,,4.0%,5.6%,30.1%,8.2%,47.3%,,,,,,47.3%,,,,,,,
Common Shares Outstanding,"1,065","1,065","1,065","1,065","1,065","1,065","1,065","1,065",,,"1,065","1,065","1,065","1,065","1,065","1,065","1,065","1,065","1,065","1,065"
Total Revenue,288.0,309.5,302.9,318.7,361.5,381.5,402.9,393.2,,,105.0,103.1,96.5,105.0,104.0,92.4,92.2,101.7,91.9,106.0
"Cost of Revenue, Total",,,,,,,,,,,,,,,,,,,,
Gross Profit,275.2,296.5,291.0,289.7,319.2,306.2,338.8,346.2,,,87.0,87.3,78.9,91.6,93.1,80.5,81.0,91.4,83.4,95.7
"Selling/General/Administrative Expenses, Total",174.0,183.2,219.2,249.8,276.2,275.6,298.8,312.1,,,74.6,76.9,80.2,77.8,77.7,75.9,81.0,80.5,81.2,85.4
Operating Income,166.1,174.6,141.0,110.7,128.5,148.2,142.9,123.9,,,41.0,36.6,23.2,39.3,38.7,26.6,19.3,33.0,20.5,29.8
Net Income,115.4,133.8,112.4,87.2,102.9,118.2,112.5,96.4,,,32.3,28.5,18.4,30.5,29.4,20.8,15.8,26.6,13.8,23.4
EBITDA,172.8,181.1,147.7,115.8,133.8,153.2,147.9,128.9,,,42.2,37.8,24.6,40.6,39.9,27.8,20.5,34.2,21.6,31.0
Gross Profit Margin,89.8%,91.7%,85.6%,78.1%,78.3%,70.8%,72.8%,73.7%,,,73.3%,74.0%,65.9%,78.0%,79.1%,67.9%,69.4%,80.3%,76.9%,86.5%
