,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.32,1.68,2.00,2.07,1.38,1.24,1.04,0.94,,,1.23,1.16,1.10,0.98,0.97,0.95,0.98,1.00,1.03,0.93
Earnings per Share,0.15,0.073,0.085,0.092,0.10,0.017,0.015,0.077,,,0.001,0.009,0.001,0.005,0.016,0.009,0.048,0.026,-0.008,0.012
Revenue per Share,1.65,1.26,1.35,1.48,1.72,1.15,1.17,1.43,,,0.29,0.30,0.29,0.32,0.33,0.25,0.53,0.33,0.18,0.30
Dividend per Share,0.067,0.033,0.032,0.035,0.005,,,0.030,,,,,,,,,0.030,,,
Capital Expenditures per Share,0.010,0.009,0.011,0.004,0.005,0.009,0.005,0.004,,,0.001,0.003,0.001,0.001,0.001,0.000,0.002,0.001,0.001,0.001
Book Value per Share,1.78,1.79,1.84,1.90,1.97,1.98,2.00,2.08,,,1.99,1.99,2.00,2.00,2.02,2.03,2.08,2.10,2.07,2.08
Price to Earnings Ratio,7.94,19.2,13.6,22.3,14.2,73.3,68.2,12.3,,,236.3,58.5,68.2,61.6,30.3,29.1,12.3,10.2,13.5,11.2
Price to Book Value Ratio,0.68,0.74,0.64,0.84,0.74,0.61,0.51,0.46,,,0.59,0.53,0.51,0.45,0.49,0.43,0.46,0.48,0.48,0.40
EV to EBITDA,5.14,15.5,15.2,21.0,11.9,29.8,24.1,10.2,,,37.8,25.9,24.1,21.0,15.9,16.8,10.2,8.77,12.9,11.1
Dividend Payout Ratio,43.1%,45.7%,38.3%,38.4%,5.3%,,,38.8%,,,,,,,,,38.8%,,,
Common Shares Outstanding,"1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245",,,"1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245","1,245"
Total Revenue,"2,049","1,574","1,681","1,844","2,137","1,436","1,457","1,782",,,358.4,377.9,359.6,402.8,405.8,313.6,660.1,408.5,219.9,370.1
"Cost of Revenue, Total","1,272","1,024","1,110","1,205","1,429",966.0,962.6,"1,182",,,244.7,240.7,237.1,266.7,260.6,199.6,455.2,260.8,145.3,226.3
Gross Profit,777.3,550.2,571.0,638.8,708.4,470.0,494.4,600.1,,,113.7,137.1,122.6,136.1,145.2,113.9,204.9,147.7,74.6,143.9
"Selling/General/Administrative Expenses, Total",395.6,403.3,415.8,436.9,460.2,378.9,395.2,428.5,,,94.6,98.4,104.5,107.1,97.6,85.5,138.3,96.6,78.5,112.7
Operating Income,381.6,147.0,155.2,201.9,248.2,91.1,99.2,171.6,,,19.1,38.7,18.1,29.0,47.6,28.4,66.6,51.0,-3.86,31.2
Net Income,192.6,90.8,105.3,114.1,124.9,20.7,18.8,96.3,,,1.27,11.2,1.05,6.73,19.6,10.7,59.3,32.8,-9.58,14.7
EBITDA,394.0,160.7,171.0,218.2,273.7,116.7,124.3,194.2,,,26.1,45.1,23.3,35.0,53.6,34.5,71.9,56.2,1.24,36.2
Gross Profit Margin,37.9%,35.0%,34.0%,34.7%,33.1%,32.7%,33.9%,33.7%,,,31.7%,36.3%,34.1%,33.8%,35.8%,36.3%,31.0%,36.2%,33.9%,38.9%
Operating Margin,18.6%,9.3%,9.2%,11.0%,11.6%,6.3%,6.8%,9.6%,,,5.3%,10.2%,5.0%,7.2%,11.7%,9.1%,10.1%,12.5%,-1.8%,8.4%
Net Profit Margin,9.4%,5.8%,6.3%,6.2%,5.8%,1.4%,1.3%,5.4%,,,0.4%,3.0%,0.3%,1.7%,4.8%,3.4%,9.0%,8.0%,-4.4%,4.0%
Return on Assets,6.0%,2.6%,2.6%,2.4%,2.4%,0.4%,0.4%,2.1%,,,0.1%,0.5%,0.4%,0.4%,0.8%,0.8%,2.2%,2.9%,2.3%,2.4%
Return on Equity,8.7%,4.1%,4.6%,4.8%,5.1%,0.8%,0.8%,3.7%,,,0.1%,0.5%,0.0%,0.3%,0.8%,0.4%,2.3%,1.3%,-0.4%,0.6%
Return on Total Capital,7.3%,3.2%,3.2%,3.2%,4.1%,0.7%,0.6%,3.5%,,,0.2%,0.7%,0.6%,0.6%,1.3%,1.3%,3.5%,4.5%,3.3%,3.4%
SG&A to Sale,19.3%,25.6%,24.7%,23.7%,21.5%,26.4%,27.1%,24.0%,,,26.4%,26.1%,29.1%,26.6%,24.0%,27.3%,21.0%,23.7%,35.7%,30.4%
Depreciation & Amortisation,12.4,13.8,15.8,16.3,25.5,25.6,25.1,22.6,,,7.02,6.35,5.28,6.02,5.97,6.02,5.36,5.16,5.10,4.98
Tax Rate,43.4%,33.5%,20.9%,20.5%,22.1%,18.8%,8.9%,15.6%,,,69.3%,-40.5%,31.9%,27.5%,24.0%,20.6%,9.5%,18.0%,27.9%,26.0%
Current Ratio,5.75,4.94,4.07,3.18,2.44,2.49,3.36,2.83,,,3.79,3.56,3.36,2.94,2.91,2.89,2.83,2.95,3.29,3.53
Quick Ratio,0.010,0.015,0.024,0.002,0.001,0.000,0.001,0.005,,,0.001,0.001,0.001,0.001,0.001,0.001,0.005,0.001,0.001,0.001
Days Inventory Outstanding,851.5,"1,147","1,246","1,354","1,195","1,752","1,719","1,271",,,"1,840","1,727","1,673","1,596","1,538","1,570","1,231","1,178","1,283","1,241"
Days Sale Outstanding,0.93,2.49,5.51,0.56,0.32,0.18,0.30,1.42,,,,0.027,0.30,0.016,0.010,0.022,1.42,0.009,0.021,0.020
Days Payable Outstanding,34.5,49.5,54.0,61.5,50.0,59.0,54.7,33.0,,,20.3,20.5,36.6,33.3,15.8,12.9,16.8,16.3,9.24,10.6
Cash Conversion Cycle,817.4,"1,093","1,193","1,286","1,155","1,694","1,668","1,247",,,"1,821","1,704","1,622","1,579","1,523","1,560","1,207","1,171","1,273","1,229"
Debt to Asset Ratio,0.33,0.40,0.48,0.55,0.51,0.52,0.48,0.39,,,0.50,0.49,0.48,0.47,0.45,0.44,0.39,0.37,0.37,0.36
Debt to Equity Ratio,0.49,0.66,0.93,1.20,1.05,1.07,0.91,0.64,,,1.01,0.96,0.91,0.89,0.81,0.77,0.64,0.58,0.59,0.57
Interest Coverage Ratio,20.4,13.9,7.02,3.46,2.83,1.39,1.26,2.98,,,1.28,1.26,1.09,1.47,2.19,1.90,62.2,4.65,,2.74
Cash and Short Term Investments,97.3,45.8,31.3,12.7,30.4,13.9,22.7,30.2,,,35.2,38.5,22.7,61.5,25.0,19.1,30.2,72.8,18.1,72.7
"Total Receivables, Net",5.21,10.7,25.4,2.85,1.88,0.72,1.19,6.94,,,,0.11,1.19,0.064,0.043,0.088,6.94,0.045,0.091,0.091
Total Inventory,"3,014","3,417","4,162","4,777","4,580","4,696","4,370","3,864",,,"4,567","4,452","4,370","4,283","4,187","4,108","3,864","3,730","3,731","3,664"
Total Current Assets,"3,124","3,510","4,253","4,819","4,628","4,731","4,401","3,906",,,"4,613","4,500","4,401","4,353","4,221","4,138","3,906","3,810","3,757","3,746"
