,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.11,4.80,3.95,3.87,5.67,4.64,3.77,2.89,,,4.50,4.44,4.26,4.01,3.95,3.59,3.31,3.32,3.33,2.64
Earnings per Share,-0.33,-0.005,0.012,-0.030,0.16,0.23,0.75,0.35,,,0.42,0.075,0.15,0.11,0.094,0.026,0.11,0.067,0.067,0.036
Revenue per Share,1.21,1.21,1.52,1.97,2.44,1.71,1.98,2.93,,,0.43,0.50,0.54,0.65,0.67,0.69,0.93,0.92,1.05,0.96
Dividend per Share,,,,,0.015,0.079,0.13,0.13,,,,,0.13,,,,0.13,,,
Capital Expenditures per Share,0.053,0.32,1.12,0.68,0.21,0.00,0.00,0.00,,,-0.36,-0.040,-0.028,0.00,0.68,0.25,-0.92,0.00,0.00,0.60
Book Value per Share,1.96,1.97,1.93,1.85,2.01,2.70,3.78,3.64,,,3.33,3.50,3.78,3.76,3.60,3.62,3.64,3.69,3.60,3.64
Price to Earnings Ratio,,,298.7,,27.5,18.5,5.58,9.84,,,6.30,6.67,5.58,5.19,9.10,9.26,9.84,10.3,12.7,7.77
Price to Book Value Ratio,0.58,1.90,1.95,1.62,3.19,1.49,1.04,0.89,,,1.38,1.19,1.04,0.96,1.10,0.84,0.89,0.86,0.86,0.59
EV to EBITDA,0.94,-27.9,37.8,21.4,10.5,20.7,47.6,14.0,,,34.5,76.4,47.6,46.2,21.6,16.6,14.0,15.0,14.5,14.9
Dividend Payout Ratio,,,,,9.6%,33.6%,16.8%,38.3%,,,,,16.8%,,,,38.3%,,,
Common Shares Outstanding,250.0,250.0,250.0,250.0,250.0,500.0,500.0,500.0,,,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
Total Revenue,301.7,301.4,378.9,492.2,610.0,857.5,988.4,"1,466",,,212.9,251.0,268.4,322.8,337.4,342.9,462.9,458.8,525.9,479.1
