,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,87.1,104.3,143.5,150.8,163.5,152.5,173.0,162.3,,,152.0,150.0,151.5,162.5,181.5,173.3,173.3,160.0,149.5,150.5
Earnings per Share,9.44,10.3,11.1,10.2,9.80,10.1,7.74,7.31,,,2.04,1.13,1.82,1.82,1.96,1.98,1.56,2.47,2.24,2.27
Revenue per Share,56.9,57.3,58.5,59.1,59.5,61.3,62.4,62.2,,,15.9,14.9,15.2,16.5,16.2,15.0,14.6,14.9,15.9,14.3
Dividend per Share,4.50,5.00,5.50,5.50,5.00,5.00,4.50,4.25,,,,,4.50,,,,4.25,,,
Capital Expenditures per Share,0.19,0.20,7.76,0.31,0.42,0.61,0.24,0.18,,,0.063,0.11,0.027,0.034,0.056,0.043,0.043,0.011,0.024,0.001
Book Value per Share,69.4,75.4,81.4,86.1,90.4,95.5,98.3,101.1,,,95.3,96.4,98.3,100.1,97.5,99.5,101.1,103.5,101.5,103.8
Price to Earnings Ratio,8.08,9.18,9.95,14.4,15.5,14.8,19.1,22.8,,,15.1,17.0,19.1,21.9,24.8,23.5,22.8,18.1,17.6,18.0
Price to Book Value Ratio,1.18,1.37,1.49,1.71,1.66,1.57,1.51,1.65,,,1.57,1.55,1.51,1.51,1.74,1.80,1.65,1.48,1.52,1.48
EV to EBITDA,2.82,3.84,5.30,8.59,8.90,7.86,8.94,10.2,,,7.71,8.40,8.94,9.34,10.3,9.90,10.2,0.00,6.86,0.00
Dividend Payout Ratio,47.7%,48.6%,49.8%,53.9%,51.0%,49.3%,58.2%,58.1%,,,,,58.2%,,,,58.1%,,,
Common Shares Outstanding,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,,,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9
Total Revenue,"1,016","1,023","1,044","1,056","1,062","1,095","1,114","1,110",,,283.4,266.0,270.7,294.3,289.1,267.0,260.1,265.6,283.8,255.7
"Cost of Revenue, Total",698.5,710.2,734.4,761.8,773.5,792.1,825.3,828.0,,,209.6,195.0,211.0,224.8,216.7,195.2,191.2,184.6,204.0,175.1
Gross Profit,317.4,313.1,309.6,293.8,288.1,302.6,289.2,282.5,,,73.8,71.0,59.8,69.4,72.4,71.8,68.8,81.0,79.9,80.6
"Selling/General/Administrative Expenses, Total",96.7,97.1,109.0,107.8,107.5,110.1,131.0,120.8,,,31.8,44.1,23.4,31.0,31.2,31.0,27.5,27.1,32.4,30.0
Operating Income,220.6,216.0,200.5,186.0,180.6,192.4,158.2,161.7,,,42.0,26.9,36.3,38.4,41.2,40.8,41.3,53.9,47.5,50.6
Net Income,168.5,183.7,197.2,182.1,175.0,180.9,138.1,130.6,,,36.5,20.2,32.5,32.5,35.0,35.3,27.8,44.1,40.0,40.4
EBITDA,233.1,230.2,216.6,205.4,201.7,215.4,182.5,187.2,,,47.9,33.2,42.6,44.8,47.6,47.1,47.7,59.3,53.1,60.6
Gross Profit Margin,31.2%,30.6%,29.7%,27.8%,27.1%,27.6%,25.9%,25.4%,,,26.0%,26.7%,22.1%,23.6%,25.1%,26.9%,26.5%,30.5%,28.1%,31.5%
Operating Margin,21.7%,21.1%,19.2%,17.6%,17.0%,17.6%,14.2%,14.6%,,,14.8%,10.1%,13.4%,13.1%,14.2%,15.3%,15.9%,20.3%,16.7%,19.8%
Net Profit Margin,16.6%,18.0%,18.9%,17.2%,16.5%,16.5%,12.4%,11.8%,,,12.9%,7.6%,12.0%,11.0%,12.1%,13.2%,10.7%,16.6%,14.1%,15.8%
Return on Assets,12.2%,12.5%,12.4%,10.7%,9.8%,9.7%,7.2%,6.6%,,,8.8%,7.9%,7.0%,6.1%,5.9%,6.7%,6.5%,7.0%,7.1%,7.4%
Return on Equity,13.6%,13.7%,13.6%,11.8%,10.8%,10.6%,7.9%,7.2%,,,2.1%,1.2%,1.9%,1.8%,2.0%,2.0%,1.5%,2.4%,2.2%,2.2%
Return on Total Capital,13.6%,13.7%,13.6%,11.8%,10.8%,10.6%,7.9%,7.2%,,,10.4%,9.1%,7.9%,6.8%,6.9%,7.6%,7.2%,7.7%,8.1%,8.2%
SG&A to Sale,9.5%,9.5%,10.4%,10.2%,10.1%,10.1%,11.8%,10.9%,,,11.2%,16.6%,8.7%,10.5%,10.8%,11.6%,10.6%,10.2%,11.4%,11.7%
Depreciation & Amortisation,12.5,14.2,16.0,19.3,21.0,22.9,24.2,25.5,,,5.93,6.24,6.30,6.39,6.43,6.33,6.37,5.44,5.62,10.0
Tax Rate,28.5%,22.9%,18.3%,18.8%,18.7%,18.4%,20.4%,21.3%,,,18.4%,28.4%,20.5%,19.6%,19.1%,22.0%,24.8%,17.9%,21.0%,20.3%
Current Ratio,7.55,9.38,8.00,8.86,8.11,8.97,9.52,9.63,,,6.58,7.25,9.52,6.45,7.09,7.55,9.63,8.25,8.96,8.78
Quick Ratio,3.42,6.30,5.03,7.12,6.23,4.94,6.99,4.81,,,2.77,2.86,6.99,4.40,5.38,5.74,4.81,2.27,7.07,7.12
Days Inventory Outstanding,91.5,97.1,81.1,73.5,78.0,78.7,81.0,88.3,,,89.8,101.6,96.1,88.7,88.6,88.1,91.5,94.7,84.4,79.0
Days Sale Outstanding,60.0,65.7,70.1,63.4,64.8,71.5,63.5,73.0,,,69.7,65.1,63.5,70.2,70.6,60.6,73.0,69.5,71.0,66.3
Days Payable Outstanding,50.4,43.6,45.9,48.1,50.8,51.9,45.3,42.7,,,69.8,65.0,50.2,59.2,68.3,60.2,51.7,50.7,51.6,52.1
Cash Conversion Cycle,112.3,117.8,97.2,93.0,86.5,96.3,105.0,114.1,,,87.8,111.1,117.8,79.4,97.9,94.6,116.3,110.8,110.0,91.8
Debt to Asset Ratio,0.13,0.12,0.12,0.12,0.12,0.11,0.098,0.099,,,0.14,0.13,0.098,0.14,0.13,0.12,0.099,0.11,0.11,0.11
Debt to Equity Ratio,0.15,0.13,0.14,0.13,0.13,0.12,0.11,0.11,,,0.16,0.15,0.11,0.16,0.14,0.14,0.11,0.13,0.12,0.12
Interest Coverage Ratio,,,,,,,,"29,209",,,,,,,"20,598","40,783","16,287",,,
Cash and Short Term Investments,646.5,758.6,780.5,861.7,936.9,"1,003","1,020","1,064",,,"1,014",992.6,"1,020","1,103","1,040","1,090","1,064","1,171","1,168","1,229"
"Total Receivables, Net",166.9,184.3,200.6,183.3,188.5,214.3,193.8,222.2,,,215.5,200.8,193.8,214.3,216.6,186.0,222.2,206.0,209.4,193.5
Total Inventory,198.9,178.9,147.4,159.6,171.0,170.7,195.7,204.9,,,215.2,238.8,195.7,212.7,198.8,210.4,204.9,203.7,154.8,172.2
Total Current Assets,"1,017","1,128","1,131","1,208","1,301","1,394","1,414","1,495",,,"1,458","1,443","1,414","1,542","1,468","1,502","1,495","1,582","1,533","1,595"
"Property/Plant/Equipment, Total - Net",14.6,16.5,149.3,150.2,152.9,158.9,156.1,140.0,,,157.3,157.4,156.1,155.1,154.3,153.8,140.0,139.2,138.6,135.5
Total Assets,"1,423","1,527","1,661","1,739","1,829","1,915","1,946","2,003",,,"1,981","1,980","1,946","2,071","1,994","2,023","2,003","2,085","2,033","2,084"
Accounts Payable,88.0,81.6,103.1,97.8,117.4,107.9,97.1,96.6,,,160.5,129.7,97.1,175.4,141.7,137.8,96.6,122.1,96.9,118.5
