,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,3.41,3.15,2.75,2.33,2.36,2.34,2.03,1.54,,,2.16,2.03,2.28,2.10,1.84,1.68,1.55,1.49,1.56,1.58
Earnings per Share,0.29,0.071,0.016,0.085,-0.031,-0.026,0.026,-0.22,,,-0.020,0.025,0.12,0.016,0.046,-0.16,-0.12,0.024,0.10,0.026
Revenue per Share,8.58,7.19,7.51,8.33,6.19,8.19,7.88,6.53,,,1.96,1.84,2.05,1.83,1.58,1.49,1.62,1.37,1.35,1.31
Dividend per Share,0.12,0.030,0.030,0.060,0.030,0.030,0.040,,,,,,0.040,,,,,,,
Capital Expenditures per Share,0.24,0.43,0.46,0.50,0.69,1.36,0.40,0.22,,,0.23,0.043,0.022,0.068,0.044,0.064,0.047,0.034,0.023,0.030
Book Value per Share,2.85,2.62,2.84,2.95,2.82,2.80,2.80,2.79,,,2.65,2.68,2.80,2.81,2.82,2.66,2.79,2.82,2.92,2.94
Price to Earnings Ratio,7.82,47.1,151.3,31.8,,,83.6,,,,,,83.6,14.3,8.55,69.6,,,,49.9
Price to Book Value Ratio,0.81,1.17,0.90,0.85,0.74,0.82,0.86,0.51,,,0.76,0.72,0.86,0.58,0.65,0.56,0.51,0.53,0.49,0.55
EV to EBITDA,5.91,14.2,10.4,8.01,10.9,18.0,12.0,15.3,,,33.1,25.1,12.0,8.97,6.59,9.45,15.3,14.8,11.9,7.49
Dividend Payout Ratio,40.8%,42.0%,187.5%,70.6%,-98.2%,-116.7%,156.3%,,,,,,156.3%,,,,,,,
Common Shares Outstanding,560.6,560.6,560.6,560.6,632.8,632.8,632.8,632.8,,,632.8,632.8,632.8,632.8,632.8,632.8,632.8,632.8,632.8,632.8
Total Revenue,"4,808","4,031","4,212","4,669","3,919","5,185","4,984","4,132",,,"1,240","1,167","1,297","1,159","1,002",943.5,"1,028",864.5,855.3,828.0
"Cost of Revenue, Total","4,218","3,598","3,758","4,207","3,564","4,790","4,518","3,770",,,"1,150","1,035","1,085","1,029",860.9,932.4,947.1,744.4,684.2,711.2
Gross Profit,589.0,432.0,453.7,461.8,355.2,395.0,465.6,361.9,,,89.9,131.2,212.0,129.4,140.6,11.2,80.9,120.1,171.1,116.8
"Selling/General/Administrative Expenses, Total",345.1,361.3,403.3,358.7,352.1,364.7,399.3,383.3,,,96.3,97.0,109.1,99.3,95.9,91.2,97.2,87.6,92.4,79.9
Operating Income,243.9,70.7,50.3,103.1,3.03,30.2,66.3,-21.4,,,-6.43,34.1,102.8,30.1,44.7,-80.0,-16.4,32.5,78.7,36.9
Net Income,164.9,40.0,9.05,49.9,-18.3,-16.3,16.2,-139.4,,,-12.7,15.6,76.7,10.4,28.9,-102.3,-76.5,15.2,64.1,16.6
EBITDA,395.7,225.6,214.5,276.4,205.2,227.2,273.3,187.3,,,46.4,88.0,155.4,83.1,97.3,-27.5,35.4,83.6,128.8,86.2
Gross Profit Margin,12.3%,10.7%,10.8%,9.9%,9.1%,7.6%,9.3%,8.8%,,,7.3%,11.2%,16.3%,11.2%,14.0%,1.2%,7.9%,13.9%,20.0%,14.1%
Operating Margin,5.1%,1.8%,1.2%,2.2%,0.1%,0.6%,1.3%,-0.5%,,,-0.5%,2.9%,7.9%,2.6%,4.5%,-8.5%,-1.6%,3.8%,9.2%,4.5%
Net Profit Margin,3.4%,1.0%,0.2%,1.1%,-0.5%,-0.3%,0.3%,-3.4%,,,-1.0%,1.3%,5.9%,0.9%,2.9%,-10.8%,-7.4%,1.8%,7.5%,2.0%
Return on Assets,6.0%,1.3%,0.3%,1.6%,-0.6%,-0.4%,0.3%,-3.1%,,,-2.5%,-2.1%,0.4%,2.0%,3.1%,0.3%,-3.2%,-3.0%,-2.3%,0.5%
Return on Equity,10.3%,2.7%,0.6%,3.0%,-1.0%,-0.9%,0.9%,-7.9%,,,-0.8%,0.9%,4.3%,0.6%,1.6%,-6.1%,-4.3%,0.9%,3.5%,0.9%
Return on Total Capital,8.7%,2.2%,0.5%,2.7%,-0.8%,-0.6%,0.6%,-5.8%,,,-4.6%,-3.8%,0.6%,3.5%,5.2%,0.6%,-5.8%,-5.8%,-4.3%,0.9%
SG&A to Sale,7.2%,9.0%,9.6%,7.7%,9.0%,7.0%,8.0%,9.3%,,,7.8%,8.3%,8.4%,8.6%,9.6%,9.7%,9.5%,10.1%,10.8%,9.7%
Depreciation & Amortisation,151.8,154.9,164.2,173.3,202.2,196.9,207.0,208.7,,,52.8,53.8,52.5,53.0,52.5,52.5,51.8,51.1,50.1,49.3
Tax Rate,13.0%,-29.5%,29.7%,23.2%,35.3%,-14.5%,533.0%,-0.8%,,,47.1%,-15.5%,7.8%,13.2%,1.4%,-0.2%,1.5%,-4.5%,-4.0%,7.6%
Current Ratio,1.06,0.98,0.83,0.74,0.92,0.81,0.74,0.59,,,0.68,0.72,0.74,0.67,0.65,0.60,0.59,0.55,0.57,0.50
Quick Ratio,0.30,0.24,0.34,0.31,0.29,0.28,0.28,0.18,,,0.24,0.24,0.28,0.25,0.24,0.23,0.18,0.16,0.17,0.17
Days Inventory Outstanding,45.0,68.6,53.6,33.2,44.7,59.2,65.0,62.9,,,53.9,59.3,57.2,48.5,44.6,46.5,55.6,65.3,63.5,58.3
Days Sale Outstanding,25.9,20.8,35.6,23.0,31.0,38.1,35.5,31.3,,,35.1,33.0,35.5,29.5,29.8,34.8,31.3,29.1,32.0,29.0
Days Payable Outstanding,4.30,6.41,11.2,12.0,8.63,4.26,3.81,6.87,,,11.2,8.32,3.75,3.60,6.42,9.81,11.0,9.36,9.26,8.34
Cash Conversion Cycle,61.7,87.4,65.9,50.6,68.7,85.5,99.9,89.6,,,79.7,89.7,88.8,77.3,66.9,68.5,79.4,89.5,84.1,84.3
Debt to Asset Ratio,0.47,0.49,0.50,0.44,0.50,0.63,0.61,0.61,,,0.65,0.64,0.61,0.59,0.58,0.61,0.61,0.60,0.58,0.55
Debt to Equity Ratio,0.90,0.96,0.98,0.79,1.00,1.70,1.55,1.57,,,1.84,1.74,1.55,1.41,1.38,1.54,1.57,1.49,1.38,1.23
Interest Coverage Ratio,5.93,1.72,1.26,2.85,0.081,0.65,0.94,,,,,1.67,5.07,1.66,2.66,,,1.83,4.54,2.19
Cash and Short Term Investments,90.3,87.8,90.7,117.6,97.2,75.2,97.7,134.3,,,140.1,112.4,97.7,112.5,74.9,71.5,134.3,121.6,153.1,102.7
"Total Receivables, Net",341.0,229.9,410.5,293.8,332.5,541.7,485.2,354.6,,,504.0,452.4,485.2,393.0,377.5,419.2,354.6,305.8,323.9,283.9
Total Inventory,741.3,611.7,491.7,273.3,600.1,953.9,655.1,644.1,,,764.6,760.9,655.1,487.9,492.5,503.7,644.1,603.6,547.7,438.8
Total Current Assets,"1,185",935.0,"1,003",689.4,"1,043","1,586","1,267","1,167",,,"1,451","1,355","1,267","1,060","1,019","1,067","1,167","1,083","1,072",863.9
"Property/Plant/Equipment, Total - Net","1,760","1,849","2,016","2,147","2,384","3,072","3,114","3,252",,,"3,178","3,154","3,114","3,105","3,087","3,070","3,252","3,222","3,188","3,154"
Total Assets,"3,046","2,885","3,150","2,967","3,558","4,790","4,512","4,548",,,"4,760","4,640","4,512","4,295","4,236","4,267","4,548","4,434","4,390","4,147"
Accounts Payable,56.4,70.0,160.2,117.1,51.5,60.3,34.0,108.0,,,155.0,58.8,34.0,50.8,90.2,119.7,108.0,70.8,96.9,44.2
Accrued Expenses,43.4,25.7,48.1,29.8,29.2,40.3,51.3,52.7,,,36.8,31.3,51.3,56.2,36.4,53.6,52.7,47.2,55.0,34.8
Debt Due,973.5,837.8,982.9,771.3,"1,026","1,811","1,535","1,730",,,"1,850","1,662","1,535","1,364","1,335","1,542","1,730","1,761","1,651","1,577"
Total Current Liabilities,"1,118",955.0,"1,216",936.6,"1,130","1,948","1,705","1,983",,,"2,128","1,881","1,705","1,576","1,558","1,791","1,983","1,955","1,871","1,711"
Long Term Debt,305.3,345.2,206.2,224.2,500.9,914.8,898.4,625.8,,,822.2,933.0,898.4,806.3,762.1,660.4,625.8,524.1,489.5,387.8
Total Liabilities,"1,447","1,416","1,560","1,313","1,776","3,018","2,743","2,782",,,"3,083","2,946","2,743","2,515","2,453","2,586","2,782","2,653","2,544","2,285"
Common Stock,280.3,280.3,560.6,560.6,632.8,632.8,632.8,632.8,,,632.8,632.8,632.8,632.8,632.8,632.8,632.8,632.8,632.8,632.8
Additional Paid-In Capital,249.4,249.4,249.4,249.4,412.3,412.3,412.3,412.3,,,412.3,412.3,412.3,412.3,412.3,412.3,412.3,412.3,412.3,412.3
Retained Earnings (Accumulated Deficit),598.8,561.9,264.8,297.9,245.3,232.3,228.2,63.4,,,137.2,152.8,228.2,238.6,242.2,140.0,63.4,78.6,142.7,159.2
Shareholders' Equity,"1,599","1,468","1,590","1,654","1,782","1,772","1,769","1,767",,,"1,677","1,693","1,769","1,779","1,783","1,681","1,767","1,782","1,846","1,862"
Cash from Operating Activities,-67.7,444.0,249.5,537.7,-203.3,-260.1,670.9,346.2,,,97.3,96.3,179.8,341.7,105.0,-50.6,-49.9,102.8,208.1,161.2
Cash from Investing Activities,-224.9,-241.8,-282.6,-270.4,-434.3,-856.9,-254.9,-139.6,,,-147.0,-27.7,-14.1,-43.1,-27.6,-40.3,-28.5,-21.6,-14.4,-17.6
Cash from Financing Activities,317.3,-207.5,22.8,-250.7,617.8,"1,119",-393.3,-173.8,,,134.4,-96.3,-181.8,-282.4,-114.9,87.5,136.1,-88.7,-162.2,-194.0
Net Change in Cash,24.7,-5.29,-10.3,16.7,-19.8,1.94,22.7,32.8,,,84.7,-27.7,-16.1,16.2,-37.5,-3.47,57.6,-7.51,31.5,-50.3
Free Cashflows,-203.9,202.1,-8.04,260.0,-640.9,"-1,119",415.2,205.1,,,-51.1,69.1,166.0,298.6,77.0,-91.1,-79.4,81.1,193.5,142.0
Free Cashflow per Share,-0.36,0.36,-0.014,0.46,-1.01,-1.77,0.66,0.32,,,-0.081,0.11,0.26,0.47,0.12,-0.14,-0.13,0.13,0.31,0.22
