,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,292.1,282.0,268.0,261.5,225.5,224.0,225.5,185.0,177.3,,227.0,246.0,234.5,232.5,213.5,193.0,181.3,180.3,173.0,169.3
Earnings per Share,12.7,7.50,24.3,1.69,-4.21,12.3,18.3,8.05,-22.2,,5.92,-0.28,2.43,6.60,1.13,-2.12,0.36,-4.16,-7.32,-11.1
Revenue per Share,139.4,118.3,118.1,168.3,175.6,196.2,169.1,114.4,92.2,,48.9,34.6,33.1,27.9,29.5,23.9,26.1,21.9,25.5,19.1
Dividend per Share,4.00,8.00,15.0,,,12.0,16.5,8.00,,,0.00,10.0,,,,8.00,,,,
Capital Expenditures per Share,9.30,5.89,6.68,1.70,7.44,8.85,8.43,8.24,9.05,,2.03,1.84,1.66,2.11,2.01,2.45,1.93,2.32,2.16,2.64
Book Value per Share,111.8,111.8,128.1,113.9,108.1,117.4,115.4,113.3,82.0,,116.5,115.4,117.9,114.3,115.0,113.3,113.2,101.1,93.2,82.0
Price to Earnings Ratio,6.48,43.6,9.05,160.2,,18.0,13.8,23.8,,,13.6,13.8,17.7,15.5,19.9,23.8,31.6,,,
Price to Book Value Ratio,0.69,2.59,1.57,2.21,1.91,1.68,2.03,1.57,2.06,,1.92,2.03,1.95,1.91,1.67,1.57,1.67,1.79,1.86,2.06
EV to EBITDA,0.00,35.3,-23.8,-21.6,53.4,15.1,11.5,54.3,0.00,,14.8,11.5,9.65,15.6,24.4,54.3,-94.1,-36.0,0.00,0.00
Dividend Payout Ratio,31.5%,106.6%,61.7%,,,97.8%,90.1%,99.4%,,,0.0%,54.6%,,,,99.5%,,,,
Common Shares Outstanding,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
Total Revenue,"2,928","2,484","2,481","3,534","3,688","4,120","3,551","2,403","1,937",,"1,027",726.6,696.1,585.6,620.2,501.6,547.1,460.2,534.5,401.1
"Cost of Revenue, Total","2,487","2,184","2,493","3,590","3,526","3,756","3,048","2,210","2,234",,815.4,660.4,588.7,557.3,513.0,550.7,531.5,493.0,632.7,576.5
Gross Profit,441.4,300.0,-12.2,-55.3,161.7,363.9,502.4,193.6,-297.1,,211.4,66.2,107.4,28.3,107.1,-49.1,15.5,-32.8,-98.2,-175.4
"Selling/General/Administrative Expenses, Total",186.1,198.6,244.9,270.9,210.9,206.5,220.8,206.9,197.9,,56.7,69.0,46.4,57.3,51.9,51.3,45.4,47.2,54.9,50.5
Operating Income,255.4,101.3,-257.0,-326.2,-49.2,157.5,281.7,-13.3,-495.0,,154.7,-2.81,61.0,-29.0,55.2,-100.4,-29.8,-80.0,-153.1,-225.9
Net Income,164.8,57.9,510.8,35.4,-88.5,257.7,384.5,169.0,-467.1,,124.2,-5.85,51.0,138.6,23.8,-44.4,7.66,-87.3,-153.7,-233.7
EBITDA,361.7,195.7,-179.8,-241.5,37.2,236.3,357.8,59.2,-442.8,,174.1,15.0,80.1,-10.5,73.4,-83.8,-13.8,-65.2,-139.2,-218.4
Gross Profit Margin,15.1%,12.1%,-0.5%,-1.6%,4.4%,8.8%,14.1%,8.1%,-15.3%,,20.6%,9.1%,15.4%,4.8%,17.3%,-9.8%,2.8%,-7.1%,-18.4%,-43.7%
Operating Margin,8.7%,4.1%,-10.4%,-9.2%,-1.3%,3.8%,7.9%,-0.6%,-25.6%,,15.1%,-0.4%,8.8%,-5.0%,8.9%,-20.0%,-5.5%,-17.4%,-28.6%,-56.3%
Net Profit Margin,5.6%,2.3%,20.6%,1.0%,-2.4%,6.3%,10.8%,7.0%,-24.1%,,12.1%,-0.8%,7.3%,23.7%,3.8%,-8.9%,1.4%,-19.0%,-28.8%,-58.3%
Return on Assets,5.5%,1.9%,15.1%,1.1%,-3.2%,9.3%,13.7%,6.1%,-19.6%,,11.1%,13.3%,9.3%,10.9%,7.4%,6.0%,4.5%,-3.7%,-11.3%,-21.5%
Return on Equity,7.0%,2.5%,19.0%,1.5%,-3.9%,10.5%,15.9%,7.1%,-27.1%,,5.1%,-0.2%,2.1%,5.8%,1.0%,-1.9%,0.3%,-4.1%,-7.9%,-13.6%
Return on Total Capital,6.4%,2.4%,18.5%,1.4%,-3.9%,10.5%,15.9%,7.1%,-27.1%,,13.4%,15.9%,10.8%,12.8%,8.6%,7.1%,5.3%,-4.7%,-14.2%,-27.1%
SG&A to Sale,6.4%,8.0%,9.9%,7.7%,5.7%,5.0%,6.2%,8.6%,10.2%,,5.5%,9.5%,6.7%,9.8%,8.4%,10.2%,8.3%,10.2%,10.3%,12.6%
Depreciation & Amortisation,106.4,94.3,77.3,84.7,86.4,78.9,76.2,72.4,52.2,,19.4,17.8,19.1,18.5,18.2,16.6,16.1,14.8,13.8,7.47
Tax Rate,11.5%,-0.4%,-13.1%,236.7%,-7.2%,23.8%,14.5%,-16.3%,-7.9%,,18.7%,235.6%,16.4%,-3.7%,13.3%,42.2%,21.7%,0.1%,-15.8%,-5.1%
Current Ratio,2.00,3.71,1.39,3.19,2.48,4.49,4.95,5.11,5.46,,3.86,4.95,4.89,4.97,4.70,5.11,4.24,3.70,4.43,5.46
Quick Ratio,0.50,0.40,0.17,0.64,0.92,0.96,0.60,1.13,0.84,,0.64,0.60,0.55,0.57,0.77,1.13,1.11,0.94,0.68,0.84
