,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,40.5,71.8,86.5,99.5,99.5,82.1,92.0,70.0,,,81.9,81.6,80.8,82.1,83.6,92.0,78.3,74.3,68.8,64.4
Earnings per Share,8.44,4.55,13.2,11.9,10.3,6.50,8.49,7.01,,,4.62,1.91,1.07,2.68,1.20,1.99,1.14,1.13,0.046,4.24
Revenue per Share,86.3,95.1,115.7,122.9,126.8,138.2,146.9,140.0,,,38.0,35.8,38.2,34.6,34.6,35.4,35.5,35.5,39.6,41.4
Dividend per Share,1.00,1.00,6.50,6.00,9.00,3.90,5.00,4.20,,,,3.25,1.75,,2.25,0.00,1.95,,2.00,0.00
Capital Expenditures per Share,1.21,0.74,1.50,0.51,2.07,3.03,0.44,0.46,,,0.16,0.048,0.12,0.10,0.045,0.17,0.14,0.033,0.094,0.049
Book Value per Share,64.7,75.0,84.4,89.8,93.1,89.6,95.1,95.0,,,93.1,93.6,95.1,95.2,94.7,95.6,95.0,95.2,96.6,97.2
Price to Earnings Ratio,3.29,10.1,6.80,8.20,9.77,12.8,9.13,11.1,,,8.70,9.07,9.15,7.91,12.2,11.5,11.1,12.9,14.2,9.46
Price to Book Value Ratio,0.51,0.60,0.93,1.10,0.96,0.89,0.83,0.81,,,0.86,0.85,0.83,0.87,0.84,0.79,0.81,0.74,0.66,0.62
EV to EBITDA,3.38,5.37,2.35,4.89,5.90,8.85,6.50,6.72,,,5.07,6.07,6.50,4.42,8.00,6.96,6.72,5.92,10.8,6.05
Dividend Payout Ratio,11.9%,22.0%,49.4%,50.6%,87.1%,60.0%,58.9%,59.9%,,,,36.8%,20.7%,,32.8%,0.0%,27.8%,,46.4%,0.0%
Common Shares Outstanding,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,,,14.0,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9,13.9
Total Revenue,"1,200","1,322","1,608","1,708","1,762","1,921","2,042","1,947",,,531.7,497.1,530.8,481.0,480.9,491.7,493.0,493.1,550.6,575.6
"Cost of Revenue, Total",913.3,988.9,"1,099","1,188","1,242","1,466","1,541","1,452",,,379.0,384.1,395.4,348.3,372.5,360.2,371.3,374.3,458.6,417.0
Gross Profit,286.6,333.5,508.4,520.1,519.7,455.7,500.5,494.4,,,152.8,113.0,135.4,132.7,108.4,131.5,121.7,118.8,92.0,158.6
"Selling/General/Administrative Expenses, Total",205.7,234.2,261.6,289.2,287.9,289.4,280.5,281.8,,,57.6,65.1,91.4,69.0,63.0,68.8,81.0,72.6,74.4,67.4
