,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,82.4,111.0,113.3,66.1,40.4,51.9,47.6,59.3,,,58.1,55.4,50.6,47.6,45.3,48.6,52.0,56.6,62.6,58.8
Earnings per Share,4.99,4.77,4.46,4.53,2.49,0.88,0.89,-1.85,,,0.31,0.25,0.23,0.56,0.076,-0.39,-2.09,0.59,0.72,0.77
Revenue per Share,33.3,37.7,39.9,38.1,36.9,34.4,32.7,30.8,,,8.14,7.85,8.47,7.98,7.85,7.42,7.60,7.41,7.50,7.52
Dividend per Share,1.38,5.06,3.72,6.91,2.93,0.42,0.24,1.01,,,,,0.24,,1.01,0.00,0.00,,1.26,0.00
Capital Expenditures per Share,0.45,0.51,2.52,5.32,5.54,4.83,7.18,5.72,,,1.72,2.08,1.07,1.27,1.11,1.05,2.28,2.65,2.41,1.21
Book Value per Share,14.7,14.7,13.8,13.8,11.5,11.5,12.3,9.26,,,11.9,12.1,12.3,12.9,12.7,11.3,9.26,10.1,10.8,10.3
Price to Earnings Ratio,13.9,17.9,22.6,19.2,12.9,49.4,51.2,,,,78.1,62.4,51.2,33.1,41.1,102.0,,,,
Price to Book Value Ratio,5.57,6.65,8.43,5.96,3.59,3.84,3.60,5.72,,,4.80,4.04,3.60,2.85,3.69,3.81,5.72,5.26,5.33,5.17
EV to EBITDA,5.37,7.93,8.55,8.36,3.90,4.96,4.86,7.88,,,5.82,5.44,4.86,4.67,3.81,4.62,7.88,10.6,16.2,21.8
Dividend Payout Ratio,27.7%,106.2%,83.3%,152.5%,117.7%,47.7%,26.9%,-54.7%,,,,,26.9%,,90.7%,0.0%,0.0%,,-108.1%,0.0%
Common Shares Outstanding,"2,368","2,368","2,368","2,368","2,368","2,368","2,368","2,368",,,"2,368","2,368","2,368","2,368","2,368","2,368","2,368","2,368","2,368","2,368"
Total Revenue,"78,935","89,232","94,457","90,154","87,269","81,433","77,456","72,988",,,"19,281","18,597","20,060","18,906","18,585","17,575","17,991","17,551","17,750","17,818"
"Cost of Revenue, Total","50,927","62,306","64,594","61,387","62,063","60,846","59,529","57,280",,,"14,551","14,215","15,466","14,247","14,764","15,275","12,993","13,679","14,013","14,023"
Gross Profit,"28,008","26,926","29,864","28,768","25,206","20,587","17,928","15,708",,,"4,731","4,382","4,594","4,659","3,821","2,300","4,998","3,872","3,737","3,794"
"Selling/General/Administrative Expenses, Total","11,609","12,028","14,114","14,864","16,866","17,796","15,308","22,709",,,"3,581","3,666","4,172","3,643","3,592","3,641","11,833","3,738","3,469","3,668"
Operating Income,"16,663","15,163","15,909","14,242","8,823","3,836","3,437","-5,008",,,"1,311",928.5,635.9,"1,365",432.9,-905.6,"-5,630","2,243","2,773","2,837"
Net Income,"11,813","11,285","10,569","10,729","5,893","2,086","2,115","-4,369",,,742.9,600.7,542.4,"1,315",179.3,-921.5,"-4,941","1,408","1,695","1,817"
EBITDA,"26,303","25,550","28,741","29,800","26,669","26,018","29,153","19,336",,,"7,500","7,471","7,303","8,285","7,511","6,672","-2,861","5,981","6,612","6,763"
Gross Profit Margin,35.5%,30.2%,31.6%,31.9%,28.9%,25.3%,23.1%,21.5%,,,24.5%,23.6%,22.9%,24.6%,20.6%,13.1%,27.8%,22.1%,21.1%,21.3%
Operating Margin,21.1%,17.0%,16.8%,15.8%,10.1%,4.7%,4.4%,-6.9%,,,6.8%,5.0%,3.2%,7.2%,2.3%,-5.2%,-31.3%,12.8%,15.6%,15.9%
Net Profit Margin,15.0%,12.6%,11.2%,11.9%,6.8%,2.6%,2.7%,-6.0%,,,3.9%,3.2%,2.7%,7.0%,1.0%,-5.2%,-27.5%,8.0%,9.5%,10.2%
Return on Assets,11.6%,11.0%,10.3%,10.1%,5.4%,1.8%,1.8%,-3.3%,,,1.5%,1.4%,1.9%,2.8%,2.3%,1.0%,-3.3%,-2.8%,-1.9%,0.0%
Return on Equity,33.9%,32.4%,32.3%,32.9%,21.6%,7.7%,7.2%,-19.9%,,,2.6%,2.1%,1.9%,4.3%,0.6%,-3.4%,-22.5%,5.9%,6.6%,7.4%
