,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.15,2.31,2.10,3.54,4.21,3.11,2.76,1.75,,,3.11,3.36,3.24,3.01,2.85,2.41,2.21,2.15,1.86,1.36
Earnings per Share,0.21,0.24,0.25,0.16,0.35,0.19,0.32,0.13,,,0.13,0.077,0.094,0.042,0.014,-0.006,0.077,0.004,-0.023,0.024
Revenue per Share,2.25,2.43,2.78,2.35,2.96,2.38,2.73,2.03,,,0.81,0.59,0.78,0.52,0.54,0.44,0.53,0.42,0.38,0.41
Dividend per Share,0.12,0.010,0.15,0.12,0.20,0.12,0.20,0.10,,,,,0.20,,,,0.10,,,
Capital Expenditures per Share,0.063,0.13,0.11,0.11,0.068,0.70,0.24,0.21,,,0.020,0.041,0.15,0.038,0.038,0.059,0.076,0.041,0.034,0.039
Book Value per Share,1.07,1.21,1.45,1.47,1.70,1.69,1.86,1.79,,,1.70,1.78,1.86,1.90,1.72,1.71,1.79,1.79,1.66,1.69
Price to Earnings Ratio,7.26,10.3,7.41,14.4,10.9,16.0,10.5,16.9,,,11.2,10.4,10.5,7.96,11.6,16.0,16.9,19.7,29.9,14.3
Price to Book Value Ratio,1.35,2.22,1.45,1.43,2.23,1.72,1.58,1.14,,,2.00,1.66,1.58,1.44,1.54,1.09,1.14,1.05,0.87,0.71
EV to EBITDA,3.73,3.88,3.99,6.89,6.45,9.22,5.94,8.30,,,5.22,6.79,5.94,5.25,7.50,8.20,8.30,9.19,10.7,7.14
Dividend Payout Ratio,55.2%,4.2%,59.1%,76.4%,57.3%,64.1%,63.3%,79.1%,,,,,63.3%,,,,79.1%,,,
Common Shares Outstanding,258.3,258.3,258.3,258.3,258.3,258.3,258.3,258.3,,,258.3,258.3,258.3,258.3,258.3,258.3,258.3,258.3,258.3,258.3
Total Revenue,580.9,628.5,717.5,607.2,765.8,614.1,704.8,524.5,,,210.2,152.9,200.5,135.5,139.0,113.6,136.4,109.1,98.0,106.9
"Cost of Revenue, Total",356.4,430.4,513.9,430.3,489.6,421.6,444.4,350.3,,,133.3,94.9,114.1,88.1,97.7,86.2,78.4,70.2,71.3,71.1
Gross Profit,224.5,198.1,203.6,176.9,276.2,192.5,260.4,174.2,,,77.0,58.0,86.4,47.4,41.3,27.4,58.0,39.0,26.7,35.8
