,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,3.17,3.69,2.17,1.85,1.75,2.26,1.77,1.34,,,2.31,2.38,2.01,1.76,1.72,1.52,1.39,1.49,1.39,1.17
Earnings per Share,0.27,0.32,0.17,0.31,0.25,0.24,0.20,0.14,,,0.056,0.051,0.054,0.021,0.026,0.044,0.071,0.028,0.020,0.032
Revenue per Share,2.93,3.81,3.04,2.09,2.62,2.39,2.11,1.83,,,0.60,0.51,0.56,0.34,0.37,0.45,0.64,0.46,0.29,0.38
Dividend per Share,0.14,0.17,0.10,0.12,0.12,0.12,0.12,0.12,,,0.050,0.00,0.070,,0.040,0.00,0.080,,0.020,0.00
Capital Expenditures per Share,0.078,0.098,0.087,0.019,0.016,0.006,0.010,0.022,,,0.005,0.002,0.002,0.003,0.005,0.007,0.008,0.012,0.090,-0.068
Book Value per Share,1.61,1.93,1.79,1.82,1.90,1.97,2.08,2.12,,,1.98,1.99,2.08,2.07,2.03,2.01,2.12,2.16,2.10,2.11
Price to Earnings Ratio,7.63,15.6,11.9,6.45,6.75,8.20,9.86,10.0,,,8.45,8.78,9.86,9.58,10.6,9.31,8.57,8.37,8.49,7.36
Price to Book Value Ratio,1.22,2.47,1.06,1.02,0.80,1.04,0.81,0.62,,,1.15,1.10,0.81,0.74,0.82,0.59,0.62,0.68,0.57,0.52
EV to EBITDA,6.44,10.3,13.9,11.1,9.50,10.7,13.6,18.4,,,11.0,11.0,13.6,15.6,21.5,23.3,18.4,16.6,19.3,24.1
Dividend Payout Ratio,51.9%,53.1%,58.8%,38.7%,48.8%,50.7%,61.0%,87.0%,,,20.3%,0.0%,35.6%,,26.4%,0.0%,49.7%,,12.3%,0.0%
Common Shares Outstanding,"7,053","7,882","9,534","13,628","14,286","14,286","14,863","14,553",,,"14,286","14,286","14,863","14,863","14,863","14,863","14,553","14,323","14,143","14,143"
Total Revenue,"20,653","30,055","28,966","28,435","37,397","34,142","31,291","26,674",,,"8,585","7,289","8,350","5,118","5,444","6,691","9,280","6,532","4,171","5,408"
"Cost of Revenue, Total","13,509","19,883","19,284","18,904","26,334","23,486","21,472","18,677",,,"5,903","4,901","5,652","3,711","3,694","4,576","6,753","4,709","2,689","4,113"
Gross Profit,"7,144","10,173","9,682","9,532","11,063","10,656","9,819","7,997",,,"2,682","2,388","2,697","1,407","1,750","2,115","2,527","1,823","1,482","1,295"
"Selling/General/Administrative Expenses, Total","4,166","6,033","6,808","5,506","6,460","5,828","6,103","5,555",,,"1,390","1,499","2,035","1,132","1,259","1,264","1,258","1,081","1,166","1,204"
Operating Income,"2,978","4,139","2,874","4,026","4,603","4,828","3,716","2,442",,,"1,292",888.3,662.1,274.8,490.7,851.4,"1,268",741.7,316.0,90.8
Net Income,"2,015","2,938","1,930","3,393","3,506","3,380","2,825","2,046",,,805.1,729.6,778.8,306.5,386.5,649.5,"1,043",404.8,285.2,451.0
EBITDA,"3,291","4,464","3,155","4,343","4,874","5,086","3,971","2,752",,,"1,354",953.3,728.7,343.8,564.3,933.4,"1,354",829.6,410.6,208.3
Gross Profit Margin,34.6%,33.8%,33.4%,33.5%,29.6%,31.2%,31.4%,30.0%,,,31.2%,32.8%,32.3%,27.5%,32.1%,31.6%,27.2%,27.9%,35.5%,23.9%
Operating Margin,14.4%,13.8%,9.9%,14.2%,12.3%,14.1%,11.9%,9.2%,,,15.0%,12.2%,7.9%,5.4%,9.0%,12.7%,13.7%,11.4%,7.6%,1.7%
Net Profit Margin,9.8%,9.8%,6.7%,11.9%,9.4%,9.9%,9.0%,7.7%,,,9.4%,10.0%,9.3%,6.0%,7.1%,9.7%,11.2%,6.2%,6.8%,8.3%
Return on Assets,6.0%,7.1%,3.6%,5.1%,4.9%,4.8%,3.7%,2.3%,,,4.7%,4.7%,3.6%,3.2%,2.6%,2.4%,2.5%,2.6%,2.3%,2.0%
Return on Equity,17.7%,19.3%,11.3%,13.7%,12.9%,12.0%,9.1%,6.6%,,,2.8%,2.6%,2.5%,1.0%,1.3%,2.2%,3.4%,1.3%,1.0%,1.5%
