,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,19.9,35.3,40.8,34.6,25.1,18.0,10.2,6.36,,,17.2,15.5,12.8,10.5,9.80,8.88,8.13,6.88,5.47,4.38
Earnings per Share,-0.021,0.62,1.08,1.46,1.94,1.36,-2.54,0.20,,,0.17,0.028,-2.94,1.69,0.23,0.090,-1.82,-0.030,-0.12,-0.10
Revenue per Share,6.04,6.63,8.71,11.0,11.4,7.88,6.10,5.50,,,1.46,1.46,1.33,1.37,1.36,1.37,1.39,1.19,1.11,1.08
Dividend per Share,,0.40,0.45,0.65,0.65,0.70,,1.36,,,,,,1.36,0.00,0.00,0.00,,,
Capital Expenditures per Share,2.18,1.76,2.75,5.79,1.14,0.98,0.28,0.075,,,0.068,0.071,0.073,0.006,0.046,0.027,-0.004,0.004,0.012,0.032
Book Value per Share,12.9,13.0,14.2,15.4,16.1,16.9,13.5,12.0,,,16.5,16.5,13.5,13.5,13.8,13.8,12.0,11.9,11.8,11.7
Price to Earnings Ratio,,45.2,38.1,24.0,15.1,14.1,,37.4,,,22.4,43.1,,,,,38.3,,,
Price to Book Value Ratio,1.21,2.80,2.91,2.26,1.78,1.17,0.88,0.59,,,1.01,0.76,0.88,0.52,0.70,0.44,0.59,0.51,0.40,0.33
EV to EBITDA,7.69,16.5,17.8,9.61,6.32,6.83,5.39,2.67,,,6.65,7.19,5.39,4.13,4.17,4.57,2.67,1.71,1.35,0.65
Dividend Payout Ratio,,64.5%,41.8%,44.5%,33.6%,51.5%,,686.8%,,,,,,-128.6%,0.0%,0.0%,0.0%,,,
Common Shares Outstanding,"1,096","1,096","1,096","1,096","1,096","1,096","1,096","1,096",,,"1,096","1,096","1,096","1,096","1,096","1,096","1,096","1,096","1,096","1,096"
Total Revenue,"6,624","7,266","9,542","12,065","12,454","8,642","6,689","6,026",,,"1,603","1,605","1,463","1,504","1,495","1,504","1,523","1,303","1,217","1,188"
"Cost of Revenue, Total","3,911","3,738","5,514","6,228","6,288","4,512","4,312","3,320",,,"1,076","1,027","1,048",776.4,808.2,801.8,933.2,773.5,750.5,743.0
Gross Profit,"2,713","3,528","4,027","5,837","6,166","4,130","2,377","2,707",,,527.3,578.2,415.0,727.2,686.8,702.4,590.3,529.1,466.1,445.3
"Selling/General/Administrative Expenses, Total","1,404","1,447","1,539","2,304","2,118","1,511","1,684","1,517",,,254.3,314.6,737.6,522.4,232.4,275.1,486.5,244.9,298.4,280.8
Operating Income,712.0,"1,334","1,662","2,548","2,981","1,562",-285.8,272.3,,,24.0,32.6,-555.5,-19.8,216.7,201.7,-125.8,95.7,-7.23,-17.1
Net Income,-490.0,173.9,"1,128","1,601","2,122","1,612","-2,650",229.5,,,216.3,65.2,"-3,190","1,864",251.3,104.1,"-1,990",-33.0,-135.1,-113.2
EBITDA,"2,935","2,083","2,370","5,110","5,758","4,485","2,772","2,246",,,786.6,800.5,212.5,458.0,708.0,691.0,389.5,549.5,446.7,438.2
Gross Profit Margin,41.0%,48.6%,42.2%,48.4%,49.5%,47.8%,35.5%,44.9%,,,32.9%,36.0%,28.4%,48.4%,45.9%,46.7%,38.7%,40.6%,38.3%,37.5%
Operating Margin,10.7%,18.4%,17.4%,21.1%,23.9%,18.1%,-4.3%,4.5%,,,1.5%,2.0%,-38.0%,-1.3%,14.5%,13.4%,-8.3%,7.3%,-0.6%,-1.4%
Net Profit Margin,-7.4%,2.4%,11.8%,13.3%,17.0%,18.7%,-39.6%,3.8%,,,13.5%,4.1%,-218.1%,124.0%,16.8%,6.9%,-130.6%,-2.5%,-11.1%,-9.5%
Return on Assets,-1.8%,0.7%,4.2%,5.4%,6.5%,4.9%,-9.0%,1.0%,,,2.5%,1.4%,-9.7%,-4.0%,-4.0%,-4.0%,1.0%,-7.6%,-9.4%,-10.7%
Return on Equity,-3.5%,1.2%,7.3%,9.5%,12.0%,8.7%,-17.9%,1.7%,,,1.2%,0.4%,-21.5%,12.6%,1.7%,0.7%,-15.1%,-0.3%,-1.0%,-0.9%
