,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,30.7,34.3,33.4,36.1,34.0,39.0,38.1,29.9,,,40.0,43.0,41.0,36.9,36.1,34.6,33.5,32.6,29.6,27.9
Earnings per Share,4.24,3.10,3.38,0.51,3.01,3.47,4.07,1.79,,,0.72,0.77,1.07,0.85,0.72,1.35,-1.12,0.16,0.38,0.27
Revenue per Share,115.2,120.0,135.4,132.9,109.8,105.1,125.0,139.5,,,31.1,28.3,33.6,32.1,33.1,38.8,35.4,33.1,35.1,33.8
Dividend per Share,1.65,1.25,1.35,1.00,2.00,1.80,2.15,1.35,,,1.05,0.00,1.10,,0.85,0.00,0.50,,0.50,0.00
Capital Expenditures per Share,3.77,3.72,3.32,5.34,3.37,6.80,4.01,5.60,,,0.78,0.65,1.69,0.76,1.69,2.01,1.14,1.56,0.63,1.19
Book Value per Share,21.6,23.3,25.2,24.2,25.8,28.7,33.0,31.0,,,29.9,30.9,33.0,32.7,32.3,32.8,31.0,31.1,31.1,30.3
Price to Earnings Ratio,5.55,12.5,8.51,66.8,10.2,9.95,9.94,18.5,,,10.1,10.2,9.94,10.6,10.6,8.48,18.4,26.9,35.6,
Price to Book Value Ratio,1.10,1.54,1.24,1.33,1.14,1.15,1.10,1.04,,,1.34,1.32,1.10,0.98,1.09,0.97,1.04,0.98,0.88,0.92
EV to EBITDA,5.34,10.9,6.67,15.4,5.79,6.61,7.17,9.54,,,6.37,7.99,7.17,7.36,6.51,6.18,9.54,11.2,14.7,16.9
Dividend Payout Ratio,38.9%,40.3%,40.0%,197.9%,66.3%,51.9%,52.8%,75.5%,,,28.0%,0.0%,27.0%,,25.0%,0.0%,27.9%,,65.3%,0.0%
Common Shares Outstanding,"1,377","1,377","1,377","1,377","1,377","1,377","1,377","1,377",,,"1,377","1,377","1,377","1,377","1,377","1,377","1,377","1,377","1,377","1,377"
Total Revenue,"158,610","165,246","186,490","183,016","151,140","144,705","172,138","192,025",,,"42,828","39,009","46,306","44,226","45,558","53,461","48,781","45,535","48,326","46,481"
"Cost of Revenue, Total","147,984","158,083","177,387","178,473","139,686","132,809","158,617","180,618",,,"40,465","35,450","42,732","40,897","41,699","49,640","48,381","43,355","45,738","44,034"
Gross Profit,"10,626","7,163","9,103","4,543","11,454","11,896","13,522","11,407",,,"2,363","3,559","3,573","3,328","3,858","3,821",399.5,"2,181","2,588","2,447"
"Selling/General/Administrative Expenses, Total","3,841","4,100","4,290","4,480","5,175","6,135","7,164","7,332",,,"1,632","1,773","2,327","1,660","1,785","1,782","2,104","1,721","1,897","1,730"
Operating Income,"6,026","3,932","5,616",-591.6,"5,814","5,846","5,147","3,176",,,948.7,"1,860",-246.8,"1,586","1,512","1,936","-1,858",484.1,662.2,723.1
Net Income,"5,610","4,273","4,652",695.9,"4,151","4,773","5,608","2,463",,,992.6,"1,060","1,471","1,168",985.1,"1,856","-1,546",214.0,528.1,369.8
EBITDA,"8,079","6,385","8,411","3,835","10,531","10,478","11,711","8,350",,,"2,199","3,137","2,579","2,825","3,055","3,183",-699.0,"1,694","1,897","1,979"
