,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,,,19.3,,,,,,,,,,23.8,21.6
Earnings per Share,,,,,,1.16,0.98,1.39,,,,0.31,0.14,0.43,0.58,0.18,,0.26,0.31
Revenue per Share,,,,,,18.7,18.8,19.3,,,,,4.96,,,4.68,,4.84,4.80
Dividend per Share,,,,,,0.00,0.99,2.38,,,,,0.99,,,0.00,,0.00,0.00
Capital Expenditures per Share,,,,,,2.04,0.62,1.19,,,,,0.37,,,0.26,0.00,0.38,0.18
Book Value per Share,,,,,,8.39,8.98,9.05,,,,,8.98,,,8.59,9.05,6.94,4.77
Price to Earnings Ratio,,,,,,,,,,,,,,,,,,,29.9
Price to Book Value Ratio,,,,,,,,,,,,,,,,,,,4.00
EV to EBITDA,,,,,,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.1
Dividend Payout Ratio,,,,,,0.0%,101.1%,170.3%,,,,,222.8%,,,0.0%,,0.0%,0.0%
Common Shares Outstanding,,,,,,505.0,505.0,505.0,,,,,505.0,,,505.0,505.0,505.0,505.0
Total Revenue,,,,,,"9,451","9,482","9,758",,,,"2,285","2,507","2,466","2,418","2,365",,"2,445","2,422"
"Cost of Revenue, Total",,,,,,"5,546","5,352","5,395",,,,"1,288","1,420","1,376","1,333","1,342",,"1,369","1,342"
Gross Profit,,,,,,"3,905","4,129","4,363",,,,996.5,"1,087","1,090","1,085","1,023",,"1,076","1,079"
"Selling/General/Administrative Expenses, Total",,,,,,"3,006","3,209","3,545",,,,787.9,860.1,856.2,868.7,892.3,,897.8,872.0
Operating Income,,,,,,898.6,920.4,818.4,,,,208.6,227.3,234.0,216.4,131.1,,178.2,207.2
Net Income,,,,,,586.2,494.4,542.9,,,,122.9,69.2,171.1,31.0,105.0,,131.9,158.0
EBITDA,,,,,,"1,592","1,605","1,528",,,,208.6,401.8,409.4,216.4,310.5,0.00,358.6,394.7
Gross Profit Margin,,,,,,41.3%,43.6%,44.7%,,,,43.6%,43.4%,44.2%,44.9%,43.3%,,44.0%,44.6%
Operating Margin,,,,,,9.5%,9.7%,8.4%,,,,9.1%,9.1%,9.5%,8.9%,5.5%,,7.3%,8.6%
Net Profit Margin,,,,,,6.2%,5.2%,5.6%,,,,5.4%,2.8%,6.9%,1.3%,4.4%,,5.4%,6.5%
Return on Assets,,,,,,4.8%,4.0%,4.4%,,,,,1.6%,2.9%,3.2%,6.2%,3.1%,2.2%,3.3%
Return on Equity,,,,,,13.8%,10.9%,11.9%,,,,0.0%,1.5%,0.0%,0.0%,2.4%,,3.8%,6.6%
Return on Total Capital,,,,,,6.8%,5.7%,7.9%,,,,0.0%,2.2%,0.0%,0.0%,5.6%,5.5%,4.8%,9.0%
SG&A to Sale,,,,,,31.8%,33.8%,36.3%,,,,34.5%,34.3%,34.7%,35.9%,37.7%,,36.7%,36.0%
Depreciation & Amortisation,,,,,,692.9,685.1,709.2,,,,,174.6,175.4,,179.4,,180.4,187.4
Tax Rate,,,,,,18.0%,19.9%,9.3%,,,,18.3%,30.8%,21.9%,20.3%,26.1%,,5.4%,3.5%
Current Ratio,,,,,,1.01,1.16,0.67,,,,,1.16,,,0.71,0.67,0.53,0.46
Quick Ratio,,,,,,0.20,0.23,0.096,,,,0.00,0.23,0.00,0.00,0.13,0.096,0.11,0.089
Days Inventory Outstanding,,,,,,149.6,162.5,167.5,,,,,336.0,222.8,168.0,86.5,168.4,213.1,213.8
Days Sale Outstanding,,,,,,12.6,15.8,17.8,,,,,31.2,,,23.8,17.8,33.6,32.2
Days Payable Outstanding,,,,,,53.0,58.6,55.1,,,,,123.3,81.8,61.6,29.0,52.9,70.4,79.4
Cash Conversion Cycle,,,,,,109.4,114.5,135.8,,,,,244.4,243.7,183.7,40.5,149.0,166.1,164.2
Debt to Asset Ratio,,,,,,0.65,0.62,0.63,,,,,0.62,,,0.64,0.63,0.71,0.80
Debt to Equity Ratio,,,,,,1.89,1.69,1.69,,,,,1.69,,,1.80,1.69,2.45,4.02
Interest Coverage Ratio,,,,,,4.32,5.01,4.82,,,,4.55,5.05,5.45,5.07,3.08,,4.47,4.30
Cash and Short Term Investments,,,,,,530.7,625.2,326.4,,,,,625.2,,,234.9,326.4,199.5,118.3
"Total Receivables, Net",,,,,,327.5,410.2,476.6,,,,,410.2,,,635.0,476.6,665.9,639.0
Total Inventory,,,,,,"2,274","2,493","2,457",,,,,"2,493",,,"2,592","2,457","2,265","2,484"
Total Current Assets,,,,,,"3,241","3,588","3,329",,,,,"3,588",,,"3,483","3,329","3,151","3,261"
"Property/Plant/Equipment, Total - Net",,,,,,"6,127","5,926","5,969",,,,,"5,926",,,"5,878","5,969","5,896","5,886"
Total Assets,,,,,,"12,243","12,315","12,282",,,,,"12,315",,,"12,124","12,282","12,072","12,091"
Accounts Payable,,,,,,805.0,914.8,715.2,,,,,914.8,,,869.1,715.2,844.0,919.7
Accrued Expenses,,,,,,390.9,440.8,487.2,,,,,440.8,,,,487.2,,
Debt Due,,,,,,"1,237",960.8,"2,843",,,,,960.8,,,"2,589","2,843","2,622","3,696"
Total Current Liabilities,,,,,,"3,199","3,080","4,965",,,,,"3,080",,,"4,912","4,965","5,920","7,158"
Long Term Debt,,,,,,"4,352","4,101","2,259",,,,,"4,101",,,"2,399","2,259","2,127","1,995"
Total Liabilities,,,,,,"8,005","7,662","7,710",,,,,"7,662",,,"7,804","7,710","8,568","9,681"
Common Stock,,,,,,"2,000","2,000","2,000",,,,,"2,000",,,"2,000","2,000","2,000","2,000"
Additional Paid-In Capital,,,,,,,,,,,,,,,,,,,
Retained Earnings (Accumulated Deficit),,,,,,"2,237","2,242","2,285",,,,,"2,242",,,"2,335","2,285","1,217",411.1
Shareholders' Equity,,,,,,"4,239","4,532","4,571",,,,,"4,532",,,"4,336","4,571","3,503","2,409"
Cash from Operating Activities,,,,,,"1,348","1,368","1,223",,,,,417.0,217.0,,276.2,,502.4,243.3
Cash from Investing Activities,,,,,,"-1,295",-380.9,-569.4,,,,,-220.4,-66.3,,170.3,,-229.4,-17.5
Cash from Financing Activities,,,,,,-94.1,-916.5,-644.0,,,,,32.9,-81.7,,-485.9,,-399.9,-307.0
Net Change in Cash,,,,,,-41.3,67.8,9.72,,,,,226.6,69.0,,-39.4,,-126.9,-81.2
Free Cashflows,,,,,,316.3,"1,053",620.3,,,,,231.3,173.2,,146.4,,308.2,154.0
Free Cashflow per Share,,,,,,0.63,2.09,1.23,,,,,0.46,,,0.29,,0.61,0.30
