,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,36.9,73.1,63.1,66.0,64.8,54.0,65.3,64.5,,,51.0,50.5,59.1,63.9,73.3,66.1,65.1,68.9,64.5,64.0
Earnings per Share,-0.090,0.46,1.09,1.11,1.30,1.09,1.83,1.69,,,0.024,0.98,1.21,0.53,0.60,0.58,-0.029,0.66,-0.34,0.75
Revenue per Share,21.3,25.4,26.9,29.0,32.5,30.4,30.9,36.6,,,7.26,9.15,7.60,8.70,9.20,9.76,8.90,9.47,8.67,10.0
Dividend per Share,,0.20,0.30,0.35,0.50,0.50,0.70,0.70,,,,,0.70,,,,0.70,,,
Capital Expenditures per Share,1.25,1.18,1.21,1.58,1.43,1.75,4.62,3.11,,,0.79,1.66,1.96,0.75,1.16,0.68,0.52,0.27,0.25,0.44
Book Value per Share,28.0,29.2,30.3,30.9,31.9,32.5,33.8,34.9,,,31.6,32.6,33.8,34.3,34.2,34.8,34.9,35.6,34.5,35.3
Price to Earnings Ratio,,112.5,56.3,55.4,53.8,46.8,28.4,32.0,,,84.3,43.7,28.4,25.4,21.0,25.6,32.0,31.9,68.9,48.6
Price to Book Value Ratio,0.43,1.81,2.33,1.95,2.20,1.57,1.52,1.55,,,1.55,1.60,1.52,2.03,2.21,1.88,1.55,1.69,1.66,1.50
EV to EBITDA,8.38,21.5,20.7,16.3,18.6,13.2,0.00,11.4,,,16.1,13.1,0.00,12.3,0.00,12.9,11.4,14.2,0.00,0.00
Dividend Payout Ratio,,43.7%,27.6%,31.5%,38.5%,45.9%,38.3%,41.5%,,,,,38.3%,,,,41.5%,,,
Common Shares Outstanding,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Total Revenue,213.0,254.3,268.7,289.8,325.4,303.6,308.6,365.7,,,72.6,91.5,76.0,87.0,92.0,97.6,89.0,94.7,86.7,100.5
"Cost of Revenue, Total",167.8,195.9,202.4,214.1,239.1,216.1,225.8,262.2,,,54.4,59.8,57.6,60.1,63.5,69.7,68.9,65.4,67.8,70.7
Gross Profit,45.1,58.4,66.2,75.8,86.2,87.4,82.9,103.5,,,18.2,31.6,18.4,26.9,28.5,28.0,20.1,29.3,18.8,29.8
"Selling/General/Administrative Expenses, Total",38.0,46.3,46.2,54.7,64.8,69.0,73.8,78.5,,,17.2,18.8,20.1,19.3,20.1,19.7,19.4,20.2,22.2,19.7
Operating Income,7.18,12.2,20.1,21.1,21.4,18.4,26.6,25.0,,,1.03,12.8,15.7,7.59,8.43,8.27,0.69,9.12,-3.38,10.1
Net Income,-0.90,4.58,10.9,11.1,13.0,10.9,18.3,16.9,,,0.24,9.77,12.1,5.35,6.05,5.78,-0.29,6.63,-3.41,7.46
EBITDA,23.4,28.5,37.6,38.4,39.2,38.0,47.0,48.9,,,6.43,18.4,19.9,13.4,14.3,14.5,7.32,15.7,3.33,17.0
Gross Profit Margin,21.2%,23.0%,24.7%,26.1%,26.5%,28.8%,26.9%,28.3%,,,25.1%,34.6%,24.2%,30.9%,31.0%,28.6%,22.6%,30.9%,21.7%,29.7%
Operating Margin,3.4%,4.8%,7.5%,7.3%,6.6%,6.1%,8.6%,6.8%,,,1.4%,14.0%,20.7%,8.7%,9.2%,8.5%,0.8%,9.6%,-3.9%,10.1%
Net Profit Margin,-0.4%,1.8%,4.1%,3.8%,4.0%,3.6%,5.9%,4.6%,,,0.3%,10.7%,15.9%,6.1%,6.6%,5.9%,-0.3%,7.0%,-3.9%,7.4%
Return on Assets,-0.2%,1.1%,2.6%,2.5%,2.8%,2.4%,3.9%,3.5%,,,1.3%,2.5%,3.9%,5.7%,6.8%,5.9%,3.4%,3.7%,1.8%,2.1%
Return on Equity,-0.3%,1.6%,3.6%,3.6%,4.1%,3.4%,5.4%,4.8%,,,0.1%,3.0%,3.6%,1.6%,1.8%,1.7%,-0.1%,1.9%,-1.0%,2.1%
Return on Total Capital,-0.3%,1.3%,3.1%,2.9%,3.4%,2.9%,4.6%,4.2%,,,1.6%,3.0%,4.6%,6.8%,8.3%,7.2%,4.2%,4.5%,2.2%,2.6%
SG&A to Sale,17.8%,18.2%,17.2%,18.9%,19.9%,22.7%,23.9%,21.5%,,,23.7%,20.6%,26.5%,22.2%,21.8%,20.2%,21.8%,21.3%,25.6%,19.6%
Depreciation & Amortisation,16.3,16.3,17.5,17.4,17.8,19.6,20.4,23.9,,,5.40,5.55,4.14,5.84,5.91,6.24,6.63,6.54,6.71,6.85
Tax Rate,213.1%,30.3%,23.9%,22.6%,26.2%,24.9%,21.2%,21.4%,,,-5.1%,18.1%,18.7%,19.9%,19.9%,22.1%,-83.4%,20.3%,17.8%,20.3%
Current Ratio,0.55,0.80,0.82,1.05,1.05,1.10,1.00,0.82,,,0.92,1.02,1.00,0.80,0.68,0.84,0.82,0.90,0.83,0.83
Quick Ratio,0.24,0.36,0.38,0.64,0.53,0.42,0.37,0.49,,,0.44,0.40,0.37,0.47,0.41,0.55,0.49,0.54,0.49,0.47
Days Inventory Outstanding,11.8,10.5,10.6,9.96,8.87,9.18,8.48,8.94,,,8.55,8.79,8.84,7.76,7.58,8.78,9.55,9.73,8.58,7.88
Days Sale Outstanding,23.5,27.9,31.9,53.2,44.3,31.8,28.1,26.6,,,37.3,35.7,28.1,35.1,31.8,36.1,26.6,28.0,25.0,31.4
Days Payable Outstanding,26.6,24.2,20.9,20.3,19.6,19.8,24.7,30.7,,,18.6,21.1,27.5,23.2,16.2,16.7,25.2,33.0,31.0,31.4
Cash Conversion Cycle,7.93,11.1,21.1,29.4,36.9,31.5,7.57,0.57,,,26.2,21.8,10.4,23.8,23.8,26.6,6.85,4.94,5.71,3.59
Debt to Asset Ratio,0.30,0.31,0.29,0.32,0.32,0.29,0.29,0.28,,,0.30,0.31,0.29,0.29,0.30,0.30,0.28,0.27,0.28,0.28
Debt to Equity Ratio,0.43,0.45,0.41,0.46,0.47,0.40,0.40,0.40,,,0.43,0.46,0.40,0.41,0.42,0.43,0.40,0.37,0.39,0.39
Interest Coverage Ratio,1.12,2.17,3.48,3.13,5.62,4.70,7.89,7.14,,,1.28,14.4,18.7,8.29,9.56,9.69,0.81,11.3,,13.3
Cash and Short Term Investments,5.19,11.4,15.6,20.6,32.4,35.7,32.7,25.7,,,25.7,39.5,32.7,15.8,11.0,25.3,25.7,27.0,24.1,25.2
"Total Receivables, Net",13.7,19.4,23.5,42.3,39.5,26.4,23.8,26.6,,,30.6,30.4,23.8,31.4,30.2,34.9,26.6,28.7,25.2,31.9
Total Inventory,5.43,5.83,5.98,5.71,5.91,4.96,5.53,7.32,,,5.25,5.41,5.53,4.33,5.67,6.40,7.32,6.94,5.84,5.94
Total Current Assets,31.6,43.1,50.3,69.9,79.2,68.7,63.9,61.2,,,64.1,77.0,63.9,53.8,49.8,68.6,61.2,64.8,58.9,65.2
"Property/Plant/Equipment, Total - Net",360.1,364.5,361.4,363.2,366.4,365.5,391.9,400.3,,,365.1,377.9,391.9,394.1,400.7,402.7,400.3,397.8,392.6,393.1
Total Assets,402.2,423.1,426.7,452.1,467.4,454.4,472.6,488.2,,,450.4,475.3,472.6,484.8,487.7,498.6,488.2,488.9,478.7,490.4
Accounts Payable,13.4,12.6,10.6,13.3,12.4,11.0,19.5,24.6,,,11.0,14.5,19.5,9.94,11.4,11.6,24.6,23.8,22.4,24.5
Accrued Expenses,12.9,23.1,26.0,29.1,36.8,34.0,22.7,25.7,,,35.3,37.0,22.7,35.7,39.8,43.3,25.7,26.5,26.2,28.8
Debt Due,28.9,7.24,18.5,17.8,19.1,13.2,16.0,15.9,,,21.0,18.2,16.0,15.5,13.3,16.1,15.9,12.8,17.0,15.1
Total Current Liabilities,57.4,54.1,61.2,66.7,75.2,62.6,63.7,74.6,,,69.9,75.6,63.7,67.0,73.5,81.3,74.6,71.8,71.4,78.2
Long Term Debt,49.4,59.9,53.1,68.3,64.2,56.8,59.2,53.0,,,53.3,62.2,59.2,62.2,59.1,56.1,53.0,49.9,46.4,43.5
Total Liabilities,121.7,130.8,123.8,142.8,148.6,129.7,134.9,139.0,,,134.6,149.7,134.9,141.6,145.4,150.6,139.0,133.1,133.2,137.5
Common Stock,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Additional Paid-In Capital,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,,,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5,62.5
Retained Earnings (Accumulated Deficit),118.0,129.8,140.4,146.9,156.4,162.3,175.3,186.7,,,153.4,163.2,175.3,180.6,179.7,185.4,186.7,193.4,182.9,190.4
Shareholders' Equity,280.5,292.3,302.9,309.4,318.9,324.8,337.8,349.2,,,315.9,325.7,337.8,343.2,342.3,347.9,349.2,355.9,345.4,352.9
Cash from Operating Activities,14.2,26.4,11.9,10.7,40.0,37.2,24.9,47.9,,,-0.39,22.8,0.99,8.21,18.7,13.3,7.73,9.90,6.06,15.5
Cash from Investing Activities,-12.4,-8.94,-10.3,-15.1,-18.3,-14.4,-28.1,-51.3,,,-7.28,-16.2,-2.95,-27.5,-11.6,-6.65,-5.54,-2.67,-2.46,-4.39
Cash from Financing Activities,-2.74,-11.2,2.56,9.27,-9.85,-19.4,0.25,-13.7,,,-2.34,7.21,-4.81,2.42,-11.9,-2.37,-1.80,-5.90,-6.49,-5.08
Net Change in Cash,-0.99,6.24,4.14,4.86,11.8,3.42,-2.95,-17.1,,,-10.0,13.8,-6.77,-16.9,-4.84,4.28,0.40,1.33,-2.90,6.05
Free Cashflows,1.74,14.6,-0.17,-5.11,25.7,19.7,-21.4,16.8,,,-8.28,6.16,-18.6,0.71,7.06,6.51,2.55,7.17,3.52,11.1
Free Cashflow per Share,0.17,1.46,-0.017,-0.51,2.57,1.97,-2.14,1.68,,,-0.83,0.62,-1.86,0.071,0.71,0.65,0.26,0.72,0.35,1.11
