,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,7.20,10.1,10.6,9.10,7.33,5.52,4.69,3.23,,,5.02,5.68,5.53,5.02,4.59,4.14,3.81,3.54,3.07,2.72
Earnings per Share,0.52,0.57,0.57,0.99,0.83,0.23,0.29,0.18,,,0.028,0.12,0.11,0.025,0.048,0.074,0.036,0.021,-0.026,0.12
Revenue per Share,4.07,4.36,4.66,5.00,5.14,4.40,4.22,4.49,,,0.91,1.18,1.21,0.88,1.06,1.17,1.39,0.87,0.94,1.21
Dividend per Share,0.45,0.50,0.55,0.55,0.50,0.25,0.30,0.20,,,0.10,0.00,0.20,,0.10,0.00,0.10,,0.050,0.00
Capital Expenditures per Share,0.15,0.092,0.099,0.33,0.31,0.35,0.057,0.096,,,0.012,0.012,0.014,0.028,0.042,0.017,0.010,0.004,-0.001,0.010
Book Value per Share,3.21,3.49,3.72,3.58,3.39,3.24,3.38,3.16,,,3.23,3.29,3.38,3.43,3.19,3.17,3.16,3.20,3.04,3.08
Price to Earnings Ratio,11.8,15.3,15.4,10.1,9.45,25.2,18.6,20.9,,,25.7,21.4,18.6,16.9,14.7,15.5,20.9,18.0,26.4,17.3
Price to Book Value Ratio,2.05,2.92,2.46,2.79,2.43,1.73,1.57,1.16,,,1.58,1.73,1.57,1.31,1.41,1.18,1.16,1.03,0.92,0.83
EV to EBITDA,8.29,10.2,11.7,11.3,8.68,11.8,10.4,7.95,,,10.2,9.20,10.4,9.67,8.36,7.64,7.95,7.99,8.46,4.45
Dividend Payout Ratio,86.7%,88.0%,97.3%,55.8%,60.2%,108.4%,104.4%,109.4%,,,53.7%,0.0%,69.6%,,32.6%,0.0%,54.7%,,47.6%,0.0%
Common Shares Outstanding,720.0,720.0,750.0,750.0,750.0,750.0,750.0,750.0,,,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0
Total Revenue,"2,927","3,136","3,494","3,746","3,855","3,299","3,164","3,371",,,686.1,884.6,907.8,661.8,793.1,876.7,"1,040",653.7,706.5,909.7
"Cost of Revenue, Total","1,692","1,821","2,152","2,415","2,500","2,192","2,053","2,306",,,440.0,571.0,589.1,434.3,532.3,595.0,744.1,424.5,471.9,581.4
Gross Profit,"1,235","1,316","1,342","1,332","1,355","1,107","1,111","1,065",,,246.1,313.5,318.7,227.4,260.8,281.6,295.6,229.2,234.6,328.3
"Selling/General/Administrative Expenses, Total",846.7,842.0,918.8,908.6,944.9,860.1,846.6,823.3,,,216.8,223.6,207.5,189.8,209.1,204.1,220.4,191.1,247.4,209.5
Operating Income,388.7,473.6,423.1,423.2,410.2,246.5,264.6,241.9,,,29.3,89.9,111.2,37.6,51.7,77.5,75.2,38.1,-12.8,118.8
Net Income,373.5,409.2,420.5,784.8,662.5,172.9,215.6,137.2,,,21.4,92.5,82.9,18.6,36.3,55.3,27.0,15.8,-19.3,93.5
EBITDA,495.8,567.6,518.8,641.8,609.5,353.9,375.2,352.5,,,57.3,118.1,137.7,65.1,80.1,105.6,101.8,65.2,13.7,145.0
Gross Profit Margin,42.2%,41.9%,38.4%,35.6%,35.2%,33.5%,35.1%,31.6%,,,35.9%,35.4%,35.1%,34.4%,32.9%,32.1%,28.4%,35.1%,33.2%,36.1%
Operating Margin,13.3%,15.1%,12.1%,11.3%,10.6%,7.5%,8.4%,7.2%,,,4.3%,10.2%,12.2%,5.7%,6.5%,8.8%,7.2%,5.8%,-1.8%,13.1%
Net Profit Margin,12.8%,13.0%,12.0%,20.9%,17.2%,5.2%,6.8%,4.1%,,,3.1%,10.5%,9.1%,2.8%,4.6%,6.3%,2.6%,2.4%,-2.7%,10.3%
Return on Assets,12.1%,12.1%,10.8%,16.7%,14.3%,4.5%,5.7%,3.6%,,,3.8%,5.2%,5.5%,5.5%,5.9%,5.0%,3.6%,3.6%,2.1%,3.2%
Return on Equity,16.2%,16.3%,15.1%,29.2%,26.1%,7.1%,8.5%,5.8%,,,0.9%,3.7%,3.3%,0.7%,1.5%,2.3%,1.1%,0.7%,-0.8%,4.0%
Return on Total Capital,16.2%,16.3%,15.1%,27.8%,26.1%,7.1%,8.5%,5.8%,,,5.8%,8.1%,8.5%,8.4%,9.6%,8.1%,5.8%,5.6%,3.5%,5.1%
SG&A to Sale,28.9%,26.8%,26.3%,24.3%,24.5%,26.1%,26.8%,24.4%,,,31.6%,25.3%,22.9%,28.7%,26.4%,23.3%,21.2%,29.2%,35.0%,23.0%
Depreciation & Amortisation,107.1,94.0,95.7,218.5,199.3,107.4,110.7,110.6,,,28.0,28.3,26.6,27.5,28.4,28.1,26.6,27.1,26.5,26.2
Tax Rate,22.9%,19.8%,17.0%,19.9%,25.6%,18.6%,19.4%,34.6%,,,19.5%,18.4%,19.7%,25.9%,22.0%,25.6%,58.0%,41.8%,-63.3%,19.3%
Current Ratio,2.42,2.14,2.00,1.90,2.10,2.24,2.18,2.08,,,2.12,2.06,2.18,2.19,2.04,1.97,2.08,2.11,2.10,2.10
Quick Ratio,0.91,0.73,0.72,0.75,0.56,0.55,0.46,0.63,,,0.46,0.43,0.46,0.40,0.43,0.43,0.63,0.61,0.55,0.43
Days Inventory Outstanding,186.5,197.6,195.3,195.3,193.0,206.6,230.2,207.9,,,231.0,239.1,245.3,252.3,251.9,251.8,214.7,198.6,208.2,214.5
Days Sale Outstanding,71.8,77.0,96.8,130.7,71.8,64.0,61.9,82.8,,,61.4,60.4,61.9,54.7,58.6,64.5,82.8,77.0,70.3,57.5
Days Payable Outstanding,60.8,59.8,54.7,63.1,59.7,45.3,47.9,47.1,,,42.2,45.8,50.3,48.5,47.1,46.3,42.9,40.3,34.1,40.2
Cash Conversion Cycle,207.0,204.9,224.5,227.6,250.0,241.3,243.7,232.5,,,253.9,253.1,255.6,268.6,256.8,274.1,241.3,247.5,250.5,233.4
Debt to Asset Ratio,0.26,0.29,0.33,0.40,0.37,0.33,0.34,0.37,,,0.35,0.36,0.34,0.34,0.37,0.39,0.37,0.36,0.37,0.38
Debt to Equity Ratio,0.36,0.41,0.50,0.77,0.59,0.50,0.53,0.59,,,0.53,0.56,0.53,0.52,0.58,0.63,0.59,0.56,0.60,0.62
Interest Coverage Ratio,71.6,96.0,78.2,65.8,43.0,26.0,32.6,21.1,,,13.3,40.9,57.7,16.9,19.3,24.5,22.2,11.3,,39.1
Cash and Short Term Investments,234.5,110.7,322.5,541.0,685.3,438.4,464.1,351.9,,,410.2,453.1,464.1,488.6,304.8,432.2,351.9,309.7,276.9,520.5
"Total Receivables, Net",575.5,661.2,926.6,"1,342",758.6,578.2,536.4,764.4,,,523.6,524.7,536.4,470.7,521.2,572.2,764.4,709.5,630.7,521.4
Total Inventory,878.0,"1,093","1,210","1,374","1,270","1,211","1,379","1,248",,,"1,319","1,380","1,379","1,434","1,502","1,465","1,248","1,250","1,300","1,312"
Total Current Assets,"1,746","1,944","2,569","3,406","2,853","2,353","2,540","2,530",,,"2,389","2,523","2,540","2,547","2,481","2,622","2,530","2,472","2,407","2,554"
"Property/Plant/Equipment, Total - Net",499.3,483.8,481.3,"1,117",650.8,786.8,743.2,709.5,,,763.3,749.6,743.2,744.9,751.4,741.3,709.5,689.0,669.8,652.3
Total Assets,"3,159","3,577","4,234","5,157","4,086","3,656","3,894","3,784",,,"3,737","3,877","3,894","3,935","3,803","3,903","3,784","3,768","3,648","3,751"
Accounts Payable,269.5,327.4,317.3,517.7,300.5,243.2,295.4,299.4,,,246.3,271.0,295.4,244.7,304.1,242.0,299.4,207.1,210.3,278.8
Accrued Expenses,45.8,33.7,52.5,86.2,39.2,109.0,21.3,27.2,,,83.8,77.7,21.3,18.4,18.8,18.8,27.2,24.1,27.4,16.2
Debt Due,2.65,66.2,11.1,171.3,116.3,152.6,167.4,346.7,,,125.7,106.1,167.4,188.2,200.5,247.9,346.7,323.5,225.3,202.5
Total Current Liabilities,722.4,910.3,"1,282","1,789","1,360","1,050","1,166","1,215",,,"1,129","1,225","1,166","1,165","1,218","1,328","1,215","1,169","1,149","1,217"
Long Term Debt,,,,132.2,,,,,,,,,,,,,,,,
Total Liabilities,822.5,"1,030","1,407","2,072","1,499","1,211","1,335","1,394",,,"1,293","1,392","1,335","1,338","1,389","1,503","1,394","1,353","1,358","1,427"
Common Stock,832.4,800.0,750.0,750.0,750.0,750.0,750.0,750.0,,,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0
Additional Paid-In Capital,733.6,733.6,879.5,879.5,879.5,879.5,879.5,879.5,,,879.5,879.5,879.5,879.5,879.5,879.5,879.5,879.5,879.5,879.5
Retained Earnings (Accumulated Deficit),"1,081","1,139",988.7,"1,026",915.4,792.1,820.5,732.7,,,719.9,737.4,820.5,839.1,725.4,705.7,732.7,756.8,683.4,739.4
Shareholders' Equity,"2,313","2,512","2,789","2,687","2,541","2,431","2,536","2,372",,,"2,424","2,467","2,536","2,574","2,392","2,381","2,372","2,402","2,277","2,312"
Cash from Operating Activities,477.9,254.9,447.7,514.8,467.4,158.7,261.3,9.55,,,151.9,63.9,64.3,42.3,-22.3,29.3,-39.7,52.8,172.5,276.1
Cash from Investing Activities,-100.2,-36.9,-36.9,412.0,532.6,-215.7,-40.9,-114.1,,,0.082,13.4,-21.0,-40.8,-18.6,-2.52,-52.1,-76.1,-16.9,-1.63
Cash from Financing Activities,-356.1,-262.0,-199.3,-756.7,-843.0,-230.0,-169.5,-47.8,,,-90.7,-19.6,-13.7,20.8,-137.6,45.3,23.8,-23.2,-173.2,-22.8
Net Change in Cash,21.6,-44.0,211.4,170.2,156.9,-286.9,50.9,-152.3,,,61.3,57.7,29.6,22.3,-178.6,72.1,-68.1,-46.5,-17.7,251.7
Free Cashflows,366.7,188.5,373.4,266.3,233.8,-107.2,218.6,-62.7,,,142.5,54.8,54.1,21.5,-53.5,16.8,-47.4,49.7,173.5,268.4
Free Cashflow per Share,0.51,0.26,0.50,0.36,0.31,-0.14,0.29,-0.084,,,0.19,0.073,0.072,0.029,-0.071,0.022,-0.063,0.066,0.23,0.36
