,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,3.21,5.71,8.41,13.1,13.4,11.3,7.08,5.06,,,10.3,10.2,7.78,7.25,5.50,5.08,5.20,5.80,5.45,4.41
Earnings per Share,0.20,0.28,0.37,0.41,0.49,0.41,0.052,0.48,,,0.10,0.12,-0.20,0.11,0.12,0.14,0.12,0.060,0.050,0.043
Revenue per Share,3.21,3.56,4.10,5.49,6.13,5.47,7.82,9.88,,,1.56,1.99,2.82,2.46,2.36,2.55,2.51,2.13,2.37,3.38
Dividend per Share,0.083,0.11,0.030,0.015,0.17,0.13,0.037,0.14,,,,,0.037,,,,0.14,,,
Capital Expenditures per Share,0.015,0.26,0.63,1.46,1.73,0.94,1.38,1.70,,,0.31,0.31,0.44,0.55,0.28,0.40,0.46,0.30,0.63,-0.071
Book Value per Share,1.64,1.84,2.61,3.02,3.61,4.83,4.73,5.15,,,4.82,4.94,4.73,4.84,4.89,5.03,5.15,5.08,4.94,4.99
Price to Earnings Ratio,8.48,17.0,15.9,26.6,24.1,29.2,125.8,10.2,,,28.8,29.2,156.1,48.2,34.9,29.5,10.1,11.4,13.7,15.7
Price to Book Value Ratio,1.03,3.04,2.61,3.53,3.05,2.47,1.28,0.92,,,2.06,1.83,1.28,0.96,1.04,0.81,0.92,1.10,0.96,0.76
EV to EBITDA,2.39,7.98,9.07,14.4,12.9,15.7,15.7,8.34,,,12.3,13.2,15.7,12.6,11.9,11.5,8.34,8.77,8.28,8.17
Dividend Payout Ratio,41.5%,37.8%,8.0%,3.6%,35.1%,32.3%,71.6%,29.2%,,,,,88.8%,,,,28.7%,,,
Common Shares Outstanding,412.5,412.5,487.5,489.5,502.0,543.6,543.6,543.6,,,543.6,543.6,543.6,543.6,543.6,543.6,543.6,543.6,543.6,543.6
Total Revenue,"1,326","1,468","1,997","2,688","3,079","2,972","4,251","5,370",,,848.4,"1,082","1,531","1,338","1,281","1,386","1,365","1,158","1,290","1,835"
"Cost of Revenue, Total","1,044","1,126","1,527","2,093","2,340","2,254","3,621","4,397",,,647.0,860.3,"1,505","1,113","1,036","1,139","1,109",894.0,"1,036","1,566"
Gross Profit,281.6,341.2,469.7,594.7,738.7,718.2,629.4,973.2,,,201.4,221.9,25.7,224.4,244.6,247.4,256.7,263.5,253.9,269.0
"Selling/General/Administrative Expenses, Total",164.8,187.8,258.7,319.7,366.8,388.0,472.6,462.7,,,103.5,107.6,120.8,109.0,119.8,106.1,127.8,122.9,127.4,124.3
Operating Income,116.9,153.4,211.0,275.0,371.8,330.2,156.7,510.4,,,97.9,114.4,-95.1,115.5,124.8,141.3,128.9,140.7,126.5,144.6
Net Income,82.0,116.5,166.8,210.7,265.6,220.9,28.1,261.0,,,56.4,66.6,-107.1,57.2,63.3,76.7,63.8,33.4,27.0,23.2
EBITDA,130.2,167.9,236.7,343.9,483.5,474.3,336.9,728.1,,,141.8,161.3,-47.5,164.0,180.0,197.2,188.3,194.0,185.9,211.8
Gross Profit Margin,21.2%,23.2%,23.5%,22.1%,24.0%,24.2%,14.8%,18.1%,,,23.7%,20.5%,1.7%,16.8%,19.1%,17.8%,18.8%,22.8%,19.7%,14.7%
Operating Margin,8.8%,10.5%,10.6%,10.2%,12.1%,11.1%,3.7%,9.5%,,,11.5%,10.6%,-6.2%,8.6%,9.7%,10.2%,9.4%,12.2%,9.8%,7.9%
Net Profit Margin,6.2%,7.9%,8.4%,7.8%,8.6%,7.4%,0.7%,4.9%,,,6.7%,6.2%,-7.0%,4.3%,4.9%,5.5%,4.7%,2.9%,2.1%,1.3%
Return on Assets,9.1%,11.8%,10.2%,7.5%,7.7%,4.8%,0.4%,3.1%,,,3.0%,2.9%,0.4%,1.0%,1.0%,1.0%,2.8%,2.5%,2.0%,1.4%
Return on Equity,12.1%,15.3%,13.1%,14.2%,14.7%,8.4%,1.1%,9.3%,,,2.2%,2.5%,-4.2%,2.2%,2.4%,2.8%,2.3%,1.2%,1.0%,0.9%
Return on Total Capital,12.1%,15.3%,12.9%,11.1%,10.2%,5.8%,0.7%,5.4%,,,4.5%,4.4%,0.7%,1.8%,1.9%,1.8%,5.4%,5.0%,5.2%,3.9%
SG&A to Sale,12.4%,12.8%,13.0%,11.9%,11.9%,13.1%,11.1%,8.6%,,,12.2%,9.9%,7.9%,8.1%,9.4%,7.7%,9.4%,10.6%,9.9%,6.8%
Depreciation & Amortisation,13.3,14.5,25.7,68.9,111.6,144.1,180.2,217.6,,,43.9,46.9,47.6,48.5,55.3,55.9,59.5,53.3,59.3,67.1
Tax Rate,29.8%,24.1%,20.6%,19.2%,20.4%,20.4%,19.5%,20.9%,,,19.3%,19.9%,20.5%,21.7%,20.8%,20.8%,20.5%,20.4%,19.1%,23.7%
Current Ratio,3.67,2.86,1.41,1.05,1.40,2.14,1.53,1.25,,,1.99,1.83,1.53,1.37,1.25,1.39,1.25,1.24,1.00,0.95
Quick Ratio,2.06,1.53,0.93,0.64,0.71,1.36,0.92,0.85,,,1.39,0.86,0.92,0.92,0.84,0.91,0.85,0.74,0.64,0.60
Days Inventory Outstanding,31.7,40.0,37.3,33.1,34.4,40.5,35.9,40.9,,,42.6,38.4,36.8,36.2,35.7,43.5,49.2,55.5,65.1,57.3
Days Sale Outstanding,67.7,59.8,141.7,128.4,54.3,125.7,187.2,225.5,,,139.5,141.3,187.2,185.4,211.8,229.5,225.5,227.9,252.9,234.1
Days Payable Outstanding,37.9,7.98,61.8,109.2,94.6,91.3,88.6,93.3,,,114.8,113.2,102.4,98.1,102.1,108.6,109.3,95.9,100.7,92.3
Cash Conversion Cycle,112.0,92.0,13.7,17.4,47.3,21.8,65.5,132.4,,,56.0,48.4,82.7,112.5,116.7,149.4,186.6,199.9,196.6,210.1
Debt to Asset Ratio,0.24,0.29,0.42,0.56,0.47,0.44,0.55,0.63,,,0.47,0.49,0.55,0.57,0.62,0.64,0.63,0.65,0.67,0.68
Debt to Equity Ratio,0.32,0.40,0.72,1.30,0.90,0.95,1.54,2.15,,,1.09,1.19,1.54,1.63,2.00,2.24,2.15,2.34,2.59,2.67
Interest Coverage Ratio,,,,18.8,10.1,7.41,2.37,5.34,,,6.22,6.65,,5.54,5.41,5.94,4.63,4.88,3.65,3.87
Cash and Short Term Investments,368.9,421.6,272.6,378.1,425.2,"1,457",932.4,591.7,,,"1,198","1,238",932.4,698.0,559.4,681.3,591.7,739.0,531.7,617.6
"Total Receivables, Net",246.1,240.5,775.0,945.6,457.9,"1,023","2,180","3,318",,,"1,236","1,400","2,180","2,438","3,036","3,481","3,318","3,240","3,602","3,623"
Total Inventory,102.2,145.0,166.9,213.2,228.6,271.7,440.6,545.5,,,303.9,290.0,440.6,378.1,504.4,639.0,545.5,725.4,764.5,680.9
Total Current Assets,741.3,819.7,"1,229","1,563","1,147","2,806","3,624","4,909",,,"2,932","3,133","3,624","3,777","4,666","5,464","4,909","5,492","5,713","5,832"
"Property/Plant/Equipment, Total - Net",148.1,244.7,714.5,"1,747","2,272","2,768","3,327","3,986",,,"3,012","3,192","3,327","3,577","3,751","3,889","3,986","4,145","4,352","4,213"
Total Assets,895.5,"1,070","2,193","3,408","3,450","5,672","7,130","9,467",,,"6,049","6,466","7,130","7,536","8,614","9,510","9,467","9,879","10,340","10,669"
Accounts Payable,21.5,27.8,489.3,762.9,450.7,677.2,"1,081","1,166",,,799.1,951.0,"1,081","1,137","1,387","1,466","1,166","1,028","1,278","1,051"
Accrued Expenses,12.0,6.82,55.7,242.2,175.0,74.0,103.2,117.4,,,66.8,60.1,103.2,78.9,66.8,108.3,117.4,79.5,81.5,100.3
Debt Due,0.00,0.00,0.001,247.1,57.1,139.9,464.3,"1,748",,,174.3,235.0,464.3,789.4,"1,334","1,453","1,748","2,222","3,296","3,931"
Total Current Liabilities,202.1,287.1,871.1,"1,487",816.5,"1,313","2,373","3,917",,,"1,477","1,710","2,373","2,765","3,732","3,932","3,917","4,427","5,728","6,107"
Long Term Debt,,,24.2,412.5,802.2,"1,153","1,557","2,075",,,"1,355","1,461","1,557","1,502","1,572","2,177","2,075","2,002","1,210","1,102"
Total Liabilities,218.1,306.0,919.7,"1,925","1,635","2,484","3,951","6,011",,,"2,847","3,187","3,951","4,288","5,327","6,133","6,011","6,449","6,964","7,250"
Common Stock,100.0,100.0,130.0,261.0,334.7,362.4,362.4,543.6,,,362.4,362.4,362.4,362.4,543.6,543.6,543.6,543.6,543.6,543.6
Additional Paid-In Capital,141.4,141.4,507.8,517.3,576.5,770.9,770.9,770.9,,,770.9,770.9,770.9,770.9,770.9,770.9,770.9,770.9,770.9,770.9
Retained Earnings (Accumulated Deficit),436.0,518.5,633.2,701.9,899.9,"1,030",978.9,"1,021",,,"1,026","1,093",978.9,"1,036",880.8,957.5,"1,021",983.3,911.5,934.7
Shareholders' Equity,677.5,759.9,"1,271","1,480","1,811","2,625","2,574","2,797",,,"2,621","2,687","2,574","2,631","2,657","2,733","2,797","2,759","2,687","2,711"
Cash from Operating Activities,126.5,181.2,25.9,168.7,667.8,97.2,-335.7,-684.7,,,-69.2,75.6,-324.8,-282.5,-241.2,-232.3,71.4,-75.8,-44.8,-177.3
Cash from Investing Activities,-47.1,-126.6,-464.7,-601.3,-739.5,"-1,225",-7.25,"-1,291",,,-167.7,558.4,-221.0,-281.2,-440.9,-323.6,-245.1,-163.8,-341.7,-162.5
Cash from Financing Activities,-28.0,-34.0,361.0,482.8,180.4,"1,517",568.2,"1,643",,,-14.2,150.0,301.3,230.1,550.9,699.2,163.3,338.8,143.5,488.4
Net Change in Cash,51.4,24.9,-77.8,50.2,108.7,389.7,225.2,-332.2,,,-251.1,784.0,-244.5,-333.7,-131.2,143.2,-10.4,99.2,-243.0,148.6
Free Cashflows,120.5,75.3,-283.4,-547.8,-202.4,-412.8,"-1,087","-1,609",,,-236.7,-92.2,-563.9,-581.8,-395.0,-450.9,-181.0,-239.4,-385.0,-139.0
Free Cashflow per Share,0.29,0.18,-0.58,-1.12,-0.40,-0.76,-2.00,-2.96,,,-0.44,-0.17,-1.04,-1.07,-0.73,-0.83,-0.33,-0.44,-0.71,-0.26
