,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.15,1.02,0.76,1.75,0.53,0.70,0.60,0.66,,,0.71,0.85,0.69,0.58,0.49,0.60,0.76,0.65,0.55,0.55
Earnings per Share,-0.70,-0.45,-0.060,-0.26,0.017,-0.22,-0.13,-0.066,,,-0.043,-0.049,-0.021,-0.022,-0.001,-0.024,-0.019,-0.014,0.050,-0.040
Revenue per Share,2.72,3.14,2.29,1.46,0.75,0.63,0.60,0.52,,,0.16,0.19,0.14,0.13,0.17,0.13,0.091,0.071,0.050,0.074
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.008,0.003,0.002,0.003,0.000,0.000,0.000,0.000,,,0.000,0.000,0.000,0.00,0.000,0.000,0.000,0.001,0.002,0.004
Book Value per Share,0.48,0.24,0.35,0.21,0.44,0.27,0.19,0.14,,,0.21,0.16,0.19,0.18,0.17,0.16,0.14,0.12,0.18,0.13
Price to Earnings Ratio,,,,,28.7,,,,,,,,,,,,,,,
Price to Book Value Ratio,1.91,2.53,1.73,8.81,1.03,1.90,3.21,5.02,,,3.46,4.31,3.21,2.88,2.35,3.45,5.02,4.57,2.77,3.78
EV to EBITDA,0.00,-1.64,23.3,-162.0,9.11,-2.55,-5.83,-10.0,,,-2.46,-3.71,-5.83,-5.11,-6.49,-5.85,-10.0,-10.8,-4.16,0.22
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,310.4,395.7,395.7,446.9,744.8,918.1,"1,052","1,082",,,918.1,918.1,"1,052","1,052","1,082","1,082","1,082","1,082","1,082","1,082"
Total Revenue,844.2,"1,244",907.6,651.0,556.8,575.0,629.6,561.2,,,150.0,172.9,151.3,141.8,182.7,138.1,98.7,76.4,54.5,80.0
"Cost of Revenue, Total",918.2,"1,254",763.9,505.9,385.1,581.4,610.6,336.2,,,156.0,180.7,134.1,108.4,99.7,76.0,52.8,41.9,68.4,74.3
Gross Profit,-74.0,-10.4,143.8,145.2,171.7,-6.40,19.0,225.0,,,-5.93,-7.79,17.1,33.4,83.0,62.1,45.9,34.5,-13.9,5.62
"Selling/General/Administrative Expenses, Total",116.2,110.4,121.1,129.8,153.8,168.4,127.5,290.1,,,31.0,36.5,33.6,55.4,83.3,87.4,65.2,49.9,61.7,30.2
Operating Income,-215.4,-137.5,5.55,-9.84,15.0,-178.6,-112.0,-69.0,,,-37.5,-44.7,-17.7,-22.1,-1.14,-26.4,-20.5,-15.0,-76.4,-25.5
Net Income,-218.1,-152.0,-23.8,-109.9,10.2,-183.4,-115.6,-71.0,,,-39.4,-44.6,-19.5,-22.8,-1.08,-26.3,-20.8,-15.0,54.1,-43.1
EBITDA,-209.7,-132.4,9.61,-1.99,22.2,-176.0,-110.0,-67.1,,,-37.2,-44.4,-16.6,-21.8,-0.84,-26.1,-21.0,-14.1,-75.4,"2,946"
Gross Profit Margin,-8.8%,-0.8%,15.8%,22.3%,30.8%,-1.1%,3.0%,40.1%,,,-4.0%,-4.5%,11.3%,23.5%,45.4%,44.9%,46.5%,45.2%,-25.6%,7.0%
Operating Margin,-25.5%,-11.1%,0.6%,-1.5%,2.7%,-31.1%,-17.8%,-12.3%,,,-25.0%,-25.8%,-11.7%,-15.6%,-0.6%,-19.1%,-20.8%,-19.7%,-140.3%,-31.9%
Net Profit Margin,-25.8%,-12.2%,-2.6%,-16.9%,1.8%,-31.9%,-18.4%,-12.6%,,,-26.3%,-25.8%,-12.9%,-16.1%,-0.6%,-19.1%,-21.0%,-19.6%,99.3%,-53.9%
Return on Assets,-4.4%,-2.8%,-0.4%,-3.0%,0.6%,-11.4%,-7.0%,-5.0%,,,-9.0%,-11.0%,-7.1%,-7.7%,-5.6%,-4.6%,-5.4%,-5.6%,-0.7%,-2.3%
Return on Equity,-147.4%,-157.9%,-17.1%,-119.7%,3.1%,-72.9%,-58.8%,-47.7%,,,-20.6%,-29.9%,-9.9%,-12.0%,-0.6%,-15.6%,-14.0%,-11.1%,27.7%,-30.1%
Return on Total Capital,-147.4%,-157.9%,-17.1%,-119.7%,3.1%,-72.9%,-58.8%,-47.7%,,,-76.1%,-119.1%,-58.8%,-66.4%,-46.7%,-41.2%,-47.7%,-46.8%,-4.1%,-17.3%
SG&A to Sale,13.8%,8.9%,13.3%,19.9%,27.6%,29.3%,20.3%,51.7%,,,20.7%,21.1%,22.2%,39.1%,45.6%,63.3%,66.1%,65.3%,113.3%,37.7%
Depreciation & Amortisation,5.75,5.09,4.07,7.84,7.11,2.62,1.96,1.86,,,0.30,0.30,1.06,0.30,0.30,0.30,-0.42,0.87,0.98,"2,971"
Tax Rate,4.2%,0.0%,-30.9%,-456.9%,32.0%,-2.7%,-3.2%,-2.9%,,,-5.1%,0.1%,-10.4%,-3.0%,5.1%,0.2%,-1.0%,0.4%,170.8%,-69.1%
Current Ratio,0.88,0.89,0.95,0.88,0.99,0.97,0.92,0.87,,,0.94,0.92,0.92,0.93,0.93,0.91,0.87,0.85,0.71,0.69
Quick Ratio,0.045,0.048,0.071,0.24,0.25,0.25,0.26,0.18,,,0.28,0.28,0.26,0.27,0.25,0.19,0.18,0.18,0.16,0.19
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,98.9,77.7,154.0,196.2,199.6,197.6,217.6,106.3,,,237.9,220.7,217.6,213.0,174.9,134.4,106.3,115.4,130.3,186.1
Days Payable Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash Conversion Cycle,7.32,16.8,69.0,131.8,120.3,55.4,31.4,31.8,,,30.5,30.7,29.8,26.4,25.3,24.5,29.5,45.8,62.0,67.1
Debt to Asset Ratio,0.97,0.98,0.98,0.94,0.80,0.84,0.88,0.87,,,0.89,0.90,0.88,0.88,0.88,0.88,0.87,0.88,0.82,0.87
Debt to Equity Ratio,34.4,58.5,39.7,16.9,3.98,5.29,7.64,6.75,,,7.70,9.44,7.64,7.37,7.22,7.59,6.75,7.06,4.61,6.59
Interest Coverage Ratio,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,37.2,44.4,69.5,25.7,140.8,56.7,115.2,59.5,,,64.7,181.1,115.2,48.2,39.0,69.6,59.5,47.5,30.5,29.1
"Total Receivables, Net",228.7,264.8,382.9,349.9,304.5,311.3,375.3,163.5,,,380.6,364.3,375.3,359.5,310.9,226.0,163.5,156.7,131.2,157.8
Total Inventory,,,,,,,,,,,,,,,,,,,,
Total Current Assets,"4,450","4,927","5,135","1,264","1,187","1,185","1,309",804.3,,,"1,288","1,192","1,309","1,223","1,177","1,072",804.3,739.1,575.1,586.7
"Property/Plant/Equipment, Total - Net",101.0,99.4,176.6,128.0,120.9,147.2,145.5,146.7,,,146.3,145.9,145.5,145.0,144.6,144.9,146.7,150.4,159.1,160.9
Total Assets,"5,240","5,727","5,650","1,644","1,629","1,583","1,697","1,153",,,"1,660","1,557","1,697","1,592","1,550","1,452","1,153","1,087","1,095","1,086"
Accounts Payable,,,,,,,,,,,,,,,,,,,,
Accrued Expenses,41.2,34.1,32.4,28.2,33.5,39.5,52.8,42.2,,,51.9,48.8,52.8,55.3,56.5,54.2,42.2,43.2,40.7,43.0
Debt Due,0.00,0.00,0.00,0.00,0.00,0.00,30.0,0.00,,,0.00,0.00,30.0,30.0,30.0,30.1,0.00,0.00,70.0,90.0
Total Current Liabilities,"5,055","5,510","5,393","1,434","1,197","1,225","1,420",927.3,,,"1,365","1,298","1,420","1,321","1,262","1,181",927.3,872.9,811.6,851.8
Long Term Debt,,,,,,,,,,,,,,,,,,,,
Total Liabilities,"5,092","5,630","5,511","1,552","1,302","1,331","1,500","1,004",,,"1,469","1,408","1,500","1,402","1,361","1,283","1,004",952.4,899.3,943.0
Common Stock,310.4,395.7,395.7,446.9,744.8,918.1,"1,052","1,082",,,918.1,918.1,"1,052","1,052","1,082","1,082","1,082","1,082","1,082",540.9
Additional Paid-In Capital,70.0,70.0,70.0,70.0,,,,,,,,,,,,,,,,
Retained Earnings (Accumulated Deficit),-239.2,-391.2,-413.8,-515.7,-501.6,-683.7,-798.9,-865.7,,,-735.2,-779.6,-798.9,-821.4,-822.3,-845.2,-865.7,-880.4,-826.1,-497.4
Shareholders' Equity,148.0,96.3,138.8,91.8,326.9,251.6,196.4,148.7,,,190.8,149.1,196.4,190.2,188.6,169.1,148.7,134.9,195.3,143.0
Cash from Operating Activities,74.6,-70.1,-278.9,-250.6,-66.1,-160.0,-51.0,-41.7,,,27.6,116.5,-176.5,-84.6,-9.20,32.3,19.8,-11.2,-82.7,-17.3
