,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,8.80,8.95,7.85,15.8,13.0,9.20,9.43,10.1,8.28,,9.40,9.58,9.23,9.08,10.6,10.6,9.23,8.45,7.50,7.20
Earnings per Share,1.22,-0.50,0.22,0.34,-1.15,-0.26,0.18,-0.010,-0.46,,-0.14,-0.020,0.070,-0.15,0.12,0.12,-0.35,-0.15,-0.082,-0.25
Revenue per Share,35.5,30.1,23.7,24.1,18.9,16.7,17.8,21.7,18.9,,4.54,5.19,5.27,5.30,5.96,5.20,4.92,4.29,4.48,3.23
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.017,0.22,0.20,0.031,0.018,0.006,0.092,0.035,0.076,,0.070,0.008,0.00,0.003,0.024,0.044,0.026,0.018,-0.011,0.015
Book Value per Share,22.8,21.3,20.8,23.8,22.8,22.6,26.5,26.7,26.2,,26.5,26.5,26.6,26.4,26.7,26.8,26.5,26.4,26.2,25.9
Price to Earnings Ratio,7.44,,33.2,49.4,,,49.2,,,,44.2,179.0,131.6,,559.3,57.6,,,,
Price to Book Value Ratio,0.38,0.37,0.33,0.51,0.50,0.39,0.33,0.34,0.26,,0.33,0.34,0.34,0.31,0.34,0.34,0.33,0.31,0.26,0.25
EV to EBITDA,2.89,-1.06,-25.8,-21.7,-4.27,-4.57,-20.4,-5.19,-0.93,,-20.4,-5.46,-11.4,0.00,-5.19,-11.4,-2.50,-1.57,-0.93,0.11
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6,45.6
Total Revenue,"1,619","1,374","1,079","1,100",859.5,759.2,811.9,989.4,860.9,,206.8,236.4,240.1,241.5,271.4,237.0,224.2,195.7,204.0,147.0
"Cost of Revenue, Total","1,525","1,378","1,049","1,072",881.7,740.0,776.0,961.4,854.2,,206.2,228.7,230.4,241.9,260.4,224.6,232.5,194.5,202.6,153.6
Gross Profit,93.5,-3.80,30.5,28.2,-22.1,19.2,35.9,28.1,6.74,,0.65,7.68,9.72,-0.39,11.1,12.4,-8.27,1.26,1.38,-6.54
"Selling/General/Administrative Expenses, Total",58.4,51.3,41.8,44.3,47.8,42.5,41.0,42.0,39.2,,10.1,9.82,11.2,9.86,11.2,9.36,10.8,9.38,9.67,8.28
Operating Income,35.1,-55.1,-11.3,-16.1,-70.0,-23.3,-5.09,-14.0,-32.5,,-9.48,-2.14,-1.45,-10.3,-0.11,3.01,-19.1,-8.12,-8.28,-14.8
Net Income,55.8,-22.7,10.2,15.5,-52.2,-11.9,8.32,-0.43,-21.1,,-6.72,-0.91,3.08,-7.05,4.45,5.65,-16.1,-6.77,-3.88,-11.3
EBITDA,60.6,-39.4,-2.76,-9.51,-64.4,-17.9,-2.38,-11.9,-30.2,,-9.15,-1.55,-0.89,-9.75,0.26,3.61,-18.5,-7.54,-7.77,-14.3
Gross Profit Margin,5.8%,-0.3%,2.8%,2.6%,-2.6%,2.5%,4.4%,2.8%,0.8%,,0.3%,3.2%,4.0%,-0.2%,4.1%,5.2%,-3.7%,0.6%,0.7%,-4.4%
