,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,5.76,4.35,2.89,6.90,7.09,7.75,6.35,4.60,,,7.13,6.93,7.30,6.18,5.65,5.38,4.88,4.85,4.52,4.43
Earnings per Share,0.33,0.31,-0.049,-0.22,-0.021,0.052,0.22,0.34,,,0.080,0.050,0.033,0.055,0.096,0.12,0.065,0.11,0.081,0.11
Revenue per Share,2.65,3.25,2.85,2.41,1.24,1.49,1.95,3.75,,,0.55,0.47,0.45,0.60,0.91,1.32,0.92,1.00,0.77,1.36
Dividend per Share,0.36,0.15,,,,,,0.10,,,,,,,,,0.10,,,
Capital Expenditures per Share,0.69,0.94,0.21,0.087,0.031,0.028,0.065,0.038,,,0.007,0.017,0.031,0.005,0.010,0.010,0.013,0.008,0.018,0.003
Book Value per Share,2.70,2.86,2.66,2.45,1.73,1.78,2.00,2.33,,,1.92,1.97,2.00,2.06,2.15,2.27,2.33,2.44,2.52,2.63
Price to Earnings Ratio,17.4,16.0,,,,141.7,32.5,13.8,,,27.2,19.3,31.3,27.9,22.0,16.4,14.0,12.2,11.2,11.2
Price to Book Value Ratio,2.24,1.67,0.82,1.37,2.79,4.19,3.00,2.00,,,3.44,3.50,3.00,2.50,2.44,2.10,2.00,1.92,1.59,1.67
EV to EBITDA,9.90,7.57,8.62,12.2,23.6,31.3,14.0,7.96,,,14.1,12.0,14.0,13.5,11.8,9.51,7.96,6.75,6.38,5.71
Dividend Payout Ratio,110.5%,48.8%,,,,,,29.4%,,,,,,,,,29.8%,,,
Common Shares Outstanding,330.0,330.0,330.0,330.0,660.0,660.0,660.0,660.0,,,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0
Total Revenue,875.1,"1,073",942.0,796.7,820.3,984.9,"1,285","2,477",,,362.8,309.3,300.1,395.2,600.4,874.3,606.9,657.7,509.0,896.1
"Cost of Revenue, Total",666.0,815.5,858.8,768.9,727.7,787.0,994.2,"2,047",,,278.5,242.5,243.2,313.3,490.1,736.5,507.1,516.8,399.5,768.1
Gross Profit,209.1,257.7,83.2,27.8,92.6,197.9,290.5,429.8,,,84.3,66.8,56.9,81.9,110.3,137.8,99.8,140.8,109.5,128.0
"Selling/General/Administrative Expenses, Total",112.2,137.6,101.2,93.5,92.7,151.6,123.6,167.4,,,29.0,31.2,36.7,38.7,39.9,41.9,46.7,43.2,46.2,43.6
Operating Income,96.8,120.1,-17.9,-63.9,-0.093,46.3,166.9,262.5,,,55.3,35.6,20.2,43.2,70.4,96.0,53.0,97.6,63.3,84.4
Net Income,88.7,101.5,-16.3,-73.8,-7.49,34.5,148.4,221.5,,,50.6,33.2,21.0,36.4,63.1,79.1,42.9,69.8,53.5,72.1
EBITDA,195.8,266.6,119.3,79.3,139.3,190.4,301.8,378.9,,,89.0,69.1,52.9,73.8,99.6,124.8,80.7,123.1,88.9,109.4
Gross Profit Margin,23.9%,24.0%,8.8%,3.5%,11.3%,20.1%,22.6%,17.4%,,,23.2%,21.6%,19.0%,20.7%,18.4%,15.8%,16.4%,21.4%,21.5%,14.3%
Operating Margin,11.1%,11.2%,-1.9%,-8.0%,0.0%,4.7%,13.0%,10.6%,,,15.2%,11.5%,6.7%,10.9%,11.7%,11.0%,8.7%,14.8%,12.4%,9.4%
Net Profit Margin,10.1%,9.5%,-1.7%,-9.3%,-0.9%,3.5%,11.5%,8.9%,,,14.0%,10.7%,7.0%,9.2%,10.5%,9.0%,7.1%,10.6%,10.5%,8.0%
Return on Assets,7.7%,7.0%,-1.1%,-5.6%,-0.6%,2.2%,8.3%,9.3%,,,8.9%,10.0%,7.9%,7.3%,6.7%,7.3%,7.6%,8.7%,8.2%,7.5%
Return on Equity,10.0%,10.8%,-1.9%,-9.1%,-0.7%,2.9%,11.2%,14.4%,,,4.0%,2.6%,1.6%,2.7%,4.4%,5.3%,2.8%,4.3%,3.2%,4.2%
Return on Total Capital,10.0%,7.9%,-1.4%,-7.5%,-0.6%,2.9%,10.6%,13.8%,,,12.6%,13.4%,10.6%,9.8%,10.3%,12.7%,13.8%,15.2%,14.2%,13.2%
SG&A to Sale,12.8%,12.8%,10.7%,11.7%,11.3%,15.4%,9.6%,6.8%,,,8.0%,10.1%,12.2%,9.8%,6.6%,4.8%,7.7%,6.6%,9.1%,4.9%
Depreciation & Amortisation,98.9,146.5,137.2,143.2,139.4,144.1,134.9,116.4,,,33.7,33.5,32.7,30.6,29.2,28.9,27.7,25.4,25.6,25.0
Tax Rate,1.4%,0.9%,-54.3%,-0.6%,-37.9%,17.7%,10.5%,12.8%,,,11.9%,9.7%,-5.0%,4.7%,4.0%,16.8%,24.2%,17.1%,17.3%,21.7%
Current Ratio,0.90,1.58,1.46,1.50,2.18,1.50,2.70,1.72,,,1.94,2.42,2.70,2.50,1.71,1.63,1.72,1.79,1.86,1.78
Quick Ratio,0.33,0.68,0.66,0.63,0.61,0.75,1.09,1.21,,,0.95,1.15,1.09,1.17,0.91,1.05,1.21,0.98,1.01,0.97
Days Inventory Outstanding,68.5,82.2,74.1,53.7,42.4,39.7,34.1,17.5,,,38.1,37.3,36.8,31.8,40.3,32.1,19.3,15.3,17.2,22.4
Days Sale Outstanding,56.0,65.1,64.2,59.9,57.4,89.3,85.1,189.6,,,97.8,98.8,85.1,109.6,179.6,199.0,189.6,141.4,149.2,174.6
Days Payable Outstanding,57.3,42.3,41.0,43.0,41.5,41.3,40.3,79.0,,,25.5,49.0,45.9,52.8,99.2,131.9,138.0,107.5,107.4,127.4
Cash Conversion Cycle,75.8,93.3,103.3,80.2,61.1,61.8,67.2,-2.37,,,78.5,82.4,84.7,61.4,32.8,38.3,64.5,81.1,44.5,47.7
Debt to Asset Ratio,0.32,0.40,0.38,0.33,0.20,0.22,0.21,0.41,,,0.21,0.23,0.21,0.24,0.38,0.43,0.41,0.40,0.39,0.43
Debt to Equity Ratio,0.48,0.67,0.62,0.50,0.25,0.32,0.30,0.77,,,0.30,0.33,0.30,0.35,0.70,0.83,0.77,0.75,0.72,0.83
Interest Coverage Ratio,8.14,6.89,,,,2.55,18.4,30.7,,,23.0,16.8,8.52,19.2,32.3,46.5,25.8,40.2,42.0,43.1
Cash and Short Term Investments,78.2,39.2,57.5,93.0,247.0,141.7,319.9,437.1,,,221.5,256.9,319.9,349.5,359.3,374.3,437.1,597.9,614.7,625.3
"Total Receivables, Net",134.3,191.4,165.6,130.8,129.0,241.0,299.5,"1,287",,,319.4,345.2,299.5,410.5,789.7,"1,183","1,287","1,061","1,082","1,277"
Total Inventory,159.0,208.1,140.7,85.7,83.4,87.8,98.0,98.4,,,92.7,102.6,98.0,89.5,195.3,118.2,98.4,90.5,112.7,156.8
Total Current Assets,372.3,442.2,368.8,313.3,463.2,484.6,737.6,"1,822",,,653.2,727.5,737.6,876.3,"1,487","1,831","1,822","1,932","1,992","2,329"
"Property/Plant/Equipment, Total - Net",950.6,"1,141","1,046",897.7,779.1,"1,054",961.3,876.3,,,996.7,988.8,961.3,937.3,916.1,894.9,876.3,857.2,844.7,821.7
Total Assets,"1,329","1,588","1,421","1,214","1,429","1,706","1,872","2,887",,,"1,811","1,884","1,872","1,982","2,579","2,914","2,887","2,971","3,021","3,333"
Accounts Payable,90.0,98.9,94.1,87.3,78.0,100.1,119.2,767.1,,,125.8,130.8,119.2,192.4,508.7,780.3,767.1,559.0,712.6,817.0
Accrued Expenses,13.3,13.5,2.01,8.27,13.8,19.3,27.0,32.6,,,15.4,22.0,27.0,9.25,27.6,30.8,32.6,34.0,48.2,50.2
Debt Due,144.0,125.4,120.7,106.2,110.9,179.8,101.1,85.5,,,162.0,98.4,101.1,87.6,84.0,84.7,85.5,86.2,113.4,127.0
Total Current Liabilities,414.1,280.6,252.1,208.9,212.1,322.3,273.7,"1,061",,,337.3,301.0,273.7,350.6,867.0,"1,126","1,061","1,080","1,070","1,312"
Long Term Debt,,340.1,271.3,180.0,69.1,0.31,78.7,71.6,,,0.97,80.7,78.7,77.6,74.9,73.7,71.6,68.6,65.6,64.4
Total Liabilities,426.6,635.7,539.5,405.2,289.9,370.4,401.3,"1,185",,,386.1,429.6,401.3,477.3,991.3,"1,249","1,185","1,202","1,192","1,434"
Common Stock,300.0,330.0,330.0,330.0,660.0,660.0,660.0,660.0,,,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0,660.0
Additional Paid-In Capital,369.8,369.8,369.8,369.8,369.2,369.2,369.2,369.2,,,369.2,369.2,369.2,369.2,369.2,369.2,369.2,369.2,369.2,369.2
Retained Earnings (Accumulated Deficit),219.9,245.7,180.0,109.3,109.8,144.4,291.5,509.6,,,238.7,271.9,291.5,327.9,391.0,470.1,509.6,579.3,632.9,705.0
Shareholders' Equity,890.0,943.7,877.0,809.0,"1,139","1,174","1,321","1,539",,,"1,268","1,301","1,321","1,357","1,420","1,499","1,539","1,609","1,662","1,734"
Cash from Operating Activities,102.9,151.3,199.3,150.1,136.0,119.8,234.8,169.3,,,44.8,44.2,81.8,50.7,13.6,32.2,72.8,169.1,5.65,2.45
Cash from Investing Activities,-292.7,-464.8,-31.8,3.12,-205.2,-18.7,-51.0,-22.7,,,-1.50,-23.8,-18.6,-2.45,3.66,-15.9,1.58,-5.30,-12.2,-3.59
Cash from Financing Activities,210.0,276.5,-145.7,-116.1,223.2,-206.4,-5.54,-29.4,,,-18.4,14.9,-0.11,-18.6,-7.50,-1.18,-11.6,-3.01,23.4,11.7
Net Change in Cash,20.3,-37.6,18.3,35.4,154.0,-105.2,178.2,117.2,,,24.9,35.3,63.1,29.6,9.74,15.1,62.8,160.8,16.8,10.6
Free Cashflows,-125.6,-158.4,129.7,121.6,115.8,101.3,191.6,144.4,,,40.4,33.2,61.4,47.6,6.90,25.7,64.2,163.5,-6.30,0.25
Free Cashflow per Share,-0.38,-0.48,0.39,0.37,0.18,0.15,0.29,0.22,,,0.061,0.050,0.093,0.072,0.010,0.039,0.097,0.25,-0.010,0.000
