,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,74.4,76.6,136.8,,,,74.4,76.0,69.5,72.5,83.1,96.6,120.3,157.0,175.8
Earnings per Share,,,,-0.26,-0.50,0.23,3.18,1.42,,,0.32,0.38,0.55,0.80,-0.21,0.56,0.26,0.61,0.75,0.51
Revenue per Share,,,,0.36,0.32,0.11,2.04,8.05,,,0.19,0.71,1.12,1.61,1.88,2.09,2.47,3.07,3.35,3.91
Dividend per Share,,,,0.00,0.00,0.00,0.40,1.20,,,0.00,0.00,0.40,,,,1.20,,,
Capital Expenditures per Share,,,,0.16,3.78,9.32,8.91,8.69,,,2.36,1.99,2.19,1.86,1.38,2.23,3.23,2.77,1.75,0.31
Book Value per Share,,,,1.29,0.79,1.09,16.2,17.1,,,2.07,4.68,16.2,17.0,16.3,17.0,17.1,17.7,17.2,17.7
Price to Earnings Ratio,,,,,,,23.0,63.7,,,,54.2,40.2,33.2,45.0,44.6,64.2,84.5,66.5,78.4
Price to Book Value Ratio,,,,,,,4.18,5.58,,,,13.9,4.18,3.64,4.67,4.80,5.58,6.96,9.28,9.37
EV to EBITDA,,,,,,0.00,410.8,54.1,,,0.00,0.00,410.8,116.6,64.6,58.8,54.1,56.1,55.7,57.0
Dividend Payout Ratio,,,,0.0%,0.0%,0.0%,12.6%,84.5%,,,0.0%,0.0%,21.9%,,,,85.1%,,,
Common Shares Outstanding,,,,"2,133","2,133","2,133","2,133","2,133",,,"2,133","2,133","2,133","2,133","2,133","2,133","2,133","2,133","2,133","2,133"
Total Revenue,,,,773.2,687.1,241.0,"4,350","17,181",,,408.3,"1,510","2,388","3,436","4,020","4,458","5,268","6,554","7,144","8,338"
"Cost of Revenue, Total",,,,507.1,465.7,235.1,"3,286","12,681",,,338.3,"1,162","1,732","2,530","2,982","3,337","3,831","4,991","5,414","6,309"
Gross Profit,,,,266.1,221.4,5.92,"1,064","4,500",,,70.1,348.4,655.1,905.6,"1,037","1,121","1,436","1,563","1,730","2,029"
"Selling/General/Administrative Expenses, Total",,,,619.2,823.7,593.7,957.4,"1,490",,,332.9,208.8,277.7,230.2,397.9,403.4,458.1,366.1,383.5,407.4
Operating Income,,,,-353.0,-602.3,-587.7,106.8,"3,011",,,-262.9,139.6,377.5,675.4,639.3,717.8,978.3,"1,197","1,347","1,622"
Net Income,,,,-431.1,-811.4,417.6,"3,451","3,028",,,686.4,675.8,981.8,"1,708",-438.0,"1,205",553.3,"1,293","1,603","1,086"
EBITDA,,,,-351.5,-598.0,-585.0,474.7,"4,402",,,-233.5,269.3,584.9,966.6,971.1,"1,072","1,392","1,691","1,927","2,283"
