,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,20.5,37.5,38.0,39.1,35.9,38.6,45.1,37.0,,,35.8,39.8,49.9,44.3,36.8,36.0,38.0,37.6,37.3,33.6
Earnings per Share,0.54,0.74,0.90,1.03,1.12,1.13,1.29,1.24,,,0.26,0.30,0.39,0.34,0.23,0.28,0.38,0.32,0.25,0.31
Revenue per Share,20.8,23.9,27.0,29.5,32.3,35.9,38.7,40.0,,,9.42,9.51,10.1,10.0,9.61,9.74,10.6,10.8,10.8,10.6
Dividend per Share,0.53,0.63,0.80,0.77,0.85,0.85,0.96,0.96,,,0.40,0.00,0.56,,0.40,0.00,0.56,,0.40,0.00
Capital Expenditures per Share,0.67,0.58,0.57,1.24,1.14,1.02,0.64,0.47,,,0.18,0.18,0.18,0.066,0.073,0.12,0.21,0.12,0.095,0.14
Book Value per Share,2.02,2.26,2.30,2.66,2.96,3.28,3.66,3.90,,,3.38,3.27,3.66,3.97,3.66,3.52,3.90,4.24,3.91,3.81
Price to Earnings Ratio,28.0,32.9,34.6,36.1,29.9,29.9,35.4,30.6,,,28.0,28.6,35.4,34.9,27.1,26.1,30.7,27.2,28.7,26.7
Price to Book Value Ratio,8.88,11.8,13.9,13.4,11.5,10.4,12.4,9.03,,,10.3,11.8,12.4,9.75,9.29,9.08,9.03,8.79,8.64,8.15
EV to EBITDA,11.2,17.6,22.4,25.2,20.9,20.4,21.6,20.2,,,19.5,20.1,21.6,25.0,19.9,17.9,20.2,18.0,20.3,16.8
Dividend Payout Ratio,96.8%,84.9%,89.3%,75.1%,75.9%,75.4%,74.6%,77.4%,,,32.7%,0.0%,43.5%,,31.7%,0.0%,45.2%,,32.5%,0.0%
Common Shares Outstanding,"4,800","4,800","4,800","4,800","4,800","4,800","4,800","4,800",,,"4,800","4,800","4,800","4,800","4,800","4,800","4,800","4,800","4,800","4,800"
