,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,8.08,9.80,8.88,8.77,8.35,7.45,5.31,2.87,,,7.45,6.73,5.78,4.93,4.85,4.50,4.31,3.57,2.74,2.19
Earnings per Share,0.50,1.13,-0.74,0.89,0.99,0.56,-0.020,0.040,,,0.008,0.060,0.063,-0.22,0.22,0.063,-0.025,-0.14,-0.12,-0.082
Revenue per Share,8.15,13.5,15.1,18.2,16.9,16.4,16.2,17.2,,,4.10,4.06,4.68,3.70,4.68,4.77,4.00,2.47,2.99,2.86
Dividend per Share,0.46,0.70,,,0.55,0.28,,,,,,,,,,,,,,
Capital Expenditures per Share,0.18,0.40,0.66,0.44,0.31,0.47,0.34,0.98,,,0.085,0.13,0.062,0.046,0.040,0.82,0.083,0.14,0.11,0.085
Book Value per Share,3.25,3.89,2.51,3.41,4.45,4.32,4.03,3.99,,,3.91,3.98,4.03,3.82,4.02,4.07,3.99,3.88,3.68,3.55
Price to Earnings Ratio,10.2,10.3,,10.4,8.54,13.9,,99.5,,,32.6,27.2,,,35.3,32.9,95.1,26.1,,
Price to Book Value Ratio,1.90,2.54,3.30,2.50,1.72,1.70,1.23,0.99,,,1.74,1.61,1.23,1.15,1.12,1.01,0.99,0.77,0.57,0.43
EV to EBITDA,11.1,10.1,-27.3,8.80,7.92,8.95,11.7,10.9,,,12.0,13.0,11.7,9.81,8.83,9.50,10.9,11.5,17.0,29.1
Dividend Payout Ratio,92.0%,61.9%,,,55.6%,50.3%,,,,,,,,,,,,,,
Common Shares Outstanding,444.5,450.1,456.5,463.5,463.5,463.5,463.5,463.5,,,463.5,463.5,463.5,463.5,463.5,463.5,463.5,463.5,463.5,463.5
Total Revenue,"3,623","6,095","6,911","8,418","7,849","7,608","7,517","7,952",,,"1,900","1,881","2,170","1,715","2,170","2,213","1,854","1,147","1,388","1,324"
"Cost of Revenue, Total","3,191","5,205","6,673","7,375","6,727","6,498","6,583","7,148",,,"1,610","1,614","1,920","1,579","1,896","1,980","1,694","1,041","1,260","1,212"
Gross Profit,432.2,889.8,238.7,"1,043","1,122","1,111",934.2,803.7,,,290.2,267.2,249.1,136.7,273.9,233.4,159.7,105.9,127.3,112.6
"Selling/General/Administrative Expenses, Total",262.2,483.3,499.5,545.0,555.5,625.8,600.0,588.8,,,157.7,170.1,138.9,144.1,144.8,143.9,156.0,128.4,135.1,122.9
Operating Income,206.5,411.8,-253.6,504.0,571.7,490.6,338.7,221.4,,,132.5,97.1,114.6,-7.40,129.2,89.4,10.2,-22.5,-7.86,-10.3
