,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,66.8,89.6,127.1,209.8,205.8,202.8,205.0,160.0,,,202.8,217.0,214.5,205.0,189.3,196.3,187.5,177.3,152.8,139.0
Earnings per Share,1.83,2.95,2.91,3.15,3.96,4.18,4.55,4.79,,,1.11,1.22,1.07,1.24,1.12,1.30,1.12,1.25,0.83,1.22
Revenue per Share,15.5,19.2,20.0,21.8,24.5,24.8,25.1,25.4,,,6.05,6.63,6.31,6.44,5.91,6.53,6.55,6.49,5.97,6.59
Dividend per Share,1.10,1.80,1.90,1.95,2.35,2.50,2.70,2.90,,,1.00,0.00,1.70,,1.10,0.00,1.80,,1.15,0.00
Capital Expenditures per Share,1.47,1.35,3.04,1.70,2.06,3.05,1.94,0.70,,,0.35,0.51,0.84,0.20,0.20,0.12,0.19,0.25,0.40,1.52
Book Value per Share,9.24,11.7,13.2,14.9,17.5,19.9,22.5,25.3,,,21.0,21.4,22.5,24.0,23.6,24.0,25.3,26.8,25.9,26.2
Price to Earnings Ratio,25.0,29.7,30.6,49.4,54.8,42.1,45.3,38.9,,,50.3,44.9,45.2,41.5,39.0,40.2,39.0,35.0,30.8,30.7
Price to Book Value Ratio,5.79,7.34,7.31,10.2,12.1,9.21,9.46,7.09,,,10.2,8.84,9.46,6.95,7.88,7.83,7.09,6.31,4.93,5.61
EV to EBITDA,13.8,13.6,14.9,24.8,29.3,22.7,22.6,20.6,,,21.3,26.5,22.6,21.3,20.4,21.5,20.6,19.7,19.9,14.1
Dividend Payout Ratio,60.1%,61.0%,65.3%,61.9%,59.3%,59.8%,59.3%,60.5%,,,23.1%,0.0%,37.3%,,23.7%,0.0%,37.7%,,25.6%,0.0%
Common Shares Outstanding,728.4,728.4,728.6,728.6,728.6,728.6,728.7,728.8,,,728.7,728.7,728.7,728.8,728.8,728.8,728.8,728.8,728.8,728.8
Total Revenue,"11,261","13,972","14,597","15,864","17,883","18,103","18,272","18,541",,,"4,407","4,835","4,598","4,694","4,309","4,761","4,777","4,733","4,348","4,801"
"Cost of Revenue, Total","7,070","8,242","8,836","9,496","10,484","10,410","10,286","10,046",,,"2,475","2,714","2,643","2,553","2,325","2,501","2,668","2,495","2,508","2,567"
Gross Profit,"4,191","5,730","5,761","6,369","7,399","7,693","7,986","8,495",,,"1,932","2,121","1,954","2,141","1,984","2,261","2,109","2,238","1,841","2,234"
"Selling/General/Administrative Expenses, Total","2,035","2,295","2,527","2,806","3,020","3,125","3,048","3,288",,,715.0,804.9,808.4,767.1,758.4,859.1,903.8,880.1,936.1,922.7
Operating Income,"2,156","3,435","3,234","3,563","4,379","4,568","4,938","5,207",,,"1,217","1,316","1,146","1,374","1,225","1,402","1,206","1,357",904.8,"1,311"
Net Income,"1,588","2,558","2,521","2,730","3,436","3,626","3,944","4,152",,,960.0,"1,056",923.1,"1,079",971.6,"1,129",972.1,"1,081",725.0,"1,055"
