,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,0.94,0.99,0.92,0.94,0.74,0.77,0.69,0.48,,,0.74,0.80,0.82,0.75,0.71,0.64,0.57,0.54,0.47,0.40
Earnings per Share,-0.034,-0.024,0.030,0.056,0.026,0.040,0.081,0.023,,,0.027,0.034,0.009,0.003,-0.001,0.007,0.014,0.005,0.000,0.001
Revenue per Share,0.11,0.086,0.33,0.26,0.34,0.39,0.52,0.34,,,0.15,0.15,0.10,0.050,0.049,0.10,0.14,0.069,0.054,0.079
Dividend per Share,,,,0.030,0.025,0.040,0.055,0.020,,,,,0.055,,,,0.020,,,
Capital Expenditures per Share,0.011,0.006,0.002,0.007,0.001,0.004,0.003,0.012,,,0.001,0.001,0.001,0.002,0.001,0.006,0.003,0.002,0.003,0.006
Book Value per Share,0.94,0.82,0.85,0.91,0.90,0.92,0.96,0.93,,,0.92,0.95,0.96,0.96,0.91,0.91,0.93,0.93,0.91,0.91
Price to Earnings Ratio,,,17.1,20.8,22.3,18.1,10.0,24.4,,,17.5,10.7,10.0,9.57,13.8,31.1,23.4,18.8,16.2,16.9
Price to Book Value Ratio,0.64,1.28,0.76,1.08,0.68,0.80,0.82,0.57,,,0.76,0.81,0.82,0.67,0.78,0.57,0.57,0.54,0.47,0.39
EV to EBITDA,-18.7,-40.9,12.1,27.0,19.0,13.0,11.5,17.0,,,16.3,11.5,11.5,13.7,16.7,24.1,17.0,17.0,20.0,20.6
Dividend Payout Ratio,,,,53.9%,94.6%,99.2%,68.0%,87.0%,,,,,68.0%,,,,83.4%,,,
Common Shares Outstanding,"4,429","5,022","5,022","5,022","5,022","5,022","5,022","5,022",,,"5,022","5,022","5,022","5,022","5,022","5,022","5,022","5,022","5,022","5,022"
Total Revenue,465.6,432.6,"1,644","1,310","1,714","1,937","2,623","1,719",,,763.8,745.8,525.4,253.6,248.4,511.6,705.8,348.4,270.0,397.0
"Cost of Revenue, Total",352.5,290.6,"1,078",844.4,"1,279","1,333","1,823","1,163",,,532.0,514.3,358.5,155.2,166.7,352.3,495.7,228.5,176.4,275.6
Gross Profit,113.1,142.0,565.8,466.0,434.8,604.7,800.2,556.7,,,231.9,231.5,166.9,98.4,81.7,159.3,210.2,119.9,93.6,121.4
"Selling/General/Administrative Expenses, Total",273.8,300.0,349.4,286.8,301.0,327.0,431.4,409.6,,,123.7,100.9,116.4,77.4,87.4,110.0,121.5,88.6,92.8,109.2
Operating Income,-160.7,-157.9,216.4,179.2,133.8,277.7,368.8,147.1,,,108.1,130.6,50.5,21.0,-5.70,49.3,88.6,31.3,0.74,12.3
Net Income,-150.8,-121.6,149.5,279.7,132.7,202.5,406.0,115.4,,,134.0,169.4,47.1,16.9,-4.46,35.7,72.3,24.7,0.48,6.34
EBITDA,-123.6,-123.2,246.3,210.3,164.8,302.0,395.8,179.3,,,114.9,137.7,57.2,27.9,2.61,58.2,96.8,40.6,10.3,23.1
Gross Profit Margin,24.3%,32.8%,34.4%,35.6%,25.4%,31.2%,30.5%,32.4%,,,30.4%,31.0%,31.8%,38.8%,32.9%,31.1%,29.8%,34.4%,34.7%,30.6%
Operating Margin,-34.5%,-36.5%,13.2%,13.7%,7.8%,14.3%,14.1%,8.6%,,,14.2%,17.5%,9.6%,8.3%,-2.3%,9.6%,12.6%,9.0%,0.3%,3.1%
Net Profit Margin,-32.4%,-28.1%,9.1%,21.3%,7.7%,10.5%,15.5%,6.7%,,,17.5%,22.7%,9.0%,6.7%,-1.8%,7.0%,10.2%,7.1%,0.2%,1.6%
Return on Assets,-3.3%,-2.5%,2.7%,4.4%,2.0%,3.4%,6.9%,1.9%,,,3.5%,6.7%,7.0%,6.2%,3.8%,1.6%,2.0%,2.1%,2.0%,1.4%
