,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,,2.96,1.98,,,,,,,3.39,2.67,2.28,2.24,1.96,1.70
Earnings per Share,0.035,0.027,0.039,0.046,0.048,0.033,0.091,-0.001,,,0.027,0.037,0.020,0.005,0.001,-0.019,0.011,0.022,0.004,0.015
Revenue per Share,0.46,0.49,0.43,0.51,0.42,0.38,2.18,1.94,,,1.04,0.57,0.47,0.52,0.49,0.47,0.45,0.51,0.47,0.46
Dividend per Share,0.017,0.023,0.017,0.023,0.023,0.023,0.080,,,,0.00,0.00,0.080,0.00,0.00,,,,,
Capital Expenditures per Share,0.031,0.020,0.039,0.049,0.035,0.022,0.12,0.081,,,0.008,0.087,0.024,0.021,0.012,0.024,0.025,0.012,0.017,0.017
Book Value per Share,0.28,0.34,0.51,0.54,0.57,0.58,1.57,1.41,,,0.57,0.58,1.57,0.56,0.57,1.40,1.41,1.43,1.43,1.45
Price to Earnings Ratio,,,,,,,,,,,,,,,44.6,331.7,,141.2,103.2,31.2
Price to Book Value Ratio,,,,,,,,1.42,,,,,,,5.27,1.43,1.42,1.44,1.25,1.04
EV to EBITDA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.5,,,0.00,0.00,0.00,0.00,0.00,28.2,19.5,16.0,16.4,9.79
Dividend Payout Ratio,47.7%,87.6%,43.8%,49.1%,47.7%,68.3%,88.1%,,,,0.0%,0.0%,88.1%,0.0%,0.0%,,,,,
Common Shares Outstanding,"5,963","5,963","5,963","5,963","5,963","5,963","5,963","5,963",,,"5,963","5,963","5,963","5,963","5,963","5,963","5,963","5,963","5,963","5,963"
Total Revenue,"2,763","2,947","2,576","3,024","2,484","2,254","12,977","11,557",,,"6,175","3,405","2,811","3,099","2,949","2,797","2,713","3,012","2,790","2,728"
"Cost of Revenue, Total","1,771","1,902","1,732","2,052","1,706","1,553","9,128","8,422",,,"4,376","2,305","2,024","2,254","2,170","2,041","1,975","2,203","2,015","2,021"
Gross Profit,992.6,"1,045",843.6,971.4,778.9,701.8,"3,849","3,135",,,"1,798","1,100",787.0,844.3,778.6,756.0,737.2,808.8,775.2,707.0
"Selling/General/Administrative Expenses, Total",658.4,773.4,662.2,660.1,579.7,552.6,"3,268","3,009",,,"1,618",856.1,651.5,837.2,749.9,931.6,472.2,680.7,797.0,664.9
Operating Income,310.0,248.7,158.9,287.6,175.5,149.2,794.8,358.5,,,282.9,291.4,199.9,53.7,100.5,-106.1,310.5,179.7,29.4,105.7
Net Income,298.7,213.2,197.4,276.8,284.7,198.8,541.2,-3.58,,,163.7,220.7,118.4,31.7,11.7,-112.8,65.8,129.8,21.2,87.3
EBITDA,538.4,498.0,421.5,517.5,406.6,381.1,"1,448",943.1,,,333.5,694.5,349.0,208.6,254.7,38.3,441.5,325.4,177.3,254.1
Gross Profit Margin,35.9%,35.5%,32.8%,32.1%,31.4%,31.1%,29.7%,27.1%,,,29.1%,32.3%,28.0%,27.2%,26.4%,27.0%,27.2%,26.9%,27.8%,25.9%
Operating Margin,11.2%,8.4%,6.2%,9.5%,7.1%,6.6%,6.1%,3.1%,,,4.6%,8.6%,7.1%,1.7%,3.4%,-3.8%,11.4%,6.0%,1.1%,3.9%
Net Profit Margin,10.8%,7.2%,7.7%,9.2%,11.5%,8.8%,4.2%,0.0%,,,2.7%,6.5%,4.2%,1.0%,0.4%,-4.0%,2.4%,4.3%,0.8%,3.2%
Return on Assets,8.5%,5.8%,5.3%,7.5%,7.6%,5.2%,6.5%,0.0%,,,7.2%,11.6%,6.5%,6.4%,10.1%,0.6%,0.0%,0.8%,0.9%,2.6%
Return on Equity,18.2%,10.6%,6.5%,8.6%,8.4%,5.8%,5.8%,0.0%,,,4.8%,6.4%,1.3%,0.9%,0.3%,-1.4%,0.8%,1.5%,0.2%,1.0%
Return on Total Capital,10.1%,6.9%,6.5%,8.6%,8.4%,5.8%,5.8%,0.0%,,,8.2%,13.0%,5.8%,16.0%,11.3%,0.6%,0.0%,1.1%,1.2%,3.5%
SG&A to Sale,23.8%,26.2%,25.7%,21.8%,23.3%,24.5%,25.2%,26.0%,,,26.2%,25.1%,23.2%,27.0%,25.4%,33.3%,17.4%,22.6%,28.6%,24.4%
Depreciation & Amortisation,228.4,249.3,262.5,229.9,231.2,231.9,653.3,584.6,,,50.6,403.1,149.1,154.9,154.3,144.5,131.1,145.7,147.8,148.5
Tax Rate,0.0%,27.7%,19.3%,20.3%,19.1%,19.3%,15.9%,87.4%,,,22.1%,15.1%,5.8%,24.8%,78.6%,7.0%,16.3%,20.8%,42.1%,10.8%
Current Ratio,2.05,1.97,2.12,3.07,3.58,5.25,2.54,2.19,,,4.29,4.57,2.54,3.64,6.44,2.06,2.19,2.50,2.54,2.99
Quick Ratio,0.59,0.47,0.48,0.69,0.67,0.86,0.67,0.54,,,0.68,0.71,0.67,0.51,1.04,0.54,0.54,0.65,0.66,0.72
Days Inventory Outstanding,118.6,115.4,138.8,141.7,196.5,246.5,92.8,152.5,,,72.0,52.5,92.0,76.4,41.7,95.3,150.1,149.4,153.5,154.1
Days Sale Outstanding,39.9,36.6,34.8,32.0,35.1,36.2,45.8,41.0,,,10.9,8.44,45.8,5.43,7.24,43.7,41.0,42.6,44.6,40.3
Days Payable Outstanding,32.7,26.9,28.8,23.1,24.7,25.4,15.1,31.3,,,1.54,1.32,13.5,11.2,0.79,2.69,19.7,19.8,4.56,4.17
