,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.07,2.04,1.79,1.64,1.97,2.37,1.71,1.41,,,2.10,1.96,1.93,1.71,1.71,1.58,1.61,1.46,1.39,1.16
Earnings per Share,-0.096,-0.25,0.020,-0.19,-0.062,-0.081,0.018,0.021,,,0.008,0.002,-0.003,0.007,0.000,0.009,0.006,0.006,-0.003,0.004
Revenue per Share,2.01,1.72,0.46,0.18,0.12,0.19,0.13,0.19,,,0.038,0.029,0.030,0.032,0.034,0.055,0.069,0.038,0.032,0.035
Dividend per Share,,0.10,,,,0.10,,,,,,,,,,,,,,
Capital Expenditures per Share,0.014,0.006,0.004,0.002,0.009,0.002,0.005,0.009,,,0.000,0.001,0.000,0.002,0.001,0.002,0.004,0.000,0.001,0.001
Book Value per Share,2.08,1.80,1.77,1.58,1.52,1.34,1.36,1.38,,,1.36,1.36,1.36,1.36,1.36,1.37,1.38,1.38,1.38,1.38
Price to Earnings Ratio,,,72.5,,,,98.2,69.0,,,65.9,,98.4,120.6,295.7,119.5,69.0,63.5,76.1,74.6
Price to Book Value Ratio,0.76,1.30,0.87,0.89,0.88,1.67,1.22,1.03,,,1.47,1.24,1.22,1.06,1.20,0.98,1.03,1.03,0.91,0.74
EV to EBITDA,5.38,-50.7,23.8,-18.6,-26.0,-27.6,112.0,35.3,,,37.8,"1,606",112.0,87.0,129.8,80.0,35.3,54.8,76.7,81.9
Dividend Payout Ratio,,-40.7%,,,,-123.0%,,,,,,,,,,,,,,
Common Shares Outstanding,706.5,706.5,706.5,706.5,706.5,706.5,706.5,706.5,,,706.5,706.5,706.5,706.5,706.5,706.5,706.5,706.5,706.5,706.5
Total Revenue,"1,423","1,213",325.8,127.6,84.0,135.8,88.8,134.4,,,27.2,20.8,21.5,22.4,24.2,39.0,48.7,27.1,22.4,25.0
"Cost of Revenue, Total","1,063",923.3,171.5,54.6,32.4,47.3,37.5,76.8,,,12.5,10.8,8.86,9.80,11.8,25.0,30.2,12.6,12.1,14.1
Gross Profit,360.3,289.5,154.3,73.0,51.6,88.5,51.3,57.5,,,14.7,10.1,12.7,12.6,12.4,14.1,18.5,14.5,10.3,10.9
"Selling/General/Administrative Expenses, Total",159.1,137.8,130.5,125.5,89.0,62.3,45.6,46.0,,,10.5,9.34,14.2,9.70,11.6,8.88,15.8,11.1,14.2,8.76
Operating Income,201.3,-40.0,23.8,-52.5,-39.6,-55.6,5.69,11.6,,,4.19,0.70,-1.56,2.92,0.80,5.18,2.69,3.38,-3.83,2.17
Net Income,-67.5,-173.5,12.0,-133.9,-43.6,-57.4,12.5,15.1,,,5.82,1.33,-2.31,4.68,0.18,6.09,4.20,4.32,-2.18,3.12
EBITDA,212.7,-30.3,36.7,-33.8,-23.3,-42.0,11.2,16.3,,,5.57,1.95,-0.34,4.04,1.97,6.33,3.99,4.42,-2.74,3.10
Gross Profit Margin,25.3%,23.9%,47.4%,57.2%,61.4%,65.2%,57.8%,42.8%,,,54.0%,48.3%,58.9%,56.3%,51.1%,36.0%,38.0%,53.4%,46.1%,43.7%
Operating Margin,14.1%,-3.3%,7.3%,-41.1%,-47.1%,-40.9%,6.4%,8.6%,,,15.4%,3.4%,-7.2%,13.0%,3.3%,13.3%,5.5%,12.5%,-17.1%,8.7%
