,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,10.5,15.0,16.4,21.0,23.4,21.0,25.4,25.4,,,21.0,21.9,22.9,26.1,26.9,26.3,25.3,26.3,25.3,25.3
Earnings per Share,0.30,0.51,0.40,0.48,0.52,0.54,0.66,0.59,,,0.24,0.16,0.13,0.19,0.13,0.18,0.086,0.54,0.12,0.18
Revenue per Share,2.34,2.98,3.30,3.66,4.11,4.38,4.70,5.06,,,1.11,1.26,1.21,1.28,1.19,1.30,1.27,1.33,1.25,1.38
Dividend per Share,0.11,0.18,0.20,0.23,0.26,0.29,0.36,0.32,,,0.13,0.00,0.23,,0.13,0.00,0.19,,0.25,0.00
Capital Expenditures per Share,0.23,0.37,0.47,0.50,0.39,0.55,0.99,0.45,,,0.59,0.084,0.11,0.10,0.10,0.11,0.14,0.12,0.12,0.11
Book Value per Share,2.07,2.38,2.63,3.02,3.39,3.60,4.07,4.49,,,3.77,3.80,4.07,4.25,4.23,4.41,4.49,4.99,4.94,5.10
Price to Earnings Ratio,25.1,29.3,31.6,45.0,41.7,37.1,33.5,40.0,,,32.1,32.5,33.5,37.1,43.2,42.1,39.9,27.1,25.4,26.5
Price to Book Value Ratio,4.19,6.90,5.06,6.52,6.90,5.89,5.77,5.53,,,5.43,5.50,5.77,5.89,6.03,5.62,5.53,5.21,4.90,5.10
EV to EBITDA,16.5,20.7,18.3,24.5,25.7,26.8,23.9,23.2,,,23.2,24.5,23.9,23.0,26.1,23.3,23.2,24.9,24.3,23.7
Dividend Payout Ratio,36.7%,35.4%,49.4%,48.2%,50.2%,53.6%,54.6%,54.2%,,,20.0%,0.0%,34.9%,,21.4%,0.0%,32.2%,,26.9%,0.0%
Common Shares Outstanding,"15,455","15,455","15,491","15,491","15,491","15,491","15,491","15,669",,,"15,491","15,491","15,491","15,491","15,564","15,666","15,669","15,669","15,687","15,892"
Total Revenue,"36,234","45,994","51,158","56,702","63,633","67,904","72,772","79,333",,,"17,144","19,498","18,734","19,789","18,457","20,343","19,961","20,770","19,637","21,887"
"Cost of Revenue, Total","23,675","29,239","32,977","36,473","41,151","45,277","47,975","51,546",,,"11,503","12,584","12,457","12,391","12,157","12,990","13,176","13,490","13,015","13,961"
Gross Profit,"12,558","16,755","18,181","20,229","22,481","22,627","24,797","27,787",,,"5,641","6,914","6,278","7,398","6,300","7,353","6,786","7,280","6,622","7,925"
"Selling/General/Administrative Expenses, Total","7,224","8,969","10,549","11,268","12,649","13,644","14,488","15,998",,,"3,559","3,800","3,702","3,767","3,782","3,895","4,605","4,295","4,138","4,323"
Operating Income,"5,334","7,787","7,633","8,960","9,833","8,983","10,309","11,788",,,"2,082","3,114","2,575","3,631","2,518","3,458","2,181","2,985","2,484","3,602"
Net Income,"4,386","7,849","6,261","7,394","8,021","8,386","10,216","9,191",,,"3,791","2,417","2,035","2,919","2,043","2,879","1,350","8,439","1,865","2,890"
EBITDA,"7,959","10,623","10,877","12,677","14,220","13,786","15,477","17,175",,,"3,366","4,422","3,898","4,933","3,860","4,820","3,562","4,344","3,892","5,089"
Gross Profit Margin,34.7%,36.4%,35.5%,35.7%,35.3%,33.3%,34.1%,35.0%,,,32.9%,35.5%,33.5%,37.4%,34.1%,36.1%,34.0%,35.0%,33.7%,36.2%
Operating Margin,14.7%,16.9%,14.9%,15.8%,15.5%,13.2%,14.2%,14.9%,,,12.1%,16.0%,13.7%,18.3%,13.6%,17.0%,10.9%,14.4%,12.7%,16.5%
Net Profit Margin,12.1%,17.1%,12.2%,13.0%,12.6%,12.4%,14.0%,11.6%,,,22.1%,12.4%,10.9%,14.8%,11.1%,14.2%,6.8%,40.6%,9.5%,13.2%
Return on Assets,9.6%,12.3%,8.6%,8.7%,8.2%,8.0%,8.9%,7.2%,,,8.5%,8.6%,8.5%,9.0%,7.6%,7.9%,7.1%,10.9%,10.8%,10.9%
Return on Equity,13.7%,21.3%,15.4%,15.8%,15.3%,15.1%,16.2%,13.1%,,,6.5%,4.1%,3.2%,4.4%,3.1%,4.2%,1.9%,10.8%,2.4%,3.6%
Return on Total Capital,9.2%,14.9%,10.5%,10.0%,10.1%,10.3%,10.1%,9.7%,,,11.0%,10.7%,10.1%,10.8%,9.3%,10.4%,9.7%,14.8%,15.0%,14.5%
