,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,0.66,1.37,2.34,1.51,1.20,1.26,1.57,1.13,,,1.18,1.39,1.61,1.60,1.50,1.44,1.28,1.14,1.05,0.95
Earnings per Share,-0.032,-0.001,-0.016,-0.019,-0.067,-0.038,-0.018,-0.056,,,-0.014,-0.009,0.012,0.003,-0.030,-0.006,-0.023,-0.013,0.006,-0.041
Revenue per Share,0.18,0.000,0.017,0.076,0.067,0.053,0.12,0.037,,,0.012,0.024,0.070,0.016,0.013,0.004,0.003,0.002,0.002,0.002
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.006,0.002,0.014,0.050,0.046,0.019,0.22,0.041,,,0.004,0.005,0.21,0.052,0.007,-0.008,-0.013,0.006,0.003,0.001
Book Value per Share,0.23,0.009,0.63,0.68,0.76,0.76,0.67,0.60,,,0.67,0.66,0.67,0.67,0.64,0.63,0.60,0.60,0.60,0.58
Price to Earnings Ratio,,,,,,,,,,,,,,,,,,,,
Price to Book Value Ratio,2.12,124.5,1.94,1.88,1.56,1.32,2.57,1.92,,,1.78,2.11,2.57,2.01,2.30,2.13,1.92,1.77,1.60,1.53
EV to EBITDA,-20.3,"-1,301",-121.1,-438.3,-31.6,-46.3,-378.9,-91.1,,,-59.0,-66.5,-378.9,"7,305","1,065",-887.5,-91.1,-62.8,-47.0,-18.4
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,"2,445","2,445","6,982","7,336","7,336","7,336","8,266","8,266",,,"8,266","8,266","8,266","8,266","8,266","8,266","8,266","8,266","8,266","8,266"
Total Revenue,444.8,0.25,119.3,557.0,491.1,391.3,968.4,303.8,,,96.6,199.6,575.5,132.1,109.2,36.1,26.4,19.9,13.4,14.3
"Cost of Revenue, Total",364.3,,88.9,410.9,319.7,219.7,547.6,150.0,,,50.6,103.0,338.0,68.6,54.4,15.9,11.1,4.53,0.69,2.18
Gross Profit,80.5,0.25,30.4,146.2,171.4,171.7,420.8,153.8,,,46.0,96.6,237.5,63.5,54.8,20.2,15.3,15.4,12.7,12.2
"Selling/General/Administrative Expenses, Total",139.7,1.76,106.7,213.4,524.2,518.9,545.0,432.4,,,109.8,166.3,150.1,79.4,86.3,116.8,150.0,120.4,151.1,154.6
Operating Income,-59.2,-1.52,-76.3,-67.2,-352.8,-347.2,-124.2,-278.5,,,-63.8,-69.7,87.4,-16.0,-31.4,-96.6,-134.7,-105.0,-138.4,-142.5
Net Income,-78.3,-1.52,-85.1,64.9,-456.6,-275.9,-144.3,-464.2,,,-105.3,-74.8,99.3,24.1,-247.3,-53.5,-187.6,-108.3,52.4,-335.2
EBITDA,-53.6,-1.52,-72.6,-63.2,-290.5,-259.4,-44.4,-245.9,,,-40.0,-45.0,95.4,-7.63,-23.1,-88.3,-127.0,-97.5,-130.4,-134.1
Gross Profit Margin,18.1%,100.0%,25.5%,26.2%,34.9%,43.9%,43.5%,50.6%,,,47.6%,48.4%,41.3%,48.1%,50.2%,56.0%,58.0%,77.2%,94.9%,84.8%
Operating Margin,-13.3%,-613.8%,-63.9%,-12.1%,-71.9%,-88.7%,-12.8%,-91.7%,,,-66.0%,-34.9%,15.2%,-12.1%,-28.8%,-267.9%,-509.4%,-527.6%,-1033.6%,-993.9%
Net Profit Margin,-17.6%,-613.8%,-71.3%,11.7%,-93.0%,-70.5%,-14.9%,-152.8%,,,-109.0%,-37.5%,17.2%,18.2%,-226.4%,-148.3%,-709.6%,-544.0%,391.5%,-2338.1%
Return on Assets,-10.6%,-0.3%,-3.1%,1.0%,-5.1%,-2.4%,-1.0%,-2.3%,,,-2.6%,-2.2%,-0.9%,-0.3%,-1.0%,-0.9%,-2.0%,-2.3%,-1.1%,-2.1%
Return on Equity,-13.9%,-7.0%,-1.9%,1.3%,-8.1%,-5.0%,-2.6%,-9.4%,,,-1.9%,-1.4%,1.8%,0.4%,-4.7%,-1.0%,-3.8%,-2.2%,1.1%,-7.0%
Return on Total Capital,-13.8%,-7.0%,-1.8%,0.9%,-6.8%,-3.2%,-1.4%,-2.6%,,,-3.9%,-3.4%,-1.4%,-0.5%,-1.4%,-1.2%,-2.6%,-3.4%,-1.7%,-9.2%
SG&A to Sale,31.4%,713.8%,89.4%,38.3%,106.7%,132.6%,56.3%,142.3%,,,113.6%,83.3%,26.1%,60.2%,79.0%,323.9%,567.5%,604.8%,1128.5%,1078.6%
Depreciation & Amortisation,5.60,,3.64,4.05,62.3,87.8,79.8,32.6,,,23.8,24.7,7.92,8.34,8.30,8.29,7.68,7.54,8.08,8.37
Tax Rate,-9.4%,0.0%,0.1%,4.1%,0.1%,-0.6%,1.5%,0.1%,,,-1.3%,5.8%,0.0%,-0.2%,0.0%,0.2%,0.0%,-4.0%,-4.3%,-0.2%
Current Ratio,4.70,0.036,2.14,2.60,1.45,1.46,1.04,1.87,,,1.39,1.37,1.04,1.39,1.71,1.69,1.87,1.52,1.33,0.52
Quick Ratio,0.40,0.00,0.010,0.053,0.012,0.18,0.037,0.078,,,0.091,0.082,0.037,0.049,0.054,0.061,0.078,0.078,0.069,0.024
Days Inventory Outstanding,356.3,,"1,789",901.8,"1,531","2,950","1,831","11,268",,,"3,978","4,124","2,171","2,438","2,820","3,810","13,448","27,345","82,238","152,062"
Days Sale Outstanding,48.6,,18.3,28.8,27.7,545.5,71.9,471.1,,,308.9,274.4,71.9,81.1,85.1,120.9,471.1,994.4,"2,124","2,572"
Days Payable Outstanding,68.4,,135.0,60.4,140.9,170.6,24.0,96.9,,,60.0,38.6,25.2,25.1,15.5,18.4,85.4,174.6,537.3,"16,329"
Cash Conversion Cycle,296.7,,"1,528",855.9,"1,360","3,202","1,949","11,539",,,"4,259","4,351","2,245","2,492","2,895","3,897","13,776","28,067","83,878","123,246"
Debt to Asset Ratio,0.21,0.93,0.16,0.37,0.42,0.53,0.65,0.79,,,0.57,0.61,0.65,0.67,0.72,0.74,0.79,0.80,0.80,0.82
Debt to Equity Ratio,0.27,12.6,0.19,0.58,0.75,1.20,1.95,3.87,,,1.43,1.66,1.95,2.20,2.76,3.07,3.87,4.24,4.35,4.82
Interest Coverage Ratio,,,,,,,,,,,,,1.61,,,,,,,
Cash and Short Term Investments,187.5,1.17,237.2,847.4,"2,083","1,059",425.1,"1,618",,,"1,115","1,026",425.1,711.7,"1,198",798.5,"1,618","1,366",856.2,622.2
"Total Receivables, Net",59.2,,5.97,43.9,37.3,584.9,190.9,392.1,,,344.1,355.6,190.9,223.1,237.1,282.6,392.1,522.1,557.5,521.9
Total Inventory,403.1,,871.1,"1,159","1,523","2,028","3,466","5,793",,,"2,590","3,047","3,466","4,018","4,699","5,257","5,793","7,076","7,424","7,984"
Total Current Assets,698.8,9.68,"1,325","2,144","4,430","4,732","5,406","9,387",,,"5,261","5,941","5,406","6,283","7,550","7,801","9,387","10,849","10,784","11,113"
"Property/Plant/Equipment, Total - Net",25.6,195.4,220.6,570.9,844.2,"1,240","3,945","7,558",,,"1,828","1,983","3,945","4,788","5,373","6,250","7,558","8,155","8,752","9,400"
Total Assets,742.4,292.9,"5,262","7,912","10,141","12,667","16,782","24,401",,,"13,958","14,957","16,782","18,165","20,143","21,414","24,401","26,463","26,995","28,019"
Accounts Payable,99.2,,65.7,70.2,176.6,28.8,43.2,36.4,,,20.5,32.3,43.2,33.8,14.3,33.8,36.4,45.8,48.9,"1,606"
Accrued Expenses,17.6,,10.8,83.9,75.9,66.3,83.7,203.5,,,39.1,63.9,83.7,62.8,118.2,102.9,203.5,153.7,130.0,236.0
Debt Due,1.53,262.0,466.2,389.3,"1,897","1,480","2,426",445.4,,,"1,685","1,838","2,426","1,389",659.5,443.2,445.4,"2,359","3,303","14,823"
Total Current Liabilities,148.7,271.3,617.8,825.2,"3,059","3,243","5,220","5,026",,,"3,789","4,344","5,220","4,528","4,405","4,617","5,026","7,115","8,102","21,381"
Long Term Debt,2.67,,221.7,"2,077","1,150","3,114","4,818","12,654",,,"3,696","3,950","4,818","6,900","9,247","10,054","12,654","12,783","12,328","1,529"
Total Liabilities,154.9,271.3,844.7,"2,906","4,225","6,694","10,868","19,174",,,"8,000","9,112","10,868","12,230","14,555","15,912","19,174","21,156","21,652","22,923"
Common Stock,"2,445",25.0,"6,982","7,336","7,336","7,336","8,266","8,266",,,"8,266","8,266","8,266","8,266","8,266","8,266","8,266","8,266","8,266","8,266"
Additional Paid-In Capital,,,,,,,,,,,,,,,,,,,,
Retained Earnings (Accumulated Deficit),-558.1,-2.78,-89.0,-21.7,-478.0,-753.2,-895.1,"-1,359",,,-922.0,-996.8,-895.1,-871.0,"-1,118","-1,172","-1,359","-1,326","-1,274","-1,609"
Shareholders' Equity,564.4,21.6,"4,417","5,005","5,606","5,571","5,560","4,951",,,"5,577","5,489","5,560","5,550","5,282","5,188","4,951","4,991","4,973","4,755"
Cash from Operating Activities,-31.1,-4.04,-104.4,-596.1,"-1,940",669.1,"1,458",278.6,,,39.9,99.3,913.8,46.8,772.4,-202.3,-289.9,-438.1,-428.3,-648.0
Cash from Investing Activities,-16.6,-4.88,53.9,"-1,385",133.0,"-1,786","-2,698",-534.1,,,-166.7,-231.4,"-2,154",-153.3,-179.2,-157.6,-24.1,-133.1,-130.5,-130.8
Cash from Financing Activities,-0.37,9.84,283.9,"2,327","2,516","1,092",490.6,"1,396",,,-436.5,-6.32,577.4,202.1,261.7,-291.3,"1,155",180.0,122.7,493.7
Net Change in Cash,-48.1,0.92,231.0,302.5,718.9,-195.1,-633.4,"1,093",,,-543.4,-89.3,-599.7,286.5,486.5,-499.9,819.7,-383.1,-480.4,-134.7
