,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,53.4,94.5,96.0,94.0,116.5,101.8,98.8,94.8,,,93.8,101.5,101.8,98.8,101.3,99.3,96.5,97.8,93.5,90.8
Earnings per Share,1.47,0.93,-3.87,-1.68,-2.25,-1.26,-1.15,1.60,,,-0.96,0.30,-0.013,0.095,0.089,0.63,0.79,0.24,0.27,0.70
Revenue per Share,18.5,20.3,16.9,18.3,23.2,32.3,35.4,40.1,,,8.02,9.79,9.81,9.47,9.05,10.7,10.8,10.9,11.6,13.5
Dividend per Share,2.00,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,1.41,0.82,8.84,13.6,5.47,1.36,1.04,1.07,,,0.21,0.18,0.48,0.16,0.39,0.33,0.20,0.97,0.43,0.73
Book Value per Share,18.4,17.3,28.3,26.6,24.5,24.5,22.1,23.5,,,21.8,22.1,22.1,22.2,22.3,22.9,23.5,23.8,24.0,24.7
Price to Earnings Ratio,22.1,71.1,,,,,,59.2,,,,,,,204.2,119.3,59.2,54.7,46.0,44.6
Price to Book Value Ratio,2.18,3.68,2.86,3.45,4.37,4.51,4.16,4.06,,,4.16,4.23,4.16,4.26,4.35,4.10,4.06,3.99,3.74,3.68
EV to EBITDA,7.47,20.6,-28.1,-863.4,54.2,39.0,37.0,20.5,,,47.8,35.0,37.0,27.8,23.9,20.4,20.5,20.2,18.6,16.4
Dividend Payout Ratio,136.1%,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,15.0,15.0,19.4,19.4,19.4,19.4,19.4,19.4,,,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4,19.4
Total Revenue,277.6,304.4,328.2,354.6,450.4,626.5,685.6,777.3,,,155.5,189.7,190.2,183.6,175.4,206.8,209.2,211.1,225.0,261.7
"Cost of Revenue, Total",190.3,204.3,244.1,293.6,366.4,457.0,485.1,547.2,,,117.4,126.6,130.2,128.3,123.8,140.8,152.0,148.0,156.0,174.8
Gross Profit,87.3,100.1,84.1,61.0,84.0,169.5,200.5,230.1,,,38.1,63.1,60.0,55.3,51.6,66.0,57.2,63.1,69.0,86.9
"Selling/General/Administrative Expenses, Total",63.8,80.3,144.4,94.3,124.8,192.2,220.1,216.9,,,56.3,56.8,60.6,52.3,49.9,53.6,61.1,56.9,62.7,68.9
Operating Income,23.5,19.8,-60.3,-33.3,-40.8,-22.7,-19.6,13.2,,,-18.2,6.32,-0.56,2.98,1.68,12.5,-3.88,6.27,6.24,18.0
Net Income,35.0,14.0,-60.3,-32.5,-43.6,-24.5,-22.2,31.1,,,-18.5,5.91,-0.25,1.83,1.72,12.3,15.3,4.68,5.26,13.7
EBITDA,44.2,37.5,-43.8,-2.09,29.2,50.4,51.4,85.9,,,-0.36,24.4,17.0,21.0,20.1,31.1,13.6,24.0,24.0,36.3
Gross Profit Margin,31.4%,32.9%,25.6%,17.2%,18.6%,27.1%,29.2%,29.6%,,,24.5%,33.3%,31.6%,30.1%,29.4%,31.9%,27.4%,29.9%,30.6%,33.2%
Operating Margin,8.5%,6.5%,-18.4%,-9.4%,-9.1%,-3.6%,-2.9%,1.7%,,,-11.7%,3.3%,-0.3%,1.6%,1.0%,6.0%,-1.9%,3.0%,2.8%,6.9%
Net Profit Margin,12.6%,4.6%,-18.4%,-9.2%,-9.7%,-3.9%,-3.2%,4.0%,,,-11.9%,3.1%,-0.1%,1.0%,1.0%,5.9%,7.3%,2.2%,2.3%,5.2%
Return on Assets,11.5%,4.5%,-12.2%,-4.9%,-6.7%,-3.7%,-3.5%,5.1%,,,-6.2%,-4.4%,-3.7%,-1.9%,1.6%,2.6%,5.0%,5.3%,6.1%,6.4%
Return on Equity,12.7%,5.4%,-11.0%,-6.3%,-9.2%,-5.2%,-5.2%,6.8%,,,-4.4%,1.4%,-0.1%,0.4%,0.4%,2.8%,3.3%,1.0%,1.1%,2.8%
Return on Total Capital,12.7%,5.4%,-10.8%,-6.0%,-8.8%,-5.1%,-5.2%,6.8%,,,-8.6%,-5.9%,-5.2%,-2.6%,2.1%,3.5%,6.8%,7.4%,8.0%,8.1%
SG&A to Sale,23.0%,26.4%,44.0%,26.6%,27.7%,30.7%,32.1%,27.9%,,,36.2%,29.9%,31.9%,28.5%,28.5%,25.9%,29.2%,26.9%,27.9%,26.3%
Depreciation & Amortisation,20.7,17.7,16.5,31.2,70.0,73.1,71.0,72.7,,,17.8,18.1,17.6,18.1,18.4,18.7,17.5,17.7,17.7,18.3
Tax Rate,0.0%,23.7%,0.2%,4.5%,1.5%,4.5%,-0.8%,-167.1%,,,1.2%,-2.7%,77.9%,26.1%,-34.6%,-1.3%,459.3%,20.3%,13.2%,24.2%
Current Ratio,5.22,3.89,3.01,0.86,0.53,0.63,0.79,1.15,,,0.59,0.75,0.79,0.87,0.95,1.11,1.15,1.15,1.44,1.62
Quick Ratio,3.65,2.70,0.27,0.36,0.18,0.25,0.31,0.53,,,0.24,0.30,0.31,0.33,0.38,0.43,0.53,0.52,0.64,0.66
Days Inventory Outstanding,12.0,10.5,8.43,5.27,3.24,3.04,3.39,3.28,,,3.13,3.02,3.22,3.26,3.25,3.42,3.48,3.13,2.90,2.93
Days Sale Outstanding,28.0,35.1,32.8,33.6,21.8,23.4,25.9,38.9,,,19.2,24.7,25.9,25.9,27.0,32.6,39.0,38.8,29.4,31.7
Days Payable Outstanding,33.1,34.3,40.3,34.6,22.0,21.2,22.7,21.4,,,18.5,19.6,20.9,21.6,21.1,22.0,23.2,23.8,23.6,22.0
Cash Conversion Cycle,5.88,5.76,-8.71,10.8,5.61,-1.82,5.30,11.4,,,3.53,4.95,6.60,6.92,9.23,9.34,16.0,16.8,12.9,11.2
Debt to Asset Ratio,0.12,0.16,0.19,0.20,0.28,0.27,0.28,0.27,,,0.27,0.28,0.28,0.28,0.26,0.28,0.27,0.28,0.22,0.24
Debt to Equity Ratio,0.14,0.19,0.24,0.25,0.38,0.38,0.39,0.38,,,0.38,0.39,0.39,0.39,0.36,0.38,0.38,0.40,0.27,0.31
Interest Coverage Ratio,16.4,13.7,,,,,,8.34,,,,11.1,,5.97,4.14,39.9,,15.7,35.4,"2,576"
Cash and Short Term Investments,142.5,111.5,291.8,32.5,47.9,54.6,69.1,90.6,,,44.8,61.8,69.1,77.9,74.9,101.4,90.6,98.4,77.9,109.4
"Total Receivables, Net",21.3,29.3,29.5,32.7,26.9,40.1,48.7,82.8,,,33.9,45.6,48.7,51.0,54.7,67.5,82.8,85.3,68.7,78.7
Total Inventory,5.69,6.11,5.17,3.32,3.18,4.43,4.59,5.24,,,3.97,3.97,4.59,4.40,4.65,5.14,5.24,4.43,5.04,5.09
Total Current Assets,177.5,154.8,334.2,76.8,78.4,99.7,122.9,179.2,,,84.5,113.1,122.9,133.8,136.3,175.9,179.2,188.2,153.7,194.8
"Property/Plant/Equipment, Total - Net",117.5,112.8,296.2,528.8,557.7,506.6,452.9,401.5,,,477.4,463.8,452.9,438.6,425.2,412.3,401.5,408.5,392.1,390.0
Total Assets,312.9,307.5,680.2,645.6,656.5,654.8,596.7,628.3,,,582.4,595.8,596.7,596.2,587.0,614.5,628.3,643.9,593.5,629.1
Accounts Payable,18.2,20.2,33.7,21.9,22.3,30.9,29.3,34.8,,,25.2,26.2,29.3,30.3,28.6,34.4,34.8,38.9,38.3,37.7
Accrued Expenses,9.06,9.32,15.0,18.2,39.4,47.4,54.2,57.7,,,44.5,50.8,54.2,51.0,48.2,60.8,57.7,53.9,55.7,64.5
Debt Due,0.00,0.00,3.63,10.2,63.5,64.2,58.8,51.9,,,61.1,60.1,58.8,57.8,55.8,54.0,51.9,50.6,0.54,0.17
Total Current Liabilities,34.0,39.8,110.9,89.9,146.9,159.0,155.2,156.2,,,142.7,151.7,155.2,153.6,142.8,158.1,156.2,163.1,107.0,120.0
Long Term Debt,,,12.6,27.3,23.1,10.0,1.55,0.41,,,5.88,4.04,1.55,0.48,0.37,,0.41,0.37,0.32,0.28
Total Liabilities,37.5,48.7,132.1,130.0,181.4,179.7,168.3,172.5,,,159.7,167.2,168.3,166.1,155.1,170.3,172.5,183.4,127.8,149.7
Common Stock,150.0,150.0,193.8,193.8,193.8,193.8,193.8,193.8,,,193.8,193.8,193.8,193.8,193.8,193.8,193.8,193.8,193.8,193.8
Additional Paid-In Capital,67.9,67.9,372.6,372.6,372.6,372.6,372.6,372.6,,,372.6,372.6,372.6,372.6,372.6,372.6,372.6,372.6,372.6,372.6
Retained Earnings (Accumulated Deficit),57.5,40.9,-18.3,-50.8,-91.3,-91.3,-138.1,-110.7,,,-143.7,-137.8,-138.1,-136.2,-134.5,-122.2,-110.7,-106.0,-100.7,-87.1
Shareholders' Equity,275.4,258.8,548.1,515.6,475.1,475.1,428.4,455.8,,,422.7,428.6,428.4,430.2,431.9,444.2,455.8,460.4,465.7,479.4
Cash from Operating Activities,20.7,23.2,-4.47,4.97,56.6,48.3,49.4,54.5,,,7.90,23.5,20.8,16.8,7.28,35.0,-4.57,28.0,38.4,46.0
Cash from Investing Activities,-5.24,0.58,-84.9,-259.8,-79.5,-26.9,-20.3,-24.2,,,-3.46,-3.45,-9.54,-5.86,-8.16,-6.34,-3.87,-18.9,-8.66,-14.2
Cash from Financing Activities,-9.26,-30.3,347.5,-3.98,38.3,-14.8,-14.6,-8.85,,,-3.39,-3.06,-3.90,-2.16,-2.16,-2.16,-2.38,-1.26,-50.2,-0.42
Net Change in Cash,6.17,-6.55,258.2,-258.8,15.4,6.66,14.5,21.5,,,1.05,17.0,7.34,8.83,-3.04,26.5,-10.8,7.84,-20.5,31.4
Free Cashflows,-0.50,10.8,-175.8,-257.7,-49.5,21.9,29.3,33.8,,,3.81,20.0,11.4,13.8,-0.23,28.6,-8.44,9.14,30.0,31.9
Free Cashflow per Share,-0.033,0.72,-9.07,-13.3,-2.55,1.13,1.51,1.74,,,0.20,1.03,0.59,0.71,-0.012,1.48,-0.44,0.47,1.55,1.64
