,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,7.18,9.35,6.18,4.93,5.43,6.15,5.80,5.98,,,6.03,5.88,5.95,5.85,5.80,5.58,5.65,5.85,6.25,6.23
Earnings per Share,0.45,0.52,0.43,0.28,0.32,0.39,0.43,0.45,,,0.12,0.080,0.085,0.15,0.12,0.080,0.095,0.22,0.14,0.14
Revenue per Share,3.60,3.74,4.21,4.04,3.97,4.35,4.40,4.64,,,1.13,0.98,1.03,1.26,1.19,1.05,1.10,1.40,1.32,1.17
Dividend per Share,0.38,0.40,0.38,0.27,0.25,0.30,0.36,0.36,,,0.18,0.00,0.18,,0.18,0.00,0.18,,0.20,0.00
Capital Expenditures per Share,0.55,0.63,0.52,0.056,0.018,0.029,0.10,0.15,,,0.012,0.035,0.046,0.008,0.023,0.047,0.072,0.016,0.15,0.083
Book Value per Share,2.00,2.16,2.20,2.14,2.22,2.00,2.10,2.19,,,2.07,1.99,2.10,2.25,2.19,2.10,2.19,2.41,2.38,2.32
Price to Earnings Ratio,13.6,15.8,14.8,19.2,13.2,15.6,13.6,12.6,,,14.2,13.9,13.9,13.2,13.7,12.6,12.6,11.4,11.5,10.4
Price to Book Value Ratio,2.93,4.20,2.73,2.33,1.98,3.08,2.69,2.47,,,2.78,2.86,2.69,2.42,2.58,2.53,2.47,2.53,2.52,2.70
EV to EBITDA,7.92,11.1,9.45,8.98,6.41,8.91,8.12,7.64,,,8.36,8.47,8.12,7.53,7.80,7.91,7.64,6.89,7.68,7.20
Dividend Payout Ratio,84.4%,76.9%,88.4%,97.8%,79.2%,76.3%,82.9%,80.7%,,,43.4%,0.0%,42.3%,,41.4%,0.0%,40.4%,,37.4%,0.0%
Common Shares Outstanding,"1,025","1,038","1,047","1,048","1,048",948.0,948.0,948.0,,,970.8,958.9,948.0,948.0,948.0,948.0,948.0,948.0,948.0,948.0
Total Revenue,"3,693","3,884","4,408","4,237","4,165","4,124","4,171","4,401",,,"1,093",940.6,977.6,"1,192","1,125",994.8,"1,039","1,329","1,251","1,113"
"Cost of Revenue, Total","2,546","2,711","3,231","3,213","3,088","3,022","3,030","3,242",,,787.2,702.3,697.5,878.2,840.1,760.1,763.6,973.5,926.9,803.8
Gross Profit,"1,147","1,173","1,178","1,024","1,077","1,101","1,141","1,160",,,305.5,238.3,280.0,314.0,285.3,234.7,275.5,355.7,324.1,309.5
"Selling/General/Administrative Expenses, Total",497.2,526.1,591.2,622.0,635.5,624.5,630.8,642.4,,,158.4,144.1,180.1,141.2,142.0,137.0,172.6,154.6,163.4,151.3
Operating Income,649.8,646.7,593.1,407.3,442.0,477.8,510.6,518.5,,,147.1,94.1,99.9,172.8,143.3,97.7,104.0,201.1,160.7,158.2
Net Income,460.1,545.6,450.9,289.3,331.0,392.0,411.6,422.8,,,116.5,76.7,82.8,140.0,115.6,79.6,87.6,211.9,132.1,130.2
EBITDA,843.4,849.4,880.2,731.3,748.1,756.8,753.8,749.3,,,208.7,155.8,155.2,231.7,202.0,156.2,158.7,258.5,218.6,218.0
Gross Profit Margin,31.1%,30.2%,26.7%,24.2%,25.9%,26.7%,27.4%,26.3%,,,28.0%,25.3%,28.6%,26.3%,25.3%,23.6%,26.5%,26.8%,25.9%,27.8%
Operating Margin,17.6%,16.7%,13.5%,9.6%,10.6%,11.6%,12.2%,11.8%,,,13.5%,10.0%,10.2%,14.5%,12.7%,9.8%,10.0%,15.1%,12.8%,14.2%
Net Profit Margin,12.5%,14.0%,10.2%,6.8%,7.9%,9.5%,9.9%,9.6%,,,10.7%,8.2%,8.5%,11.7%,10.3%,8.0%,8.4%,15.9%,10.6%,11.7%
Return on Assets,16.8%,16.1%,11.4%,7.2%,9.0%,11.5%,13.2%,13.7%,,,12.5%,12.9%,13.6%,13.7%,13.5%,13.5%,13.6%,15.7%,15.9%,17.0%
Return on Equity,22.5%,24.4%,19.6%,12.9%,14.2%,20.7%,20.6%,20.4%,,,5.8%,4.0%,4.2%,6.6%,5.6%,4.0%,4.2%,9.3%,5.9%,5.9%
Return on Total Capital,19.0%,18.8%,14.4%,10.8%,13.6%,20.5%,20.5%,20.3%,,,19.7%,20.7%,20.5%,19.4%,19.8%,20.9%,20.3%,21.5%,22.6%,25.5%
SG&A to Sale,13.5%,13.5%,13.4%,14.7%,15.3%,15.1%,15.1%,14.6%,,,14.5%,15.3%,18.4%,11.8%,12.6%,13.8%,16.6%,11.6%,13.1%,13.6%
Depreciation & Amortisation,193.6,202.7,287.1,323.9,306.2,279.1,243.2,230.8,,,61.6,61.7,55.2,58.9,58.7,58.5,54.7,57.4,57.9,59.8
Tax Rate,29.3%,23.0%,20.0%,20.7%,20.6%,20.8%,19.4%,19.1%,,,20.3%,19.7%,17.2%,19.7%,19.8%,19.5%,17.0%,19.9%,19.3%,19.1%
Current Ratio,1.91,1.69,1.39,1.19,1.25,1.02,1.30,1.48,,,1.24,1.17,1.30,1.58,1.48,1.36,1.48,1.94,1.67,1.51
Quick Ratio,0.72,0.68,0.56,0.52,0.55,0.48,0.61,0.58,,,0.61,0.51,0.61,0.77,0.70,0.58,0.58,0.88,0.75,0.57
Days Inventory Outstanding,78.7,89.2,80.7,83.6,80.4,79.0,72.4,75.9,,,67.4,69.1,70.9,69.4,73.0,77.4,82.1,82.1,79.2,85.1
Days Sale Outstanding,43.8,45.2,48.4,46.9,51.2,51.6,46.9,44.4,,,53.3,45.1,46.9,51.7,53.2,46.7,44.9,52.7,51.4,42.6
Days Payable Outstanding,18.9,16.5,18.4,17.6,15.0,16.3,16.9,18.7,,,20.2,20.4,20.2,24.4,29.8,24.0,19.0,22.7,21.9,18.1
Cash Conversion Cycle,101.4,115.9,102.0,120.0,112.6,115.8,102.5,100.6,,,104.4,96.3,97.6,88.4,95.3,108.4,107.8,104.1,112.2,113.4
Debt to Asset Ratio,0.34,0.39,0.46,0.41,0.35,0.41,0.34,0.34,,,0.36,0.37,0.34,0.30,0.33,0.35,0.34,0.28,0.31,0.34
Debt to Equity Ratio,0.51,0.64,0.84,0.69,0.55,0.71,0.51,0.51,,,0.55,0.59,0.51,0.43,0.49,0.54,0.51,0.38,0.45,0.51
Interest Coverage Ratio,51.7,84.6,13.7,8.05,12.9,25.7,40.6,64.6,,,46.0,36.7,35.6,86.1,87.6,51.7,41.7,92.9,117.7,137.0
