,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,14.1,13.6,15.1,17.6,18.7,25.5,21.0,10.4,,,26.4,26.8,26.6,22.8,16.9,13.5,13.0,11.3,9.38,7.78
Earnings per Share,0.019,-2.52,-2.31,2.04,0.67,2.11,4.01,-0.18,,,0.93,0.50,1.19,0.056,-0.056,-0.13,0.10,0.020,0.011,-0.13
Revenue per Share,32.4,33.6,24.2,24.7,21.5,22.8,27.8,22.0,,,6.15,6.46,8.46,0.49,0.47,0.39,5.33,0.48,0.44,0.42
Dividend per Share,0.50,,0.30,0.40,0.20,1.00,1.50,,,,,,1.50,,,,,,,
Capital Expenditures per Share,1.20,1.63,1.63,1.24,0.45,0.068,0.13,0.037,,,0.028,0.027,0.071,0.002,0.001,0.003,0.032,0.004,0.003,0.37
Book Value per Share,19.3,16.2,13.9,15.6,15.8,17.8,22.5,20.8,,,20.8,21.3,22.5,23.0,21.0,20.7,20.8,20.9,20.9,20.7
Price to Earnings Ratio,792.9,,,8.67,17.2,9.41,6.87,,,,6.05,6.50,6.87,6.51,8.47,11.3,,,"1,512","1,085"
Price to Book Value Ratio,0.76,0.88,0.84,1.15,0.78,1.06,1.21,0.58,,,1.09,1.06,1.21,0.72,0.68,0.58,0.58,0.49,0.40,0.32
EV to EBITDA,15.2,-11.7,-3.82,2.95,2.64,3.09,4.08,10.5,,,1.87,6.50,4.08,5.68,5.94,4.78,10.5,8.61,7.03,4.41
Dividend Payout Ratio,2643.0%,,-13.0%,19.6%,30.0%,47.3%,37.4%,,,,,,37.5%,,,,,,,
Common Shares Outstanding,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,,,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0,226.0
Total Revenue,"7,323","7,602","5,466","5,593","4,868","5,149","6,290","4,978",,,"1,390","1,461","1,912",110.0,105.8,88.2,"1,205",108.4,99.4,95.9
"Cost of Revenue, Total","6,954","7,617","5,176","4,741","4,083","4,204","4,807","4,579",,,"1,024","1,163","1,449",45.2,46.1,48.8,"1,080",39.7,39.9,40.3
Gross Profit,368.7,-15.0,290.3,851.6,785.0,944.7,"1,484",399.4,,,366.6,297.8,463.4,64.7,59.7,39.4,125.4,68.7,59.5,55.6
"Selling/General/Administrative Expenses, Total",421.0,606.6,"1,304",369.0,760.1,499.8,502.9,355.3,,,114.6,159.8,119.4,43.6,19.4,30.2,95.9,36.2,65.4,41.2
Operating Income,-34.0,-592.1,-989.7,508.5,31.9,575.2,980.8,44.1,,,252.0,138.1,344.0,21.1,40.3,9.18,29.5,32.5,-5.90,14.5
Net Income,4.28,-569.4,-521.7,461.1,150.8,477.8,905.3,-41.8,,,210.7,113.5,268.4,96.8,-99.5,-62.7,23.6,11.3,8.42,-45.3
EBITDA,290.4,-281.5,-634.1,"1,092",559.5,"1,379","1,163",244.1,,,277.2,153.9,415.8,58.3,77.8,46.9,58.4,67.3,36.8,42.8
Gross Profit Margin,5.0%,-0.2%,5.3%,15.2%,16.1%,18.3%,23.6%,8.0%,,,26.4%,20.4%,24.2%,58.9%,56.4%,44.7%,10.4%,63.4%,59.9%,58.0%
Operating Margin,-0.5%,-7.8%,-18.1%,9.1%,0.7%,11.2%,15.6%,0.9%,,,18.1%,9.5%,18.0%,19.2%,38.1%,10.4%,2.4%,30.0%,-5.9%,15.1%
Net Profit Margin,0.1%,-7.5%,-9.5%,8.2%,3.1%,9.3%,14.4%,-0.8%,,,15.2%,7.8%,14.0%,88.0%,-94.1%,-71.0%,2.0%,10.4%,8.5%,-47.3%
Return on Assets,0.1%,-8.6%,-9.2%,8.6%,2.8%,8.9%,13.9%,-0.6%,,,14.8%,11.1%,12.0%,9.0%,5.0%,2.8%,-0.6%,-1.9%,-0.3%,0.0%
Return on Equity,0.1%,-15.6%,-16.6%,13.1%,4.2%,11.9%,17.8%,-0.9%,,,4.5%,2.4%,5.3%,1.9%,-2.1%,-1.3%,0.5%,0.2%,0.2%,-1.0%
Return on Total Capital,0.1%,-13.7%,-14.3%,11.4%,4.2%,11.9%,14.8%,-0.7%,,,18.5%,12.9%,14.8%,10.7%,6.4%,3.5%,-0.7%,-2.2%,-0.3%,0.0%
SG&A to Sale,5.7%,8.0%,23.8%,6.6%,15.6%,9.7%,8.0%,7.1%,,,8.2%,10.9%,6.2%,39.7%,18.3%,34.3%,8.0%,33.4%,65.8%,42.9%
Depreciation & Amortisation,324.4,310.6,355.6,583.7,527.7,803.6,182.5,200.0,,,25.2,15.8,71.8,37.2,37.5,37.7,28.9,34.8,42.7,28.3
Tax Rate,86.6%,-0.1%,11.0%,10.2%,39.1%,13.0%,10.0%,-2.7%,,,10.1%,5.8%,23.1%,-3.2%,-5.0%,-0.6%,8.3%,-12.3%,-31.9%,1.2%
Current Ratio,2.42,2.42,2.39,3.45,6.05,3.19,3.65,3.82,,,3.99,2.43,3.65,3.22,3.03,3.16,3.82,8.85,11.7,9.45
Quick Ratio,0.28,0.32,0.33,1.04,1.09,0.32,0.65,0.78,,,0.88,0.75,0.65,0.51,0.66,0.73,0.78,1.20,0.39,0.28
Days Inventory Outstanding,166.5,122.6,148.0,151.9,184.8,184.7,91.9,42.7,,,123.9,107.2,72.0,68.3,101.5,152.7,170.7,76.0,0.39,0.20
Days Sale Outstanding,24.7,22.2,31.0,23.0,24.2,27.6,33.9,29.5,,,25.2,35.7,33.9,37.0,55.5,79.2,97.3,76.4,27.9,23.8
Days Payable Outstanding,26.5,23.3,21.4,18.9,12.6,14.6,22.0,31.3,,,34.9,50.6,39.5,49.4,78.5,108.2,132.8,67.8,0.99,0.94
Cash Conversion Cycle,156.8,131.2,157.5,164.1,201.6,188.9,95.2,43.8,,,103.3,79.8,80.4,44.3,88.2,140.9,147.7,166.3,53.1,26.7
Debt to Asset Ratio,0.36,0.37,0.44,0.40,0.30,0.28,0.31,0.33,,,0.24,0.37,0.31,0.35,0.35,0.35,0.33,0.28,0.38,0.39
Debt to Equity Ratio,0.59,0.61,0.73,0.63,0.43,0.39,0.46,0.49,,,0.31,0.58,0.46,0.53,0.54,0.53,0.49,0.38,0.62,0.63
Interest Coverage Ratio,,,,76.7,4.15,119.9,44.0,0.57,,,,38.1,18.4,1.17,2.00,0.47,1.55,2.00,,0.42
Cash and Short Term Investments,714.2,"1,027",679.3,"1,715","1,201","1,415","1,579","1,516",,,"2,103","1,044","1,579","1,912","1,323","1,347","1,516","1,647","2,916","2,929"
"Total Receivables, Net",496.0,462.5,464.6,351.9,322.2,389.0,584.0,402.5,,,384.3,565.4,584.0,494.6,546.1,480.7,402.5,315.5,114.6,98.2
Total Inventory,"3,130","1,986","2,212","1,734","2,400","1,854",567.5,504.6,,,"1,287","1,328",567.5,809.9,693.4,636.1,504.6,1.29,1.29,0.049
Total Current Assets,"4,361","3,500","3,364","3,813","3,934","4,051","3,273","2,797",,,"4,405","3,505","3,273","3,763","2,982","2,879","2,797","2,333","3,398","3,319"
"Property/Plant/Equipment, Total - Net","2,534","2,388","1,560","1,378",959.7,644.9,"2,541","2,443",,,865.0,"2,493","2,541","2,516","2,491","2,466","2,443","2,419","2,394","2,452"
Total Assets,"7,148","6,111","5,236","5,550","5,105","5,593","7,409","7,019",,,"6,162","7,630","7,409","7,943","7,319","7,147","7,019","6,517","7,654","7,636"
Accounts Payable,671.8,301.4,304.3,187.7,94.9,242.4,336.2,449.6,,,531.1,702.9,336.2,659.6,503.7,438.2,449.6,1.47,5.11,1.10
Accrued Expenses,310.4,254.0,236.7,268.9,167.2,373.2,72.1,23.8,,,297.9,195.0,72.1,35.3,23.2,24.3,23.8,14.7,40.1,18.9
Debt Due,725.9,812.0,826.6,503.5,233.2,205.0,244.4,148.6,,,0.00,306.2,244.4,267.6,256.4,256.4,148.6,148.6,148.6,148.6
Total Current Liabilities,"1,799","1,448","1,407","1,104",650.8,"1,269",895.6,731.8,,,"1,103","1,440",895.6,"1,169",984.8,911.0,731.8,263.6,291.4,351.3
Long Term Debt,486.1,494.3,503.8,514.8,,,"1,049","1,129",,,,"1,075","1,049","1,240","1,203","1,166","1,129","1,092","2,185","2,150"
Total Liabilities,"2,569","2,244","2,294","2,225","1,524","1,575","2,324","2,316",,,"1,459","2,814","2,324","2,756","2,580","2,467","2,316","1,801","2,927","2,953"
Common Stock,"2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260",,,"2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260","2,260"
Additional Paid-In Capital,602.4,602.4,602.4,602.4,602.4,602.4,602.4,602.4,,,602.4,602.4,602.4,602.4,602.4,602.4,602.4,602.4,602.4,602.4
Retained Earnings (Accumulated Deficit),"1,501",795.7,282.0,668.3,723.7,"1,160","1,844","1,473",,,"1,457","1,571","1,844","1,942","1,506","1,446","1,473","1,487","1,498","1,455"
Shareholders' Equity,"4,364","3,658","3,136","3,524","3,581","4,017","5,084","4,703",,,"4,702","4,816","5,084","5,187","4,740","4,680","4,703","4,715","4,727","4,683"
Cash from Operating Activities,735.1,661.4,10.0,"1,682",-69.2,"1,250","1,719",333.3,,,551.0,3.96,623.1,130.4,-153.5,41.4,315.1,88.5,186.6,135.9
Cash from Investing Activities,-197.1,-342.3,-348.1,"-1,061",330.2,"-1,129",-920.6,-126.3,,,-73.7,-873.1,-36.3,-114.6,33.9,-103.6,58.0,209.2,42.3,-81.9
Cash from Financing Activities,-285.9,-8.41,-1.23,-386.5,-361.1,-68.9,-631.4,-355.4,,,-226.0,-112.7,-87.7,214.0,-387.4,-37.2,-144.9,-37.2,"1,093",-37.2
Net Change in Cash,258.5,312.4,-347.3,235.6,-99.0,52.1,167.0,-148.4,,,251.3,-981.8,499.0,229.9,-506.9,-99.4,228.1,260.5,"1,322",16.9
Free Cashflows,463.3,293.3,-359.1,"1,402",-171.4,"1,234","1,689",324.9,,,544.6,-2.13,607.0,130.0,-153.7,40.7,307.8,87.5,186.0,53.3
Free Cashflow per Share,2.05,1.30,-1.59,6.20,-0.76,5.46,7.47,1.44,,,2.41,-0.009,2.69,0.58,-0.68,0.18,1.36,0.39,0.82,0.24
