,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,9.75,11.6,15.9,14.7,10.4,,,17.2,17.9,17.4,15.7,15.3,13.2,11.4,11.0,10.2,10.4
Earnings per Share,1.82,1.03,0.92,-1.47,1.99,2.00,2.05,0.52,,,0.14,0.65,0.59,0.59,0.54,0.29,-0.89,0.39,-0.14,-0.21
Revenue per Share,55.4,60.7,60.1,52.9,41.3,35.8,39.3,48.2,,,8.71,9.82,10.5,11.4,12.2,12.0,12.6,10.9,11.4,10.2
Dividend per Share,0.00,0.00,1.03,0.43,1.97,1.18,1.14,0.59,,,0.46,0.00,0.68,,0.59,0.00,0.00,,0.12,0.00
Capital Expenditures per Share,1.40,0.54,0.78,0.40,0.11,0.12,0.12,0.19,,,0.029,0.034,0.032,0.013,0.039,0.041,0.092,0.063,0.093,0.14
Book Value per Share,14.7,11.5,12.2,10.3,8.47,9.62,9.71,8.89,,,9.29,9.31,9.71,9.87,10.3,9.76,8.89,9.10,8.66,8.29
Price to Earnings Ratio,,,,,4.57,6.44,8.63,19.7,,,9.71,7.71,8.64,7.88,6.30,5.98,19.6,28.6,,
Price to Book Value Ratio,,,,,1.29,1.36,1.65,1.23,,,1.91,1.84,1.65,1.32,1.45,0.98,1.23,1.11,1.07,1.29
EV to EBITDA,,,,0.00,2.92,4.11,5.58,9.34,,,5.78,5.45,5.58,5.23,4.03,5.46,9.34,10.2,-104.5,-13.2
Dividend Payout Ratio,0.0%,0.0%,112.4%,-29.0%,99.2%,59.0%,55.7%,113.6%,,,26.9%,0.0%,33.2%,,25.0%,0.0%,0.0%,,-34.6%,0.0%
Common Shares Outstanding,"4,336","4,336","4,336","4,336","4,336","4,336","4,336","4,336",,,"4,336","4,336","4,336","4,336","4,336","4,336","4,336","4,336","4,336","4,336"
Total Revenue,"240,294","263,376","260,725","229,325","178,877","155,082","170,535","209,159",,,"37,748","42,572","45,335","49,458","52,984","52,050","54,668","47,397","49,332","44,307"
"Cost of Revenue, Total","229,278","257,764","255,733","237,228","167,752","143,715","160,131","206,188",,,"36,989","39,106","42,315","46,831","49,278","50,709","59,369","45,390","50,435","45,470"
Gross Profit,"11,016","5,613","4,992","-7,903","11,125","11,367","10,405","2,972",,,758.6,"3,467","3,021","2,626","3,706","1,341","-4,701","2,007","-1,103","-1,163"
"Selling/General/Administrative Expenses, Total",759.6,"1,356",824.6,641.2,946.5,617.8,649.1,946.7,,,208.7,223.2,-50.7,264.3,217.9,212.9,-40.1,275.6,238.1,237.5
Operating Income,"11,315","4,256","4,167","-8,768","9,903","10,453","9,462","2,025",,,549.9,"3,244","2,778","2,362","3,488","1,128","-4,953","1,732","-1,341","-1,401"
Net Income,"7,885","4,485","3,977","-6,367","8,227","8,688","8,895","2,263",,,593.8,"2,819","2,573","2,573","2,323","1,248","-3,881","1,690",-599.4,-924.7
EBITDA,"12,697","6,386","6,353","-6,246","12,702","13,373","12,290","4,762",,,"1,263","3,939","3,464","3,032","4,164","1,825","-4,260","2,398",-693.6,-772.3
Gross Profit Margin,4.6%,2.1%,1.9%,-3.4%,6.2%,7.3%,6.1%,1.4%,,,2.0%,8.1%,6.7%,5.3%,7.0%,2.6%,-8.6%,4.2%,-2.2%,-2.6%
Operating Margin,4.7%,1.6%,1.6%,-3.8%,5.5%,6.7%,5.5%,1.0%,,,1.5%,7.6%,6.1%,4.8%,6.6%,2.2%,-9.1%,3.7%,-2.7%,-3.2%
Net Profit Margin,3.3%,1.7%,1.5%,-2.8%,4.6%,5.6%,5.2%,1.1%,,,1.6%,6.6%,5.7%,5.2%,4.4%,2.4%,-7.1%,3.6%,-1.2%,-2.1%
