,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,175.5,199.3,212.0,202.8,187.5,219.5,215.5,179.8,,,214.5,234.5,230.0,208.0,219.0,208.0,199.3,192.5,174.5,156.3
Earnings per Share,10.1,14.7,17.3,19.3,16.5,16.8,14.3,16.1,,,3.75,3.96,2.38,4.50,4.56,4.07,2.94,4.20,4.15,4.16
Revenue per Share,37.8,43.6,50.3,57.9,61.6,64.1,65.5,65.0,,,16.4,16.8,16.2,16.2,17.0,15.9,15.9,15.7,16.5,17.5
Dividend per Share,2.50,3.00,3.50,4.00,4.00,4.00,4.00,4.00,,,0.50,0.00,3.50,0.00,,0.50,3.50,,0.50,0.00
Capital Expenditures per Share,1.31,1.56,1.95,2.62,1.84,1.68,1.72,0.92,,,0.97,-0.48,0.76,0.21,0.18,0.33,0.20,0.46,0.30,0.48
Book Value per Share,64.7,77.3,91.6,107.4,119.4,134.4,145.7,157.2,,,139.6,143.1,145.7,150.7,150.9,154.8,157.2,163.8,165.4,167.6
Price to Earnings Ratio,14.5,14.4,9.87,11.3,10.3,11.4,16.2,12.3,,,11.9,14.0,16.2,13.1,13.7,12.5,12.3,11.8,10.4,10.0
Price to Book Value Ratio,2.38,2.69,1.94,2.13,1.45,1.41,1.46,1.19,,,1.48,1.62,1.46,1.29,1.43,1.19,1.19,1.15,0.95,0.90
EV to EBITDA,4.58,5.38,3.92,6.55,2.78,3.36,3.07,1.06,,,2.35,2.99,3.07,1.30,2.30,3.46,1.06,3.02,0.80,1.79
Dividend Payout Ratio,24.7%,20.4%,20.3%,20.7%,24.3%,23.8%,27.9%,24.9%,,,3.0%,0.0%,24.4%,0.0%,,3.2%,21.8%,,3.3%,0.0%
Common Shares Outstanding,"2,393","2,393","2,393","2,393","2,393","2,393","2,393","2,393",,,"2,393","2,393","2,393","2,393","2,393","2,393","2,393","2,393","2,393","2,393"
Total Revenue,"83,163","95,915","108,597","124,417","121,144","119,654","115,048","122,946",,,"28,684","29,740","27,151","30,980","32,618","29,843","29,504","29,913","31,856","31,808"
"Cost of Revenue, Total",,,,,,,,,,,,,,,,,,,,
Gross Profit,"83,163","95,915","108,597","124,417","121,144","119,654","115,048","122,946",,,"28,684","29,740","27,151","30,980","32,618","29,843","29,504","29,913","31,856","31,808"
"Selling/General/Administrative Expenses, Total","19,645","21,642","23,339","28,244","29,063","30,340","31,148","31,513",,,"7,546","8,261","8,132","7,785","7,763","7,745","8,221","8,065","8,635","8,328"
Operating Income,"40,144","48,981","57,893","62,998","56,803","55,800","48,665","54,603",,,"12,833","13,402","8,182","15,000","15,934","13,640","10,029","13,903","14,115","14,006"
Net Income,"24,226","35,260","41,325","46,153","39,474","40,174","34,338","38,459",,,"8,986","9,473","5,707","10,766","10,917","9,744","7,033","10,044","9,929","9,951"
EBITDA,"43,678","52,608","61,489","66,851","61,175","60,207","53,244","59,134",,,"13,319","16,593","7,308","16,823","19,172","14,059","9,080","15,726","14,501","17,369"
Gross Profit Margin,91.9%,92.0%,90.2%,89.7%,82.1%,78.0%,73.3%,79.1%,,,73.0%,74.1%,70.0%,79.8%,80.3%,78.4%,77.6%,79.8%,80.8%,76.0%
Operating Margin,44.4%,47.0%,48.1%,45.4%,38.5%,36.4%,31.0%,35.1%,,,32.6%,33.4%,21.1%,38.7%,39.2%,35.8%,26.4%,37.1%,35.8%,33.5%
Net Profit Margin,29.1%,36.8%,38.1%,37.1%,32.6%,33.6%,29.8%,31.3%,,,31.3%,31.9%,21.0%,34.8%,33.5%,32.6%,23.8%,33.6%,31.2%,31.3%
