,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,19.3,20.3,29.3,24.8,23.0,23.9,22.8,20.2,,,26.2,23.7,25.6,24.0,22.3,20.1,18.8,18.3,18.8,20.4
Earnings per Share,1.14,0.086,-0.005,-0.43,-0.65,1.89,0.72,0.92,,,0.024,-0.25,0.40,0.43,0.19,0.31,-0.013,-0.42,0.39,0.41
Revenue per Share,58.7,71.4,82.8,86.6,79.7,74.8,65.5,68.0,,,15.4,15.6,20.5,16.8,16.6,16.1,18.4,14.5,15.5,15.2
Dividend per Share,0.50,0.50,,0.50,,0.75,0.50,0.70,,,,,0.50,,,,0.70,,,
Capital Expenditures per Share,3.03,4.59,4.98,5.26,2.77,1.94,0.95,2.69,,,0.29,0.29,0.067,1.23,0.56,0.64,0.27,0.25,0.11,0.24
Book Value per Share,33.2,34.3,34.7,35.7,35.9,38.0,37.9,38.3,,,37.8,37.6,37.9,38.3,38.0,38.3,38.3,37.9,37.5,38.0
Price to Earnings Ratio,13.2,284.9,,,,8.94,32.8,20.7,,,9.73,9.84,32.8,39.1,28.7,14.4,20.7,265.1,64.8,47.7
Price to Book Value Ratio,0.45,0.59,0.35,0.69,0.75,0.45,0.69,0.47,,,0.57,0.61,0.69,0.56,0.56,0.50,0.47,0.48,0.48,0.60
EV to EBITDA,9.08,11.2,0.00,18.0,37.0,12.3,35.9,"1,059",,,12.2,13.8,35.9,42.8,54.3,41.9,"1,059",-67.1,"-3,641",27.2
Dividend Payout Ratio,43.9%,581.4%,,-116.3%,,39.7%,69.4%,76.4%,,,,,69.4%,,,,76.4%,,,
Common Shares Outstanding,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
Total Revenue,704.4,857.2,993.2,"1,039",956.4,897.9,786.3,815.8,,,184.4,187.4,245.9,201.8,199.7,193.8,220.5,174.0,186.4,182.1
"Cost of Revenue, Total",351.6,406.3,489.2,543.9,481.0,457.8,440.5,480.3,,,99.9,110.2,144.0,114.7,113.8,117.7,134.1,99.0,97.9,100.1
Gross Profit,352.8,450.9,504.0,495.1,475.3,440.1,345.8,335.5,,,84.5,77.2,101.9,87.0,85.9,76.1,86.4,74.9,88.5,82.0
"Selling/General/Administrative Expenses, Total",327.6,434.0,499.6,505.8,502.7,434.0,355.5,354.8,,,85.8,91.4,92.5,91.1,89.5,88.0,86.3,84.1,87.4,80.5
Operating Income,25.2,16.8,6.07,-2.76,-25.2,5.98,1.19,-11.9,,,-1.36,-14.2,20.2,-4.01,-3.60,-11.9,7.60,-9.20,1.11,1.49
Net Income,13.7,1.03,-0.056,-5.16,-7.85,22.7,8.64,11.0,,,0.29,-2.98,4.82,5.18,2.27,3.70,-0.15,-5.00,4.63,4.95
EBITDA,43.3,45.9,45.8,44.1,17.7,32.7,24.0,7.83,,,4.62,-8.55,25.4,0.75,1.22,-6.56,12.4,-4.66,6.18,6.27
