,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,5.00,5.79,4.90,5.73,5.38,5.88,6.80,6.83,,,5.68,6.10,6.50,6.05,6.48,7.25,7.93,7.70,7.10,5.93
Earnings per Share,0.29,0.56,0.57,0.49,0.57,0.52,0.65,0.79,,,0.11,0.19,0.15,0.18,0.22,0.25,0.14,0.23,0.052,0.12
Revenue per Share,17.2,17.7,18.7,19.6,19.4,21.3,20.5,22.1,,,5.08,5.40,5.03,5.24,4.85,5.65,6.42,6.04,4.59,4.82
Dividend per Share,0.25,0.35,0.30,0.30,0.30,0.35,0.43,0.47,,,,,0.43,,,,0.47,,,
Capital Expenditures per Share,0.20,0.15,0.22,0.12,0.33,0.65,0.083,0.14,,,0.013,0.012,0.046,0.020,0.045,0.040,0.045,0.012,0.056,0.022
Book Value per Share,3.27,3.66,3.88,4.06,4.29,4.51,4.81,5.17,,,4.47,4.67,4.81,4.99,4.78,5.03,5.17,5.40,4.98,5.10
Price to Earnings Ratio,15.2,11.3,8.46,10.5,9.61,10.2,10.3,9.68,,,10.2,9.82,10.3,9.47,8.81,8.97,9.72,9.15,9.65,9.79
Price to Book Value Ratio,1.22,1.65,1.24,1.19,1.20,1.15,1.25,1.39,,,1.22,1.25,1.25,1.16,1.38,1.42,1.39,1.38,1.28,1.03
EV to EBITDA,3.94,6.99,6.29,6.87,6.46,6.01,5.12,7.84,,,7.67,6.85,5.12,6.52,6.72,7.10,7.84,7.32,8.43,7.81
Dividend Payout Ratio,86.4%,62.6%,52.9%,61.4%,52.4%,67.0%,65.9%,59.5%,,,,,65.9%,,,,59.7%,,,
Common Shares Outstanding,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,,,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0,360.0
Total Revenue,"6,189","6,383","6,743","7,041","6,977","7,651","7,395","7,974",,,"1,827","1,944","1,812","1,886","1,745","2,032","2,310","2,174","1,654","1,737"
"Cost of Revenue, Total","5,253","5,471","5,795","6,069","5,919","6,581","6,218","6,717",,,"1,557","1,637","1,509","1,595","1,438","1,709","1,975","1,838","1,385","1,466"
Gross Profit,936.2,911.9,948.0,971.7,"1,058","1,070","1,177","1,256",,,269.8,306.9,303.3,291.3,307.1,323.5,334.3,336.5,269.6,270.8
"Selling/General/Administrative Expenses, Total",654.0,677.3,723.9,759.6,812.0,860.7,912.5,970.4,,,216.9,221.1,247.5,231.2,227.3,231.3,280.6,255.4,256.2,237.3
Operating Income,282.2,234.6,224.1,212.1,246.4,209.2,264.7,285.8,,,52.9,85.8,55.8,60.2,79.8,92.2,53.6,81.1,13.4,33.5
Net Income,104.2,201.3,204.3,176.0,206.1,188.1,235.1,283.3,,,37.9,69.3,52.7,64.3,79.3,88.7,50.9,84.1,18.9,42.9
EBITDA,348.4,296.9,290.6,285.0,324.3,299.7,366.3,381.3,,,79.5,112.2,77.3,85.5,104.5,116.4,74.9,106.1,39.7,61.6
Gross Profit Margin,15.1%,14.3%,14.1%,13.8%,15.2%,14.0%,15.9%,15.8%,,,14.8%,15.8%,16.7%,15.4%,17.6%,15.9%,14.5%,15.5%,16.3%,15.6%
Operating Margin,4.6%,3.7%,3.3%,3.0%,3.5%,2.7%,3.6%,3.6%,,,2.9%,4.4%,3.1%,3.2%,4.6%,4.5%,2.3%,3.7%,0.8%,1.9%
Net Profit Margin,1.7%,3.2%,3.0%,2.5%,3.0%,2.5%,3.2%,3.6%,,,2.1%,3.6%,2.9%,3.4%,4.5%,4.4%,2.2%,3.9%,1.1%,2.5%
