,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.19,2.91,2.96,3.97,3.03,3.83,3.43,3.31,,,3.70,4.09,3.51,3.17,3.13,3.22,3.14,3.24,3.55,3.34
Earnings per Share,0.14,0.23,0.25,0.28,0.24,0.28,0.31,0.34,,,0.077,0.085,0.071,0.077,0.084,0.098,0.078,0.093,0.19,0.087
Revenue per Share,0.54,0.69,0.82,0.76,0.73,0.74,0.83,0.91,,,0.21,0.21,0.21,0.22,0.23,0.23,0.23,0.19,0.27,0.23
Dividend per Share,0.095,0.11,0.13,0.14,0.13,0.095,0.15,0.17,,,,,0.15,,,,0.17,,,
Capital Expenditures per Share,0.001,0.008,0.001,0.008,0.071,0.002,0.002,0.008,,,0.00,0.00,0.000,0.008,0.00,0.00,0.00,0.000,0.00,0.000
Book Value per Share,1.68,1.81,1.95,2.11,2.21,2.36,2.58,2.76,,,2.42,2.50,2.58,2.66,2.59,2.69,2.76,2.86,2.87,2.96
Price to Earnings Ratio,9.98,12.3,9.32,15.1,10.6,12.0,11.3,9.32,,,11.2,12.0,11.3,9.96,9.74,9.96,9.32,8.94,7.74,6.93
Price to Book Value Ratio,0.76,1.49,1.13,1.61,1.08,1.34,1.22,1.09,,,1.47,1.48,1.22,1.06,1.21,1.12,1.09,1.16,1.22,1.06
EV to EBITDA,9.97,14.0,12.7,12.4,14.2,15.7,15.7,13.1,,,15.3,15.2,15.7,14.6,14.0,13.0,13.1,12.3,11.1,10.1
Dividend Payout Ratio,69.2%,50.5%,50.7%,49.3%,55.0%,34.3%,49.5%,50.5%,,,,,49.5%,,,,50.5%,,,
Common Shares Outstanding,493.5,493.5,493.5,493.5,493.5,493.5,493.5,493.5,,,493.5,493.5,493.5,493.5,493.5,493.5,493.5,493.5,493.5,493.5
Total Revenue,268.8,342.2,403.1,372.6,357.8,366.8,410.9,451.5,,,104.3,104.8,105.2,110.0,112.8,114.5,114.3,94.9,132.8,115.9
"Cost of Revenue, Total",,,,,,,,,,,,,,,,,,,,
Gross Profit,268.8,342.2,403.1,372.6,357.8,366.8,410.9,451.5,,,104.3,104.8,105.2,110.0,112.8,114.5,114.3,94.9,132.8,115.9
"Selling/General/Administrative Expenses, Total",92.8,103.7,113.0,119.1,120.7,133.4,148.7,160.6,,,37.4,37.3,39.1,36.1,40.7,37.9,45.9,37.9,47.9,34.2
Operating Income,164.1,240.6,250.1,251.6,211.3,231.3,257.2,285.5,,,65.6,70.0,60.0,64.9,75.6,79.7,65.3,58.6,132.9,78.3
Net Income,67.8,111.7,125.1,138.1,118.1,136.8,151.4,166.2,,,37.9,41.8,35.1,37.8,41.4,48.3,38.7,46.0,91.4,43.0
EBITDA,169.7,246.1,254.9,256.1,218.4,239.8,267.8,296.6,,,68.9,73.4,60.5,68.2,79.0,83.1,66.2,61.6,135.8,81.1
Gross Profit Margin,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,,,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Operating Margin,61.1%,70.3%,62.1%,67.5%,59.0%,63.1%,62.6%,63.2%,,,62.9%,66.8%,57.0%,59.0%,67.1%,69.6%,57.1%,61.7%,100.0%,67.6%
Net Profit Margin,25.2%,32.6%,31.0%,37.1%,33.0%,37.3%,36.9%,36.8%,,,36.3%,39.9%,33.3%,34.4%,36.7%,42.2%,33.9%,48.5%,68.8%,37.1%
Return on Assets,3.1%,3.8%,3.5%,4.0%,3.5%,3.8%,3.9%,4.0%,,,3.7%,3.8%,3.7%,3.6%,3.6%,3.8%,3.9%,4.1%,5.4%,5.4%
Return on Equity,8.2%,12.5%,13.0%,13.3%,10.8%,11.7%,11.9%,12.2%,,,3.2%,3.4%,2.8%,2.9%,3.2%,3.6%,2.8%,3.3%,6.4%,2.9%
Return on Total Capital,6.7%,9.5%,10.7%,10.5%,9.9%,11.2%,10.8%,11.4%,,,11.1%,10.9%,10.8%,10.3%,11.0%,11.3%,11.4%,11.3%,14.8%,14.3%
SG&A to Sale,34.5%,30.3%,28.0%,32.0%,33.7%,36.4%,36.2%,35.6%,,,35.9%,35.6%,37.2%,32.8%,36.1%,33.1%,40.2%,39.9%,36.1%,29.5%
Depreciation & Amortisation,5.54,5.44,4.70,4.50,7.13,8.43,10.6,11.1,,,3.31,3.34,0.52,3.35,3.40,3.36,0.97,3.04,2.91,2.77
Tax Rate,37.3%,29.3%,20.4%,21.8%,19.9%,20.3%,20.0%,21.7%,,,20.8%,19.8%,19.3%,20.1%,26.6%,20.3%,19.2%,20.0%,20.0%,29.5%
Current Ratio,1.60,1.34,1.35,1.57,1.42,1.38,1.42,1.44,,,1.38,1.43,1.42,1.43,1.41,1.43,1.44,1.52,1.49,1.57
Quick Ratio,1.50,1.21,1.21,1.48,1.32,1.28,1.31,1.31,,,1.26,1.30,1.31,1.29,1.27,1.29,1.31,1.36,1.33,1.38
Days Inventory Outstanding,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,"2,493","3,071","2,714","2,785","3,000","3,137","3,140","2,964",,,"3,158","3,087","3,140","3,163","3,057","2,957","2,964","2,917","2,835","2,573"
Days Payable Outstanding,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cash Conversion Cycle,35.4,46.7,39.1,36.4,62.4,114.5,139.6,138.2,,,151.8,154.6,147.7,146.4,154.7,159.6,149.4,143.5,152.9,156.7
Debt to Asset Ratio,0.63,0.75,0.74,0.68,0.68,0.69,0.69,0.68,,,0.70,0.69,0.69,0.70,0.70,0.69,0.68,0.66,0.66,0.63
Debt to Equity Ratio,1.73,3.01,2.79,2.13,2.16,2.18,2.25,2.14,,,2.33,2.24,2.25,2.33,2.37,2.20,2.14,1.94,1.97,1.67
Interest Coverage Ratio,2.93,2.91,2.69,3.35,3.31,3.88,3.78,3.90,,,3.70,3.91,3.64,3.71,3.93,4.15,3.76,3.40,7.16,4.53
Cash and Short Term Investments,102.5,277.9,306.5,172.6,227.2,253.4,305.3,363.0,,,314.0,330.1,305.3,382.3,390.3,380.6,363.0,398.4,398.6,428.5
"Total Receivables, Net","1,836","2,879","2,997","2,844","2,941","3,153","3,534","3,667",,,"3,337","3,370","3,534","3,676","3,625","3,584","3,667","3,487","3,545","3,228"
Total Inventory,,,,,,,,,,,,,,,,,,,,
Total Current Assets,"1,955","3,180","3,322","3,020","3,169","3,412","3,843","4,032",,,"3,656","3,703","3,843","4,064","4,019","3,967","4,032","3,892","3,953","3,661"
"Property/Plant/Equipment, Total - Net",33.8,32.4,28.0,27.4,56.4,25.7,21.5,55.9,,,23.9,22.6,21.5,23.9,59.8,57.9,55.9,32.2,30.7,29.2
Total Assets,"2,255","3,573","3,659","3,256","3,446","3,708","4,131","4,284",,,"3,976","4,002","4,131","4,362","4,306","4,242","4,284","4,151","4,210","3,897"
Accounts Payable,,,,,,,,,,,,,,,,,,,,
Accrued Expenses,0.23,,0.019,,0.050,,,,,,,,,,,,,,0.030,
Debt Due,"1,185","2,311","2,400","1,855","2,182","2,416","2,641","2,701",,,"2,601","2,530","2,641","2,763","2,802","2,709","2,701","2,481","2,579","2,269"
Total Current Liabilities,"1,225","2,372","2,469","1,918","2,225","2,464","2,699","2,791",,,"2,652","2,584","2,699","2,846","2,860","2,770","2,791","2,568","2,659","2,334"
