,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,,,37.9,35.0,28.6,,,,37.9,36.8,34.6,32.8,33.1,32.8,29.8,25.7,25.9
Earnings per Share,,,0.38,1.06,0.70,0.62,0.72,0.41,,,0.17,0.20,0.20,0.19,0.085,0.11,0.025,0.010,0.26,0.17
Revenue per Share,,,5.41,7.62,6.82,7.34,7.79,8.36,,,,2.05,2.05,1.98,1.97,2.18,2.22,2.20,2.37,2.63
Dividend per Share,,,0.00,0.00,0.96,0.36,0.40,0.35,,,,0.00,0.40,,,,0.35,,,
Capital Expenditures per Share,,,0.27,0.35,0.77,2.82,0.81,1.49,,,,0.18,0.19,0.18,0.41,0.42,0.48,1.16,0.37,0.45
Book Value per Share,,,2.21,1.77,2.15,5.82,9.90,9.68,,,,6.10,9.90,10.1,9.69,9.87,9.68,9.74,9.55,9.66
Price to Earnings Ratio,,,,,,,47.7,76.9,,,,48.3,49.3,44.6,48.1,55.0,77.1,126.6,58.4,56.1
Price to Book Value Ratio,,,,,,,3.49,3.28,,,,4.92,3.49,3.10,3.28,3.34,3.28,2.85,2.47,2.77
EV to EBITDA,,,,,,0.00,29.5,33.7,,,0.00,0.00,29.5,29.3,29.0,29.9,33.7,35.0,32.3,28.5
Dividend Payout Ratio,,,0.0%,0.0%,137.6%,58.0%,55.7%,85.5%,,,,0.0%,57.6%,,,,85.6%,,,
Common Shares Outstanding,,,849.1,849.1,849.1,849.1,849.1,849.1,,,,849.1,849.1,849.1,849.1,849.1,849.1,849.1,849.1,849.1
Total Revenue,,,"4,595","6,470","5,787","6,229","6,612","7,094",,,"1,577","1,744","1,738","1,683","1,674","1,854","1,883","1,872","2,009","2,235"
"Cost of Revenue, Total",,,"3,239","4,494","4,259","4,518","4,781","5,186",,,"1,142","1,236","1,229","1,206","1,245","1,337","1,398","1,425","1,660","1,621"
Gross Profit,,,"1,357","1,976","1,528","1,710","1,830","1,909",,,434.5,507.8,508.3,477.6,429.5,516.6,484.9,447.3,348.1,614.5
"Selling/General/Administrative Expenses, Total",,,800.1,966.5,780.9,854.8,"1,005","1,379",,,249.5,253.8,302.6,322.6,322.7,331.8,401.4,377.5,336.3,383.4
Operating Income,,,650.5,"1,210",746.9,855.4,825.0,530.1,,,185.0,254.0,205.7,154.9,106.9,184.8,83.5,69.7,11.8,231.1
Net Income,,,326.1,896.1,551.8,511.2,553.8,347.6,,,130.8,171.0,157.8,157.5,72.3,96.3,21.4,8.26,223.7,148.0
EBITDA,,,894.2,"1,442",970.1,"1,090","1,119",984.3,,,253.1,326.3,294.8,266.0,221.3,303.9,202.1,193.6,168.9,377.3
Gross Profit Margin,,,29.5%,30.5%,26.4%,27.5%,27.7%,26.9%,,,27.6%,29.1%,29.3%,28.4%,25.7%,27.9%,25.7%,23.9%,17.3%,27.5%
Operating Margin,,,14.2%,18.7%,12.9%,13.7%,12.5%,7.5%,,,11.7%,14.6%,11.8%,9.2%,6.4%,10.0%,4.4%,3.7%,0.6%,10.3%
Net Profit Margin,,,7.1%,13.8%,9.5%,8.2%,8.4%,4.9%,,,8.3%,9.8%,9.1%,9.4%,4.3%,5.2%,1.1%,0.4%,11.1%,6.6%
Return on Assets,,,4.4%,13.0%,8.1%,5.7%,4.5%,2.2%,,,4.7%,8.5%,4.3%,4.3%,3.7%,3.0%,2.0%,1.1%,1.8%,2.0%
Return on Equity,,,17.4%,59.6%,30.2%,10.4%,6.6%,4.2%,,,0.0%,3.3%,1.9%,1.8%,0.9%,1.1%,0.3%,0.1%,2.8%,1.8%
Return on Total Capital,,,8.1%,20.5%,12.6%,7.0%,4.7%,3.1%,,,0.0%,6.8%,4.7%,5.2%,4.9%,4.2%,3.1%,1.8%,3.2%,3.2%
SG&A to Sale,,,17.4%,14.9%,13.5%,13.7%,15.2%,19.4%,,,15.8%,14.6%,17.4%,19.2%,19.3%,17.9%,21.3%,20.2%,16.7%,17.2%
Depreciation & Amortisation,,,239.3,227.7,223.2,234.3,293.5,454.2,,,68.2,72.3,89.1,111.0,114.4,119.1,118.6,123.9,157.1,146.2
Tax Rate,,,27.1%,19.2%,23.8%,22.8%,17.3%,24.1%,,,16.9%,19.7%,8.9%,21.5%,26.5%,27.8%,18.2%,36.5%,20.1%,22.4%
Current Ratio,,,1.09,1.29,0.83,0.55,2.04,0.80,,,,0.68,2.04,1.45,1.05,0.93,0.80,0.70,0.66,0.79
Quick Ratio,,,0.72,1.11,0.47,0.24,0.66,0.19,,,0.00,0.21,0.66,0.46,0.33,0.24,0.19,0.16,0.19,0.21
Days Inventory Outstanding,,,82.2,36.6,14.3,15.0,52.5,126.7,,,16.5,52.0,95.6,91.7,98.9,124.5,156.4,170.9,169.6,166.3
Days Sale Outstanding,,,118.0,46.7,33.2,28.0,38.8,45.9,,,,37.6,38.8,41.9,43.3,45.3,45.9,43.2,61.2,55.6
Days Payable Outstanding,,,35.4,26.6,27.1,26.1,27.8,38.6,,,27.9,15.1,29.2,29.4,35.6,42.1,46.6,44.9,39.0,34.3
Cash Conversion Cycle,,,164.8,74.1,32.1,15.8,56.5,116.8,,,44.0,40.5,104.8,101.2,99.9,124.9,150.6,173.9,181.0,192.6
Debt to Asset Ratio,,,0.75,0.76,0.73,0.51,0.38,0.51,,,,0.54,0.38,0.40,0.44,0.47,0.51,0.53,0.56,0.57
Debt to Equity Ratio,,,2.96,3.22,2.92,1.07,0.64,1.12,,,,1.24,0.64,0.70,0.83,0.95,1.12,1.20,1.36,1.40
Interest Coverage Ratio,,,,,4.59,4.83,5.14,3.68,,,4.66,5.73,5.82,4.76,2.91,5.10,2.16,1.61,0.25,4.08
Cash and Short Term Investments,,,666.4,835.7,"1,383",700.6,724.8,885.6,,,,550.9,724.8,698.8,659.2,939.8,885.6,792.7,727.8,882.1
"Total Receivables, Net",,,"1,486",828.3,526.1,477.4,702.0,892.1,,,,663.9,702.0,774.0,812.2,861.7,892.1,862.8,"1,276","1,218"
Total Inventory,,,729.5,171.0,161.9,209.5,"1,167","2,434",,,,"1,338","1,167","1,252","1,412","2,011","2,434","2,626","2,784","2,776"
Total Current Assets,,,"2,887","1,844","2,127","1,419","2,615","4,268",,,,"2,580","2,615","2,888","3,111","3,893","4,268","4,428","4,927","5,029"
"Property/Plant/Equipment, Total - Net",,,"2,349","2,358","2,758","5,326","4,833","6,849",,,,"4,576","4,833","4,908","5,529","5,900","6,849","7,388","7,739","8,160"
Total Assets,,,"7,437","6,348","7,348","10,460","14,010","17,927",,,,"11,841","14,010","14,786","15,556","16,869","17,927","18,685","19,626","20,157"
Accounts Payable,,,314.2,341.4,290.8,354.2,374.1,723.5,,,,389.8,374.1,401.5,556.8,599.6,723.5,606.3,636.0,511.2
Accrued Expenses,,,403.0,455.3,283.6,307.3,368.9,361.6,,,,282.6,368.9,279.2,288.2,300.4,361.6,268.8,312.4,371.9
Debt Due,,,"1,399",357.6,789.5,"1,665",231.7,"3,144",,,,"2,853",231.7,987.5,"1,720","2,709","3,144","4,505","5,331","4,278"
Total Current Liabilities,,,"2,656","1,432","2,563","2,570","1,279","5,325",,,,"3,802","1,279","1,987","2,957","4,197","5,325","6,353","7,511","6,363"
Long Term Debt,,,"2,138","2,870","2,548","2,399","3,452","3,052",,,,"2,254","3,452","3,351","3,252","3,152","3,052","2,857","2,789","4,322"
Total Liabilities,,,"5,561","4,844","5,330","5,305","5,345","9,201",,,,"6,432","5,345","5,954","6,811","7,983","9,201","9,900","11,029","11,462"
Common Stock,,,600.0,600.0,677.0,764.1,849.1,849.1,,,,764.1,849.1,849.1,849.1,849.1,849.1,849.1,849.1,849.1
Additional Paid-In Capital,,,600.0,600.0,,"3,823","6,861","6,861",,,,"3,823","6,861","6,861","6,861","6,861","6,861","6,861","6,861","6,861"
Retained Earnings (Accumulated Deficit),,,929.1,"1,248",506.2,"1,019","1,251","1,180",,,,"1,109","1,251","1,409","1,143","1,239","1,180","1,188","1,114","1,144"
Shareholders' Equity,,,"1,876","1,504","1,825","4,937","8,403","8,217",,,,"5,180","8,403","8,567","8,228","8,384","8,217","8,273","8,106","8,204"
Cash from Operating Activities,,,838.9,"1,032",587.6,828.9,713.4,-176.9,,,165.5,236.7,302.0,-37.5,43.3,-204.6,21.9,-211.4,-48.7,-9.85
Cash from Investing Activities,,,"-1,085",57.7,"-1,186","-2,526","-1,516","-1,827",,,-300.5,-845.9,-220.7,-643.0,-391.7,-403.2,-389.0,"-1,034",-461.9,-188.0
Cash from Financing Activities,,,504.4,"-1,158",869.8,"1,543",824.0,"2,163",,,115.5,603.3,91.7,654.9,287.9,887.2,333.4,"1,162",419.8,398.6
Net Change in Cash,,,258.7,-67.6,271.3,-154.3,21.5,159.6,,,-19.5,-5.88,173.0,-25.6,-60.4,279.4,-33.8,-83.4,-90.7,200.8
Free Cashflows,,,606.0,739.3,-65.2,"-1,562",25.0,"-1,439",,,-68.3,87.0,137.9,-193.8,-304.8,-558.4,-381.7,"-1,197",-360.9,-390.1
Free Cashflow per Share,,,0.71,0.87,-0.077,-1.84,0.029,-1.69,,,,0.10,0.16,-0.23,-0.36,-0.66,-0.45,-1.41,-0.43,-0.46
