,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,6.78,11.6,9.71,8.94,7.99,7.25,7.90,7.15,,,7.45,7.16,7.25,7.05,6.98,7.90,8.50,7.65,7.20,6.10
Earnings per Share,0.18,0.50,0.41,0.63,0.91,0.011,0.48,0.010,,,-0.022,0.010,0.39,0.13,-0.046,-0.026,-0.051,0.052,-0.12,-0.056
Revenue per Share,2.84,3.61,4.11,3.79,4.26,4.01,4.13,4.18,,,0.95,1.07,1.02,1.13,0.99,1.02,1.03,1.14,1.03,1.06
Dividend per Share,,0.14,0.20,0.33,0.43,0.085,0.19,0.13,,,0.060,0.00,0.13,,0.10,0.00,0.030,,0.050,0.00
Capital Expenditures per Share,0.44,0.15,0.38,2.40,0.92,0.49,0.86,2.50,,,0.24,0.090,0.13,0.15,0.45,0.26,1.63,0.11,0.10,0.035
Book Value per Share,18.8,17.3,14.2,14.4,16.7,16.5,17.2,17.0,,,16.8,16.5,17.2,17.3,17.2,17.1,17.0,17.0,16.8,16.7
Price to Earnings Ratio,18.9,25.6,21.0,14.8,8.97,642.2,13.9,730.0,,,,146.5,13.9,13.2,13.5,14.7,762.3,,,
Price to Book Value Ratio,0.18,0.69,0.60,0.61,0.49,0.44,0.41,0.47,,,0.42,0.41,0.41,0.38,0.39,0.37,0.47,0.43,0.39,0.33
EV to EBITDA,12.5,13.0,10.0,11.9,6.60,10.7,9.54,11.8,,,11.3,10.3,9.54,9.30,9.18,9.72,11.8,12.2,11.9,11.4
Dividend Payout Ratio,,28.1%,48.9%,52.0%,46.8%,771.6%,38.6%,1300.0%,,,-336.3%,0.0%,26.1%,,20.4%,0.0%,313.3%,,-35.3%,0.0%
Common Shares Outstanding,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,,,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
Total Revenue,907.5,"1,155","1,316","1,211","1,365","1,282","1,320","1,336",,,304.4,343.5,327.3,362.4,316.1,327.9,329.6,363.6,330.1,338.1
"Cost of Revenue, Total",570.1,662.9,790.8,752.3,829.9,835.9,839.0,969.3,,,202.8,214.1,216.3,213.2,216.5,226.0,226.4,224.4,241.8,237.5
Gross Profit,337.4,491.8,525.4,458.9,534.8,445.8,481.5,454.0,,,101.6,129.4,111.1,149.2,99.6,101.9,103.2,139.1,88.4,100.6
"Selling/General/Administrative Expenses, Total",205.7,233.5,273.1,236.0,302.2,304.9,315.6,331.6,,,75.9,80.6,78.2,79.2,81.6,80.1,90.8,89.3,93.6,88.7
Operating Income,158.5,275.6,251.0,297.5,352.2,52.1,83.2,31.1,,,4.85,25.1,13.1,47.4,-5.58,-0.90,-9.77,29.0,-27.6,-10.8
Net Income,58.6,159.2,130.9,200.0,290.7,3.53,153.4,3.06,,,-6.98,3.34,125.7,42.3,-14.6,-8.34,-16.3,16.5,-37.2,-18.0
EBITDA,272.2,385.2,427.9,415.2,588.8,315.1,352.8,338.9,,,71.1,94.6,81.2,116.3,64.5,70.2,63.8,105.3,48.0,66.6
Gross Profit Margin,37.2%,42.6%,39.9%,37.9%,39.2%,34.8%,36.5%,34.0%,,,33.4%,37.7%,33.9%,41.2%,31.5%,31.1%,31.3%,38.3%,26.8%,29.8%
Operating Margin,17.5%,23.9%,19.1%,24.6%,25.8%,4.1%,6.3%,2.3%,,,1.6%,7.3%,4.0%,13.1%,-1.8%,-0.3%,-3.0%,8.0%,-8.4%,-3.2%
Net Profit Margin,6.5%,13.8%,9.9%,16.5%,21.3%,0.3%,11.6%,0.2%,,,-2.3%,1.0%,38.4%,11.7%,-4.6%,-2.5%,-4.9%,4.5%,-11.3%,-5.3%
Return on Assets,0.7%,1.7%,1.5%,2.4%,3.3%,0.0%,1.7%,0.0%,,,-0.1%,0.2%,1.7%,1.8%,1.7%,1.6%,0.0%,-0.2%,-0.5%,-0.6%
Return on Equity,1.0%,2.9%,2.9%,4.4%,5.5%,0.1%,2.8%,0.1%,,,-0.1%,0.1%,2.3%,0.8%,-0.3%,-0.2%,-0.3%,0.3%,-0.7%,-0.3%
Return on Total Capital,0.7%,2.1%,2.1%,3.0%,4.1%,0.1%,2.2%,0.0%,,,-0.1%,0.2%,2.2%,2.3%,2.2%,2.0%,0.0%,-0.3%,-0.6%,-0.7%
SG&A to Sale,22.7%,20.2%,20.8%,19.5%,22.1%,23.8%,23.9%,24.8%,,,24.9%,23.5%,23.9%,21.8%,25.8%,24.4%,27.6%,24.6%,28.3%,26.2%
Depreciation & Amortisation,113.7,109.6,176.9,117.7,236.6,263.0,269.7,307.7,,,66.2,69.5,68.1,69.0,70.0,71.1,73.6,76.2,75.6,77.3
Tax Rate,37.3%,27.9%,29.4%,30.1%,9.9%,71.4%,9.9%,58.6%,,,-48.5%,244.6%,11.7%,5.8%,-6.7%,-10.0%,3.4%,23.9%,5.0%,10.1%
Current Ratio,0.39,0.50,0.73,0.61,0.59,0.44,0.67,0.40,,,0.36,0.39,0.67,0.71,0.39,0.47,0.40,0.45,0.40,0.37
Quick Ratio,0.18,0.19,0.30,0.23,0.23,0.19,0.46,0.21,,,0.17,0.17,0.46,0.50,0.16,0.19,0.21,0.18,0.17,0.15
Days Inventory Outstanding,22.7,22.0,18.9,19.7,18.2,18.5,18.4,16.0,,,18.8,18.4,18.2,18.0,17.4,17.5,17.8,17.5,16.8,16.3
Days Sale Outstanding,28.0,26.2,30.0,31.9,26.0,27.6,74.6,30.0,,,26.5,25.8,74.6,77.2,23.8,23.0,30.0,26.7,26.7,23.3
Days Payable Outstanding,18.1,19.2,15.2,16.6,14.8,12.2,11.6,11.3,,,12.6,12.6,13.2,13.5,13.2,14.1,13.7,12.1,11.9,11.4
Cash Conversion Cycle,25.1,28.6,29.5,35.3,30.9,36.1,55.8,56.9,,,33.8,31.1,54.8,79.6,54.7,25.6,32.2,33.6,31.6,30.0
Debt to Asset Ratio,0.30,0.40,0.41,0.44,0.40,0.40,0.39,0.42,,,0.40,0.40,0.39,0.39,0.38,0.39,0.42,0.42,0.42,0.42
Debt to Equity Ratio,0.43,0.70,0.71,0.81,0.68,0.68,0.66,0.75,,,0.68,0.69,0.66,0.65,0.64,0.65,0.75,0.75,0.76,0.75
Interest Coverage Ratio,1.15,1.93,2.10,2.81,3.11,0.46,0.73,0.30,,,0.17,0.86,0.47,1.82,,,,0.93,,
Cash and Short Term Investments,39.9,91.2,93.3,131.9,104.7,80.7,67.2,57.6,,,53.4,66.4,67.2,65.7,69.0,57.1,57.6,79.7,68.0,57.3
"Total Receivables, Net",69.5,82.7,108.1,105.8,97.3,96.9,269.8,109.9,,,92.0,91.0,269.8,283.0,88.1,84.1,109.9,97.9,98.9,86.9
Total Inventory,39.2,40.9,40.8,40.5,42.4,42.5,42.0,43.1,,,42.3,41.5,42.0,41.3,40.8,43.0,43.1,42.7,42.0,41.3
Total Current Assets,151.2,217.4,266.5,287.9,249.5,228.2,393.2,210.6,,,194.8,217.5,393.2,406.0,211.5,207.7,210.6,243.9,235.9,220.6
"Property/Plant/Equipment, Total - Net","8,565","9,205","7,312","7,952","8,610","8,520","8,656","9,194",,,"8,739","8,577","8,656","8,652","8,729","8,734","9,194","9,155","9,047","8,998"
Total Assets,"8,834","9,593","7,853","8,483","9,114","9,029","9,300","9,676",,,"9,191","9,052","9,300","9,303","9,200","9,222","9,676","9,669","9,603","9,530"
Accounts Payable,37.9,31.7,34.3,34.3,32.9,23.0,30.5,29.3,,,27.2,30.1,30.5,32.0,30.3,36.9,29.3,30.0,29.7,28.7
Accrued Expenses,35.7,50.7,42.7,54.5,58.8,51.0,57.8,62.4,,,41.5,42.8,57.8,52.2,49.6,50.5,62.4,56.2,51.6,53.8
Debt Due,243.2,249.2,198.4,193.4,255.4,366.8,432.6,338.8,,,417.3,409.6,432.6,417.9,377.6,265.2,338.8,361.3,399.6,422.4
Total Current Liabilities,389.2,430.6,366.8,471.4,419.7,515.0,585.9,524.9,,,540.7,554.6,585.9,569.8,538.3,438.3,524.9,543.0,586.1,594.1
Long Term Debt,"1,972","1,920","1,567","2,012","1,813","1,672","1,609","2,140",,,"1,686","1,656","1,609","1,590","1,580","1,712","2,140","2,107","2,044","1,984"
Total Liabilities,"2,618","3,873","3,195","3,746","3,638","3,599","3,618","4,081",,,"3,652","3,617","3,618","3,582","3,531","3,564","4,081","4,069","4,071","4,018"
Common Stock,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,,,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0,320.0
Additional Paid-In Capital,112.7,112.7,112.7,112.7,112.7,112.7,112.7,112.7,,,112.7,112.7,112.7,112.7,112.7,112.7,112.7,112.7,112.7,112.7
Retained Earnings (Accumulated Deficit),"2,883","2,516",141.6,174.3,423.3,428.6,622.0,619.7,,,458.7,478.7,622.0,680.8,642.8,651.2,619.7,652.5,622.3,621.1
Shareholders' Equity,"6,022","5,534","4,528","4,597","5,329","5,284","5,501","5,428",,,"5,371","5,267","5,501","5,540","5,490","5,480","5,428","5,433","5,367","5,346"
Cash from Operating Activities,264.8,423.0,434.4,485.3,435.5,392.2,444.7,588.7,,,84.2,113.4,123.1,122.6,282.7,83.0,100.4,119.6,89.2,99.1
Cash from Investing Activities,-336.8,-148.0,-165.7,-647.4,-116.6,-200.7,-324.2,-842.0,,,-56.9,-36.0,-52.4,-70.9,-153.5,-92.3,-525.3,-57.8,-37.9,-41.1
Cash from Financing Activities,19.7,-223.2,-265.2,199.8,-366.8,-215.6,-137.0,248.3,,,-46.7,-66.5,-72.0,-59.9,-117.1,-5.72,431.0,-41.6,-59.3,-68.6
Net Change in Cash,-52.0,51.2,2.11,38.6,-27.3,-24.0,-13.5,-9.60,,,-20.0,13.0,0.82,-1.49,3.30,-11.8,0.44,22.0,-11.6,-10.7
Free Cashflows,125.0,375.4,311.8,-284.3,140.0,236.7,170.2,-209.8,,,7.57,84.6,82.3,73.6,137.2,-0.36,-420.2,85.2,56.3,88.0
Free Cashflow per Share,0.39,1.17,0.97,-0.89,0.44,0.74,0.53,-0.66,,,0.024,0.26,0.26,0.23,0.43,-0.001,-1.31,0.27,0.18,0.27
