,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,21.6,36.4,37.3,40.9,41.8,48.3,47.9,36.3,,,44.4,53.4,55.6,49.9,44.3,43.1,45.5,41.4,35.1,29.4
Earnings per Share,0.41,1.18,1.00,0.88,1.23,1.37,1.48,1.61,,,0.30,0.27,0.33,0.65,0.28,0.33,0.36,0.61,0.15,0.18
Revenue per Share,8.51,10.9,12.9,13.6,14.3,14.7,15.0,16.1,,,3.56,3.61,3.86,4.25,3.85,3.94,4.04,4.25,3.80,3.68
Dividend per Share,0.15,0.30,0.40,0.40,0.50,0.55,0.60,0.65,,,,,0.60,,,,0.65,,,
Capital Expenditures per Share,1.13,1.01,1.48,1.02,1.16,1.07,1.02,1.00,,,0.25,0.20,0.43,0.16,0.16,0.30,0.37,0.34,0.29,0.38
Book Value per Share,4.29,6.64,7.71,6.00,6.83,7.71,8.55,9.56,,,7.98,8.24,8.55,9.16,8.89,9.21,9.56,10.1,9.63,9.79
Price to Earnings Ratio,28.5,32.6,30.3,35.5,31.9,26.3,34.7,27.7,,,28.7,36.7,34.7,29.2,26.0,26.7,27.7,21.5,22.1,21.4
Price to Book Value Ratio,3.00,5.84,3.92,5.46,6.26,4.61,5.76,4.58,,,5.58,7.07,5.76,4.69,4.69,4.35,4.58,3.50,3.43,2.55
EV to EBITDA,11.2,17.6,13.3,14.9,13.3,12.8,17.9,14.2,,,14.2,15.1,17.9,17.4,14.6,13.3,14.2,13.9,12.0,10.6
Dividend Payout Ratio,36.8%,25.4%,40.1%,45.4%,40.6%,40.1%,40.7%,40.3%,,,,,40.7%,,,,40.3%,,,
Common Shares Outstanding,"1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350",,,"1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350","1,350"
Total Revenue,"11,487","14,776","17,427","18,299","19,246","19,864","20,230","21,703",,,"4,799","4,880","5,205","5,741","5,191","5,322","5,449","5,744","5,125","4,965"
"Cost of Revenue, Total","6,983","8,679","10,222","10,745","11,067","11,455","11,532","12,368",,,"2,794","2,874","2,987","3,012","3,042","3,102","3,212","3,059","3,099","3,037"
Gross Profit,"4,504","6,097","7,206","7,554","8,179","8,409","8,699","9,334",,,"2,006","2,006","2,218","2,729","2,149","2,219","2,237","2,684","2,026","1,928"
"Selling/General/Administrative Expenses, Total","3,410","4,447","5,024","5,552","5,589","5,816","6,056","6,518",,,"1,540","1,487","1,629","1,582","1,660","1,649","1,626","1,605","1,800","1,640"
Operating Income,"1,162","1,706","2,207","2,035","2,631","2,611","2,672","2,849",,,466.1,518.9,618.6,"1,147",488.9,570.0,642.8,"1,080",225.3,287.4
Net Income,550.4,"1,596","1,346","1,188","1,664","1,850","1,991","2,178",,,398.3,368.5,441.6,883.0,371.7,441.7,481.1,825.9,203.7,243.7
EBITDA,"2,144","2,884","3,577","3,745","4,406","4,443","4,246","4,498",,,923.6,"1,067",748.3,"1,643",996.4,"1,086",772.2,"1,590",741.2,792.0
Gross Profit Margin,39.2%,41.3%,41.3%,41.3%,42.5%,42.3%,43.0%,43.0%,,,41.8%,41.1%,42.6%,47.5%,41.4%,41.7%,41.1%,46.7%,39.5%,38.8%
Operating Margin,10.1%,11.5%,12.7%,11.1%,13.7%,13.1%,13.2%,13.1%,,,9.7%,10.6%,11.9%,20.0%,9.4%,10.7%,11.8%,18.8%,4.4%,5.8%
Net Profit Margin,4.8%,10.8%,7.7%,6.5%,8.6%,9.3%,9.8%,10.0%,,,8.3%,7.6%,8.5%,15.4%,7.2%,8.3%,8.8%,14.4%,4.0%,4.9%
Return on Assets,2.6%,6.4%,4.7%,4.4%,6.8%,7.6%,8.1%,8.5%,,,7.9%,8.2%,8.1%,8.3%,8.2%,8.4%,8.4%,7.9%,7.3%,6.7%
Return on Equity,9.5%,17.8%,12.9%,14.7%,18.0%,17.8%,17.3%,16.9%,,,3.7%,3.3%,3.8%,7.1%,3.1%,3.6%,3.7%,6.0%,1.6%,1.8%
Return on Total Capital,4.7%,10.1%,7.3%,7.4%,12.5%,11.3%,11.4%,11.1%,,,11.0%,11.1%,11.4%,11.5%,11.6%,11.7%,11.1%,10.8%,10.6%,9.3%
SG&A to Sale,29.7%,30.1%,28.8%,30.3%,29.0%,29.3%,29.9%,30.0%,,,32.1%,30.5%,31.3%,27.6%,32.0%,31.0%,29.8%,27.9%,35.1%,33.0%
Depreciation & Amortisation,982.0,"1,178","1,370","1,710","1,775","1,833","1,574","1,648",,,457.5,548.0,129.7,496.0,507.5,515.6,129.4,510.1,515.8,504.6
Tax Rate,30.2%,17.0%,23.3%,22.0%,19.7%,17.5%,16.3%,16.2%,,,4.3%,19.6%,18.4%,16.3%,15.2%,15.0%,17.6%,15.4%,26.3%,0.0%
Current Ratio,0.27,0.26,0.38,0.43,0.31,0.66,0.60,1.10,,,0.91,0.94,0.60,0.81,0.72,0.85,1.10,1.09,0.87,0.93
Quick Ratio,0.12,0.11,0.13,0.14,0.12,0.22,0.18,0.21,,,0.43,0.26,0.18,0.27,0.30,0.32,0.21,0.44,0.44,0.48
Days Inventory Outstanding,18.4,18.4,19.4,21.2,21.6,23.2,25.2,24.5,,,22.1,21.0,23.1,24.4,22.6,22.2,23.7,24.2,23.8,24.7
Days Sale Outstanding,25.0,21.0,17.4,15.0,16.9,15.5,14.5,13.2,,,12.4,13.2,14.5,14.9,12.7,12.2,13.2,14.4,10.4,11.4
Days Payable Outstanding,27.1,24.8,23.9,24.5,23.8,24.7,27.0,25.0,,,21.6,20.4,24.1,24.9,21.1,21.0,22.5,22.7,21.3,20.1
