,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,26.5,21.0,16.8,12.9,9.78,12.4,8.58,9.93,,,12.8,12.4,10.1,8.90,8.23,7.45,7.83,10.4,11.8,10.9
Earnings per Share,1.18,-0.61,-0.82,-1.80,-1.40,-0.63,-0.47,0.019,,,0.010,-0.94,0.46,-0.046,0.062,0.019,-0.016,0.071,0.083,0.077
Revenue per Share,17.5,22.0,17.1,11.0,10.6,9.04,9.39,8.51,,,2.38,2.25,2.27,1.95,2.09,1.95,2.52,2.21,1.78,1.85
Dividend per Share,0.54,,,,,,,,,,,,,,,,,,0.10,0.00
Capital Expenditures per Share,0.71,1.56,0.81,0.61,0.33,0.087,0.077,0.10,,,0.026,0.008,0.033,0.022,0.050,0.016,0.016,0.021,0.012,0.008
Book Value per Share,5.53,5.74,4.79,3.71,2.22,1.59,1.16,1.18,,,1.60,0.66,1.16,1.11,1.17,1.19,1.18,1.25,1.34,1.26
Price to Earnings Ratio,16.4,,,,,,,371.9,,,,,,,,14.4,371.8,67.0,69.4,47.8
Price to Book Value Ratio,3.64,4.18,3.59,3.88,3.55,6.27,7.81,6.98,,,7.04,15.6,7.81,7.27,6.81,5.03,6.98,8.13,8.45,8.16
EV to EBITDA,9.23,78.6,-17.6,-32.4,-74.7,32.3,-592.5,11.4,,,18.3,73.0,-592.5,-32.2,-23.2,-67.3,11.4,10.9,17.0,16.9
Dividend Payout Ratio,45.8%,,,,,,,,,,,,,,,,,,63.6%,0.0%
Common Shares Outstanding,530.3,530.3,636.3,819.9,819.9,819.9,819.9,819.9,,,819.9,819.9,819.9,819.9,819.9,819.9,819.9,819.9,819.9,819.9
Total Revenue,"9,269","11,652","10,907","9,048","8,724","7,415","7,696","6,977",,,"1,949","1,846","1,862","1,600","1,711","1,597","2,069","1,814","1,461","1,518"
"Cost of Revenue, Total","5,397","8,062","6,991","6,223","5,743","4,586","4,917","4,365",,,"1,179","1,289","1,221","1,019","1,046",970.3,"1,329","1,127",851.4,957.7
Gross Profit,"3,872","3,590","3,916","2,825","2,981","2,828","2,779","2,612",,,770.1,557.1,641.5,580.8,665.4,627.1,739.2,687.1,609.5,560.6
"Selling/General/Administrative Expenses, Total","3,014","3,738","4,192","3,794","3,528","2,862","3,037","2,214",,,716.2,883.8,718.5,533.3,530.3,532.6,618.1,535.0,549.6,485.3
Operating Income,858.5,-148.0,-276.0,-969.7,-546.6,-33.3,-257.6,398.2,,,53.9,-326.7,-76.9,47.5,135.2,94.4,121.0,152.1,59.9,75.3
Net Income,625.5,-322.1,"-1,283","-2,413","-1,145",-520.1,-384.3,15.4,,,8.53,-773.3,377.0,-37.9,50.9,15.4,-12.9,58.6,67.8,63.2
EBITDA,"1,138",154.3,74.2,-448.6,-92.0,263.8,-13.7,490.4,,,251.5,-60.9,-506.9,87.6,187.8,137.0,78.0,229.6,103.4,103.7
Gross Profit Margin,41.8%,30.8%,35.9%,31.2%,34.2%,38.1%,36.1%,37.4%,,,39.5%,30.2%,34.5%,36.3%,38.9%,39.3%,35.7%,37.9%,41.7%,36.9%
Operating Margin,9.3%,-1.3%,-2.5%,-10.7%,-6.3%,-0.4%,-3.3%,5.7%,,,2.8%,-17.7%,-4.1%,3.0%,7.9%,5.9%,5.9%,8.4%,4.1%,5.0%
Net Profit Margin,6.7%,-2.8%,-11.8%,-26.7%,-13.1%,-7.0%,-5.0%,0.2%,,,0.4%,-41.9%,20.2%,-2.4%,3.0%,1.0%,-0.6%,3.2%,4.6%,4.2%
Return on Assets,7.8%,-3.2%,-10.7%,-17.8%,-10.4%,-7.0%,-7.0%,0.4%,,,-3.4%,-14.3%,-7.3%,-11.2%,-10.0%,10.6%,0.4%,3.0%,3.5%,5.0%
Return on Equity,21.3%,-10.6%,-42.1%,-79.3%,-62.9%,-39.9%,-40.5%,1.6%,,,0.6%,-142.5%,39.7%,-4.1%,5.3%,1.6%,-1.3%,5.7%,6.2%,6.1%
Return on Total Capital,19.5%,-9.9%,-38.1%,-37.7%,-32.9%,-27.0%,-25.1%,1.1%,,,-7.5%,-39.8%,-25.1%,-28.9%,-25.5%,27.2%,1.1%,7.7%,8.5%,13.1%
SG&A to Sale,32.5%,32.1%,38.4%,41.9%,40.4%,38.6%,39.5%,31.7%,,,36.7%,47.9%,38.6%,33.3%,31.0%,33.3%,29.9%,29.5%,37.6%,32.0%
Depreciation & Amortisation,279.6,302.3,350.2,521.2,454.7,297.1,244.0,92.2,,,197.6,265.8,-430.0,40.1,52.6,42.6,-43.0,77.5,43.4,28.4
Tax Rate,30.2%,-284.8%,-29.3%,6.0%,5.6%,1.7%,5135.1%,63.6%,,,21.3%,2.8%,48.1%,-57.4%,31.8%,50.3%,121.0%,27.6%,8.6%,21.8%
Current Ratio,1.25,0.91,1.11,1.18,1.30,0.78,1.05,1.06,,,1.23,0.98,1.05,0.96,0.99,1.02,1.06,1.08,1.16,1.07
