,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,,,,5.13,10.8,14.4,19.6,24.1,,,14.1,16.9,18.7,19.3,20.9,19.6,17.7,22.7,27.6,28.3
Earnings per Share,0.056,0.16,0.14,0.17,0.26,0.34,0.51,0.74,,,0.11,0.13,0.18,0.15,0.18,0.20,0.22,0.21,0.25,0.24
Revenue per Share,7.45,10.6,11.6,11.7,12.5,14.3,18.8,23.3,,,4.14,4.60,5.97,5.38,5.63,5.55,6.74,6.36,6.47,6.35
Dividend per Share,0.00,0.00,0.32,0.00,0.15,0.25,0.35,0.50,,,,,0.35,,,,0.50,,,
Capital Expenditures per Share,0.00,0.17,0.094,0.12,0.11,0.18,0.16,0.12,,,0.044,0.034,0.038,0.021,0.022,0.047,0.028,0.018,0.026,0.045
Book Value per Share,0.25,0.43,0.26,0.44,1.47,1.66,1.91,2.31,,,1.61,1.74,1.91,2.06,1.89,2.09,2.31,2.52,2.26,2.50
Price to Earnings Ratio,,,,,22.8,34.5,38.0,24.1,,,32.8,36.1,37.7,32.5,30.4,27.0,24.0,24.2,29.7,30.4
Price to Book Value Ratio,,,,,4.76,6.46,9.92,7.75,,,8.44,9.38,9.92,8.05,11.9,7.42,7.75,8.66,10.8,10.6
EV to EBITDA,,,,0.00,14.8,21.5,23.2,14.5,,,19.2,22.7,23.2,24.2,20.9,21.0,14.5,17.8,21.1,22.9
Dividend Payout Ratio,0.0%,0.0%,220.3%,0.0%,56.9%,73.8%,69.0%,67.3%,,,,,68.3%,,,,67.0%,,,
Common Shares Outstanding,"1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200",,,"1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200"
Total Revenue,"8,946","12,778","13,952","14,099","14,986","17,177","22,558","27,962",,,"4,972","5,520","7,159","6,451","6,755","6,665","8,089","7,629","7,765","7,625"
"Cost of Revenue, Total","7,845","11,298","12,393","12,399","13,075","14,790","19,508","24,287",,,"4,258","4,763","6,250","5,647","5,851","5,729","7,060","6,621","6,687","6,550"
Gross Profit,"1,100","1,482","1,560","1,700","1,911","2,388","3,050","3,675",,,714.0,756.9,908.7,804.5,903.8,936.2,"1,029","1,007","1,078","1,075"
"Selling/General/Administrative Expenses, Total",974.4,"1,202","1,314","1,398","1,534","1,868","2,274","2,552",,,545.6,569.4,644.6,589.2,628.1,635.6,698.7,688.3,708.1,718.3
Operating Income,126.0,283.2,245.7,301.4,377.5,519.1,775.7,"1,124",,,168.4,187.5,264.1,215.3,275.7,300.6,330.6,319.1,370.0,356.9
Net Income,67.2,195.3,172.6,209.7,268.5,406.5,608.8,891.1,,,126.2,150.6,212.3,174.9,216.2,235.5,264.5,250.1,294.2,287.0
EBITDA,126.0,369.4,361.2,425.6,519.4,671.2,942.1,"1,299",,,210.4,229.1,306.7,257.3,317.5,345.7,380.1,366.8,418.2,406.2
Gross Profit Margin,12.3%,11.6%,11.2%,12.1%,12.8%,13.9%,13.5%,13.1%,,,14.4%,13.7%,12.7%,12.5%,13.4%,14.0%,12.7%,13.2%,13.9%,14.1%
Operating Margin,1.4%,2.2%,1.8%,2.1%,2.5%,3.0%,3.4%,4.0%,,,3.4%,3.4%,3.7%,3.3%,4.1%,4.5%,4.1%,4.2%,4.8%,4.7%
Net Profit Margin,0.8%,1.5%,1.2%,1.5%,1.8%,2.4%,2.7%,3.2%,,,2.5%,2.7%,3.0%,2.7%,3.2%,3.5%,3.3%,3.3%,3.8%,3.8%
