,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,4.49,3.41,2.51,2.18,0.88,0.82,0.81,0.72,,,0.74,0.72,0.69,0.69,0.85,0.89,0.77,0.78,0.73,0.65
Earnings per Share,0.008,0.091,-0.037,0.030,-0.048,-0.011,0.002,0.042,,,-0.010,0.001,0.005,0.003,0.021,0.007,0.012,0.013,0.010,0.011
Revenue per Share,0.26,0.11,0.20,0.16,0.095,0.080,0.066,0.10,,,0.015,0.018,0.016,0.018,0.038,0.020,0.026,0.027,0.021,0.035
Dividend per Share,0.005,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.001,0.016,0.017,0.008,0.13,0.001,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000,0.000,0.004
Book Value per Share,1.16,1.09,1.02,1.28,1.23,1.15,1.14,1.18,,,1.14,1.14,1.14,1.15,1.17,1.17,1.18,1.19,1.21,1.22
Price to Earnings Ratio,129.6,54.1,,107.1,,,442.2,16.9,,,,,561.1,,23.2,23.5,16.8,14.8,17.1,13.4
Price to Book Value Ratio,0.83,2.52,1.55,1.89,0.67,0.71,0.53,0.57,,,0.62,0.60,0.53,0.52,0.63,0.60,0.57,0.64,0.54,0.50
EV to EBITDA,-12.9,222.0,41.2,33.3,-6.84,16.2,6.97,5.40,,,27.5,27.5,6.97,0.91,7.27,12.5,5.40,4.65,6.24,2.65
Dividend Payout Ratio,60.1%,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,120.0,370.0,610.0,965.0,965.0,965.0,965.0,965.0,,,965.0,965.0,965.0,965.0,965.0,965.0,965.0,965.0,965.0,965.0
Total Revenue,30.9,41.1,123.4,153.6,91.9,76.9,64.1,98.6,,,14.4,17.8,15.8,16.9,37.0,19.4,25.2,25.9,20.6,33.6
"Cost of Revenue, Total",20.2,19.5,96.3,85.3,42.0,17.1,20.6,20.8,,,6.34,5.39,5.44,5.32,5.56,4.92,5.00,5.48,5.52,5.50
Gross Profit,10.7,21.5,27.1,68.3,50.0,59.8,43.5,77.8,,,8.04,12.4,10.4,11.6,31.4,14.5,20.2,20.4,15.1,28.1
"Selling/General/Administrative Expenses, Total",17.2,17.9,34.7,55.4,98.3,49.1,33.0,35.6,,,7.55,10.2,8.26,8.84,10.1,7.76,9.07,7.70,4.55,17.5
Operating Income,-6.46,3.60,-7.62,12.8,-48.4,10.7,10.4,42.2,,,0.49,2.15,2.12,2.76,21.3,6.75,11.1,12.7,10.5,10.6
Net Income,0.92,11.2,-20.9,21.1,-46.0,-75.0,-10.5,40.5,,,-12.5,1.08,4.49,2.89,21.7,6.52,11.2,12.1,9.96,10.4
EBITDA,-3.50,6.96,13.5,34.5,-41.8,21.4,17.9,48.5,,,2.94,3.71,2.95,4.59,23.2,8.55,12.0,14.3,12.1,12.2
Gross Profit Margin,34.8%,52.4%,22.0%,44.4%,54.4%,77.8%,67.9%,78.9%,,,55.9%,69.6%,65.6%,68.6%,85.0%,74.7%,80.2%,78.8%,73.2%,83.6%
Operating Margin,-20.9%,8.8%,-6.2%,8.3%,-52.6%,13.9%,16.3%,42.8%,,,3.4%,12.1%,13.4%,16.3%,57.7%,34.7%,44.2%,49.1%,51.1%,31.6%
Net Profit Margin,3.0%,27.4%,-16.9%,13.7%,-50.0%,-97.6%,-16.4%,41.1%,,,-87.1%,6.1%,28.4%,17.1%,58.7%,33.5%,44.3%,46.7%,48.4%,31.0%
Return on Assets,0.6%,4.0%,-3.1%,1.9%,-3.6%,-6.1%,-0.9%,3.4%,,,-5.9%,-5.1%,-0.9%,-0.3%,2.6%,3.0%,3.5%,4.3%,3.3%,3.5%
Return on Equity,0.7%,2.8%,-3.4%,1.7%,-3.9%,-6.7%,-1.0%,3.5%,,,-1.1%,0.1%,0.4%,0.3%,1.9%,0.6%,1.0%,1.1%,0.9%,0.9%
Return on Total Capital,0.7%,2.8%,-2.7%,1.7%,-3.9%,-6.7%,-1.0%,3.5%,,,-6.3%,-5.4%,-1.0%,-0.4%,2.7%,3.1%,3.7%,4.5%,3.4%,3.7%
SG&A to Sale,55.7%,43.7%,28.1%,36.1%,107.0%,63.9%,51.6%,36.1%,,,52.5%,57.5%,52.2%,52.3%,27.3%,39.9%,36.0%,29.7%,22.1%,52.0%
Depreciation & Amortisation,2.95,3.35,21.2,21.7,6.53,10.7,7.48,6.29,,,2.45,1.55,0.83,1.84,1.83,1.80,0.83,1.58,1.57,1.60
Tax Rate,33.1%,22.2%,-0.8%,16.5%,-8.5%,-16.2%,119.9%,0.6%,,,-6.1%,48.9%,-104.5%,0.0%,-5.6%,4.5%,-5.7%,0.0%,0.0%,0.0%
