,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.18,2.94,59.9,42.2,2.68,1.19,0.48,0.33,,,1.02,0.88,0.69,0.60,0.38,0.33,0.39,0.31,0.26,0.24
Earnings per Share,0.014,-0.21,-0.48,-0.16,-0.068,-0.069,-0.11,-0.20,,,-0.022,-0.029,-0.034,-0.025,-0.10,-0.039,-0.034,-0.010,-0.010,-0.019
Revenue per Share,1.25,1.23,0.51,0.11,0.037,0.030,0.054,0.53,,,0.004,0.016,0.006,0.005,0.006,0.51,0.005,0.002,0.002,0.007
Dividend per Share,,,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.066,0.19,0.004,0.008,0.001,0.017,0.001,0.002,,,0.000,0.000,0.000,0.00,0.00,0.000,0.002,0.004,0.000,0.001
Book Value per Share,0.55,0.34,0.55,0.47,0.45,0.38,0.27,0.11,,,0.33,0.30,0.27,0.24,0.18,0.14,0.11,0.098,0.088,0.075
Price to Earnings Ratio,86.9,,,,,,,,,,,,,,,,,,,
Price to Book Value Ratio,1.53,4.17,13.8,101.7,4.48,3.32,1.63,3.07,,,2.89,2.41,1.63,1.76,1.51,1.50,3.07,3.07,2.62,2.65
EV to EBITDA,21.7,-30.0,-19.9,-639.2,-48.9,-28.5,-11.9,-1.29,,,-12.5,-14.5,-11.9,-12.2,-4.66,-0.54,-1.29,-1.21,-1.36,-2.82
Dividend Payout Ratio,,,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,263.4,263.4,263.4,526.8,"1,580","1,580","1,580","1,580",,,"1,580","1,580","1,580","1,580","1,580","1,580","1,580","1,580","1,580","1,580"
Total Revenue,328.7,323.9,134.9,56.7,59.0,47.1,84.9,833.1,,,7.03,25.9,8.95,8.24,8.94,808.8,7.14,3.95,2.66,11.4
"Cost of Revenue, Total",295.1,325.4,174.5,51.0,64.2,69.3,127.7,888.6,,,19.8,36.1,21.5,20.0,20.6,838.2,31.6,4.35,2.44,11.1
Gross Profit,33.7,-1.42,-39.6,5.69,-5.24,-22.3,-42.8,-55.5,,,-12.7,-10.2,-12.5,-11.8,-11.6,-29.4,-24.4,-0.40,0.21,0.29
"Selling/General/Administrative Expenses, Total",31.2,31.2,39.4,60.9,69.3,80.9,82.6,208.7,,,16.9,19.9,25.2,13.4,137.6,77.2,29.6,15.8,16.8,31.6
Operating Income,6.95,-16.8,-79.0,-55.2,-74.5,-103.2,-125.4,-264.3,,,-29.6,-30.1,-37.7,-25.1,-149.2,-106.6,-54.0,-16.2,-16.6,-31.4
Net Income,3.65,-56.3,-127.7,-52.3,-73.3,-108.9,-169.0,-319.4,,,-35.3,-46.0,-53.0,-39.6,-164.2,-61.4,-54.1,-15.5,-15.7,-30.4
EBITDA,20.1,2.31,-58.2,-51.7,-73.2,-101.4,-121.8,-261.0,,,-28.7,-29.2,-36.8,-23.8,-148.8,-105.7,-53.5,-15.7,-15.3,-30.6
Gross Profit Margin,10.2%,-0.4%,-29.4%,10.0%,-8.9%,-47.3%,-50.4%,-6.7%,,,-181.2%,-39.6%,-139.9%,-142.6%,-129.9%,-3.6%,-342.2%,-10.1%,8.0%,2.6%
Operating Margin,2.1%,-5.2%,-58.6%,-97.4%,-126.3%,-219.2%,-147.7%,-31.7%,,,-421.2%,-116.5%,-421.0%,-304.7%,-1669.1%,-13.2%,-756.9%,-411.0%,-623.3%,-274.7%
Net Profit Margin,1.1%,-17.4%,-94.6%,-92.3%,-124.3%,-231.4%,-199.0%,-38.3%,,,-502.0%,-177.9%,-592.6%,-480.3%,-1837.0%,-7.6%,-757.9%,-393.6%,-591.7%,-266.0%
Return on Assets,1.3%,-18.6%,-44.0%,-19.2%,-15.0%,-11.9%,-16.0%,-53.0%,,,-16.0%,-16.8%,-17.6%,-17.5%,-31.1%,-48.1%,-108.0%,-151.0%,-90.7%,-84.5%
Return on Equity,2.5%,-63.0%,-87.9%,-20.9%,-10.4%,-18.3%,-39.7%,-188.1%,,,-6.7%,-9.6%,-12.4%,-10.3%,-58.0%,-27.7%,-31.9%,-10.1%,-11.3%,-25.5%
Return on Total Capital,2.5%,-63.0%,-87.9%,-20.8%,-10.4%,-12.9%,-39.6%,-188.1%,,,-19.5%,-32.6%,-39.6%,-44.9%,-106.7%,-143.5%,-188.1%,-191.5%,-106.0%,-97.1%
SG&A to Sale,9.5%,9.6%,29.2%,107.4%,117.4%,171.9%,97.3%,25.1%,,,240.0%,76.9%,281.2%,162.1%,1539.2%,9.5%,414.7%,400.9%,631.3%,277.3%
Depreciation & Amortisation,13.1,19.1,20.9,3.47,1.34,1.79,3.55,3.24,,,0.89,0.91,0.90,1.35,0.43,0.90,0.55,0.54,1.27,0.71
Tax Rate,13.7%,0.0%,1.0%,0.0%,-0.3%,-0.8%,-0.5%,-7.4%,,,-0.6%,-0.4%,-0.3%,-0.4%,-0.1%,0.4%,-67.8%,0.1%,0.5%,0.2%
Current Ratio,2.13,1.08,0.53,16.7,91.0,3.71,1.62,4.19,,,6.00,1.97,1.62,1.51,1.32,2.09,4.19,6.21,22.4,13.4
Quick Ratio,0.92,0.29,0.008,4.58,66.4,0.45,0.14,1.59,,,0.012,0.005,0.14,0.13,0.093,0.39,1.59,3.02,2.46,1.82
Days Inventory Outstanding,134.6,138.2,159.5,472.9,543.8,"2,394","2,289",159.5,,,"2,697","2,328","2,222","2,925","2,827",149.3,0.058,0.11,0.12,5.13
Days Sale Outstanding,102.9,55.5,2.01,55.0,52.5,99.7,328.6,6.31,,,10.3,9.04,328.6,567.4,426.4,24.6,6.31,5.69,4.51,151.0
Days Payable Outstanding,54.7,42.2,22.8,16.8,13.3,4.27,98.9,15.2,,,5.77,5.39,99.4,270.8,253.9,23.3,12.4,2.11,1.09,15.6
Cash Conversion Cycle,160.6,194.7,228.2,469.2,596.5,"2,468","2,288",176.7,,,"2,712","2,330","2,198","3,199","3,091",152.4,13.0,4.54,4.67,133.2
Debt to Asset Ratio,0.40,0.59,0.48,0.057,0.012,0.47,0.57,0.20,,,0.43,0.49,0.57,0.61,0.70,0.41,0.20,0.13,0.049,0.071
Debt to Equity Ratio,0.84,1.97,0.93,0.060,0.012,0.89,1.33,0.25,,,0.77,0.94,1.33,1.59,2.34,0.71,0.25,0.15,0.052,0.077
Interest Coverage Ratio,6.92,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,1.14,2.75,18.8,97.8,295.7,122.5,13.2,123.8,,,19.3,46.3,13.2,5.04,14.1,192.8,123.8,84.1,57.7,38.5
"Total Receivables, Net",92.7,49.3,0.74,8.54,8.48,12.9,76.4,14.4,,,1.78,2.02,76.4,77.8,60.7,56.3,14.4,12.9,10.2,10.4
Total Inventory,118.9,127.5,25.0,107.1,84.3,825.2,776.3,0.25,,,794.9,778.6,776.3,783.5,736.3,0.042,0.25,0.27,0.29,1.10
Total Current Assets,214.0,183.6,48.2,213.8,391.6,999.4,902.7,172.6,,,860.9,869.4,902.7,911.7,856.6,304.9,172.6,131.4,101.8,84.4
"Property/Plant/Equipment, Total - Net",66.8,98.1,231.4,6.10,5.64,31.1,28.9,4.99,,,30.5,29.8,28.9,28.0,27.1,4.56,4.99,11.4,10.7,11.1
Total Assets,305.6,299.9,280.8,264.8,714.3,"1,122",992.6,213.0,,,927.9,931.1,992.6,999.8,945.7,378.4,213.0,178.1,145.7,128.3
Accounts Payable,53.5,21.8,,4.69,0.000,1.62,67.6,6.45,,,1.64,2.00,67.6,76.8,59.7,55.4,6.45,3.87,1.36,2.87
Accrued Expenses,3.68,44.1,8.79,2.41,1.36,26.3,50.6,11.0,,,5.95,7.11,50.6,71.9,69.4,75.0,11.0,0.76,1.17,1.26
Debt Due,38.9,101.0,82.0,0.28,0.30,235.6,431.9,0.73,,,129.9,427.2,431.9,436.5,445.8,0.82,0.73,0.64,0.00,0.00
Total Current Liabilities,100.3,169.6,90.9,12.8,4.31,269.2,555.9,41.2,,,143.4,441.8,555.9,602.4,651.2,145.7,41.2,21.2,4.55,6.29
Long Term Debt,,,,1.70,1.40,251.1,0.73,,,,250.9,0.82,0.73,0.64,0.55,,,,,
Total Liabilities,122.1,175.6,135.5,15.1,8.23,527.5,566.7,43.2,,,402.9,452.1,566.7,613.5,662.5,156.6,43.2,23.9,7.20,9.15
Common Stock,131.7,131.7,131.7,263.4,790.2,790.2,790.2,790.2,,,790.2,790.2,790.2,790.2,790.2,790.2,790.2,790.2,790.2,790.2
Additional Paid-In Capital,36.5,36.5,36.5,36.5,36.5,36.5,36.5,97.7,,,36.5,36.5,36.5,36.5,97.7,97.7,97.7,36.5,97.7,108.7
Retained Earnings (Accumulated Deficit),-22.6,-78.9,-201.4,-50.3,-123.6,-231.7,-400.8,-718.1,,,-301.7,-347.7,-400.8,-440.4,-604.6,-666.1,-718.1,-733.7,-749.4,-779.7
Shareholders' Equity,145.6,89.3,145.3,249.8,705.8,594.9,425.9,169.8,,,525.0,479.0,425.9,386.3,283.2,221.8,169.8,154.2,138.5,119.1
Cash from Operating Activities,-4.48,-21.2,-5.12,-136.9,-49.1,-807.8,-38.1,614.2,,,-20.9,-3.14,-22.8,2.26,14.2,638.2,-40.6,-33.3,-25.5,-17.9
Cash from Investing Activities,-13.9,-34.9,47.0,117.2,-507.0,333.8,133.9,-140.1,,,27.1,-0.012,-0.20,-0.52,0.00,-0.014,-139.6,26.9,25.3,18.5
