,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,396.5,457.0,465.0,507.0,506.0,523.0,480.0,442.0,,,510.0,500.0,505.0,478.0,457.0,461.0,482.0,480.0,442.0,402.0
Earnings per Share,22.7,19.6,30.4,28.0,37.8,46.7,45.9,37.3,,,11.0,9.86,10.5,10.3,10.3,7.89,8.72,9.72,5.87,5.17
Revenue per Share,307.1,339.7,361.9,406.3,366.3,352.9,375.8,398.7,,,90.7,93.7,94.5,98.5,100.4,102.1,97.7,93.6,90.9,91.9
Dividend per Share,12.5,11.0,12.5,12.5,16.0,19.0,19.0,18.0,,,8.50,0.00,10.5,,8.50,0.00,9.50,,7.00,0.00
Capital Expenditures per Share,11.2,14.9,24.1,33.0,34.7,25.6,18.7,28.0,,,3.94,6.46,2.46,4.53,3.90,11.7,7.85,7.04,8.44,12.1
Book Value per Share,116.8,119.3,134.6,147.7,171.8,200.0,217.6,230.9,,,209.8,210.2,217.6,214.5,226.5,222.8,230.9,229.7,232.1,229.3
Price to Earnings Ratio,15.7,23.6,14.1,18.7,11.7,11.0,10.7,12.7,,,10.5,10.4,10.7,10.7,11.0,11.3,12.7,12.3,12.9,12.9
Price to Book Value Ratio,3.04,4.11,3.11,3.47,2.71,2.70,2.30,2.09,,,2.38,2.30,2.30,1.93,1.97,1.96,2.09,2.06,1.76,1.71
EV to EBITDA,17.5,23.0,15.5,15.5,10.1,10.2,11.1,12.1,,,10.7,10.7,11.1,11.0,10.6,10.8,12.1,12.4,14.4,13.1
Dividend Payout Ratio,55.0%,56.0%,41.1%,44.6%,42.3%,40.7%,41.4%,48.3%,,,17.8%,0.0%,22.9%,,20.7%,0.0%,25.5%,,21.7%,0.0%
Common Shares Outstanding,"1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200",,,"1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200"
Total Revenue,"368,579","407,601","434,251","487,545","439,614","423,442","450,921","478,438",,,"108,825","112,428","113,400","118,250","120,447","122,518","117,223","112,379","109,095","110,330"
"Cost of Revenue, Total","315,811","353,695","363,096","409,431","341,511","319,021","349,307","383,463",,,"84,650","87,177","89,686","92,530","94,934","98,197","97,801","89,480","89,832","89,246"
Gross Profit,"52,768","53,905","71,155","78,114","98,103","104,421","101,614","94,974",,,"24,176","25,250","23,715","25,720","25,512","24,321","19,422","22,899","19,262","21,084"
"Selling/General/Administrative Expenses, Total","32,995","36,527","40,005","44,876","49,256","49,991","52,173","53,858",,,"13,309","13,759","12,116","12,875","13,439","15,515","13,516","12,766","15,658","13,118"
Operating Income,"23,362","21,586","35,858","38,309","53,359","58,980","54,253","45,334",,,"14,292","13,732","6,139","15,237","14,598","11,711","3,354","12,423","6,030","9,467"
Net Income,"27,281","23,580","36,522","33,615","45,400","56,084","55,041","44,748",,,"13,252","11,836","12,567","12,406","12,401","9,473","10,468","11,662","7,043","6,204"
EBITDA,"36,157","35,227","51,109","55,841","73,483","80,917","76,671","68,189",,,"20,063","19,737","11,307","21,014","20,521","17,670","8,550","18,229","11,919","15,514"
Gross Profit Margin,14.3%,13.2%,16.4%,16.0%,22.3%,24.7%,22.5%,19.9%,,,22.2%,22.5%,20.9%,21.8%,21.2%,19.9%,16.6%,20.4%,17.7%,19.1%
Operating Margin,6.3%,5.3%,8.3%,7.9%,12.1%,13.9%,12.0%,9.5%,,,13.1%,12.2%,5.4%,12.9%,12.1%,9.6%,2.9%,11.1%,5.5%,8.6%
Net Profit Margin,7.4%,5.8%,8.4%,6.9%,10.3%,13.2%,12.2%,9.4%,,,12.2%,10.5%,11.1%,10.5%,10.3%,7.7%,8.9%,10.4%,6.5%,5.6%
Return on Assets,7.4%,6.1%,8.7%,7.4%,9.3%,10.7%,9.9%,7.7%,,,10.3%,9.9%,9.7%,8.6%,8.4%,7.9%,7.6%,7.4%,6.4%,5.8%
Return on Equity,19.5%,16.5%,22.6%,19.0%,22.0%,23.4%,21.1%,16.1%,,,5.3%,4.7%,4.8%,4.8%,4.6%,3.5%,3.8%,4.2%,2.5%,2.3%
Return on Total Capital,11.5%,8.7%,11.6%,10.3%,13.5%,15.2%,13.6%,10.4%,,,15.3%,14.4%,13.6%,12.5%,11.4%,11.0%,10.4%,10.2%,9.0%,8.3%
SG&A to Sale,9.0%,9.0%,9.2%,9.2%,11.2%,11.8%,11.6%,11.3%,,,12.2%,12.2%,10.7%,10.9%,11.2%,12.7%,11.5%,11.4%,14.4%,11.9%
Depreciation & Amortisation,"12,795","13,641","15,252","17,532","20,124","21,937","22,418","22,855",,,"5,771","6,005","5,168","5,777","5,923","5,959","5,196","5,806","5,889","6,047"
Tax Rate,24.0%,20.3%,11.7%,11.8%,10.2%,6.1%,7.8%,12.1%,,,4.3%,9.2%,7.8%,11.8%,10.8%,15.8%,10.3%,11.7%,8.6%,33.0%
Current Ratio,1.10,1.31,1.50,1.44,1.17,1.33,1.48,1.64,,,1.22,1.22,1.48,1.42,1.78,1.60,1.64,1.63,1.37,1.29
Quick Ratio,0.45,0.51,0.63,0.63,0.62,0.56,0.59,0.79,,,0.54,0.54,0.59,0.75,0.85,0.75,0.79,0.80,0.66,0.61
Days Inventory Outstanding,45.3,46.8,52.5,48.3,56.5,60.8,58.0,56.4,,,61.0,60.4,59.3,59.1,59.0,61.9,60.6,57.5,58.1,59.3
Days Sale Outstanding,40.4,38.5,41.7,38.9,50.6,45.7,45.0,48.9,,,46.8,47.7,45.0,48.9,48.8,53.0,48.9,51.0,53.8,50.9
Days Payable Outstanding,14.5,2.55,2.60,3.52,5.26,4.06,3.63,3.05,,,4.57,4.79,4.65,4.23,4.44,3.54,2.28,2.36,2.60,2.32
Cash Conversion Cycle,76.3,81.4,89.1,81.3,98.7,106.6,97.6,99.9,,,105.1,102.1,100.6,101.7,102.4,109.8,109.2,105.1,108.5,110.4
Debt to Asset Ratio,0.56,0.59,0.58,0.55,0.52,0.48,0.47,0.46,,,0.47,0.48,0.47,0.48,0.47,0.48,0.46,0.47,0.47,0.47
Debt to Equity Ratio,1.50,1.64,1.57,1.45,1.29,1.08,1.04,0.98,,,1.03,1.07,1.04,1.10,1.02,1.06,0.98,1.02,1.05,1.05
Interest Coverage Ratio,3.51,2.98,4.79,4.85,6.73,8.05,7.83,6.89,,,7.84,7.84,3.87,8.98,8.49,6.70,2.37,7.70,3.80,5.51
Cash and Short Term Investments,"29,885","32,741","24,418","27,053","34,588","40,799","56,908","50,381",,,"41,258","40,115","56,908","61,853","62,132","45,120","50,381","58,427","39,848","30,764"
"Total Receivables, Net","40,811","43,014","49,599","51,957","60,898","53,017","55,560","64,084",,,"55,084","57,136","55,560","60,669","62,164","68,926","64,084","65,966","67,953","62,600"
Total Inventory,"41,838","48,890","55,557","52,747","52,898","53,335","57,650","60,817",,,"55,566","55,905","57,650","56,946","60,772","66,479","60,817","58,964","60,604","58,370"
Total Current Assets,"116,764","129,266","135,130","137,998","148,396","156,626","171,619","177,271",,,"154,393","156,661","171,619","180,532","190,271","183,957","177,271","184,881","169,841","152,576"
"Property/Plant/Equipment, Total - Net","156,683","165,292","183,842","205,473","230,932","245,183","248,847","247,466",,,"251,671","250,562","248,847","247,138","247,294","244,096","247,466","249,641","274,612","284,561"
Total Assets,"373,789","395,573","440,688","465,823","509,981","539,688","573,412","589,787",,,"552,373","562,814","573,412","584,251","590,719","592,399","589,787","598,386","618,591","611,503"
Accounts Payable,"2,103","2,841","2,340","5,564","4,279","2,817","4,129","2,270",,,"4,062","4,773","4,129","4,086","4,775","2,514","2,270","2,649","2,698","1,962"
Accrued Expenses,277.0,279.0,,,,,,,,,,,,,,,,,,
Debt Due,"64,366","49,005","33,884","45,623","73,212","65,336","64,489","54,133",,,"70,697","69,913","64,489","59,770","47,459","46,130","54,133","48,606","65,217","62,929"
Total Current Liabilities,"106,452","98,731","89,792","95,518","127,317","118,068","116,007","107,800",,,"126,882","128,447","116,007","127,146","106,874","114,753","107,800","113,471","123,897","118,513"
Long Term Debt,"97,995","126,570","153,547","150,426","129,552","128,858","144,674","151,315",,,"122,121","129,922","144,674","144,129","159,085","158,231","151,315","154,821","151,608","152,780"
Total Liabilities,"210,821","234,450","253,927","256,506","266,975","258,070","271,587","271,918",,,"259,907","269,150","271,587","282,408","277,289","284,266","271,918","281,240","293,698","289,775"
Common Stock,"1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200",,,"1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200","1,200"
Additional Paid-In Capital,,,,,,,,,,,,,,,,,,,,
Retained Earnings (Accumulated Deficit),"139,414","148,176","166,453","185,249","213,116","248,669","280,808","301,615",,,"266,688","268,324","280,808","280,617","293,040","292,312","301,615","301,877","308,936","306,742"
Shareholders' Equity,"140,199","143,186","161,538","177,283","206,161","240,023","261,098","277,097",,,"251,725","252,265","261,098","257,359","271,758","267,324","277,097","275,599","278,466","275,175"
Cash from Operating Activities,"22,953","28,181","42,498","47,489","67,747","75,671","60,692","61,687",,,"16,279","16,384","11,914","19,562","19,153","14,304","8,668","16,340","13,851","16,947"
Cash from Investing Activities,"-46,093","-10,752","-38,611","-34,414","-47,800","-14,811","-5,122","-31,576",,,"4,522","-11,511","2,131","-27,931","7,340","-4,764","-6,222","-6,926","-12,276","-10,347"
Cash from Financing Activities,"-18,007","-15,045","-11,516","-11,478","-22,900","-49,176","-38,700","-44,985",,,"-26,564","-5,225","2,466","-7,743","-20,441","-15,549","-1,252","-4,302","-9,491","-11,296"
Net Change in Cash,"-41,147","2,384","-7,630","1,597","-2,953","11,632","16,227","-15,148",,,"-5,834",-449.4,"16,308","-16,473","6,440","-6,408","1,293","4,947","-8,249","-4,765"
Free Cashflows,"9,543","10,243","13,584","7,861","26,063","44,987","38,296","28,096",,,"11,549","8,628","8,958","14,128","14,478",240.2,-750.1,"7,888","3,719","2,404"
Free Cashflow per Share,7.95,8.54,11.3,6.55,21.7,37.5,31.9,23.4,,,9.62,7.19,7.47,11.8,12.1,0.20,-0.63,6.57,3.10,2.00
