,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,122.8,158.5,187.0,223.0,263.5,290.5,215.3,167.5,,,302.0,280.0,255.5,229.5,194.8,179.0,178.8,176.8,170.3,161.0
Earnings per Share,10.5,13.9,15.7,17.4,17.9,24.8,18.1,16.7,,,5.52,3.06,3.85,3.02,4.17,4.70,4.78,3.74,2.60,2.92
Revenue per Share,105.7,111.4,116.4,130.2,133.6,140.1,141.2,145.9,,,35.6,34.2,35.4,36.7,36.2,37.0,36.0,34.1,33.8,30.3
Dividend per Share,6.00,7.00,8.00,10.0,10.0,15.0,11.0,10.0,,,,,11.0,,,,10.0,,,
Capital Expenditures per Share,15.5,14.6,22.3,20.6,8.86,7.11,8.10,6.86,,,1.34,1.08,3.30,1.64,1.89,1.38,1.95,2.18,1.33,1.51
Book Value per Share,70.5,78.4,87.1,96.5,104.2,118.7,122.0,128.3,,,114.9,118.0,122.0,125.0,118.2,122.9,128.3,132.0,124.8,127.6
Price to Earnings Ratio,10.2,11.5,10.2,12.0,11.3,12.3,13.7,10.7,,,12.6,13.0,13.7,14.4,13.6,11.3,10.7,10.0,10.6,11.0
Price to Book Value Ratio,1.53,2.10,1.84,2.08,2.11,2.61,2.02,1.39,,,2.58,2.20,2.02,1.63,1.51,1.42,1.39,1.31,1.32,1.21
EV to EBITDA,5.74,5.85,6.64,8.33,7.95,7.32,7.79,6.30,,,8.28,8.57,7.79,8.19,7.45,6.45,6.30,5.72,5.54,5.64
Dividend Payout Ratio,57.1%,50.4%,50.9%,57.5%,55.7%,60.6%,60.6%,60.0%,,,,,60.6%,,,,60.0%,,,
Common Shares Outstanding,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,,,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.2,43.1,43.2
Total Revenue,"4,567","4,814","5,027","5,625","5,770","6,052","6,099","6,304",,,"1,537","1,476","1,527","1,586","1,565","1,598","1,556","1,472","1,457","1,310"
"Cost of Revenue, Total","3,762","3,844","4,044","4,570","4,715","4,568","4,962","5,310",,,"1,210","1,260","1,291","1,372","1,352","1,306","1,280","1,231","1,255","1,120"
Gross Profit,804.7,969.2,983.5,"1,055","1,055","1,484","1,136",994.9,,,327.2,215.9,236.5,214.6,212.8,292.0,275.5,241.0,202.5,190.1
"Selling/General/Administrative Expenses, Total",253.5,279.3,294.1,307.7,299.0,307.8,308.7,314.6,,,77.1,81.8,69.9,81.5,82.2,78.1,72.8,75.3,82.4,73.9
Operating Income,696.6,812.8,834.5,936.8,938.1,"1,338","1,010",878.1,,,301.1,174.8,212.1,179.8,181.4,269.3,247.6,206.2,159.5,149.4
Net Income,454.2,600.4,679.2,750.7,775.1,"1,070",783.7,719.7,,,238.3,132.2,166.2,130.3,180.0,202.8,206.5,161.4,112.3,126.3
EBITDA,"1,085","1,246","1,277","1,370","1,442","1,861","1,550","1,410",,,436.9,311.1,347.0,314.9,317.4,404.2,373.4,321.9,273.2,260.8
Gross Profit Margin,17.6%,20.1%,19.6%,18.8%,18.3%,24.5%,18.6%,15.8%,,,21.3%,14.6%,15.5%,13.5%,13.6%,18.3%,17.7%,16.4%,13.9%,14.5%
Operating Margin,15.3%,16.9%,16.6%,16.7%,16.3%,22.1%,16.6%,13.9%,,,19.6%,11.8%,13.9%,11.3%,11.6%,16.9%,15.9%,14.0%,10.9%,11.4%
Net Profit Margin,9.9%,12.5%,13.5%,13.3%,13.4%,17.7%,12.9%,11.4%,,,15.5%,9.0%,10.9%,8.2%,11.5%,12.7%,13.3%,11.0%,7.7%,9.6%
Return on Assets,9.5%,11.6%,11.9%,11.6%,11.5%,16.4%,12.2%,11.0%,,,15.1%,13.3%,12.2%,10.4%,9.4%,10.3%,10.6%,11.0%,10.3%,9.4%
Return on Equity,14.9%,17.7%,18.1%,18.0%,17.2%,20.9%,14.9%,13.0%,,,4.8%,2.6%,3.2%,2.4%,3.5%,3.8%,3.7%,2.8%,2.1%,2.3%
Return on Total Capital,14.9%,17.7%,18.1%,18.0%,17.2%,20.9%,14.9%,13.0%,,,20.1%,17.0%,14.9%,12.4%,11.9%,12.8%,13.0%,13.2%,12.7%,11.0%
SG&A to Sale,5.6%,5.8%,5.9%,5.5%,5.2%,5.1%,5.1%,5.0%,,,5.0%,5.5%,4.6%,5.1%,5.3%,4.9%,4.7%,5.1%,5.7%,5.6%
Depreciation & Amortisation,388.3,433.6,442.8,433.4,504.0,522.4,539.6,531.8,,,135.8,136.3,134.9,135.1,136.0,134.8,125.8,115.6,113.6,111.4
Tax Rate,34.8%,22.8%,18.5%,18.0%,20.0%,19.8%,19.5%,19.3%,,,19.5%,20.0%,18.4%,20.1%,18.6%,20.0%,18.7%,20.1%,17.9%,20.1%
Current Ratio,1.12,1.29,1.09,1.11,1.47,2.84,4.28,4.14,,,2.40,2.91,4.28,4.59,3.22,3.20,4.14,4.56,5.38,6.92
Quick Ratio,0.49,0.57,0.51,0.45,0.65,1.15,1.81,1.45,,,1.01,1.10,1.81,2.07,1.35,1.19,1.45,1.44,1.81,2.01
Days Inventory Outstanding,73.4,76.4,80.9,94.7,95.4,91.9,90.1,104.9,,,99.0,106.1,97.9,84.8,83.9,105.5,123.7,114.0,95.8,91.0
Days Sale Outstanding,62.5,63.2,68.6,63.4,65.9,60.4,63.8,64.4,,,67.4,61.4,63.8,72.6,68.6,67.9,64.4,62.2,58.8,54.6
Days Payable Outstanding,22.5,20.9,17.8,24.3,23.5,20.4,19.8,17.6,,,22.3,23.2,21.4,17.8,18.4,22.9,21.2,16.1,14.7,12.5
Cash Conversion Cycle,103.2,122.8,123.9,127.5,140.9,131.8,132.4,151.1,,,142.8,146.7,140.6,136.3,133.8,147.7,172.8,163.1,142.5,139.1
Debt to Asset Ratio,0.40,0.36,0.38,0.39,0.32,0.21,0.17,0.18,,,0.24,0.22,0.17,0.17,0.21,0.22,0.18,0.17,0.16,0.14
Debt to Equity Ratio,0.66,0.56,0.62,0.64,0.46,0.26,0.20,0.22,,,0.32,0.28,0.20,0.20,0.26,0.28,0.22,0.21,0.19,0.17
Interest Coverage Ratio,37.0,25.7,29.3,35.7,36.8,114.8,306.5,409.2,,,370.4,151.6,296.7,"1,064",478.7,328.0,318.7,253.6,373.6,"149,355"
Cash and Short Term Investments,184.5,242.0,69.1,50.6,200.0,241.8,201.9,248.9,,,135.6,256.4,201.9,327.3,297.2,170.8,248.9,852.3,662.0,908.7
"Total Receivables, Net",781.6,833.4,944.4,977.7,"1,042","1,001","1,066","1,112",,,"1,118","1,016","1,066","1,219","1,157","1,168","1,112","1,055",980.3,866.8
Total Inventory,817.1,792.5,999.6,"1,371","1,094","1,207","1,244","1,809",,,"1,382","1,418","1,244","1,140","1,286","1,790","1,809","1,420","1,244","1,193"
Total Current Assets,"1,796","1,875","2,021","2,409","2,347","2,463","2,523","3,183",,,"2,648","2,701","2,523","2,698","2,754","3,138","3,183","3,345","2,917","2,984"
"Property/Plant/Equipment, Total - Net","3,166","3,331","4,000","4,367","4,184","3,965","3,767","3,548",,,"3,846","3,754","3,767","3,719","3,646","3,594","3,548","3,516","3,453","3,409"
Total Assets,"5,044","5,294","6,108","6,849","6,585","6,479","6,345","6,780",,,"6,545","6,510","6,345","6,471","6,453","6,786","6,780","6,907","6,417","6,438"
Accounts Payable,283.4,156.4,237.9,369.4,237.5,272.2,266.8,246.2,,,297.6,315.9,266.8,233.0,297.7,370.8,246.2,209.5,200.3,134.8
Accrued Expenses,40.8,56.5,56.6,59.4,50.2,75.1,74.8,80.1,,,35.5,37.5,74.8,40.0,30.1,31.7,80.1,31.0,21.4,32.6
Debt Due,"1,000","1,043","1,233","1,503","1,104",280.3,58.7,200.2,,,436.2,302.8,58.7,0.38,250.9,250.8,200.2,150.2,0.34,0.037
Total Current Liabilities,"1,599","1,451","1,854","2,168","1,593",867.0,589.2,768.8,,,"1,102",926.6,589.2,588.1,855.5,979.1,768.8,733.0,541.9,431.0
Long Term Debt,10.3,,,,,,,,,,,,,,,,,,,
Total Liabilities,"1,999","1,908","2,345","2,681","2,082","1,351","1,074","1,237",,,"1,580","1,412","1,074","1,070","1,347","1,477","1,237","1,202","1,033",926.6
