,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,46.8,65.6,57.8,55.4,57.3,58.3,48.9,48.8,,,59.0,55.5,51.4,46.8,45.6,44.5,44.4,48.1,49.8,50.8
Earnings per Share,3.99,5.41,6.40,6.21,6.13,7.05,4.73,6.25,,,1.38,1.05,0.60,1.25,1.28,0.76,2.83,1.92,1.13,2.34
Revenue per Share,49.1,52.1,53.7,53.7,54.9,55.7,51.5,54.8,,,13.3,12.6,12.2,14.1,13.0,13.6,14.2,16.2,14.8,15.4
Dividend per Share,1.00,1.50,1.75,1.75,1.75,2.50,1.50,1.50,,,,,1.50,,,,1.50,,,
Capital Expenditures per Share,3.30,2.32,5.47,4.95,5.34,2.39,4.58,4.59,,,0.57,1.70,1.01,1.85,0.62,0.54,1.58,0.86,2.02,1.48
Book Value per Share,33.0,37.2,41.9,46.6,51.0,56.2,58.3,63.8,,,56.7,57.8,58.3,59.5,59.3,60.1,63.8,65.7,65.3,67.7
Price to Earnings Ratio,8.02,12.3,8.75,9.14,8.56,8.65,10.3,7.20,,,9.91,10.2,10.3,10.6,11.0,11.1,7.35,6.92,7.34,6.23
Price to Book Value Ratio,0.95,1.60,1.36,1.14,1.01,1.11,0.79,0.68,,,0.99,0.90,0.79,0.71,0.76,0.67,0.68,0.76,0.73,0.77
EV to EBITDA,5.96,7.26,5.82,6.25,4.76,3.97,5.20,4.26,,,4.53,5.21,5.20,4.51,4.44,4.35,4.26,4.07,5.15,3.30
Dividend Payout Ratio,25.1%,27.7%,27.3%,28.2%,28.5%,35.5%,31.7%,24.0%,,,,,31.9%,,,,24.5%,,,
Common Shares Outstanding,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,,,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
Total Revenue,"2,553","2,712","2,794","2,790","2,854","2,897","2,676","2,852",,,689.8,654.3,633.5,731.9,677.4,704.8,737.6,842.9,771.6,800.4
"Cost of Revenue, Total","2,191","2,292","2,242","2,366","2,373","2,306","2,271","2,461",,,566.3,566.5,567.6,618.0,568.3,628.9,645.7,705.5,642.7,651.9
Gross Profit,362.2,419.3,551.4,424.2,481.5,591.1,405.3,390.8,,,123.5,87.8,66.0,113.9,109.0,76.0,91.9,137.4,128.9,148.5
"Selling/General/Administrative Expenses, Total",213.7,209.4,273.0,210.0,220.5,234.5,234.3,288.3,,,64.9,59.1,51.8,67.9,59.5,63.3,97.7,64.4,93.5,65.5
Operating Income,280.0,335.9,406.6,346.8,399.1,459.1,295.0,233.9,,,93.2,62.6,26.0,84.0,85.0,48.6,16.3,115.6,72.4,121.5
Net Income,210.7,285.8,337.7,328.0,323.5,372.4,249.8,330.2,,,72.8,55.4,33.2,65.9,67.8,40.1,156.3,101.6,59.5,123.8
EBITDA,384.3,445.2,517.8,477.8,559.9,627.1,456.6,401.9,,,135.0,105.8,63.3,124.8,126.9,91.1,59.0,157.4,114.7,164.8
Gross Profit Margin,14.2%,15.5%,19.7%,15.2%,16.9%,20.4%,15.1%,13.7%,,,17.9%,13.4%,10.4%,15.6%,16.1%,10.8%,12.5%,16.3%,16.7%,18.6%
Operating Margin,11.0%,12.4%,14.6%,12.4%,14.0%,15.8%,11.0%,8.2%,,,13.5%,9.6%,4.1%,11.5%,12.5%,6.9%,2.2%,13.7%,9.4%,15.2%
Net Profit Margin,8.3%,10.5%,12.1%,11.8%,11.3%,12.9%,9.3%,11.6%,,,10.5%,8.5%,5.2%,9.0%,10.0%,5.7%,21.2%,12.1%,7.7%,15.5%
Return on Assets,9.5%,11.6%,12.4%,11.0%,10.1%,10.8%,6.9%,8.4%,,,8.2%,7.3%,6.8%,6.0%,5.8%,5.3%,8.2%,8.6%,8.2%,9.9%
Return on Equity,12.3%,14.8%,15.5%,13.5%,12.2%,12.7%,8.2%,10.0%,,,2.5%,1.8%,1.1%,2.1%,2.2%,1.3%,4.7%,3.0%,1.8%,3.5%
Return on Total Capital,12.3%,14.8%,15.5%,13.5%,12.2%,12.7%,8.2%,10.0%,,,10.3%,9.0%,8.2%,7.3%,7.2%,6.6%,10.0%,10.7%,10.5%,12.5%
SG&A to Sale,8.4%,7.7%,9.8%,7.5%,7.7%,8.1%,8.8%,10.1%,,,9.4%,9.0%,8.2%,9.3%,8.8%,9.0%,13.2%,7.6%,12.1%,8.2%
Depreciation & Amortisation,104.2,109.3,111.2,131.0,160.7,168.1,161.6,168.0,,,41.8,43.2,37.3,40.8,41.9,42.5,42.7,41.7,42.4,43.4
Tax Rate,31.4%,22.3%,19.9%,20.0%,20.5%,19.6%,19.6%,19.9%,,,20.3%,16.2%,19.8%,21.5%,20.2%,17.5%,19.8%,19.1%,17.8%,19.3%
Current Ratio,2.57,2.81,3.28,3.24,3.63,4.62,4.98,3.91,,,4.08,4.50,4.98,4.21,4.12,4.30,3.91,3.73,3.35,3.84
Quick Ratio,0.90,0.86,1.01,1.07,1.42,2.66,2.16,2.24,,,2.43,2.51,2.16,2.13,2.23,2.11,2.24,2.31,2.08,2.43
Days Inventory Outstanding,67.7,67.3,73.3,74.0,71.6,75.4,76.2,75.5,,,80.4,83.3,76.4,74.5,85.4,90.6,87.9,81.5,81.3,85.1
Days Sale Outstanding,51.5,52.5,56.1,56.7,51.7,46.6,53.2,61.2,,,51.7,56.6,53.2,67.7,65.1,58.9,61.2,74.8,62.0,61.2
