,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,218.2,296.1,326.6,366.5,355.0,372.0,362.5,317.0,,,358.5,377.5,378.5,359.5,353.5,342.5,331.0,333.0,330.0,309.0
Earnings per Share,0.49,6.24,16.4,21.6,22.0,22.8,22.6,22.6,,,6.92,6.18,4.30,6.19,6.04,6.94,3.44,5.47,6.35,5.74
Revenue per Share,90.1,113.1,116.2,122.8,126.3,125.6,126.5,129.2,,,32.0,32.1,30.1,31.6,31.9,33.1,32.6,34.9,37.2,39.2
Dividend per Share,8.57,8.57,8.57,12.0,12.0,14.0,14.0,14.0,,,3.00,3.00,5.00,3.00,3.00,3.00,5.00,3.00,3.00,3.00
Capital Expenditures per Share,1.07,2.75,2.99,3.11,2.68,1.97,0.94,0.47,,,0.19,0.14,0.16,0.093,0.19,0.046,0.14,0.12,0.29,0.44
Book Value per Share,171.7,191.4,203.6,262.7,323.6,312.3,330.1,327.6,,,310.9,349.4,330.1,351.5,307.0,334.5,327.6,331.4,321.0,281.1
Price to Earnings Ratio,353.8,42.0,16.9,17.1,16.2,15.4,16.4,14.5,,,15.5,16.6,16.4,15.2,15.4,14.5,14.5,14.8,14.5,14.2
Price to Book Value Ratio,1.01,1.47,1.71,1.39,1.10,1.13,1.12,0.99,,,1.14,1.02,1.12,0.99,1.14,0.98,0.99,1.00,1.00,1.05
EV to EBITDA,28.4,25.5,11.5,12.7,12.5,11.8,13.5,12.2,,,11.9,12.9,13.5,12.0,11.9,11.7,12.2,12.2,12.2,11.6
Dividend Payout Ratio,1754.1%,137.4%,52.2%,55.6%,54.5%,61.5%,62.0%,61.9%,,,13.2%,13.8%,22.2%,12.7%,13.2%,12.8%,22.1%,13.7%,13.5%,14.3%
Common Shares Outstanding,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,,,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5,106.5
Total Revenue,"9,597","12,042","12,369","13,077","13,444","13,370","13,471","13,755",,,"3,405","3,421","3,208","3,365","3,395","3,521","3,474","3,713","3,963","4,172"
"Cost of Revenue, Total","8,264","10,013","8,301","8,822","8,956","8,734","8,872","9,885",,,"2,184","2,188","2,159","2,162","2,209","2,194","2,438","2,553","2,724","2,994"
Gross Profit,"1,333","2,029","4,068","4,255","4,487","4,636","4,599","3,869",,,"1,222","1,233","1,049","1,203","1,186","1,327","1,036","1,160","1,239","1,177"
"Selling/General/Administrative Expenses, Total",616.3,667.7,"1,200",811.8,958.0,"1,012",984.6,"1,081",,,207.8,293.6,219.2,253.6,251.4,257.1,314.7,285.7,264.6,250.6
Operating Income,518.2,797.6,"2,240","2,798","2,750","2,826","2,766","2,789",,,826.8,744.3,560.3,758.7,739.2,842.1,448.7,657.9,725.1,690.1
Net Income,52.0,664.0,"1,748","2,298","2,342","2,426","2,403","2,407",,,736.7,657.7,458.4,659.2,643.0,739.0,365.7,582.0,676.2,611.4
EBITDA,636.2,989.2,"2,432","3,039","3,033","3,124","3,051","3,049",,,826.8,744.3,845.8,758.7,739.2,842.1,511.5,716.1,782.4,749.3
Gross Profit Margin,13.9%,16.8%,32.9%,32.5%,33.4%,34.7%,34.1%,28.1%,,,35.9%,36.1%,32.7%,35.8%,34.9%,37.7%,29.8%,31.2%,31.3%,28.2%
Operating Margin,5.4%,6.6%,18.1%,21.4%,20.5%,21.1%,20.5%,20.3%,,,24.3%,21.8%,17.5%,22.5%,21.8%,23.9%,12.9%,17.7%,18.3%,16.5%
Net Profit Margin,0.5%,5.5%,14.1%,17.6%,17.4%,18.1%,17.8%,17.5%,,,21.6%,19.2%,14.3%,19.6%,18.9%,21.0%,10.5%,15.7%,17.1%,14.7%
Return on Assets,0.1%,1.2%,3.3%,4.4%,4.2%,4.2%,4.1%,4.0%,,,4.1%,3.9%,4.0%,4.1%,4.0%,4.3%,4.0%,3.8%,3.9%,3.9%
Return on Equity,0.3%,3.3%,8.1%,8.2%,6.8%,7.3%,6.8%,6.9%,,,2.2%,1.8%,1.3%,1.8%,2.0%,2.1%,1.0%,1.6%,2.0%,2.0%
Return on Total Capital,0.3%,3.2%,8.1%,8.2%,6.8%,7.3%,6.8%,6.9%,,,7.3%,6.2%,6.8%,6.7%,7.4%,7.0%,6.9%,6.6%,6.9%,7.5%
SG&A to Sale,6.4%,5.5%,9.7%,6.2%,7.1%,7.6%,7.3%,7.9%,,,6.1%,8.6%,6.8%,7.5%,7.4%,7.3%,9.1%,7.7%,6.7%,6.0%
Depreciation & Amortisation,118.0,191.6,191.6,240.6,283.5,298.2,285.5,260.0,,,,,285.5,,,,62.8,58.2,57.3,59.2
Tax Rate,88.2%,6.1%,18.0%,14.6%,14.7%,14.0%,13.0%,13.6%,,,10.8%,11.5%,18.1%,13.0%,12.9%,12.2%,18.4%,11.4%,6.7%,11.3%
Current Ratio,3.12,2.44,1.31,0.78,0.42,0.43,0.46,0.48,,,0.43,0.42,0.46,0.47,0.44,0.43,0.48,0.46,0.45,0.45
Quick Ratio,0.21,0.19,0.20,0.20,0.12,0.13,0.13,0.14,,,0.090,0.096,0.13,0.11,0.11,0.11,0.14,0.11,0.11,0.12
Days Inventory Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Days Sale Outstanding,67.7,60.9,71.9,67.3,58.0,62.8,65.1,71.8,,,46.1,45.0,65.1,57.9,53.1,54.4,71.8,59.4,54.7,60.8
Days Payable Outstanding,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
