,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,37.4,39.8,30.1,29.1,22.0,20.2,18.7,19.8,,,19.7,21.7,19.0,18.0,18.5,18.7,19.8,20.6,21.4,19.8
Earnings per Share,-5.67,6.98,-0.51,-0.54,1.95,0.91,-1.74,0.54,,,-0.62,-0.20,-0.12,-0.31,-0.60,0.34,1.11,0.37,-1.35,-0.060
Revenue per Share,69.5,76.3,39.6,30.9,39.9,35.6,27.4,31.6,,,5.61,7.99,8.15,7.30,5.99,7.81,10.5,8.02,7.74,7.57
Dividend per Share,,0.50,,,0.50,0.25,,,,,,,,,,,,,,
Capital Expenditures per Share,8.00,7.56,0.83,0.46,0.57,0.57,0.60,1.20,,,0.26,0.36,-0.030,0.027,0.083,0.42,0.67,0.13,0.33,1.17
Book Value per Share,20.4,29.7,19.9,19.3,22.7,23.2,21.1,23.0,,,21.5,21.3,21.1,20.8,20.2,20.5,23.0,23.3,22.0,22.0
Price to Earnings Ratio,,5.37,,,10.2,19.9,,29.0,,,,,,,,,29.1,,42.2,253.2
Price to Book Value Ratio,1.92,1.26,1.35,1.45,0.88,0.82,0.83,0.68,,,0.79,0.83,0.83,0.82,0.82,,0.68,,0.89,0.71
EV to EBITDA,7.22,15.1,7.51,17.8,5.12,4.77,-53.4,9.70,,,11.0,22.2,-53.4,94.3,109.8,26.3,9.70,6.69,9.72,12.5
Dividend Payout Ratio,,7.2%,,,25.6%,27.5%,,,,,,,,,,,,,,
Common Shares Outstanding,10.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,,,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Total Revenue,695.2,762.9,792.8,617.3,797.8,712.4,547.7,632.2,,,112.1,159.8,163.0,146.1,119.7,156.2,210.2,160.5,154.7,151.4
"Cost of Revenue, Total",459.5,545.1,507.1,427.6,536.0,480.4,405.4,437.7,,,84.1,117.8,119.1,107.5,86.4,104.0,139.8,105.7,116.4,101.3
Gross Profit,235.6,217.8,285.7,189.7,261.8,232.0,142.3,194.5,,,28.0,41.9,43.9,38.6,33.3,52.2,70.3,54.8,38.3,50.1
"Selling/General/Administrative Expenses, Total",184.0,214.8,194.5,187.3,196.5,198.9,180.9,179.0,,,42.0,45.4,47.1,45.0,45.9,42.3,45.9,44.3,68.9,50.1
