,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,0.76,1.04,1.44,1.05,0.92,0.79,0.52,0.53,,,0.73,0.73,0.60,0.55,0.51,0.48,0.51,0.57,0.57,0.47
Earnings per Share,0.004,0.013,0.16,0.076,0.062,0.052,0.11,0.087,,,0.015,0.014,0.058,0.026,0.014,0.016,0.031,0.020,0.023,0.019
Revenue per Share,0.21,0.22,0.23,0.091,0.13,0.14,0.21,0.24,,,0.051,0.057,0.065,0.052,0.058,0.061,0.070,0.060,0.063,0.061
Dividend per Share,,,0.027,0.017,0.030,0.010,0.010,0.020,,,,,0.010,,,,0.020,,,
Capital Expenditures per Share,0.012,0.073,0.096,0.020,0.003,0.010,0.077,0.051,,,0.011,0.032,0.029,0.019,0.017,0.008,0.007,0.005,0.017,0.014
Book Value per Share,0.45,0.51,0.68,0.67,0.70,0.72,0.82,0.89,,,0.74,0.76,0.82,0.84,0.84,0.86,0.89,0.90,0.90,0.92
Price to Earnings Ratio,109.8,65.9,5.80,15.9,12.1,14.9,5.28,4.96,,,13.2,12.8,5.28,4.96,4.38,3.95,4.96,6.06,5.88,4.65
Price to Book Value Ratio,0.89,1.62,1.29,1.45,1.28,1.08,0.60,0.55,,,1.01,0.89,0.60,0.57,0.57,0.45,0.55,0.58,0.56,0.45
EV to EBITDA,14.4,23.4,10.3,31.7,12.0,12.6,10.5,6.70,,,12.8,12.6,10.5,9.08,8.75,7.84,6.70,7.29,7.54,7.26
Dividend Payout Ratio,,,16.7%,23.0%,48.3%,19.3%,9.3%,23.1%,,,,,9.3%,,,,23.1%,,,
Common Shares Outstanding,"1,798","1,798","1,798","4,593","4,593","4,507","4,507","4,507",,,"4,507","4,507","4,507","4,507","4,507","4,507","4,507","4,593","4,593","4,593"
Total Revenue,370.7,402.9,407.7,418.2,583.5,617.5,952.8,"1,085",,,232.0,255.9,295.1,232.5,259.7,273.3,315.1,277.2,287.4,281.9
"Cost of Revenue, Total",188.0,206.7,201.7,181.1,204.2,191.0,417.3,483.7,,,98.9,117.3,138.4,105.1,116.4,124.9,155.0,126.9,126.2,132.2
Gross Profit,182.7,196.3,206.0,237.1,379.3,426.5,535.5,601.4,,,133.2,138.6,156.6,127.4,143.3,148.4,160.1,150.3,161.2,149.7
"Selling/General/Administrative Expenses, Total",165.1,178.0,108.6,105.9,120.9,116.7,236.1,220.6,,,49.4,50.3,97.9,44.4,46.4,47.9,59.7,51.3,64.4,46.1
Operating Income,17.6,18.3,97.4,131.2,258.3,309.8,299.4,380.8,,,83.8,88.3,58.7,83.0,96.9,100.5,100.4,98.9,96.8,103.6
Net Income,5.51,23.2,291.1,284.2,285.2,236.6,486.6,390.9,,,67.3,64.1,261.2,116.1,63.1,72.5,139.1,91.5,106.7,85.0
EBITDA,52.7,65.6,153.8,188.5,314.6,369.1,407.7,514.0,,,106.6,113.3,99.8,113.2,128.3,133.7,138.8,132.9,130.1,139.2
Gross Profit Margin,49.3%,48.7%,50.5%,56.7%,65.0%,69.1%,56.2%,55.4%,,,57.4%,54.2%,53.1%,54.8%,55.2%,54.3%,50.8%,54.2%,56.1%,53.1%
Operating Margin,4.7%,4.5%,23.9%,31.4%,44.3%,50.2%,31.4%,35.1%,,,36.1%,34.5%,19.9%,35.7%,37.3%,36.8%,31.9%,35.7%,33.7%,36.8%
Net Profit Margin,1.5%,5.8%,71.4%,68.0%,48.9%,38.3%,51.1%,36.0%,,,29.0%,25.1%,88.5%,49.9%,24.3%,26.5%,44.2%,33.0%,37.1%,30.2%
Return on Assets,0.6%,2.2%,21.8%,10.1%,5.9%,4.3%,8.0%,5.8%,,,3.6%,3.8%,7.4%,7.6%,7.6%,7.7%,5.8%,5.3%,5.8%,5.8%
Return on Equity,0.7%,2.5%,23.8%,9.2%,8.9%,7.3%,13.2%,9.8%,,,2.0%,1.9%,7.1%,3.1%,1.7%,1.9%,3.5%,2.2%,2.6%,2.0%
Return on Total Capital,0.6%,2.3%,22.1%,8.7%,5.9%,5.1%,8.8%,7.4%,,,4.6%,4.8%,8.8%,9.2%,9.3%,9.4%,7.4%,6.9%,7.3%,6.9%
SG&A to Sale,44.5%,44.2%,26.6%,25.3%,20.7%,18.9%,24.8%,20.3%,,,21.3%,19.6%,33.2%,19.1%,17.9%,17.5%,18.9%,18.5%,22.4%,16.3%
Depreciation & Amortisation,35.1,47.3,56.4,57.3,56.2,59.3,108.2,133.2,,,22.8,25.0,41.1,30.1,31.4,33.2,38.4,34.0,33.3,35.5
Tax Rate,42.5%,39.3%,6.9%,17.7%,15.4%,16.7%,19.0%,10.4%,,,14.4%,16.7%,21.6%,1.2%,17.3%,16.5%,10.5%,15.1%,12.7%,14.1%
