,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,13.7,25.6,29.2,34.1,39.5,29.5,21.4,17.1,,,28.5,24.4,23.0,22.1,21.4,21.4,18.2,17.2,15.9,17.1
Earnings per Share,0.68,1.15,1.27,1.21,1.07,1.22,0.85,0.94,,,0.082,0.29,0.28,0.34,0.20,0.22,0.18,0.20,0.25,0.37
Revenue per Share,7.26,8.55,9.26,10.1,10.1,10.7,10.5,11.1,,,2.46,2.87,2.60,2.77,2.70,2.91,2.68,2.78,2.87,3.07
Dividend per Share,0.29,0.60,0.64,0.65,0.55,0.63,0.44,0.48,,,,,0.44,,,,0.48,,,
Capital Expenditures per Share,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,,,0.16,0.067,-0.23,0.00,0.087,0.052,-0.14,0.00,0.14,0.12
Book Value per Share,5.78,6.72,7.51,8.27,8.87,9.56,9.71,10.3,,,9.09,9.42,9.71,10.1,9.95,10.2,10.3,10.6,10.4,10.7
Price to Earnings Ratio,12.0,19.3,15.7,25.4,32.3,28.5,25.9,19.1,,,31.1,28.4,25.9,21.5,19.2,19.4,19.1,21.0,18.3,17.4
Price to Book Value Ratio,1.53,3.57,2.73,3.51,4.17,3.66,2.19,1.63,,,2.78,2.42,2.19,2.06,2.12,1.74,1.63,1.49,1.51,1.68
EV to EBITDA,4.88,9.65,9.15,14.8,20.4,17.7,14.0,9.15,,,18.7,15.1,14.0,11.4,10.0,10.7,9.15,10.8,8.45,7.25
Dividend Payout Ratio,43.0%,52.1%,50.4%,53.6%,51.5%,51.7%,51.6%,51.1%,,,,,51.6%,,,,51.1%,,,
Common Shares Outstanding,150.0,150.0,149.9,149.9,149.9,149.9,149.9,149.9,,,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9,149.9
Total Revenue,"1,089","1,282","1,389","1,516","1,521","1,609","1,571","1,658",,,369.0,430.7,390.3,414.6,405.1,436.5,401.7,416.6,430.7,459.7
"Cost of Revenue, Total",854.0,967.0,"1,064","1,193","1,212","1,285","1,316","1,384",,,325.9,350.6,327.5,323.4,336.6,368.7,355.0,353.0,361.2,366.1
Gross Profit,235.3,314.8,324.3,322.9,308.6,324.1,254.4,274.2,,,43.1,80.1,62.8,91.2,68.5,67.8,46.7,63.7,69.5,93.6
