,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,18.8,16.4,14.4,12.8,20.0,19.8,15.2,13.7,,,14.2,14.4,13.9,12.3,14.9,17.3,15.4,13.4,12.2,11.0
Earnings per Share,1.04,1.08,1.42,0.81,0.87,-0.57,-1.05,1.34,,,-1.63,0.12,0.29,0.54,0.39,0.34,0.091,-0.41,0.18,0.088
Revenue per Share,104.5,77.8,72.0,59.0,47.9,60.4,58.2,47.8,,,17.9,14.2,12.9,11.5,12.9,12.2,11.2,9.68,9.86,10.0
Dividend per Share,0.50,0.50,0.65,0.40,0.40,0.40,,0.65,,,,,,,0.25,0.00,0.40,,,
Capital Expenditures per Share,2.23,2.29,2.86,2.35,2.04,1.79,2.06,1.81,,,0.61,0.64,0.69,0.56,0.46,0.43,0.38,0.41,0.92,0.73
Book Value per Share,14.0,14.7,15.5,16.0,16.6,15.5,14.9,16.1,,,13.3,15.1,14.9,15.4,16.0,16.0,16.1,15.6,15.6,15.7
Price to Earnings Ratio,20.8,15.2,8.87,17.3,11.8,,,11.8,,,,,,,9.46,10.6,11.7,28.8,54.4,
Price to Book Value Ratio,1.49,1.10,0.98,0.75,0.75,1.24,0.74,0.80,,,0.95,0.93,0.74,0.65,1.03,0.88,0.80,0.81,0.66,0.64
EV to EBITDA,23.6,35.0,14.0,73.5,34.5,580.6,-127.6,10.5,,,-18.8,-25.3,-127.6,119.4,10.7,11.7,10.5,12.2,14.1,17.2
Dividend Payout Ratio,48.1%,46.4%,45.8%,49.3%,45.8%,-70.0%,,48.4%,,,,,,,18.8%,0.0%,29.6%,,,
Common Shares Outstanding,"1,280","1,280","1,280","1,280","1,280","1,280","1,536","1,536",,,"1,280","1,280","1,536","1,536","1,536","1,536","1,536","1,536","1,536","1,536"
Total Revenue,"133,704","99,639","92,185","75,530","61,292","77,266","89,387","73,493",,,"22,875","18,224","19,768","17,689","19,755","18,755","17,190","14,871","15,151","15,384"
"Cost of Revenue, Total","127,941","94,864","86,987","72,182","57,771","71,852","85,611","66,385",,,"23,686","16,910","18,394","16,179","17,494","16,762","15,823","13,818","13,698","14,414"
Gross Profit,"5,763","4,775","5,198","3,348","3,521","5,413","3,776","7,108",,,-810.7,"1,314","1,375","1,510","2,261","1,993","1,367","1,053","1,453",969.7
"Selling/General/Administrative Expenses, Total","4,232","3,921","3,589","3,820","3,713","5,436","5,859","5,248",,,"1,320","1,124","1,333","1,227","1,338","1,339","1,351","1,209","1,076","1,081"
Operating Income,"2,192",637.2,"2,092",790.0,"1,035",-799.3,"-1,804","3,231",,,"-2,070",487.2,47.2,880.4,"1,255",947.2,169.7,-517.0,360.4,227.3
Net Income,"1,306","1,379","1,820","1,038","1,118",-758.0,"-1,437","2,064",,,"-2,080",166.7,468.8,831.8,591.9,516.2,139.1,-623.3,270.0,135.1
EBITDA,"2,668","1,249","2,815","1,658","2,058",360.4,-16.4,"5,544",,,"-1,630",979.3,580.4,"1,411","1,818","1,518",837.3,42.6,992.2,830.9
Gross Profit Margin,4.3%,4.8%,5.6%,4.4%,5.7%,7.0%,4.2%,9.7%,,,-3.5%,7.2%,7.0%,8.5%,11.4%,10.6%,8.0%,7.1%,9.6%,6.3%
Operating Margin,1.6%,0.6%,2.3%,1.0%,1.7%,-1.0%,-2.0%,4.4%,,,-9.0%,2.7%,0.2%,5.0%,6.4%,5.1%,1.0%,-3.5%,2.4%,1.5%
Net Profit Margin,1.0%,1.4%,2.0%,1.4%,1.8%,-1.0%,-1.6%,2.8%,,,-9.1%,0.9%,2.4%,4.7%,3.0%,2.8%,0.8%,-4.2%,1.8%,0.9%
Return on Assets,3.4%,3.6%,4.5%,2.5%,2.7%,-1.5%,-2.5%,3.6%,,,-5.6%,-5.4%,-2.4%,-1.0%,3.6%,4.4%,3.7%,1.1%,0.5%,-0.1%
Return on Equity,7.3%,7.3%,9.1%,5.1%,5.3%,-3.8%,-6.3%,8.4%,,,-12.2%,0.9%,2.0%,3.5%,2.4%,2.1%,0.6%,-2.6%,1.1%,0.6%
Return on Total Capital,6.4%,6.4%,7.7%,4.2%,4.4%,-3.3%,-4.4%,6.2%,,,-14.8%,-12.3%,-4.4%,-1.8%,6.0%,7.1%,6.2%,1.9%,0.9%,-0.2%
SG&A to Sale,3.2%,3.9%,3.9%,5.1%,6.1%,7.0%,6.6%,7.1%,,,5.8%,6.2%,6.7%,6.9%,6.8%,7.1%,7.9%,8.1%,7.1%,7.0%
Depreciation & Amortisation,476.1,612.3,722.5,867.7,"1,022","1,160","1,788","2,313",,,439.5,492.1,533.2,530.5,563.6,571.0,667.6,559.6,631.8,603.6
Tax Rate,32.1%,9.6%,7.5%,3.7%,2.8%,26.4%,-1.5%,10.1%,,,12.8%,55.2%,-5.3%,12.0%,5.9%,20.7%,-58.8%,1.7%,15.3%,9.9%
Current Ratio,1.46,1.47,1.31,1.42,1.21,0.97,1.10,1.15,,,0.91,0.92,1.10,1.14,1.18,1.17,1.15,1.09,1.06,1.04
Quick Ratio,0.41,0.45,0.38,0.41,0.25,0.26,0.29,0.30,,,0.23,0.22,0.29,0.28,0.34,0.33,0.30,0.29,0.29,0.32
Days Inventory Outstanding,53.7,58.7,62.4,67.3,76.5,89.5,81.8,82.1,,,94.0,80.9,79.5,82.3,75.6,63.1,67.1,72.6,72.6,66.9
Days Sale Outstanding,21.7,24.6,30.6,24.7,26.0,40.9,31.1,31.1,,,29.2,28.1,31.1,30.1,32.1,30.9,31.2,31.1,31.4,35.5
Days Payable Outstanding,6.55,7.28,9.40,10.7,9.71,8.11,6.41,7.64,,,7.61,5.92,6.12,6.23,6.43,7.60,8.21,7.54,7.57,7.45
Cash Conversion Cycle,66.7,78.8,79.4,90.8,94.7,112.1,109.0,109.0,,,123.4,103.6,103.6,109.3,100.6,86.0,91.1,97.1,97.4,94.1
Debt to Asset Ratio,0.55,0.48,0.55,0.46,0.51,0.64,0.61,0.55,,,0.69,0.67,0.61,0.59,0.55,0.55,0.55,0.55,0.54,0.54
Debt to Equity Ratio,1.23,0.94,1.22,0.84,1.06,1.82,1.59,1.24,,,2.31,2.10,1.59,1.46,1.22,1.24,1.24,1.26,1.25,1.24
Interest Coverage Ratio,2.43,1.05,3.12,1.33,1.76,,,3.53,,,,1.41,0.17,3.72,5.52,4.06,,,1.47,1.08
Cash and Short Term Investments,"2,273","1,534","1,969","2,221","2,534","1,840","2,242","4,197",,,"2,229","1,902","2,242","2,844","3,346","4,122","4,197","2,855","2,623","2,513"
"Total Receivables, Net","7,941","6,711","7,722","5,121","4,372","8,662","7,614","6,269",,,"7,462","7,097","7,614","6,478","6,631","6,438","6,269","6,019","5,676","6,086"
Total Inventory,"17,337","13,152","16,582","10,030","14,179","21,061","17,292","12,568",,,"19,034","20,004","17,292","16,589","11,985","11,799","12,568","12,835","11,059","10,109"
Total Current Assets,"28,332","21,971","26,598","17,684","21,531","31,812","28,349","23,839",,,"29,628","30,320","28,349","26,718","22,781","23,146","23,839","22,438","20,314","19,795"
"Property/Plant/Equipment, Total - Net","7,476","10,034","12,842","15,256","16,407","17,339","26,022","26,508",,,"21,819","24,820","26,022","26,262","26,617","26,548","26,508","26,593","29,287","29,782"
Total Assets,"40,103","36,696","44,237","37,791","43,879","55,959","59,708","55,748",,,"57,133","60,646","59,708","58,446","54,866","55,187","55,748","54,556","55,326","55,161"
Accounts Payable,"2,052","1,730","2,751","1,491","1,585","1,608","1,401","1,378",,,"1,389","1,471","1,401","1,164","1,266","1,602","1,378","1,262","1,231","1,126"
Accrued Expenses,339.1,321.3,597.0,743.5,760.2,800.9,621.6,643.5,,,582.9,618.6,621.6,476.6,585.1,667.3,643.5,533.7,526.8,607.2
Debt Due,"15,557","12,297","15,954","9,579","14,773","28,840","22,820","17,703",,,"29,732","29,985","22,820","20,214","15,615","16,199","17,703","17,455","16,549","16,371"
Total Current Liabilities,"19,471","14,943","20,376","12,464","17,836","32,836","25,856","20,772",,,"32,436","32,839","25,856","23,444","19,234","19,714","20,772","20,574","19,241","19,098"
Long Term Debt,"2,477","2,556","3,592","4,397","4,353","2,871","9,486","8,825",,,"6,299","6,703","9,486","9,919","9,658","9,445","8,825","8,538","9,576","9,466"
Total Liabilities,"22,072","17,759","24,246","17,199","22,545","36,047","36,431","30,648",,,"39,446","40,687","36,431","34,464","29,947","30,296","30,648","30,149","30,026","29,762"
Common Stock,"1,280","1,280","1,280","1,280","1,280","1,280","1,536","1,536",,,"1,280","1,280","1,536","1,536","1,536","1,536","1,536","1,536","1,536","1,536"
Additional Paid-In Capital,"8,551","8,551","8,551","8,551","8,551","8,551","10,852","10,852",,,"8,551","8,551","10,852","10,852","10,852","10,852","10,852","10,852","10,852","10,852"
Retained Earnings (Accumulated Deficit),"7,565","8,352","9,560","9,790","10,416","9,164","7,293","9,173",,,"6,603","6,773","7,293","8,164","8,794","8,943","9,173","8,580","8,270","8,438"
Shareholders' Equity,"17,936","18,852","19,903","20,492","21,240","19,848","22,908","24,705",,,"17,062","19,332","22,908","23,588","24,558","24,511","24,705","24,004","23,983","24,065"
Cash from Operating Activities,"2,587","5,785",-363.6,"9,270","-2,074","-10,215","4,044","10,728",,,"6,522",19.4,"3,254","3,227","6,336","1,288",-191.2,-145.8,"2,799","1,325"
Cash from Investing Activities,"-2,733","-2,720","-3,088","-2,372","-2,464","-2,343","-5,241","-2,571",,,-779.5,-854.4,-808.1,-838.4,-675.6,-414.0,-421.0,-626.3,"-1,342","-1,123"
Cash from Financing Activities,645.7,"-3,804","3,810","-6,659","4,604","12,035","1,872","-6,035",,,"-5,426",619.8,"-2,084","-2,121","-5,031",378.1,791.5,-493.2,"-1,595",-271.0
Net Change in Cash,499.1,-739.0,358.7,238.9,65.6,-522.6,567.3,"1,955",,,280.3,-233.6,339.4,226.2,755.1,978.1,202.3,"-1,342",-293.8,-110.2
Free Cashflows,-266.8,"2,858","-4,028","6,259","-4,691","-12,509",877.6,"7,943",,,"5,736",-799.9,"2,189","2,372","5,631",625.7,-772.3,-781.1,"1,388",198.2
Free Cashflow per Share,-0.21,2.23,-3.15,4.89,-3.66,-9.77,0.57,5.17,,,4.48,-0.62,1.42,1.54,3.67,0.41,-0.50,-0.51,0.90,0.13
