,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,1.47,1.41,1.88,1.45,0.91,1.14,1.04,0.90,,,1.15,1.29,1.15,0.98,1.03,0.98,0.99,0.90,0.92,0.85
Earnings per Share,0.25,-0.13,-0.005,0.20,-0.040,0.002,0.24,0.082,,,0.003,-0.006,0.25,0.016,0.067,0.001,-0.001,-0.013,-0.049,-0.024
Revenue per Share,0.33,0.33,0.43,1.64,0.46,0.48,0.77,0.92,,,0.14,0.12,0.41,0.20,0.32,0.22,0.22,0.22,0.16,0.22
Dividend per Share,,,,0.005,,,0.004,0.025,,,,,0.004,,,,0.025,,,
Capital Expenditures per Share,0.029,0.036,0.13,0.13,0.12,0.26,0.22,0.19,,,0.052,0.067,0.049,0.044,0.040,0.041,0.076,0.035,0.020,0.013
Book Value per Share,0.92,0.81,0.81,1.01,0.96,0.97,1.21,1.24,,,0.97,0.96,1.21,1.22,1.24,1.25,1.24,1.23,1.16,1.13
Price to Earnings Ratio,4.93,,,9.05,,450.9,3.96,12.0,,,134.9,90.2,3.96,3.74,3.22,2.55,11.8,15.3,,
Price to Book Value Ratio,1.24,1.72,1.53,1.40,0.83,0.86,0.82,0.76,,,1.17,1.18,0.82,0.69,0.84,0.66,0.76,0.69,0.68,0.69
EV to EBITDA,27.6,42.2,24.3,5.48,10.1,9.54,11.3,17.7,,,11.1,15.0,11.3,10.1,9.80,12.5,17.7,18.1,24.6,25.8
Dividend Payout Ratio,,,,2.5%,,,1.8%,30.3%,,,,,1.8%,,,,29.9%,,,
Common Shares Outstanding,"2,693","3,005","3,005","3,005","3,005","3,005","3,005","3,616",,,"3,005","3,005","3,005","3,005","3,616","3,616","3,616","3,616","3,616","3,616"
Total Revenue,888.0,987.1,"1,297","4,926","1,384","1,451","2,300","3,338",,,405.8,362.4,"1,217",601.2,"1,141",809.7,786.3,809.4,596.6,795.2
"Cost of Revenue, Total",345.2,354.8,518.6,"2,941",527.8,489.7,"1,333","2,037",,,207.2,196.5,756.8,369.8,721.2,486.1,455.8,447.5,372.3,452.3
Gross Profit,542.7,632.3,778.3,"1,985",856.4,960.9,967.2,"1,301",,,198.7,165.9,460.5,231.4,419.7,323.6,330.5,361.9,224.3,342.9
"Selling/General/Administrative Expenses, Total",513.5,686.0,689.2,816.8,663.1,600.1,703.6,"1,125",,,178.3,154.0,233.9,189.1,348.0,288.1,305.7,325.5,318.5,331.3
Operating Income,-172.6,-241.5,-86.9,964.2,-39.0,109.5,263.6,175.9,,,20.4,11.8,226.7,42.3,71.7,35.6,24.8,36.4,-94.2,11.7
Net Income,407.0,-377.8,-13.7,602.0,-120.5,5.90,723.1,283.0,,,10.3,-17.1,736.2,47.7,234.4,3.14,-2.31,-47.7,-176.8,-88.6
EBITDA,26.1,-56.8,85.5,"1,164",186.8,354.3,488.6,443.7,,,82.6,72.1,267.0,85.8,137.9,117.2,103.6,121.9,-0.48,106.5
Gross Profit Margin,61.1%,64.1%,60.0%,40.3%,61.9%,66.2%,42.0%,39.0%,,,49.0%,45.8%,37.8%,38.5%,36.8%,40.0%,42.0%,44.7%,37.6%,43.1%
Operating Margin,-19.4%,-24.5%,-6.7%,19.6%,-2.8%,7.5%,11.5%,5.3%,,,5.0%,3.3%,18.6%,7.0%,6.3%,4.4%,3.2%,4.5%,-15.8%,1.5%
Net Profit Margin,45.8%,-38.3%,-1.1%,12.2%,-8.7%,0.4%,31.4%,8.5%,,,2.5%,-4.7%,60.5%,7.9%,20.5%,0.4%,-0.3%,-5.9%,-29.6%,-11.1%
Return on Assets,6.0%,-5.5%,-0.2%,9.0%,-2.1%,0.1%,8.5%,2.5%,,,0.2%,0.4%,7.7%,8.3%,8.3%,7.5%,2.2%,1.3%,-1.6%,-2.2%
Return on Equity,16.4%,-15.5%,-0.6%,19.9%,-4.2%,0.2%,20.0%,6.3%,,,0.4%,-0.6%,20.3%,1.3%,5.2%,0.1%,-0.1%,-1.1%,-4.2%,-2.2%
Return on Total Capital,8.2%,-11.9%,-0.3%,15.0%,-3.2%,0.1%,11.0%,2.9%,,,0.3%,0.7%,11.0%,12.3%,10.5%,11.5%,2.9%,1.7%,-2.2%,-2.8%
SG&A to Sale,57.8%,69.5%,53.1%,16.6%,47.9%,41.4%,30.6%,33.7%,,,43.9%,42.5%,19.2%,31.5%,30.5%,35.6%,38.9%,40.2%,53.4%,41.7%
Depreciation & Amortisation,198.7,184.7,172.4,199.6,225.8,244.9,224.9,267.8,,,62.2,60.3,40.3,43.5,66.2,81.6,78.9,85.5,93.7,94.9
Tax Rate,0.5%,8.7%,80.7%,24.4%,-2.4%,82.1%,11.3%,-1.5%,,,16.5%,-171.8%,9.7%,24.2%,7.4%,425.4%,97.5%,-23.9%,2.1%,-2.5%
Current Ratio,1.07,0.55,1.43,1.23,0.99,1.46,1.68,1.41,,,1.32,1.19,1.68,1.15,1.30,1.15,1.41,1.39,1.10,1.54
Quick Ratio,0.064,0.031,0.088,0.067,0.046,0.024,0.21,0.33,,,0.21,0.012,0.21,0.026,0.13,0.31,0.33,0.35,0.32,0.43
Days Inventory Outstanding,"1,602","1,569","1,600",259.0,914.3,"1,255",588.7,357.7,,,"1,473","1,736",875.3,536.3,360.8,273.1,304.1,291.9,347.3,351.8
Days Sale Outstanding,40.6,43.7,62.4,6.77,24.0,11.0,85.2,49.5,,,181.0,11.0,85.2,10.6,12.4,34.1,49.5,53.6,63.1,83.9
Days Payable Outstanding,44.5,44.6,33.8,5.92,33.7,33.6,11.6,13.1,,,0.00,0.00,6.22,10.5,10.1,10.5,14.8,8.71,0.75,1.27
Cash Conversion Cycle,"1,605","1,561","1,617",264.9,904.0,"1,243",622.5,393.7,,,"1,572","1,828",909.1,569.2,358.6,285.6,330.0,341.9,409.0,424.4
Debt to Asset Ratio,0.62,0.65,0.69,0.45,0.51,0.62,0.61,0.67,,,0.69,0.70,0.61,0.61,0.69,0.63,0.67,0.69,0.70,0.72
Debt to Equity Ratio,1.66,1.89,2.25,0.82,1.03,1.65,1.56,2.03,,,2.18,2.29,1.56,1.55,2.28,1.74,2.03,2.24,2.34,2.64
Interest Coverage Ratio,,,,5.69,,1.37,3.13,0.66,,,0.76,0.45,20.8,3.55,0.93,0.43,0.26,0.33,,0.086
Cash and Short Term Investments,108.6,97.5,227.2,238.1,370.9,473.7,"1,412","1,539",,,884.7,292.3,"1,412",980.4,"3,458",889.1,"1,539","1,448",968.8,"1,770"
"Total Receivables, Net",98.7,118.2,221.6,91.4,91.1,43.9,536.8,452.5,,,709.2,45.5,536.8,74.8,113.1,352.2,452.5,520.3,519.4,687.1
Total Inventory,"1,374","1,675","2,873","1,301","1,344","2,024","2,276","1,716",,,"2,688","4,053","2,276","2,221","1,821","1,672","1,716","1,660","1,693","1,638"
Total Current Assets,"1,652","2,093","3,615","1,676","1,936","2,690","4,332","3,945",,,"4,405","4,501","4,332","3,374","5,514","2,994","3,945","3,825","3,373","4,288"
"Property/Plant/Equipment, Total - Net","4,391","4,325","3,126","3,345","3,449","3,925","3,512","8,349",,,"4,222","4,429","3,512","3,651","8,024","8,129","8,349","8,408","8,407","8,405"
Total Assets,"6,610","7,066","7,889","5,529","5,883","7,689","9,285","13,677",,,"9,252","9,499","9,285","9,369","14,805","12,420","13,677","14,480","14,009","14,939"
Accounts Payable,38.9,47.7,48.3,47.2,50.3,39.9,45.0,100.7,,,,,45.0,42.9,70.3,64.5,100.7,,7.20,4.80
Accrued Expenses,131.2,243.1,221.2,116.7,128.1,123.9,176.4,280.0,,,,,176.4,193.4,265.6,269.2,280.0,31.2,29.0,31.5
Debt Due,722.9,"2,437",707.2,917.8,"1,352",988.4,"1,596","1,888",,,"2,444","2,829","1,596","2,053","2,125","1,804","1,888","1,871","2,267","1,970"
Total Current Liabilities,"1,548","3,779","2,531","1,364","1,961","1,843","2,585","2,789",,,"3,344","3,776","2,585","2,928","4,251","2,596","2,789","2,745","3,062","2,783"
Long Term Debt,"2,452",718.9,"2,783",993.3,897.8,"2,825","2,965","5,422",,,"2,889","2,724","2,965","2,656","5,073","4,344","5,422","6,324","5,782","7,081"
Total Liabilities,"4,126","4,622","5,458","2,496","2,987","4,787","5,662","9,115",,,"6,346","6,610","5,662","5,700","10,241","7,853","9,115","9,970","9,772","10,790"
Common Stock,"2,466","2,751","2,751","2,751","2,889","2,889","2,889","3,616",,,"2,889","2,889","2,889","2,889","3,616","3,616","3,616","3,616","3,616","3,616"
Additional Paid-In Capital,717.5,717.5,717.5,,,,,,,,,,,,,,,,,
Retained Earnings (Accumulated Deficit),-699.9,"-1,025","-1,039",280.8,7.22,13.1,734.2,888.7,,,17.1,0.007,734.2,781.9,887.9,891.1,888.7,842.7,575.5,487.0
Shareholders' Equity,"2,484","2,444","2,430","3,032","2,896","2,902","3,623","4,497",,,"2,906","2,889","3,623","3,668","4,500","4,503","4,497","4,450","4,180","4,091"
Cash from Operating Activities,-16.9,98.7,-634.0,"1,770",283.7,-0.40,476.7,460.3,,,-541.1,-724.9,"1,866",39.8,352.9,68.6,-8.64,-18.6,-131.1,-75.3
Cash from Investing Activities,65.8,-110.5,686.7,-12.8,-315.7,"-1,285",-244.1,"-4,068",,,82.4,-199.0,251.1,-619.0,"-1,412","-1,549",-479.8,-935.0,-85.3,-166.1
Cash from Financing Activities,-13.8,0.69,77.0,"-1,747",164.8,"1,388",705.3,"3,275",,,"1,014",331.5,-998.0,148.1,"3,081","-1,093","1,138",871.2,-264.3,991.0
Net Change in Cash,35.2,-11.1,129.7,10.9,132.8,102.8,937.8,-332.8,,,555.4,-592.4,"1,119",-431.2,"2,022","-2,573",649.6,-82.4,-480.7,749.6
Free Cashflows,-95.2,-10.5,"-1,024","1,376",-64.9,-781.4,-169.4,-239.9,,,-696.1,-925.4,"1,718",-93.7,209.1,-80.2,-282.7,-145.2,-204.9,-121.2
Free Cashflow per Share,-0.035,-0.003,-0.34,0.46,-0.022,-0.26,-0.056,-0.066,,,-0.23,-0.31,0.57,-0.031,0.058,-0.022,-0.078,-0.040,-0.057,-0.034
