,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,11.6,16.3,19.0,16.5,30.2,16.1,15.0,11.5,,,16.0,15.3,14.7,15.2,15.2,14.1,13.4,12.3,10.5,11.1
Earnings per Share,0.86,0.39,-0.015,-0.68,-0.13,-0.81,-1.33,-1.00,,,-0.29,-0.41,-0.37,-0.26,-0.26,-0.20,-0.28,-0.51,-0.55,-0.34
Revenue per Share,10.2,8.81,7.10,8.50,8.74,6.92,4.98,4.53,,,1.20,1.05,0.98,1.52,1.22,1.09,0.69,0.92,0.87,0.91
Dividend per Share,0.50,0.25,,,,,,,,,,,,,,,,,,
Capital Expenditures per Share,0.11,0.35,0.18,0.26,0.18,0.075,0.075,0.21,,,0.029,0.017,0.019,0.024,0.17,0.006,0.008,0.006,0.004,0.033
Book Value per Share,22.7,22.8,22.5,21.5,21.4,20.6,19.0,18.1,,,20.1,19.6,19.0,18.8,18.5,18.3,18.1,17.6,17.0,16.7
Price to Earnings Ratio,11.6,27.9,,,,,,,,,,,,,,,,,,
Price to Book Value Ratio,0.44,0.44,0.71,0.66,0.68,0.68,0.69,0.69,,,0.72,0.00,0.69,0.70,0.81,0.61,0.69,0.66,0.61,0.57
EV to EBITDA,10.3,43.0,-24.9,-18.5,-29.1,-18.8,-10.2,-13.6,,,-16.0,-12.8,-10.2,-10.2,-12.0,-11.4,-13.6,-8.81,-7.38,-5.80
Dividend Payout Ratio,58.0%,64.6%,,,,,,,,,,,,,,,,,,
Common Shares Outstanding,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
Total Revenue,246.0,211.4,170.4,203.9,209.8,166.2,119.4,108.6,,,28.9,25.2,23.6,36.6,29.3,26.1,16.7,22.0,20.8,21.8
"Cost of Revenue, Total",197.8,178.1,153.9,190.9,188.4,152.4,115.9,102.3,,,27.2,26.3,23.4,32.9,27.9,22.0,19.5,25.6,25.4,22.3
Gross Profit,48.2,33.2,16.5,13.0,21.3,13.7,3.51,6.34,,,1.67,-1.07,0.14,3.66,1.43,4.09,-2.84,-3.59,-4.56,-0.43
"Selling/General/Administrative Expenses, Total",29.8,32.1,33.6,32.0,34.9,34.0,36.1,35.1,,,8.94,8.81,9.08,9.95,8.61,9.06,7.95,8.89,8.63,8.04
Operating Income,18.4,1.14,-17.1,-19.0,-13.5,-20.3,-32.6,-24.6,,,-7.28,-9.88,-8.94,-6.28,-7.18,-4.98,-6.68,-12.5,-13.2,-8.47
Net Income,20.7,9.29,-0.36,-16.4,-3.11,-19.5,-32.0,-24.0,,,-6.97,-9.76,-8.90,-6.16,-6.17,-4.88,-6.83,-12.4,-13.2,-8.27
EBITDA,20.4,4.38,-13.2,-14.9,-8.93,-15.7,-29.1,-21.7,,,-6.40,-8.99,-8.25,-5.53,-6.45,-4.25,-5.97,-11.7,-12.5,-7.81
Gross Profit Margin,19.6%,15.7%,9.7%,6.4%,10.2%,8.2%,2.9%,5.8%,,,5.8%,-4.2%,0.6%,10.0%,4.9%,15.7%,-17.0%,-16.3%,-21.9%,-2.0%
Operating Margin,7.5%,0.5%,-10.0%,-9.3%,-6.4%,-12.2%,-27.3%,-22.7%,,,-25.2%,-39.2%,-37.9%,-17.2%,-24.5%,-19.1%,-40.0%,-56.7%,-63.4%,-38.8%
Net Profit Margin,8.4%,4.4%,-0.2%,-8.0%,-1.5%,-11.7%,-26.8%,-22.1%,,,-24.1%,-38.7%,-37.7%,-16.8%,-21.0%,-18.7%,-40.9%,-56.2%,-63.5%,-37.9%
Return on Assets,3.4%,1.5%,-0.1%,-2.7%,-0.5%,-3.4%,-5.8%,-4.8%,,,-3.8%,-4.6%,-5.9%,-6.0%,-5.9%,-5.0%,-4.9%,-6.6%,-8.4%,-9.4%
Return on Equity,3.8%,1.7%,-0.1%,-3.2%,-0.6%,-3.9%,-7.0%,-5.5%,,,-1.4%,-2.1%,-1.9%,-1.4%,-1.4%,-1.1%,-1.6%,-2.9%,-3.2%,-2.1%
Return on Total Capital,3.8%,1.7%,-0.1%,-3.2%,-0.6%,-3.9%,-7.0%,-5.5%,,,-4.4%,-5.3%,-7.0%,-7.1%,-7.0%,-5.9%,-5.5%,-7.2%,-9.1%,-10.2%
SG&A to Sale,12.1%,15.2%,19.7%,15.7%,16.6%,20.5%,30.2%,32.3%,,,31.0%,34.9%,38.5%,27.2%,29.4%,34.8%,47.7%,40.4%,41.5%,36.8%
Depreciation & Amortisation,2.02,3.25,3.83,4.09,4.59,4.63,3.45,2.92,,,0.88,0.89,0.69,0.75,0.73,0.73,0.71,0.74,0.72,0.66
Tax Rate,0.0%,14.5%,17.0%,2.8%,-144.5%,-0.2%,0.6%,-0.8%,,,1.5%,1.0%,-1.4%,2.0%,2.0%,1.4%,-8.0%,0.9%,-0.7%,1.5%
Current Ratio,8.81,7.88,9.38,7.99,8.15,8.96,9.25,144.9,,,9.12,8.72,9.25,9.10,8.46,8.64,144.9,143.8,189.1,105.8
Quick Ratio,1.32,1.00,1.22,0.91,1.42,1.13,1.04,1.85,,,1.19,1.05,1.04,1.10,1.07,1.07,1.85,2.42,7.31,3.11
Days Inventory Outstanding,715.4,812.2,927.8,733.2,706.2,830.0,"1,076","1,204",,,925.7,974.1,"1,080","1,133","1,117","1,156","1,192","1,278","1,287","1,252"
Days Sale Outstanding,112.8,117.1,146.5,104.5,152.4,132.4,151.8,16.0,,,150.5,147.4,151.8,168.3,174.5,166.7,16.0,23.5,57.1,44.9
Days Payable Outstanding,104.2,125.1,143.9,106.1,112.9,134.3,155.6,85.2,,,147.6,143.9,154.2,155.0,153.4,160.4,85.6,4.09,3.70,5.41
Cash Conversion Cycle,728.7,799.6,944.3,738.6,716.7,867.8,"1,096","1,292",,,933.1,982.7,"1,093","1,141","1,135","1,164","1,285","1,294","1,326","1,296"
Debt to Asset Ratio,0.10,0.12,0.10,0.14,0.13,0.13,0.14,0.060,,,0.13,0.13,0.14,0.14,0.15,0.15,0.060,0.063,0.062,0.068
Debt to Equity Ratio,0.12,0.14,0.12,0.16,0.15,0.15,0.16,0.064,,,0.15,0.15,0.16,0.17,0.18,0.18,0.064,0.067,0.067,0.073
Interest Coverage Ratio,767.2,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,29.3,75.7,64.1,79.1,59.4,76.2,50.3,33.6,,,63.1,56.5,50.3,44.5,40.3,37.1,33.6,20.9,12.5,12.7
"Total Receivables, Net",76.0,67.8,68.4,58.4,87.6,60.3,49.6,4.75,,,60.6,55.0,49.6,52.7,54.8,52.7,4.75,6.05,13.4,9.99
Total Inventory,400.6,392.2,390.2,376.7,352.5,340.9,342.2,332.5,,,338.7,343.9,342.2,339.7,336.7,335.7,332.5,332.2,319.7,316.5
Total Current Assets,507.6,536.5,524.2,515.0,501.0,478.3,443.1,371.2,,,464.2,456.8,443.1,437.9,435.4,426.3,371.2,359.7,346.1,339.5
"Property/Plant/Equipment, Total - Net",26.6,31.6,32.0,34.1,33.9,31.0,29.4,31.3,,,30.1,29.6,29.4,29.2,29.4,31.8,31.3,30.7,30.1,30.2
Total Assets,607.5,621.6,602.9,598.6,592.9,567.1,532.1,461.5,,,552.4,544.6,532.1,526.7,524.6,517.9,461.5,449.7,435.4,429.1
Accounts Payable,55.3,66.8,54.5,56.5,60.1,52.1,46.8,0.97,,,49.7,51.2,46.8,46.5,46.3,47.0,0.97,1.16,0.72,2.03
Accrued Expenses,,,,,,,,,,,,,,,,,,,,
Debt Due,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Total Current Liabilities,57.6,68.0,55.9,64.4,61.5,53.4,47.9,2.56,,,50.9,52.4,47.9,48.1,51.5,49.3,2.56,2.50,1.83,3.21
Long Term Debt,,,,,,,,,,,,,,,,,,,,
Total Liabilities,63.3,75.0,62.7,81.6,78.8,72.5,75.3,27.7,,,71.0,73.0,75.3,76.1,80.1,78.2,27.7,28.2,27.2,29.2
Common Stock,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,,,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0,240.0
Additional Paid-In Capital,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,,,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1,62.1
Retained Earnings (Accumulated Deficit),242.2,244.6,238.2,215.0,212.0,192.6,154.7,131.7,,,179.3,169.5,154.7,148.6,142.4,137.6,131.7,119.4,106.1,97.9
Shareholders' Equity,544.2,546.6,540.2,517.1,514.1,494.7,456.8,433.8,,,481.3,471.6,456.8,450.6,444.5,439.7,433.8,421.4,408.2,399.9
Cash from Operating Activities,-2.48,35.0,-23.5,20.1,-16.1,18.1,-24.4,-12.1,,,-16.8,-6.14,-5.87,-5.24,-0.37,-3.09,-3.36,-12.6,-8.33,0.95
Cash from Investing Activities,-2.08,23.5,17.8,-5.08,-3.74,-1.33,-1.42,-4.72,,,-0.49,-0.40,-0.27,-0.57,-3.97,-0.11,-0.075,-0.16,-0.035,-0.79
Cash from Financing Activities,-10.0,-12.0,-6.00,,,,,,,,,,,,,,,,,
Net Change in Cash,-14.5,46.5,-11.6,15.0,-19.7,16.8,-25.9,-16.7,,,-17.3,-6.56,-6.16,-5.86,-4.19,-3.22,-3.43,-12.7,-8.39,0.15
Free Cashflows,-5.10,26.7,-27.8,13.7,-20.4,16.3,-26.2,-17.1,,,-17.5,-6.56,-6.31,-5.81,-4.47,-3.23,-3.55,-12.7,-8.43,0.16
Free Cashflow per Share,-0.21,1.11,-1.16,0.57,-0.85,0.68,-1.09,-0.71,,,-0.73,-0.27,-0.26,-0.24,-0.19,-0.13,-0.15,-0.53,-0.35,0.006
