,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2017-6,2017-9,2017-12,2018-3,2018-6,2018-9,2018-12,2019-3,2019-6,2019-9
Price Average,2.44,2.57,2.90,3.79,3.33,4.08,3.58,1.99,,,4.20,3.55,3.77,3.60,3.54,3.30,2.73,1.82,1.37,1.09
Earnings per Share,0.30,0.14,0.24,0.32,0.13,0.051,-0.23,0.027,,,0.046,-0.040,-0.35,-0.009,0.007,0.031,-0.002,-0.063,-0.049,-0.032
Revenue per Share,6.35,6.27,6.62,8.26,8.35,8.45,5.17,6.59,,,1.47,1.25,1.22,1.22,1.85,1.91,1.61,1.39,1.82,1.33
Dividend per Share,0.19,0.17,0.19,0.24,0.14,,0.005,0.020,,,,,0.005,,,,0.020,,,
Capital Expenditures per Share,0.023,0.024,0.016,0.012,0.12,0.073,0.38,0.53,,,0.029,0.097,0.22,0.099,0.15,0.16,0.12,0.073,0.039,0.028
Book Value per Share,3.49,3.51,3.59,3.70,3.59,4.22,2.44,2.47,,,2.82,2.77,2.44,2.43,2.44,2.47,2.47,2.40,2.33,2.30
Price to Earnings Ratio,8.63,17.0,11.3,11.3,25.7,62.4,,91.1,,,16.6,24.5,,,,,91.1,,,
Price to Book Value Ratio,0.64,0.65,0.66,0.84,0.90,0.77,1.43,0.84,,,1.26,1.24,1.43,1.22,1.30,1.22,0.84,0.62,0.51,0.39
EV to EBITDA,4.82,8.16,7.17,7.63,14.8,21.4,-15.8,27.5,,,17.4,32.3,-15.8,-10.8,-9.55,-16.1,27.5,25.4,47.9,108.1
Dividend Payout Ratio,64.5%,117.8%,80.1%,74.2%,112.6%,,-2.3%,73.4%,,,,,-2.3%,,,,73.4%,,,
Common Shares Outstanding,277.2,277.2,277.2,277.2,277.2,277.2,439.8,439.8,,,439.8,439.8,439.8,439.8,439.8,439.8,439.8,439.8,439.8,439.8
Total Revenue,"1,760","1,737","1,836","2,289","2,316","2,342","2,276","2,898",,,647.7,549.1,538.4,537.6,813.7,838.8,707.4,612.9,799.3,586.7
"Cost of Revenue, Total","1,539","1,582","1,622","2,055","2,095","2,014","2,135","2,484",,,539.6,514.2,649.7,462.9,699.0,727.2,594.5,531.7,727.9,513.3
Gross Profit,220.7,155.3,213.8,234.0,220.5,327.6,140.7,414.0,,,108.1,34.9,-111.3,74.7,114.7,111.6,112.9,81.2,71.4,73.4
"Selling/General/Administrative Expenses, Total",105.6,113.3,130.7,126.7,147.6,310.7,324.2,386.9,,,80.0,87.7,80.5,86.7,98.1,102.4,99.7,111.3,98.0,90.4
Operating Income,108.0,39.9,83.1,107.4,72.9,16.9,-183.5,27.1,,,51.3,-52.8,-215.0,-11.9,16.6,9.21,13.2,-30.1,-26.5,-17.0
Net Income,81.8,39.2,65.9,89.0,35.2,22.6,-103.2,12.0,,,20.0,-17.8,-152.8,-4.06,3.26,13.8,-1.06,-27.9,-21.7,-14.1
EBITDA,133.6,61.5,102.9,125.8,88.9,67.5,-136.7,87.7,,,63.0,-41.1,-202.8,0.40,31.1,25.8,30.5,-12.1,-8.05,2.01
Gross Profit Margin,12.5%,8.9%,11.6%,10.2%,9.5%,14.0%,6.2%,14.3%,,,16.7%,6.4%,-20.7%,13.9%,14.1%,13.3%,16.0%,13.2%,8.9%,12.5%
Operating Margin,6.1%,2.3%,4.5%,4.7%,3.1%,0.7%,-8.1%,0.9%,,,7.9%,-9.6%,-39.9%,-2.2%,2.0%,1.1%,1.9%,-4.9%,-3.3%,-2.9%
Net Profit Margin,4.6%,2.3%,3.6%,3.9%,1.5%,1.0%,-4.5%,0.4%,,,3.1%,-3.2%,-28.4%,-0.8%,0.4%,1.6%,-0.1%,-4.5%,-2.7%,-2.4%
Return on Assets,7.2%,3.4%,5.5%,6.5%,2.3%,1.3%,-5.1%,0.5%,,,4.1%,2.6%,-4.9%,-7.3%,-7.1%,-5.2%,0.4%,-0.4%,-1.3%,-2.5%
Return on Equity,8.5%,4.0%,6.6%,8.7%,3.5%,1.9%,-9.6%,1.1%,,,1.6%,-1.5%,-14.2%,-0.4%,0.3%,1.3%,-0.1%,-2.6%,-2.1%,-1.4%
Return on Total Capital,8.5%,4.0%,6.6%,8.7%,3.5%,1.9%,-9.3%,1.0%,,,7.2%,4.6%,-9.3%,-14.0%,-15.1%,-12.1%,1.0%,-1.0%,-3.3%,-6.0%
SG&A to Sale,6.0%,6.5%,7.1%,5.5%,6.4%,13.3%,14.2%,13.4%,,,12.3%,16.0%,14.9%,16.1%,12.1%,12.2%,14.1%,18.2%,12.3%,15.4%
Depreciation & Amortisation,25.6,21.6,19.8,18.5,15.9,50.6,46.8,60.6,,,11.7,11.6,12.2,12.3,14.4,16.6,17.3,18.0,18.5,19.0
Tax Rate,32.4%,35.4%,23.3%,20.4%,22.3%,36.8%,16.1%,27.2%,,,36.6%,39.5%,16.1%,1.2%,21.3%,17.7%,-175.2%,13.8%,12.5%,15.6%
Current Ratio,5.18,5.86,3.70,2.82,2.36,1.90,1.55,1.23,,,1.81,1.84,1.55,1.43,1.30,1.27,1.23,1.21,1.20,1.22
Quick Ratio,0.61,0.95,0.40,0.29,0.23,0.21,0.29,0.30,,,0.29,0.25,0.29,0.28,0.28,0.34,0.30,0.25,0.33,0.24
Days Inventory Outstanding,157.9,156.6,153.5,152.9,176.2,210.4,195.7,158.2,,,267.0,253.7,194.5,179.3,179.4,175.4,175.5,180.2,185.5,188.7
Days Sale Outstanding,18.5,23.0,18.3,18.8,18.5,26.0,39.6,61.4,,,46.7,36.3,39.6,44.2,57.9,69.3,61.4,51.8,62.0,43.2
Days Payable Outstanding,17.2,26.4,27.5,29.1,26.1,17.9,22.5,31.5,,,40.0,36.7,29.8,40.3,60.3,55.6,42.9,46.2,48.3,41.0
